Time,Mass,HRR,Back Surface Temperature 1,Back Surface Temperature 3
[s],[g],[kW/m2],[K],[K]
0,72.88,0,304,303
1,72.93,0.5,304,304
2,72.76,0.5,304,304
3,72.76,0.5,304,304
4,72.78,0.9,304,304
5,72.94,0,305,304
6,72.94,0,305,304
7,72.99,0,305,305
8,72.94,1.3,305,305
9,72.94,0,305,305
10,72.93,0,305,305
11,72.93,0,305,305
12,72.93,29.5,305,305
13,72.88,121.7,306,305
14,72.81,159.3,306,305
15,72.75,196.9,306,305
16,72.75,289.6,306,305
17,72.62,365.9,306,305
18,72.43,438.8,306,306
19,72.24,523.8,306,306
20,72.24,543.6,306,306
21,71.97,569,306,306
22,71.52,616.5,306,306
23,71.18,652.1,307,307
24,71.18,652.9,308,307
25,70.82,651.2,309,307
26,70.25,668.3,309,308
27,70.25,691,310,308
28,70.08,706.4,311,309
29,69.91,721.8,312,309
30,69.29,707.7,313,309
31,69.29,718.6,314,310
32,68.92,733.7,314,311
33,68.39,912.3,315,311
34,68,762.7,316,312
35,68,753.3,317,312
36,67.59,777.3,318,313
37,67,786.6,319,314
38,67,775.1,319,315
39,66.54,760.3,320,316
40,65.94,745.5,321,317
41,65.54,754.4,322,318
42,65.54,765,323,318
43,65.12,758.5,323,319
44,64.47,793.4,324,320
45,64.47,811.6,325,322
46,64.06,795.3,326,323
47,63.47,820.6,327,324
48,63.05,826.2,328,325
49,63.05,813.6,328,326
50,62.63,792.5,329,327
51,62.04,790.8,330,328
52,62.04,804.3,331,329
53,61.8,799.1,332,273
54,61.56,793.9,332,331
55,60.98,773.3,333,332
56,60.58,762.3,334,333
57,60.58,783.3,335,335
58,60.15,779.8,336,336
59,59.56,792.2,337,337
60,59.19,804.6,337,338
61,58.78,785.7,338,341
62,58.78,786.8,339,342
63,58.36,775.1,340,343
64,57.71,763.1,341,344
65,57.28,766.8,342,346
66,57.28,769.3,342,347
67,56.87,750,343,349
68,56.24,758.6,344,350
69,55.83,759.7,345,351
70,55.83,886.3,346,352
71,55.43,764.5,346,354
72,54.76,777,347,355
73,54.76,767.9,348,356
74,54.76,758.8,349,357
75,54.28,761.5,350,359
76,53.68,774.5,351,360
77,53.25,787.5,351,361
78,53.25,801.8,352,362
79,52.84,778.3,353,364
80,52.24,783.3,353,366
81,51.81,782.5,353,367
82,51.81,774,353,368
83,51.4,754.1,356,369
84,50.79,760.4,356,370
85,50.39,782.1,357,373
86,50.39,796.4,358,374
87,49.95,795.5,359,375
88,49.41,781.9,360,376
89,48.99,787.6,362,378
90,48.99,788,363,379
91,48.99,788.4,363,380
92,48.54,781.6,364,381
93,48.07,796,361,382
94,47.79,792.7,363,384
95,47.79,822.1,363,385
96,47.46,812.3,364,386
97,46.89,786.9,366,387
98,46.46,786.4,366,388
99,46.46,758.6,367,388
100,46.03,789,368,388
101,45.38,807.7,369,389
102,45.38,788.7,369,389
103,44.97,811,370,389
104,44.38,826.9,371,390
105,43.96,805.1,372,391
106,43.96,923,373,391
107,43.55,773.1,375,392
108,42.97,789.1,376,393
109,42.97,814.4,377,395
110,42.48,824.5,378,396
111,41.9,816.7,379,397
112,41.5,815.3,380,398
113,41.5,813.8,381,399
114,41.09,976,382,400
115,40.5,819.5,383,401
116,40.5,824.9,386,402
117,40.01,826.1,387,404
118,39.35,829.1,388,406
119,39.35,816.4,389,407
120,38.94,816.3,390,408
121,38.37,816.1,392,409
122,37.95,847.6,393,410
123,37.95,845.6,395,412
124,37.52,841.4,396,413
125,36.91,833.4,397,415
126,36.91,843.2,398,416
127,36.91,852.9,398,416
128,36.43,855.1,401,417
129,35.61,850.5,402,419
130,35.61,853.9,404,421
131,35.13,848.1,405,423
132,34.49,869.6,406,424
133,34.07,867.5,408,425
134,34.07,862.3,409,427
135,34.07,857,410,428
136,33.56,864.7,412,429
137,32.95,872.3,413,431
138,32.95,864.1,415,432
139,32.43,833.7,416,434
140,31.83,871.2,418,435
141,31.37,874.7,418,436
142,31.37,867,421,438
143,30.93,891.5,423,439
144,30.31,875.6,424,441
145,29.87,890.5,426,444
146,29.87,931.7,427,445
147,29.41,952.6,429,446
148,28.7,939.1,431,448
149,28.7,940,432,450
150,28.24,975.1,435,451
151,27.59,979.7,437,453
152,27.13,954,439,455
153,27.13,939.2,440,458
154,26.64,1097,442,460
155,25.91,967.4,444,462
156,25.91,994.8,446,464
157,25.49,1005,448,465
158,24.82,985.5,450,467
159,24.36,981.8,452,469
160,24.36,986.4,455,471
161,23.87,991,456,475
162,23.16,998.3,458,475
163,22.67,1007.7,460,479
164,22.67,982.9,462,481
165,21.92,972.2,464,483
166,21.42,995.9,467,486
167,21.42,1012,471,487
168,20.84,1012.1,473,490
169,20.09,1038.3,475,491
170,19.56,1032.8,478,496
171,19.56,1001.7,480,498
172,19.06,991.4,483,501
173,18.23,989.5,485,503
174,18.23,1017.9,487,505
175,18.23,1046.3,488,506
176,17.45,1074.8,491,509
177,16.75,1055.3,497,512
178,16.24,1068.7,502,516
179,16.24,1072.2,508,520
180,15.72,1114.6,513,533
181,14.95,1108.2,518,541
182,14.39,1067.6,524,550
183,14.39,1100.7,529,558
184,14.42,1089.9,354,566
185,14.09,1071.3,539,574
186,14.09,1118.3,541,580
187,13.56,1150.5,546,585
188,12.7,1166.8,550,590
189,12.09,1177.6,559,595
190,12.09,1229.6,559,600
191,11.48,1247.1,571,605
192,10.57,1300.9,576,610
193,10.57,1303.9,578,620
194,9.97,1293.7,583,624
195,9.18,1287,589,629
196,8.61,1222.5,594,634
197,8.61,1246.3,566,639
198,7.96,1242.5,607,645
199,7,1218.7,613,650
200,7,1237,627,653
201,6.33,1176.6,637,670
202,5.45,1099.4,649,685
203,5.16,993,661,705
204,5.16,902,676,719
205,4.51,824.4,700,734
206,3.71,766.3,727,767
207,3.21,725.8,756,799
208,3.21,675.3,815,829
209,2.49,616.6,828,855
210,2.49,562.3,854,902
211,2.13,509.1,877,924
212,1.68,483,896,941
213,1.68,461.9,912,958
214,1.36,430.2,927,973
215,0.96,379,939,988
216,0.71,353.1,949,993
217,0.71,332.3,970,1003
218,0.5,311.3,976,1016
219,0.18,291.6,983,1024
220,0,270.8,990,1027
221,0,248.9,993,1033
222,-0.12,230.3,1004,1045
223,-0.35,214.9,1014,1054
224,-0.46,239.2,1020,1064
225,-0.46,190.3,1057,1113
226,-0.58,184.2,1058,1101
227,-0.71,164.6,1052,1106
