Time,Mass,HRR,Back Surface Temperature 1
[s],[g],[kW/m2],[K]
0,73.21,2.473888749,0
1,73.200828,1.421490755,0
2,73.183614,0.990774724,0
3,73.169981,0.924005301,0
4,73.152046,0.131943797,0
5,73.13431,-0.280763081,0
6,73.139931,-0.531252185,0
7,73.156868,-1.015818922,0
8,73.175813,-1.215423132,0
9,73.184927,-1.214496415,0
10,73.168622,-1.326420082,0
11,73.143261,-1.9733097,0
12,73.119984,-2.313872247,0
13,73.123027,-2.430262223,0
14,73.159082,-1.916180898,0
15,73.189566,-1.593250435,0
16,73.194428,-1.584067862,0
17,73.208343,-1.519660413,0
18,73.219565,-1.458494297,0
19,73.208147,-1.889441723,0
20,73.193269,-1.529208181,0
21,73.180095,-1.109913819,0
22,73.178158,-1.207814339,0
23,73.18901,-0.890418593,0
24,73.186648,-0.646999821,0
25,73.176624,-0.654191125,0
26,73.173121,-1.077903346,0
27,73.17426,-1.442354674,0
28,73.180631,-1.51848507,0
29,73.17429,-1.460757682,0
30,73.167679,-1.337801983,0
31,73.169567,-1.289089624,0
32,73.17669,-1.114601336,0
33,73.177424,-0.57854599,0
34,73.172925,-0.345021104,0
35,73.150591,-0.417652224,0
36,73.12387,-1.084782927,0
37,73.124964,-1.429584828,0
38,73.134356,-1.492497258,0
39,73.143216,-1.520093561,0
40,73.156593,-1.477355587,0
41,73.159675,-1.422599943,0
42,73.15861,-1.242724813,0
43,73.141556,-1.147790059,0
44,73.113529,-1.142027034,0
45,73.137621,-1.247299068,0
46,73.171711,-1.392519056,0
47,73.176191,-1.474391502,0
48,73.166827,-1.506992268,0
49,73.144456,-0.944550756,0
50,73.13656,-0.575176322,0
51,73.12376,-0.4864571,0
52,73.118954,-0.254649626,0
53,73.143401,-0.149399606,0
54,73.158543,-0.205357882,0
55,73.160284,-0.371119406,0
56,73.166715,-0.457646767,0
57,73.172501,-0.526541213,0
58,73.163174,-0.578859736,0
59,73.143918,-0.588309786,0
60,73.131316,-1.113493629,0
61,73.143622,-1.281422484,0
62,73.161088,-1.026380867,0
63,73.160847,-0.935899314,0
64,73.156799,-1.045846144,0
65,73.150648,-1.32390676,0
66,73.156364,-1.436732118,0
67,73.163877,-1.033677807,0
68,73.154337,-0.602548371,0
69,73.135415,-0.504679916,0
70,73.117852,-0.418816892,0
71,73.105628,-0.221349675,0
72,73.10632,-0.133760269,0
73,73.124992,-0.074463009,0
74,73.138317,-0.274893899,0
75,73.128782,-0.412275801,0
76,73.119502,-0.445744356,0
77,73.114869,-0.497665442,0
78,73.116827,-0.500303514,0
79,73.115128,-0.499298975,0
80,73.111118,-0.384248379,0
81,73.114823,-0.159975495,0
82,73.11594,-0.074180719,0
83,73.098043,-0.078018792,0
84,73.085514,-0.208383805,0
85,73.094595,-0.29820169,0
86,73.110379,-0.387679159,0
87,73.100961,-0.485937787,0
88,73.081948,-0.509880131,0
89,73.089437,-0.558407667,0
90,73.099347,-0.570980007,0
91,73.092912,-0.565235058,0
92,73.102143,-0.479798402,0
93,73.108049,-0.341421889,0
94,73.089032,-0.223535432,0
95,73.060291,-0.181187392,0
96,73.035656,-0.319280655,0
97,73.049207,0.026696488,0
98,73.074317,0.325111136,0
99,73.076419,0.230120805,0
100,73.060408,-0.491160682,0
101,73.039153,-0.89272165,0
102,73.020266,-0.253607015,0
103,73.025921,6.273162492,0
104,73.024206,9.609974932,0
105,73.014255,17.97458223,0
106,73.014503,35.26619131,0
107,73.007713,43.86038891,0
108,72.972702,59.22067356,0
109,72.919743,89.14088753,0
110,72.863911,101.7989889,0
111,72.814964,126.2207943,0
112,72.752792,161.2723045,0
113,72.647029,199.9860796,0
114,72.561145,210.1594074,0
115,72.482784,234.4002352,0
116,72.382617,274.2312154,0
117,72.268312,287.4142642,0
118,72.139585,305.0276642,0
119,72.006826,328.034973,0
120,71.848515,325.769857,0
121,71.71027,328.0388625,0
122,71.598774,342.2353167,0
123,71.471913,350.1889374,0
124,71.330629,347.2617796,0
125,71.183955,348.8658495,0
126,71.029519,352.0074115,0
127,70.87581,360.9284519,0
128,70.741984,371.2911283,0
129,70.600527,378.9127136,0
130,70.448881,382.6359686,0
131,70.292623,378.9627422,0
132,70.146494,377.5758984,0
133,69.99608,377.5749315,0
134,69.840846,379.6157364,0
135,69.694674,382.0684682,0
136,69.555958,384.3256501,0
137,69.392961,384.6245748,0
138,69.24233,387.3564281,0
139,69.091657,382.3834076,0
140,68.930449,388.3301736,0
141,68.771159,398.9495896,0
142,68.598264,397.9740426,0
143,68.434942,403.2142839,0
144,68.27375,399.8768445,0
145,68.107999,396.0196523,0
146,67.954437,396.604925,0
147,67.804193,411.2027532,0
148,67.652563,420.0180346,0
149,67.481534,418.0948729,0
150,67.322396,414.944938,0
151,67.153749,415.6752999,0
152,66.975444,410.4585698,0
153,66.827742,422.2456615,0
154,66.673783,434.0710552,0
155,66.494727,410.0661814,0
156,66.318279,413.2103292,0
157,66.144429,430.0629245,0
158,65.982938,423.0823399,0
159,65.806066,424.6104957,0
160,65.614428,430.7259115,0
161,65.438832,432.2356844,0
162,65.258502,428.8757767,0
163,65.080923,432.3699928,0
164,64.919242,437.1336756,0
165,64.7464,440.8744148,0
166,64.559426,445.3253431,0
167,64.397281,447.4885312,0
168,64.223835,444.9514458,0
169,64.028378,446.6209625,0
170,63.856034,448.5269306,0
171,63.701962,438.5496908,0
172,63.541722,433.5841139,0
173,63.373609,432.5797368,0
174,63.199419,424.1772776,0
175,63.018715,427.158357,0
176,62.848456,420.3941615,0
177,62.668642,412.0351394,0
178,62.47608,423.8464854,0
179,62.307781,452.3150167,0
180,62.134303,469.2975643,0
181,61.943759,458.8041302,0
182,61.766117,438.9666527,0
183,61.573242,428.4887337,0
184,61.366685,437.8612203,0
185,61.182125,458.1425443,0
186,61.020539,469.2841389,0
187,60.842096,457.81902,0
188,60.664021,452.364922,0
189,60.486196,461.3201444,0
190,60.285282,466.9536597,0
191,60.091185,461.4814419,0
192,59.902749,458.4995459,0
193,59.707434,467.0613474,0
194,59.4937,481.3189358,0
195,59.312491,476.7332928,0
196,59.14805,465.4178699,0
197,58.953875,468.3303081,0
198,58.785879,467.3313862,0
199,58.604436,463.5844298,0
200,58.399073,455.5313965,0
201,58.198389,461.7845433,0
202,57.990042,472.1336982,0
203,57.792059,482.3413602,0
204,57.577803,470.1431009,0
205,57.390227,460.8796535,0
206,57.245522,466.7005156,0
207,57.071162,478.6011568,0
208,56.870325,488.1424062,0
209,56.667311,481.5164502,0
210,56.475003,472.9962695,0
211,56.299878,474.9706062,0
212,56.083402,477.6731488,0
213,55.861434,473.6584262,0
214,55.692167,475.1594197,0
215,55.523516,478.8414818,0
216,55.323676,485.905584,0
217,55.122209,484.5844305,0
218,54.921477,480.62662,0
219,54.716768,483.6920549,0
220,54.511331,488.7063514,0
221,54.306856,491.2559585,0
222,54.110137,492.5870859,0
223,53.918022,499.7040801,0
224,53.732961,504.697053,0
225,53.541375,489.3956679,0
226,53.339811,485.9859658,0
227,53.1343,505.4111,0
228,52.917556,516.9236013,0
229,52.693438,491.8248388,0
230,52.501767,481.9934808,0
231,52.323748,491.3920495,0
232,52.145285,496.5378548,0
233,51.94821,495.8165567,0
234,51.724794,490.1451347,0
235,51.519894,495.1272763,0
236,51.336292,501.7711636,0
237,51.15718,503.2053822,0
238,50.964109,497.5202338,0
239,50.783676,485.7217504,0
240,50.594377,482.0808068,0
241,50.378325,473.3268409,0
242,50.15565,469.2709401,0
243,49.936768,487.6856549,0
244,49.714531,499.4402836,0
245,49.504781,497.4452106,0
246,49.325149,500.073267,0
247,49.15322,504.9929783,0
248,48.934748,504.2779897,0
249,48.713609,490.1292035,0
250,48.514538,481.1932295,0
251,48.302953,498.1452609,0
252,48.081825,509.2730955,0
253,47.862864,510.1596687,0
254,47.672383,511.2349044,0
255,47.49103,518.1358684,0
256,47.291983,524.7286497,0
257,47.082982,530.7761155,0
258,46.873483,524.0511801,0
259,46.657068,515.4681371,0
260,46.44113,519.7493638,0
261,46.221624,527.7112801,0
262,46.011175,520.1237162,0
263,45.812542,513.0056626,0
264,45.607761,523.8511291,0
265,45.38531,524.7343118,0
266,45.163793,523.2139381,0
267,44.959,536.2644187,0
