Time,Mass
[s],[g]
0,69.1
1,69.247605
2,69.105393
3,69.081979
4,69.128431
5,69.136034
6,69.187763
7,69.043544
8,69.173376
9,69.294047
10,69.200204
11,69.231341
12,69.196087
13,69.053772
14,69.174986
15,69.151174
16,69.123418
17,69.19825
18,69.191937
19,68.933534
20,69.11565
21,69.238832
22,69.045339
23,69.131563
24,69.218215
25,69.172296
26,69.158533
27,68.992157
28,69.063573
29,69.142553
30,68.955472
31,69.126406
32,69.08655
33,69.060704
34,69.166608
35,69.017786
36,69.131982
37,69.139928
38,68.989454
39,69.11693
40,69.149641
41,69.164804
42,69.000823
43,69.046199
44,69.055864
45,68.951293
46,69.075438
47,68.963485
48,68.965368
49,69.067547
50,69.018361
51,69.167994
52,69.007814
53,69.010662
54,69.020982
55,69.005135
56,69.02683
57,68.965562
58,69.070648
59,68.960812
60,68.876372
61,69.07702
62,68.869669
63,69.031997
64,69.135048
65,68.767056
66,68.914898
67,68.965363
68,68.775649
69,68.955447
70,68.921733
71,68.808949
72,68.863748
73,68.899295
74,69.031473
75,68.96127
76,68.90134
77,68.99439
78,68.990359
79,68.979028
80,68.866343
81,68.853151
82,69.074094
83,68.819416
84,68.832588
85,69.06161
86,68.924185
87,68.953465
88,69.047529
89,68.938276
90,68.873682
91,68.783746
92,68.819444
93,68.830583
94,68.989302
95,69.050841
96,68.868309
97,68.80974
98,68.925432
99,68.797628
100,68.87044
101,69.016307
102,68.78223
103,68.852786
104,68.859028
105,68.739372
106,68.918436
107,69.054259
108,68.880606
109,68.883277
110,68.812174
111,68.878859
112,68.76479
113,68.924742
114,68.807946
115,68.714479
116,68.847395
117,68.83316
118,68.967467
119,68.798296
120,68.744363
121,68.800114
122,68.760194
123,68.676092
124,68.663341
125,68.735421
126,68.594151
127,68.649708
128,68.719229
129,68.643712
130,68.681672
131,68.616374
132,68.592334
133,68.677982
134,68.54556
135,68.656208
136,68.532437
137,68.608778
138,68.440606
139,68.491879
140,68.54304
141,68.500905
142,68.536402
143,68.365233
144,68.51131
145,68.341693
146,68.452009
147,68.435817
148,68.282096
149,68.462737
150,68.406297
151,68.198178
152,68.155045
153,68.274439
154,68.243444
155,68.186687
156,68.221522
157,68.325313
158,68.065324
159,68.103026
160,68.120512
161,68.129923
162,68.23672
163,67.996536
164,68.067934
165,68.23277
166,68.065752
167,67.951943
168,67.943133
169,67.870393
170,67.780357
171,67.917814
172,67.881441
173,67.724457
174,67.810551
175,67.818102
176,67.665488
177,67.650191
178,67.72606
179,67.626099
180,67.603057
181,67.597875
182,67.445275
183,67.60133
184,67.440719
185,67.253312
186,67.410941
187,67.362796
188,67.324763
189,67.239685
190,67.302587
191,67.293136
192,67.205579
193,67.228096
194,67.133667
195,67.102307
196,67.155691
197,67.056575
198,66.864802
199,67.065231
200,66.87227
201,66.869171
202,66.760475
203,66.839864
204,66.774582
205,66.71773
206,66.752725
207,66.570619
208,66.643853
209,66.692338
210,66.438628
211,66.544918
212,66.474938
213,66.252723
214,66.519645
215,66.445912
216,66.277779
217,66.298971
218,66.121704
219,66.006722
220,65.978324
221,66.124067
222,65.987684
223,65.928036
224,65.976243
225,65.882049
226,65.841871
227,65.789336
228,65.760258
229,65.625218
230,65.658956
231,65.547132
232,65.684873
233,65.410927
234,65.365069
235,65.322234
236,65.304855
237,65.226716
238,65.262126
239,65.137233
240,65.102729
241,64.952986
242,65.042999
243,65.035163
244,64.909061
245,64.847465
246,64.713651
247,64.820034
248,64.663598
249,64.732563
250,64.449591
251,64.524901
252,64.31438
253,64.41989
254,64.383258
255,64.475063
256,64.313442
257,64.226767
258,64.146723
259,64.026564
260,64.111821
261,63.812553
262,63.945638
263,63.861488
264,63.825566
265,63.600183
266,63.671777
267,63.708831
268,63.520361
269,63.430117
270,63.56524
271,63.424607
272,63.34891
273,63.292784
274,63.266381
275,63.254835
276,63.118153
277,63.00526
278,62.933228
279,62.881455
280,62.807879
281,62.942683
282,62.743527
283,62.633687
284,62.756712
285,62.44356
286,62.465864
287,62.516245
288,62.311479
289,62.369871
290,62.251963
291,62.185537
292,62.181709
293,62.055044
294,62.073111
295,61.956465
296,61.777456
297,61.746228
298,61.731266
299,61.614901
300,61.593061
301,61.534249
302,61.358432
303,61.484866
304,61.446122
305,61.170296
306,61.392243
307,61.132874
308,61.035785
309,61.084256
310,60.908724
311,60.878665
312,60.772254
313,60.85702
314,60.779023
315,60.441003
316,60.728645
317,60.460614
318,60.520665
319,60.511361
320,60.469806
321,60.292658
322,60.265962
323,60.199093
324,60.058011
325,60.045684
326,59.904316
327,59.903945
328,59.87987
329,59.697228
330,59.613888
331,59.669568
332,59.554836
333,59.41532
334,59.317991
335,59.272718
336,59.218885
337,59.189706
338,59.161762
339,58.968679
340,58.984525
341,58.922089
342,58.776146
343,58.813722
344,58.722081
345,58.572948
346,58.440435
