Time,Mass,HRR,Back Surface Temperature
[s],[g],[kW/m2],[K]
0,27.74,1.218759599,295.779
1,28.135297,-0.323944679,295.789
2,29.093306,-1.250202895,295.789
3,29.47264,-1.224046142,295.776
4,29.398875,-1.209199177,295.769
5,29.30403,-1.22672324,295.84
6,29.203018,0.38869916,295.94
7,29.190728,1.572386926,295.973
8,29.173778,1.703340542,296.03
9,29.13442,2.212344711,296.077
10,29.09569,2.794678668,296.063
11,29.048231,2.884823183,296.051
12,29.017101,2.657959262,296.17
13,29.011255,2.292161772,296.291
14,28.933972,0.614987678,296.32
15,28.741606,-0.260871966,296.343
16,28.600313,-0.358648538,296.38
17,28.590772,-1.373392464,296.393
18,28.607927,-1.954089367,296.453
19,28.606355,-2.68834988,296.539
20,28.581186,-3.156462593,296.568
21,28.554669,-3.132690994,296.61
22,28.548956,-3.189345276,296.661
23,28.562527,-3.205359432,296.675
24,28.580374,-3.167214108,296.753
25,28.574348,-3.102133379,296.897
26,28.556154,-4.25731283,297.035
27,28.544784,-4.941600747,297.088
28,28.546251,-4.868062717,297.12
29,28.519031,-4.727737224,297.328
30,28.503258,-4.533520678,297.436
31,28.512128,-4.356003306,297.584
32,28.5239,-4.38252299,297.841
33,28.515883,-4.538293872,297.941
34,28.512825,-4.652072333,298.108
35,28.503024,-3.44810358,298.428
36,28.472946,-2.410288783,298.573
37,28.466413,-2.256393262,298.804
38,28.48095,-2.525014474,299.194
39,28.484102,-2.851357737,299.339
40,28.474178,-2.973621254,299.577
41,28.463278,-3.058335195,300.037
42,28.429766,-3.185506574,300.22
43,28.428243,-3.223720136,300.553
44,28.47959,-3.232991022,301.108
45,28.563546,-3.075589754,301.667
46,28.591379,-2.980979571,301.876
47,28.622355,-2.878102398,302.262
48,28.698605,-2.848501535,302.973
49,28.68014,-2.640273706,303.251
50,28.504154,-2.432038755,303.714
51,28.37887,-2.259271169,304.368
52,28.361827,-2.317754114,304.59
53,28.366829,-2.378899326,305.084
54,28.373066,-2.664361405,305.883
55,28.373321,-2.960577258,306.2
56,28.365517,-3.018388561,306.692
57,28.342604,-3.122519407,307.535
58,28.352757,-3.334524001,307.85
59,28.3698,-3.409461467,308.423
60,28.360468,-3.448516641,309.412
61,28.334731,-3.471648479,310.311
62,28.334942,-3.421989924,310.607
63,28.349762,-3.368734248,311.182
64,28.342213,-3.203867626,312.091
65,28.326156,-3.038157996,312.486
66,28.327408,-3.049373955,313.1
67,28.333693,-3.046852958,314.117
68,28.343844,-1.47968593,314.495
69,28.338933,-0.437371718,315.143
70,28.344255,-0.201257888,316.157
71,28.394281,0.066414623,316.536
72,28.524047,0.129520747,317.166
73,28.659934,-0.041666705,318.201
74,28.742676,-1.976703529,318.657
75,28.744725,-3.013369905,319.283
76,28.708106,-2.9803378,320.505
77,28.687503,-3.010846338,321.611
78,28.679264,-3.068764915,321.981
79,28.681436,-3.103984203,322.731
80,28.679511,-3.208524229,323.884
81,28.682146,-3.212731483,324.286
82,28.674182,-3.174799296,325.002
83,28.667692,-1.739065315,326.194
84,28.648711,-0.840346484,326.675
85,28.644325,-0.817748624,327.326
86,28.649284,-0.762480871,328.564
87,28.657491,-1.906422146,329.039
88,28.659836,-2.698863429,329.73
89,28.647917,-2.604464053,330.989
90,28.651537,-1.6874816,331.493
91,28.635772,-1.102969155,332.266
92,28.63713,-0.419719335,333.451
93,28.651463,0.22400394,334.672
94,28.650869,0.363580618,335.21
95,28.657063,-1.140720054,335.984
96,28.657093,-2.00043309,337.266
97,28.645419,-2.084891347,337.734
98,28.637854,-2.164430315,338.558
99,28.627748,-2.232518656,339.813
100,28.613366,-2.16597671,340.256
101,28.581367,-2.114397845,341.151
102,28.581629,-2.097144386,342.415
103,28.605247,-2.000092522,342.929
104,28.614429,-1.973641068,343.703
105,28.579176,-2.269794679,345.073
106,28.556621,-3.831250953,345.597
107,28.581268,-4.811218658,346.444
108,28.604107,-5.045700478,347.762
109,28.594619,1.66323213,349.092
110,28.583491,6.007067543,349.599
111,28.569301,21.35801041,350.084
112,28.509722,50.18786118,351.337
113,28.41124,85.97288219,352.037
114,28.417403,98.50242208,352.954
115,28.502064,115.5861167,354.513
116,28.514236,148.2120003,355.092
117,28.468198,161.8924653,355.958
118,28.430355,182.8884202,357.304
119,28.407284,216.2365259,357.799
120,28.377485,222.0448658,358.672
121,28.332439,238.3619748,360.014
122,28.280692,268.1773456,360.591
123,28.245266,276.0115403,361.379
124,28.200435,282.8089484,362.8
125,28.158075,295.4633735,364.232
126,28.103067,304.5194111,364.773
127,28.041507,316.9853667,365.653
128,27.995878,322.755713,367.079
129,27.951376,323.7339577,367.601
130,27.88161,323.8165381,368.456
131,27.830875,317.9670316,369.918
132,27.795302,315.5758171,370.447
133,27.749178,317.12228,371.248
134,27.687747,323.7450914,372.777
135,27.622249,328.8113769,373.383
136,27.546916,329.0107106,374.179
137,27.477838,328.320872,375.624
138,27.432055,329.5231264,376.149
139,27.388455,328.104584,377.006
140,27.33531,327.8311188,378.25
141,27.281879,327.9111707,379.4
142,27.233112,325.3399917,379.883
143,27.16635,328.4975978,380.571
144,27.107984,329.456505,381.727
145,27.053774,330.3087905,382.142
146,26.993867,334.824039,382.752
147,26.93694,340.0344163,383.635
148,26.872517,346.0999902,383.994
149,26.79129,341.0863171,384.46
150,26.693108,341.8306985,385.165
151,26.610676,344.8776106,385.458
152,26.54771,346.6074118,385.797
153,26.473371,350.204338,386.316
154,26.392448,354.7474556,386.518
155,26.319035,354.4511334,386.771
156,26.266192,356.7164139,387.185
157,26.211433,360.7980644,387.602
158,26.134512,356.7451562,387.765
159,26.04517,352.0301026,387.988
160,25.988219,358.4361701,388.363
161,25.942629,363.7868561,388.525
162,25.885774,363.9172623,388.547
163,25.79666,355.8228819,389.293
164,25.774644,360.081202,389.546
165,25.715626,366.3173492,389.764
166,25.648687,363.3785528,390.207
167,25.582527,358.5589985,390.434
168,25.514368,363.9820814,390.776
169,25.450962,363.4593859,391.409
170,25.386002,360.9002734,391.692
171,25.3172,364.8161647,392.062
172,25.270466,371.9359919,392.722
173,25.23097,377.3154075,393.432
174,25.171469,368.9561402,393.762
175,25.095568,371.488789,394.289
176,25.047115,383.8109142,395.057
177,25.00406,386.2517006,395.35
178,24.944838,384.3101379,395.408
179,24.825583,376.1119619,396.649
180,24.75616,379.2530852,397.019
181,24.702267,376.7497144,397.522
182,24.656754,370.855373,398.441
183,24.595806,368.4913419,398.837
184,24.526145,372.2558432,399.402
185,24.457404,375.7359554,400.339
186,24.405437,378.1901952,400.738
187,24.351828,381.8183623,401.284
188,24.288512,382.4605467,402.202
189,24.216981,381.1262608,403.141
190,24.151171,374.6954738,403.563
191,24.099112,371.0440586,404.192
192,24.041447,372.558351,405.153
193,23.971192,372.9993216,405.518
194,23.890529,380.2785734,406.068
195,23.816995,387.6748434,407.085
196,23.764547,393.0022853,407.517
197,23.715279,390.3327123,408.09
198,23.662112,388.1266496,409.097
199,23.577041,389.8431054,409.531
200,23.498715,388.2434559,410.068
201,23.456435,385.5472889,411.081
202,23.39984,384.7036803,411.53
203,23.317741,386.9807009,412.125
204,23.231508,390.4916863,413.17
205,23.179536,391.4926193,413.574
206,23.13171,386.3918541,414.142
207,23.072877,381.1413123,415.16
208,23.006073,381.0240643,416.287
209,22.920473,392.7082763,416.793
210,22.840769,401.7535441,417.317
211,22.772801,401.9818601,418.301
212,22.706276,400.8151335,418.742
213,22.622154,400.1236798,419.324
214,22.552162,393.6826909,420.359
215,22.505934,388.3803803,420.82
216,22.455703,389.8933253,421.403
217,22.393054,386.2851293,422.429
218,22.313665,383.6961906,422.864
219,22.235811,394.8500399,423.511
220,22.179663,398.452104,424.537
221,22.127248,394.5268866,424.951
222,22.055789,401.3327266,425.552
223,21.997914,402.4913423,426.547
224,21.954943,399.9440481,427.557
225,21.896271,404.6217182,427.975
226,21.803493,400.9831483,428.574
227,21.717739,396.586592,429.588
228,21.662958,397.4276936,430.011
229,21.604973,403.474221,430.585
230,21.538437,403.3043535,431.625
231,21.484142,399.7199394,432.082
232,21.404045,399.2787961,432.662
233,21.316749,405.1472786,433.674
234,21.23795,409.9050189,434.11
235,21.161622,402.7532279,434.709
236,21.102048,399.4289518,435.159
237,21.037829,411.239617,435.901
238,20.94776,411.3002025,437.002
239,20.881979,407.3660485,438.037
240,20.830117,414.3877593,438.481
241,20.773207,407.6180224,439.055
242,20.709984,400.2081474,440.083
243,20.630971,401.3105679,440.495
244,20.541948,412.7440958,441.042
245,20.479077,415.2625179,442.056
246,20.43833,410.7962823,442.512
247,20.379427,407.2642205,443.104
248,20.308322,407.7286378,444.054
249,20.23073,408.2350976,444.439
250,20.161362,408.7005133,445.022
251,20.116291,413.0472414,446.025
252,20.057511,415.3624359,446.461
253,19.981178,416.2833024,446.986
254,19.911546,413.4579967,447.949
255,19.845838,411.2652979,448.947
256,19.768128,414.843971,449.373
257,19.664545,411.36705,449.98
258,19.584819,407.1054257,450.965
259,19.519641,409.2076752,451.396
260,19.454733,421.9242824,451.892
261,19.3868,428.9997963,452.909
262,19.320135,426.4734274,453.395
263,19.262088,417.2705389,453.98
264,19.194857,415.9332788,455.011
265,19.102578,418.5737679,455.45
266,19.020303,415.3612721,455.977
267,18.96024,420.0102132,456.951
268,18.897445,429.9727369,457.401
269,18.819826,430.1335302,457.947
270,18.747034,427.6810076,458.914
271,18.688641,431.0741524,459.904
272,18.628111,432.807587,460.301
273,18.55167,442.1243977,460.838
274,18.46739,442.40254,461.821
275,18.389794,437.2459508,462.26
276,18.328741,437.2673582,462.834
277,18.266002,445.0245534,463.767
278,18.181148,451.9445366,464.17
279,18.072452,447.2838889,464.67
280,18.008819,446.087893,465.653
281,17.963092,448.1511634,466.125
282,17.888402,450.2798754,466.666
283,17.812532,445.2897519,467.621
284,17.724011,439.1127164,468.04
285,17.625588,432.4595596,468.569
286,17.55782,429.6571883,469.52
287,17.510337,434.0095527,470.441
288,17.456387,439.0120572,470.852
289,17.374475,451.7632236,471.439
290,17.268081,457.7397684,472.475
291,17.182222,457.3692318,472.929
292,17.12591,461.0903757,473.482
293,17.062028,461.1568766,474.462
294,16.970345,460.3787033,474.893
295,16.879306,460.287441,475.439
296,16.819115,466.5075207,476.387
297,16.751438,471.3453282,476.791
298,16.66074,461.8349816,477.311
299,16.587351,462.5175854,478.256
300,16.525206,472.6591026,478.691
301,16.454937,469.0460251,479.179
302,16.372837,470.7745588,480.107
303,16.291028,477.892207,481.073
304,16.214743,482.0255068,481.518
305,16.137194,482.4442192,481.983
306,16.04559,477.924598,482.86
307,15.957702,475.3524896,483.274
308,15.870269,478.6951828,483.814
309,15.783995,484.0036025,484.784
310,15.692727,488.0322506,485.215
311,15.617431,486.9175326,485.717
312,15.560821,485.9466808,486.624
313,15.489313,487.967847,487.03
314,15.388451,489.7781733,487.557
315,15.309309,487.5024039,488.494
316,15.245578,486.0048326,488.891
317,15.167905,492.3987508,489.407
318,15.072299,496.6949722,490.335
319,14.973933,496.3296907,490.76
320,14.896717,494.7626986,491.241
321,14.830156,496.6427204,492.15
322,14.757941,498.2498531,493.089
323,14.67903,492.6323766,493.507
324,14.584262,492.3853591,494.063
325,14.510047,491.2922056,495.003
326,14.439337,487.5035564,495.422
327,14.358257,482.3229051,495.95
328,14.265986,482.6412229,496.947
329,14.190335,490.2397478,497.395
330,14.123756,488.3926171,497.99
331,14.035483,490.9335519,499.009
332,13.956044,495.7081951,499.389
333,13.873012,507.5849914,499.989
334,13.767639,505.8073076,501.132
335,13.697072,498.3996656,501.578
336,13.64387,503.4829839,502.163
337,13.555052,511.3647344,503.203
338,13.455595,513.9710749,504.272
339,13.346987,506.577542,504.756
340,13.250699,502.121831,505.359
341,13.188935,498.9984351,506.528
342,13.133744,498.6650038,506.994
343,13.052786,507.4352266,507.655
344,12.964264,508.7137579,508.741
345,12.893176,507.328759,509.182
346,12.83353,519.6174675,509.778
347,12.760182,513.8326329,510.786
348,12.675595,500.9109012,511.193
349,12.585606,498.3673462,511.87
350,12.501488,502.5700365,513.013
351,12.425919,511.1953848,513.503
352,12.339467,521.0089861,514.166
353,12.211842,522.0596269,515.297
354,12.14387,519.1585475,516.461
355,12.095554,519.0160381,516.983
356,11.997219,519.1963846,517.659
357,11.890927,517.0095236,518.843
358,11.801213,516.611787,519.356
359,11.736932,516.4137848,520.065
360,11.681076,523.1001758,521.29
361,11.602484,530.8664115,521.782
362,11.514165,522.9022417,522.496
363,11.42249,522.2610642,523.717
364,11.339826,526.5029265,524.205
365,11.24967,522.4843153,524.847
366,11.140322,529.498034,526.032
367,11.052367,538.8274605,526.58
368,10.979882,540.8022174,527.223
369,10.893424,531.9559712,528.467
370,10.801683,526.7651322,529.73
371,10.718291,527.2632241,530.192
372,10.640742,529.6345993,530.927
373,10.558057,541.9232273,532.232
374,10.456657,551.5618027,532.811
375,10.350507,549.5989736,533.528
376,10.269601,540.0466844,534.784
377,10.204918,535.8030457,535.341
378,10.118307,543.3280399,535.968
379,10.024837,550.8638643,537.177
380,9.928996,552.8107826,537.737
381,9.841914,544.5347616,538.501
382,9.772226,550.5386692,539.846
383,9.687791,558.8385028,540.438
384,9.58538,557.0661208,541.222
385,9.465122,552.5260416,542.708
386,9.379429,553.2049176,544.096
387,9.302713,568.8416813,544.65
388,9.194606,580.4137087,545.667
389,9.073844,573.1299241,547.638
390,8.964548,565.3582027,548.563
391,8.873706,559.5239498,551.001
392,8.783629,566.4885903,556.668
393,8.694399,576.5077235,559.587
394,8.591608,572.4147426,562.796
395,8.495874,567.3058529,568.213
396,8.406447,569.0067194,570.453
397,8.318816,574.013828,572.884
398,8.229973,571.8550704,577.029
399,8.13843,568.3013872,578.89
400,8.056941,575.3660531,580.772
401,7.965101,580.4459955,583.939
402,7.866698,582.050863,586.712
403,7.788256,577.01382,587.905
404,7.707247,575.8367092,589.221
405,7.607607,581.3913209,591.467
406,7.503175,582.8023012,592.474
407,7.409009,590.3182821,593.601
408,7.323638,592.6889445,595.513
409,7.23445,593.2115531,596.347
410,7.119984,597.1474818,597.263
411,7.006576,600.5398559,598.845
412,6.936218,603.5113306,599.524
413,6.85779,599.4789967,600.428
414,6.740359,592.4342577,601.997
415,6.630742,589.0459923,602.694
416,6.546931,589.7090829,603.529
417,6.457897,584.6747054,605.038
418,6.351232,579.0055649,606.449
419,6.242419,570.0500665,607.064
420,6.149877,583.5057749,607.846
421,6.062402,594.1567633,609.318
422,5.965044,589.4124688,609.936
423,5.860878,585.1222204,610.65
424,5.76554,595.2061132,611.942
425,5.686766,609.5701635,612.558
426,5.590808,603.1374442,613.362
427,5.468135,596.3486835,614.837
428,5.374384,599.8782122,615.973
429,5.306792,603.6930397,616.826
430,5.209493,601.0399215,617.538
431,5.120317,598.7705897,618.147
432,5.002912,604.0782265,618.988
433,4.905349,596.0540243,620.45
434,4.826108,584.1641201,621.893
435,4.732722,591.8369583,622.578
436,4.632814,605.9914876,623.399
437,4.53872,613.1685582,624.922
438,4.451381,603.503922,625.636
439,4.364487,590.9691795,626.478
440,4.268799,598.7284435,628.061
441,4.16012,605.8561932,628.791
442,4.071621,590.846785,629.68
443,3.991099,592.0192132,631.306
