Time,Mass
[s],[g]
0,68.6
1,68.62235
2,68.50784
3,68.493686
4,68.439797
5,68.477221
6,68.343191
7,68.371167
8,68.481289
9,68.398646
10,68.246801
11,68.221319
12,68.192722
13,68.410981
14,68.435086
15,68.309509
16,68.187435
17,68.164171
18,68.229764
19,68.330897
20,68.283316
21,68.248244
22,68.155505
23,68.144928
24,68.226356
25,68.194865
26,68.077406
27,67.976716
28,68.12969
29,68.24834
30,68.058763
31,67.928968
32,68.004792
33,67.932712
34,67.974719
35,67.749405
36,67.703486
37,67.819181
38,67.57268
39,67.475263
40,67.495702
41,67.368535
42,67.180237
43,67.323742
44,67.142705
45,66.899985
46,66.81801
47,66.872694
48,66.681373
49,66.643399
50,66.391494
51,66.322552
52,66.295657
53,66.034082
54,66.040026
55,65.80197
56,65.800014
57,65.646323
58,65.472985
59,65.540115
60,65.290141
61,65.218993
62,65.058925
63,64.940406
64,64.664933
65,64.681626
66,64.3602
67,64.207061
68,64.251755
69,64.08382
70,63.851191
71,63.869075
72,63.896286
73,63.551099
74,63.424219
75,63.268048
76,63.174052
77,62.837589
78,62.804511
79,62.686802
80,62.482896
81,62.200251
82,62.281896
83,62.169868
84,62.042951
85,61.712428
86,61.701239
87,61.596011
88,61.389764
89,61.050588
90,61.027935
91,60.977766
92,60.562339
93,60.527754
94,60.494178
95,60.238135
96,59.977164
97,60.072858
98,59.761123
99,59.649697
100,59.471157
101,59.371336
102,59.057931
103,58.886529
104,58.775197
105,58.769636
106,58.448503
107,58.380107
108,58.174525
109,58.130004
110,57.767384
111,57.501357
112,57.553394
113,57.463466
114,57.090347
115,57.002955
116,56.965176
117,56.574292
118,56.48236
119,56.398518
120,56.147584
121,55.888597
122,55.838526
123,55.622369
124,55.440892
125,55.255134
126,55.276289
127,54.851626
128,54.601109
129,54.652804
130,54.476502
131,54.139225
132,54.135527
133,53.97406
134,53.568789
135,53.594638
136,53.378624
137,53.066818
138,52.849568
139,52.970655
140,52.665421
141,52.363984
142,52.283575
143,52.164336
144,51.784856
145,51.753296
146,51.56874
147,51.258349
148,51.12359
149,50.971301
150,50.668749
151,50.448884
152,50.403471
153,50.21697
154,50.040006
155,49.651314
156,49.64287
157,49.358722
158,49.069548
159,48.972767
160,48.797654
161,48.482938
162,48.453443
163,48.267291
164,47.860151
165,47.718963
166,47.584829
167,47.320942
168,47.192703
169,46.937706
170,46.646427
171,46.669286
172,46.169386
173,46.155276
174,45.827411
175,45.587758
176,45.484398
177,45.072159
178,45.08107
179,44.600161
180,44.564158
181,44.355308
182,44.084788
183,44.033409
184,43.724169
185,43.666061
186,43.191926
187,43.152531
188,42.762853
189,42.665086
190,42.439326
191,42.115777
192,42.108996
193,41.776164
194,41.429907
195,41.414517
196,41.093333
197,40.825321
198,40.727549
199,40.330558
200,40.146769
201,39.991917
202,39.855849
203,39.23326
204,39.267926
205,39.162394
206,38.780844
207,38.409235
208,38.401352
209,38.242281
210,37.784991
211,37.587091
212,37.39142
213,36.976111
214,36.973473
215,36.770578
216,36.229906
217,36.257542
218,35.795707
219,35.582602
220,35.458594
221,35.090538
222,34.952346
223,34.54294
224,34.490803
225,34.050185
226,34.073039
227,33.798257
228,33.488957
229,33.255992
230,32.926889
231,32.74556
232,32.382258
233,32.022096
234,31.850899
235,31.642406
236,31.374683
237,31.135189
238,30.900549
239,30.415858
240,30.350628
241,30.15108
242,29.698018
243,29.633532
244,29.238549
245,28.75822
246,28.8015
247,28.334479
248,28.043859
249,28.059339
250,27.666717
251,27.14287
252,26.942117
253,26.873599
254,26.401968
255,26.153546
256,26.051842
257,25.485789
258,25.291921
259,25.145923
260,24.645328
261,24.317608
262,24.245878
263,23.894728
264,23.586278
265,23.299629
266,22.926659
267,22.535116
268,22.429123
269,22.128596
270,21.701983
271,21.580179
272,21.076315
273,20.854248
274,20.5895
275,20.358448
276,19.991215
277,19.67301
278,19.390931
279,19.064984
280,18.700723
281,18.384486
282,18.015327
283,17.879764
284,17.382899
285,17.136598
286,16.819187
287,16.477995
288,16.174401
289,15.718581
290,15.557996
291,15.04758
292,14.834093
293,14.364971
294,14.155565
295,13.828064
296,13.432487
297,13.300953
298,12.71181
299,12.65976
300,12.146784
301,11.861335
302,11.522672
303,11.109444
304,10.871759
305,10.399114
306,10.194254
307,9.912812
308,9.428215
309,9.358742
310,9.136618
311,8.64465
312,8.426748
313,8.126738
314,7.957148
315,7.59566
316,7.249951
317,7.091013
318,6.878339
319,6.705036
320,6.487753
321,6.139559
322,6.080676
323,5.768856
324,5.612216
325,5.584507
326,5.373336
327,5.179144
328,4.961907
329,4.750785
330,4.613969
331,4.524754
332,4.306239
333,4.194728
334,4.124284
335,3.809085
336,3.59954
337,3.628191
338,3.572349
339,3.478669
340,3.138129
341,3.091502
342,2.803187
343,2.72839
344,2.798439
345,2.553266
346,2.462569
347,2.373142
348,2.152897
349,2.189047
350,1.989826
351,2.022622
352,1.728961
353,1.874335
354,1.597358
355,1.561005
356,1.518344
357,1.398398
358,1.386737
359,1.282855
360,1.348649
361,0.987219
362,1.172756
363,0.906185
364,0.852774
365,0.854395
366,0.736022
367,0.606156
368,0.694289
369,0.560687
370,0.508322
371,0.397343
372,0.454039
373,0.069589
374,0.430702
375,0.103639
376,0.021929
377,0.060318
378,0.013025
379,0.037363
380,-0.093769
381,0.029529
382,-0.160611
383,-0.347323
384,-0.11316
385,-0.419066
386,-0.365541
387,-0.263012
388,-0.458547
389,-0.391834
390,-0.46992
391,-0.499345
392,-0.528158
393,-0.437797
394,-0.582855
395,-0.790412
396,-0.601887
397,-0.613015
398,-0.782821
399,-0.711294
400,-0.694289
401,-0.68176
402,-0.710797
403,-1.042717
404,-0.882072
405,-0.818485
406,-0.86966
407,-0.862749
408,-1.027933
409,-0.950859
410,-0.884485
411,-0.865682
412,-1.028654
413,-1.018267
414,-1.151505
415,-1.108026
416,-1.00862
417,-1.102737
418,-0.962032
419,-1.150753
420,-1.250583
421,-1.160849
422,-1.259798
423,-1.029447
424,-0.966131
425,-1.31479
426,-1.344805
427,-1.211771
428,-1.198379
429,-1.153343
430,-1.26639
431,-1.274138
432,-1.133286
433,-1.279026
434,-1.278397
435,-1.226267
436,-1.242284
437,-1.271118
438,-1.343731
439,-1.30985
440,-1.276375
441,-1.265923
442,-1.322868
443,-1.299378
444,-1.306156
445,-1.333142
446,-1.354211
447,-1.358769
448,-1.311272
449,-1.281893
450,-1.29676
451,-1.371305
452,-1.25671
453,-1.233181
454,-1.360871
455,-1.397916
456,-1.224886
457,-1.345406
458,-1.372422
459,-1.220556
460,-1.441966
461,-1.393691
462,-1.301416
463,-1.262905
464,-1.251501
465,-1.409477
466,-1.288956
467,-1.26219
468,-1.397166
469,-1.317213
470,-1.314537
471,-1.205365
472,-1.31959
473,-1.430504
474,-1.223166
475,-1.358103
476,-1.411941
477,-1.174882
478,-1.296671
479,-1.325938
480,-1.270041
481,-1.265356
482,-1.304995
483,-1.329358
484,-1.289175
485,-1.342842
486,-1.287713
487,-1.308192
488,-1.359112
489,-1.344977
490,-1.275822
491,-1.198307
492,-1.276476
493,-1.291657
494,-1.264238
495,-1.422967
496,-1.211943
497,-1.302593
498,-1.327198
499,-1.246093
500,-1.338153
501,-1.210467
502,-1.226382
503,-1.321599
504,-1.220996
505,-1.324502
506,-1.205152
507,-1.418307
508,-1.252902
509,-1.247243
510,-1.308992
511,-1.249463
512,-1.213708
513,-1.384179
