Time,Temperature,Mass
[s],[K],[mg]
0,298.33,5.50E+00
2,298.33,5.51E+00
4,298.33839,5.48E+00
6,298.34741,5.45E+00
8,298.35802,5.44E+00
10,298.3747,5.43E+00
12,298.40133,5.43E+00
14,298.43741,5.43E+00
16,298.49239,5.43E+00
18,298.5673,5.43E+00
20,298.6668,5.43E+00
22,298.7912,5.43E+00
24,298.9429,5.43E+00
26,299.1249,5.43E+00
28,299.34043,5.43E+00
30,299.5878,5.43E+00
32,299.87375,5.44E+00
34,300.19541,5.44E+00
36,300.55643,5.44E+00
38,300.95107,5.44E+00
40,301.3823,5.44E+00
42,301.85225,5.43901985
44,302.36292,5.44870975
46,302.905,5.45435
48,303.48133,5.45332975
50,304.08731,5.43484975
52,304.72177,5.4353002
54,305.38497,5.43394005
56,306.0729,5.43811015
58,306.78866,5.4401402
60,307.52859,5.4416098
62,308.28897,5.44228025
64,309.07279,5.4416098
66,309.87134,5.43834005
68,310.68579,5.44082
70,311.51541,5.44351995
72,312.35856,5.44340995
74,313.21371,5.44430975
76,314.0768,5.44318995
78,314.94792,5.44262015
80,315.82395,5.44049
82,316.70538,5.44049
84,317.5912,5.44071
86,318.48011,5.43834005
88,319.36866,5.43923985
90,320.25913,5.43811015
92,321.14626,5.43767015
94,322.03364,5.43755025
96,322.91541,5.43528975
98,323.79698,5.43394005
100,324.67338,5.43304025
102,325.54562,5.4325898
104,326.41267,5.43293025
106,327.27761,5.43158
108,328.13679,5.43260025
110,328.98967,5.43260025
112,329.83479,5.43260025
114,330.67513,5.4312401
116,331.50869,5.4312401
118,332.33882,5.43191
120,333.1669,5.43191
122,333.9851,5.43191
124,334.79621,5.4309002
126,335.59934,5.43044975
128,336.40321,5.42909015
130,337.20105,5.43044975
132,337.99369,5.42910005
134,338.78066,5.4274099
136,339.56257,5.4263902
138,340.33939,5.42503995
140,341.11172,5.4260602
142,341.87893,5.42571975
144,342.63848,5.42503995
146,343.39261,5.42369025
148,344.14356,5.42369025
150,344.89328,5.4233498
152,345.64084,5.42369025
154,346.38226,5.4223301
156,347.12128,5.42097985
158,347.85672,5.41997005
160,348.58957,5.41963015
162,349.3192,5.41963015
164,350.0472,5.41963015
166,350.77205,5.41963015
168,351.49664,5.42030005
170,352.21807,5.42097985
172,352.9388,5.41963015
174,353.65869,5.42097985
176,354.37615,5.42097985
178,355.09566,5.42097985
180,355.81318,5.42097985
182,356.5308,5.42063995
184,357.24656,5.41962025
186,357.96043,5.41827
188,358.675,5.41827
190,359.38884,5.41827
192,360.1049,5.41827
194,360.8218,5.41827
196,361.54018,5.41827
198,362.25756,5.4186099
200,362.97203,5.4172602
202,363.68434,5.4172602
204,364.40031,5.4172602
206,365.11459,5.4172602
208,365.8261,5.4172602
210,366.5381,5.41691975
212,367.25262,5.41590995
214,367.96802,5.41590995
216,368.68071,5.41590995
218,369.3942,5.41590995
220,370.10995,5.4172602
222,370.82675,5.4172602
224,371.54015,5.4172602
226,372.25307,5.4172602
228,372.96203,5.4172602
230,373.67087,5.41794
232,374.37859,5.41794
234,375.09,5.41794
236,375.80005,5.4172602
238,376.50548,5.41658975
240,377.20821,5.41501015
242,377.9101,5.41501015
244,378.6112,5.41501015
246,379.31141,5.41702975
248,380.01054,5.41702975
250,380.71159,5.41702975
252,381.40675,5.41668985
254,382.10044,5.41668985
256,382.79505,5.41501015
258,383.48944,5.41568005
260,384.18193,5.41568005
262,384.87151,5.4170402
264,385.56097,5.4170402
266,386.24815,5.4170402
268,386.93179,5.41635985
270,387.6141,5.41635985
272,388.29738,5.41568005
