Time,Mass,HRR
[s],[g],[kW/m2]
0,71.95166667,-0.042805983
1.02,71.95166667,-0.043622493
2.02,71.94166667,0.046511357
3.03,71.94166667,0.137883435
4.05,71.95166667,0.234810526
5.06,71.96166667,0.169513463
6.05,71.96166667,0.095715789
7.07,71.96166667,0.158994903
8.07,71.96166667,0.186513573
9.09,71.96166667,0.26689928
10.07,71.96166667,0.11800554
11.07,71.96166667,0.182282881
12.08,71.96166667,0.066249418
13.08,71.96166667,0.161326648
14.08,71.95166667,0.095944044
15.1,71.95166667,0.246711801
16.09,71.94166667,0.116729418
17.09,71.94166667,0.098763546
18.11,71.94166667,0.212061053
19.12,71.95166667,0.260316343
20.14,71.95166667,0.328291634
21.16,71.95166667,0.325521108
22.15,71.96166667,0.28703723
23.16,71.95166667,0.31153385
24.17,71.95166667,0.335210526
25.17,71.95166667,0.282662382
26.19,71.95166667,0.30520277
27.21,71.94166667,0.306845097
28.2,71.94166667,0.298939169
29.22,71.93166667,0.296445319
30.23,71.93166667,0.399311468
31.24,71.94166667,0.331254404
32.24,71.94166667,0.445697839
33.23,71.94166667,0.382492188
34.24,71.94166667,0.338133518
35.23,71.94166667,0.65781795
36.23,71.94166667,0.658882438
37.24,71.93166667,0.69747313
38.24,71.92166667,0.55583169
39.23,71.92166667,0.687489086
40.23,71.92166667,0.638164765
41.23,71.92166667,0.847898837
42.23,71.93166667,0.708228255
43.24,71.94166667,0.463122881
44.23,71.94166667,0.558203989
45.23,71.94166667,0.375031579
46.24,71.94166667,0.397614737
47.24,71.93166667,0.374367091
48.24,71.93166667,0.255407645
49.25,71.92166667,0.305764432
50.26,71.91166667,0.50839036
51.26,71.91166667,0.480896177
52.26,71.91166667,0.441772299
53.27,71.91166667,0.412540942
54.23,71.91166667,0.264953795
55.24,71.91166667,0.467331302
56.23,71.91166667,0.398850305
57.23,71.90166667,0.49190349
58.23,71.89166667,0.39062349
59.24,71.89166667,0.384927756
60.25,71.88166667,0.381822382
61.25,71.87166667,0.368105596
62.26,71.84166667,0.554994127
63.27,71.81166667,0.301859391
64.24,71.77166667,0.394658283
65.23,71.73166667,0.403566981
66.23,71.68166667,0.352592798
67.24,71.61166667,0.51116133
68.24,71.53166667,0.410756565
69.24,71.45166667,0.539217175
70.24,71.36166667,0.390359446
71.24,71.26166667,0.675986704
72.23,71.15166667,0.567981717
73.23,71.04166667,0.620016842
74.25,70.93166667,0.491324211
75.27,70.81166667,0.662054515
76.28,70.70166667,0.75422615
77.28,70.59166667,0.820867368
78.28,70.48166667,0.541121108
79.28,70.37166667,0.461276676
80.29,70.25166667,0.430266814
81.3,70.13166667,-2.387630471
82.32,70.01166667,-2.474135845
83.33,69.89166667,0.710745596
84.33,69.78166667,0.586649529
