Time,Mass,Temperature
[s],[g],[K]
1,168.332879,299.7626574
2,168.164552,318.9458559
3,168.083476,334.380681
4,168.085021,346.595988
5,168.19621,356.5188576
6,168.474182,365.2903697
7,168.605447,373.252208
8,168.54522,380.4867356
9,168.508157,387.323868
10,168.496574,393.7349881
11,168.49503,399.7214084
12,168.517423,405.1730304
13,168.543675,409.8723924
14,168.590004,414.6674842
15,168.596181,419.2331718
16,168.603903,423.6463764
17,168.628612,428.2156465
18,168.650232,432.0377197
19,168.617029,435.6792128
20,168.59927,439.8661634
21,168.591548,444.1554991
22,168.590004,448.2226301
23,168.600814,451.9985618
24,168.567612,455.2008632
25,168.587688,458.4994206
26,168.552169,462.1984598
27,168.556802,465.4342977
28,168.557574,468.2921442
29,168.556802,471.3043438
30,168.522828,474.453913
31,168.486537,477.6955008
32,168.518195,480.6250709
33,168.518967,483.3686152
34,168.485765,485.6400639
35,168.489625,488.318042
36,168.466461,490.8361133
37,168.47341,493.4145314
38,168.450246,495.9965511
39,168.449474,498.66963
40,168.434803,500.9829361
41,168.409322,503.0704143
42,168.429398,505.3193507
43,168.421677,507.9240507
44,168.40855,510.3529335
45,168.407778,512.440067
46,168.386158,514.7717055
47,168.400056,516.9479002
48,168.368398,518.8720024
49,168.373031,520.8576648
50,168.379981,522.8276086
51,168.356816,524.9535056
52,168.373031,526.8761102
53,168.393107,528.6567694
54,168.346778,530.1134895
55,168.3545,531.7591204
56,168.356044,534.1942936
57,168.34755,536.3624604
58,168.325158,538.5411378
59,168.341373,540.1500104
60,168.317437,541.7476564
61,168.320525,542.9209538
62,168.310487,545.205196
63,168.30431,547.2905426
64,168.308943,548.9162067
65,168.31512,550.6854993
66,168.339829,552.0735187
67,168.313576,553.4639381
68,168.289639,555.2280469
69,168.2935,556.5469888
70,168.301222,557.965148
71,168.291956,559.7616715
72,168.321297,561.5652438
73,168.299677,563.0385678
74,168.297361,564.4527758
75,168.303538,566.2113213
76,168.302766,567.3705024
77,168.291956,568.7098859
78,168.281918,570.3515095
79,168.285779,572.0127009
80,168.292728,573.538382
81,168.264159,575.2809109
82,168.269564,577.0384782
83,168.244083,578.7004385
84,168.272652,580.311253
85,168.281146,581.8458032
86,168.303538,582.941197
87,168.254893,583.9282652
88,168.27188,585.5499457
89,168.263386,587.5427805
90,168.247171,588.7196676
91,168.240222,589.6774598
92,168.245627,590.3921367
93,168.236361,592.1926913
94,168.216285,593.50472
95,168.229412,594.9002428
96,168.243311,596.2056753
97,168.187716,597.1776917
98,168.19621,598.4753434
99,168.197754,599.8782245
100,168.188488,600.2381071
101,168.182311,601.3235248
102,168.188488,603.1277937
103,168.203931,604.2260119
104,168.153742,605.3311761
105,168.153742,605.8375015
106,168.15297,607.309724
107,168.13135,608.6449208
108,168.130577,609.4509036
109,168.1244,610.1700408
110,168.101236,611.2208042
111,168.111274,612.7199126
112,168.104324,613.408346
113,168.074983,614.8939722
114,168.078844,616.9791569
115,168.088882,618.1826028
116,168.079616,619.1939466
117,168.072666,620.4124651
118,168.046414,622.0407613
119,168.024793,623.121061
120,168.034831,624.278131
121,168.028654,625.2555952
122,168.027882,626.6784252
123,168.013211,627.7716916
124,167.980009,628.9177138
125,168.025566,629.750101
126,167.968427,630.1577263
127,167.976148,631.0245438
128,167.952212,631.8742397
129,167.94449,632.6804702
130,167.925186,632.9622042
131,167.929047,633.5108009
132,167.888123,634.3446193
133,167.885807,635.4602764
134,167.874997,636.5107286
135,167.904339,636.9953161
136,167.869592,638.0504718
137,167.881946,638.9647783
138,167.874225,638.8547832
139,167.926731,639.2294577
140,167.887351,639.8814391
141,167.891212,639.5640382
142,167.855693,641.633582
143,167.819403,641.4376148
144,167.838706,643.3378159
145,167.831757,642.5469877
146,167.846428,641.8031934
147,167.831757,643.380224
148,167.830212,644.9918298
149,167.79315,645.0995828
150,167.770757,645.6750443
151,167.761492,645.1385575
152,167.762264,646.245945
153,167.736011,646.383515
154,167.715935,645.7850956
155,167.720568,646.4591792
156,167.712846,645.3804324
157,167.663429,648.0149748
158,167.687365,648.1319248
159,167.661885,648.4953934
160,167.61324,648.8760715
161,167.607062,650.9115073
162,167.565366,648.9368434
163,167.555329,648.6238137
164,167.502823,649.8759764
165,167.49819,650.7968266
166,167.456494,652.5320504
167,167.438734,650.2291717
168,167.413254,652.2097611
169,167.390861,651.6902151
170,167.344533,651.4241419
171,167.316735,650.9608202
172,167.272723,649.1168674
173,167.245698,650.8621944
174,167.205546,651.4424916
175,167.182382,651.6707182
176,167.151496,651.3014289
177,167.105167,654.6196637
178,167.080459,652.0744249
179,167.068105,649.2521737
180,167.027181,651.5227719
181,166.994751,652.4024456
182,166.949194,653.6411978
183,166.923713,653.9979338
184,166.871207,653.5494344
185,166.817157,651.538828
186,166.804803,655.1829163
187,166.750753,652.879581
188,166.743803,652.9116965
189,166.702879,656.3060508
190,166.646513,656.5882833
191,166.593235,654.0128458
192,166.563893,654.3386198
193,166.534552,656.525182
194,166.474324,658.0546112
195,166.434172,657.06901
196,166.395565,652.9438121
197,166.350009,654.7194644
198,166.302136,657.390269
199,166.273566,658.6019438
200,166.243452,655.5741097
201,166.17782,659.9411096
202,166.129947,658.5124413
203,166.06972,652.6593625
204,166.044239,654.3672975
205,165.979378,662.0516864
206,165.935366,659.7620874
207,165.881316,656.9267406
208,165.851974,654.0874061
209,165.792519,659.569297
