Time,Temperature,Heat Flow,
[s],[K],[w/g],
0,297.714,-1.23E-02,
60.5,302.714,-2.09E-02,
82.1,307.714,1.25E-02,
102,312.714,1.79E-02,
121,317.714,1.68E-03,
140,322.714,-2.10E-02,
162,327.714,-4.79E-02,
184,332.714,-6.85E-02,
209,337.714,-8.93E-02,
236,342.714,-9.96E-02,
265,347.714,-9.89E-02,
296,352.714,-0.10218,
327,357.714,-0.11026,
358,362.714,-0.11211,
389,367.714,-0.11799,
419,372.714,-0.12504,
449,377.714,-0.12366,
479,382.714,-0.12496,
510,387.714,-0.11666,
540,392.714,-9.63E-02,
569,397.714,-5.74E-02,
599,402.714,-6.23E-02,
629,407.714,-9.02E-02,
659,412.714,-0.10426,
689,417.714,-0.10795,
719,422.714,-0.11324,
749,427.714,-0.12347,
779,432.714,-0.12435,
809,437.714,-0.12447,
839,442.714,-0.11744,
869,447.714,-0.10817,
899,452.714,-0.10333,
929,457.714,-0.10774,
959,462.714,-0.11716,
989,467.714,-0.12819,
1020,472.714,-0.13007,
1050,477.714,-0.12853,
1080,482.714,-0.1291,
1110,487.714,-0.13186,
1140,492.714,-0.15303,
1170,497.714,-0.18137,
1200,502.714,-0.19899,
1230,507.714,-0.20663,
1260,512.714,-0.21326,
1290,517.714,-0.21595,
1320,522.714,-0.22702,
1350,527.714,-0.22283,
1380,532.714,-0.22091,
1410,537.714,-0.21127,
1440,542.714,-0.19955,
1470,547.714,-0.17856,
1500,552.714,-0.16323,
1530,557.714,-0.13114,
1560,562.714,-0.10024,
1590,567.714,-5.48E-02,
1620,572.714,1.76E-03,
1650,577.714,6.59E-02,
1680,582.714,0.15727,
1710,587.714,0.28739,
1740,592.714,0.43881,
1770,597.714,0.60125,
1800,602.714,0.75221,
1830,607.714,0.86603,
1860,612.714,1.03435,
1890,617.714,1.25941,
1920,622.714,1.53643,
1950,627.714,1.78649,
1980,632.714,1.95531,
2010,637.714,2.05117,
2040,642.714,2.08211,
2070,647.714,1.92227,
2100,652.714,1.58788,
2130,657.714,1.19408,
2160,662.714,0.81505,
2190,667.714,0.50233,
2220,672.714,0.25072,
2250,677.714,-0.22635,
2280,682.714,-0.57908,
2310,687.714,-0.65991,
2340,692.714,-0.68538,
2370,697.714,-0.71429,
2400,702.714,-0.74915,
2430,707.714,-0.81509,
2460,712.714,-0.86925,
2490,717.714,-0.86948,
2520,722.714,-0.86426,
2550,727.714,-0.86083,
2580,732.714,-0.84643,
2610,737.714,-0.83859,
2640,742.714,-0.83236,
2670,747.714,-0.81463,
2700,752.714,-0.78958,
2730,757.714,-0.7584,
2760,762.714,-0.7263,
2790,767.714,-0.69084,
2820,772.714,-0.65462,
2850,777.714,-0.62,
2880,782.714,-0.57853,
2910,787.714,-0.53265,
2940,792.714,-0.49423,
2970,797.714,-0.45808,
3000,802.714,-0.41994,
3030,807.714,-0.40496,
3060,812.714,-0.39458,
3090,817.714,-0.39634,
3120,822.714,-0.38506,
3150,827.714,-0.37025,
3180,832.714,-0.36556,
3210,837.714,-0.3633,
3240,842.714,-0.36382,
3270,847.714,-0.3663,
3300,852.714,-0.36978,
3330,857.714,-0.3684,
3360,862.714,-0.37283,
3390,867.714,-0.37287,
3420,872.714,-0.37716,
3450,877.714,-0.37904,
3480,882.714,-0.38723,
3510,887.714,-0.37487,
3540,892.714,-0.39367,
3570,897.714,-0.39625,
3600,902.714,-0.39004,
3630,907.714,-0.38763,
3660,912.714,-0.39519,
3690,917.714,-0.41532,
,,,
