Time,Temperature,Heat Flow
[s],[K],[W/g]
0,299.402,9.64E-03
61.8,304.402,-9.57E-03
84.7,309.402,-2.99E-02
105,314.402,-4.08E-02
126,319.402,-2.00E-02
147,324.402,6.52E-03
169,329.402,3.61E-02
193,334.402,5.69E-02
219,339.402,7.71E-02
247,344.402,7.66E-02
277,349.402,8.33E-02
307,354.402,9.09E-02
338,359.402,9.56E-02
368,364.402,0.11417
399,369.402,0.11558
429,374.402,0.1217
459,379.402,0.13095
489,384.402,0.13884
520,389.402,0.13298
550,394.402,0.13221
580,399.402,0.12908
609,404.402,0.13351
639,409.402,0.14016
669,414.402,0.15153
699,419.402,0.15556
729,424.402,0.16463
759,429.402,0.16989
789,434.402,0.18158
819,439.402,0.18905
849,444.402,0.19667
879,449.402,0.20277
909,454.402,0.20732
939,459.402,0.21184
969,464.402,0.21993
999,469.402,0.22974
1030,474.402,0.2348
1060,479.402,0.23861
1090,484.402,0.24648
1120,489.402,0.25683
1150,494.402,0.25939
1180,499.402,0.26906
1210,504.402,0.26736
1240,509.402,0.26876
1270,514.402,0.27139
1300,519.402,0.27203
1330,524.402,0.27536
1360,529.402,0.27664
1390,534.402,0.26228
1420,539.402,0.22949
1450,544.402,0.18488
1480,549.402,9.98E-02
1510,554.402,-3.00E-02
1540,559.402,-0.26425
1570,564.402,-0.53829
1600,569.402,-0.64012
1630,574.402,-0.73224
1660,579.402,-0.85626
1690,584.402,-0.8241
1720,589.402,-0.60114
1750,594.402,-0.49032
1780,599.402,-0.47216
1810,604.402,-0.46348
1840,609.402,-0.48509
1870,614.402,-0.49131
1900,619.402,-0.47318
1930,624.402,-0.3891
1960,629.402,-0.25054
1990,634.402,-0.14752
2020,639.402,7.18E-02
2050,644.402,0.27697
2080,649.402,0.4401
2110,654.402,0.53147
2140,659.402,0.59127
2170,664.402,0.64138
2200,669.402,0.68612
2230,674.402,0.71898
2260,679.402,0.72267
2290,684.402,0.71336
2320,689.402,0.60424
2350,694.402,0.50131
2380,699.402,0.43253
2410,704.402,0.37952
2440,709.402,0.34667
2470,714.402,0.33415
2500,719.402,0.32843
2530,724.402,0.32732
2560,729.402,0.32095
2590,734.402,0.31735
2620,739.402,0.30794
2650,744.402,0.29373
2680,749.402,0.28782
2710,754.402,0.29226
2740,759.402,0.30538
2770,764.402,0.30939
2800,769.402,0.31573
2830,774.402,0.32402
2860,779.402,0.33213
2890,784.402,0.32417
2920,789.402,0.32643
2950,794.402,0.34057
2980,799.402,0.34245
3010,804.402,0.36626
3040,809.402,0.3656
3070,814.402,0.37577
3100,819.402,0.37559
3130,824.402,0.38657
3160,829.402,0.39326
3190,834.402,0.38824
3220,839.402,0.38581
3250,844.402,0.39215
3280,849.402,0.38915
3310,854.402,0.38509
3340,859.402,0.36995
3370,864.402,0.36531
3400,869.402,0.36124
3430,874.402,0.36004
3460,879.402,0.36166
3490,884.402,0.35558
3520,889.402,0.35848
3550,894.402,0.36894
3580,899.402,0.36519
3610,904.402,0.36268
3640,909.402,0.36877
3670,914.402,0.36709
