Time,Mass
[s],[g]
0,72.212
5.4,72.149
10,71.898
15.9,72.149
20.1,72.086
25.1,71.898
30.7,72.024
35,72.274
40,72.086
45.6,72.337
51.3,71.898
55.5,72.024
60.1,72.149
65.3,72.337
70.9,72.212
75.5,72.212
81.2,72.525
85.5,72.525
90.4,72.525
95.2,72.086
100,72.149
105,72.212
110.1,70.393
115.3,70.706
121.2,70.079
125.1,69.64
130,69.013
135,67.884
140,67.319
145,66.566
150,65.374
155,64.434
160.8,63.43
165,62.991
170.5,62.113
175,60.921
180.2,59.541
185.1,58.788
191.2,57.471
195.3,56.53
200,55.714
205.8,54.334
210,53.394
215,52.202
220.6,51.01
225,49.881
230,48.564
235.2,47.56
240.1,46.305
246.2,44.925
250.3,43.671
255,42.793
260,40.723
265,39.782
270,38.715
275.6,36.645
281.2,35.704
285.7,33.823
290,32.568
295,31
300,29.808
305.4,27.613
310.9,26.421
315,25.229
320,24.351
325,22.093
330,20.399
335,18.705
340,16.573
345,15.067
350,13.06
355,11.554
361.2,10.488
365.7,8.794
370,7.414
375,6.285
380,5.783
385.3,4.215
390,3.776
395.1,2.898
400,2.898
405,2.396
410,2.459
415,2.522
420.2,2.584
427.3,2.647
431.8,2.396
436.8,2.584
442.1,2.271
446.3,2.396
452.2,2.333
455.5,2.396
460.3,2.71
466.3,2.396
471.9,2.333
477.4,2.459
482.7,2.584
486.2,2.584
490,2.208
495,2.584
500,2.459
505,2.584
510,2.459
515,2.271
520.3,2.208
525,2.522
530,2.333
