Time,Temperature,Mass
[s],[k],[mg]
0.05,300.021,3.8808
2.76,300.68,3.8806
5.76,301.331,3.8803
8.76,301.991,3.8801
11.76,302.639,3.8799
14.76,303.289,3.8796
17.76,303.945,3.8794
20.76,304.594,3.8793
23.76,305.231,3.8791
26.76,305.862,3.879
29.76,306.484,3.8788
32.76,307.107,3.8787
35.76,307.719,3.8785
38.76,308.325,3.8784
41.76,308.922,3.8782
44.76,309.506,3.8782
47.76,310.087,3.8781
50.76,310.673,3.8779
53.76,311.241,3.8779
56.76,311.796,3.8779
59.76,312.35,3.8779
62.76,312.896,3.8778
65.76,313.437,3.8776
68.76,313.969,3.8775
71.76,314.492,3.8775
74.76,315.011,3.8775
77.76,315.534,3.8774
80.76,316.033,3.8773
83.76,316.536,3.8773
86.76,317.036,3.8773
89.76,317.532,3.8772
92.76,318.034,3.8772
95.76,318.519,3.8771
98.76,319.004,3.8769
101.76,319.49,3.8769
104.76,319.976,3.8768
107.76,320.453,3.8768
110.76,320.93,3.8768
113.76,321.41,3.8767
116.76,321.882,3.8766
119.76,322.357,3.8766
122.76,322.834,3.8765
125.76,323.307,3.8764
128.76,323.785,3.8764
131.76,324.265,3.8763
134.76,324.745,3.8762
137.76,325.223,3.8762
140.76,325.7,3.8761
143.76,326.182,3.8761
146.76,326.668,3.8759
149.76,327.155,3.876
152.76,327.646,3.8758
155.76,328.131,3.8757
158.76,328.627,3.8756
161.76,329.118,3.8756
164.76,329.612,3.8756
167.76,330.109,3.8755
170.76,330.603,3.8754
173.76,331.104,3.8753
176.76,331.602,3.8754
179.76,332.105,3.8753
182.76,332.616,3.8752
185.76,333.127,3.8751
188.76,333.644,3.8751
191.76,334.152,3.8751
194.76,334.657,3.875
197.76,335.177,3.8749
200.76,335.697,3.8749
203.76,336.208,3.8749
206.76,336.731,3.8748
209.76,337.248,3.8747
212.76,337.775,3.8747
215.76,338.299,3.8747
218.76,338.824,3.8746
221.76,339.349,3.8746
224.76,339.872,3.8745
227.76,340.4,3.8745
230.76,340.929,3.8744
233.76,341.455,3.8744
236.76,341.984,3.8744
239.76,342.509,3.8744
242.76,343.036,3.8745
245.76,343.557,3.8744
