Time,Temperature,Mass
[s],[K],[mg]
0.15,300.04801,4.189604
2.76,300.71575,4.18927
5.76,301.38283,4.188894
8.76,302.05149,4.188542
11.76,302.71506,4.188122
14.76,303.3721,4.187721
17.76,304.0229,4.187344
20.76,304.67342,4.187013
23.76,305.31907,4.186716
26.76,305.94297,4.186528
29.76,306.561,4.186287
32.76,307.1858,4.186081
35.76,307.79262,4.18588
38.76,308.39597,4.185742
41.76,308.98746,4.185528
44.76,309.58083,4.185384
47.76,310.15438,4.185248
50.76,310.72022,4.185049
53.76,311.28013,4.184852
56.76,311.83794,4.184734
59.76,312.39185,4.184512
62.76,312.92926,4.18425
65.76,313.46344,4.184123
68.76,313.99288,4.184032
71.76,314.5129,4.184044
74.76,315.02168,4.18397
77.76,315.53574,4.183817
80.76,316.04059,4.183725
83.76,316.54646,4.183632
86.76,317.04126,4.183386
89.76,317.53448,4.183256
92.76,318.02515,4.183122
95.76,318.50813,4.182884
98.76,318.99019,4.182653
101.76,319.46982,4.182631
104.76,319.95081,4.182574
107.76,320.42502,4.182437
110.76,320.9095,4.182398
113.76,321.37598,4.182429
116.76,321.85111,4.18236
119.76,322.32526,4.182182
122.76,322.79344,4.182008
125.76,323.27185,4.1818
128.76,323.75286,4.181701
131.76,324.23048,4.181627
134.76,324.71124,4.181496
137.76,325.19137,4.181316
140.76,325.6605,4.181247
143.76,326.14722,4.18122
146.76,326.63175,4.181277
149.76,327.1207,4.181132
152.76,327.60958,4.180878
155.76,328.1031,4.180766
158.76,328.59144,4.180694
161.76,329.08398,4.180535
164.76,329.57394,4.180411
167.76,330.07959,4.180428
170.76,330.5747,4.180398
173.76,331.07351,4.180324
176.76,331.5863,4.180184
179.76,332.08724,4.180193
182.76,332.59418,4.180127
185.76,333.10899,4.180074
188.76,333.6265,4.179918
191.76,334.13734,4.179694
194.76,334.66068,4.17968
197.76,335.1778,4.179719
200.76,335.69188,4.17955
203.76,336.21738,4.179348
206.76,336.73524,4.179342
209.76,337.26516,4.179254
212.76,337.78618,4.179187
215.76,338.31066,4.179239
218.76,338.83348,4.179245
221.76,339.35722,4.179184
224.76,339.8831,4.179105
227.76,340.41036,4.178875
230.76,340.9394,4.178744
233.76,341.46553,4.178786
236.76,341.99861,4.178753
239.76,342.51705,4.178874
242.76,343.04491,4.17897
245.76,343.57136,4.178964
248.76,344.09443,4.178742
251.76,344.61845,4.178704
254.76,345.15368,4.17872
257.76,345.6789,4.178697
260.76,346.19712,4.178438
263.76,346.71538,4.178428
266.76,347.248,4.178492
269.76,347.76828,4.178454
272.76,348.28301,4.17835
275.76,348.80608,4.178336
278.76,349.32929,4.178312
281.76,349.84766,4.178372
284.76,350.3639,4.178445
287.76,350.88699,4.178422
290.76,351.404,4.178213
293.76,351.91788,4.178087
296.76,352.43794,4.178116
299.76,352.94951,4.178113
302.76,353.46187,4.178168
305.76,353.97849,4.178284
308.76,354.48292,4.178168
311.76,355.0005,4.17811
314.76,355.51054,4.1782
317.76,356.01876,4.178086
320.76,356.5261,4.178
323.76,357.03375,4.17791
326.76,357.54038,4.17787
329.76,358.04886,4.177832
332.76,358.56006,4.17781
335.76,359.06691,4.177918
338.76,359.57414,4.177928
341.76,360.07976,4.17795
344.76,360.59061,4.17804
347.76,361.1032,4.17795
350.76,361.60122,4.177803
353.76,362.10843,4.177741
356.76,362.61281,4.177765
359.76,363.11382,4.177637
362.76,363.62695,4.177547
365.76,364.12805,4.177539
368.76,364.62609,4.17758
371.76,365.13504,4.177641
374.76,365.63916,4.177618
377.76,366.14841,4.177605
380.76,366.65282,4.177632
383.76,367.16059,4.177636
386.76,367.66416,4.177674
389.76,368.16866,4.177566
392.76,368.67531,4.177462
395.76,369.18745,4.177443
398.76,369.68547,4.17739
401.76,370.19469,4.177294
404.76,370.70949,4.17731
407.76,371.21194,4.177295
410.76,371.72274,4.177386
413.76,372.23012,4.177437
416.76,372.73316,4.177355
419.76,373.2419,4.17729
422.76,373.7544,4.177207
425.76,374.2591,4.1772
428.76,374.769,4.177089
431.76,375.2787,4.177085
434.76,375.7835,4.177119
437.76,376.3002,4.177097
440.76,376.8034,4.177137
443.76,377.3172,4.177163
446.76,377.8319,4.177086
449.76,378.3455,4.177089
452.76,378.8546,4.176993
455.76,379.36,4.176976
458.76,379.8657,4.176932
461.76,380.3809,4.176808
464.76,380.8907,4.176666
467.76,381.3964,4.176605
470.76,381.9127,4.176544
473.76,382.4199,4.17652
476.76,382.9264,4.176457
479.76,383.4395,4.176408
482.76,383.9473,4.176572
485.76,384.4586,4.176763
488.76,384.9686,4.176739
491.76,385.4815,4.176715
494.76,385.9888,4.176657
497.76,386.4911,4.176592
500.76,387.0061,4.176469
503.76,387.519,4.176306
506.76,388.0302,4.176254
509.76,388.5318,4.176209
512.76,389.0398,4.176096
515.76,389.5415,4.176062
518.76,390.0535,4.176
521.76,390.5568,4.175924
524.76,391.0704,4.175985
527.76,391.5727,4.175986
530.76,392.0818,4.175883
533.76,392.5866,4.175744
536.76,393.0919,4.175546
539.76,393.6015,4.175484
542.76,394.1052,4.175328
