Time,Temperature,Mass
[s],[k],[mg]
0.19,302.027,3.9309
0.26,302.021,3.9309
0.76,302.015,3.9308
1.26,302.02,3.9309
1.76,302.024,3.9309
2.26,302.028,3.9308
2.76,302.026,3.9307
3.26,302.026,3.9307
3.76,302.028,3.9308
4.26,302.018,3.9307
4.76,302.025,3.9307
5.26,302.027,3.9307
5.76,302.03,3.9307
6.26,302.032,3.9307
6.76,302.025,3.9306
7.26,302.022,3.9306
7.76,302.03,3.9306
8.26,302.03,3.9305
8.76,302.04,3.9305
9.26,302.036,3.9305
9.76,302.036,3.9304
10.26,302.043,3.9304
10.76,302.041,3.9304
11.26,302.052,3.9304
11.76,302.052,3.9304
12.26,302.054,3.9303
12.76,302.054,3.9303
13.26,302.052,3.9303
13.76,302.055,3.9302
14.26,302.06,3.9302
14.76,302.067,3.9302
15.26,302.066,3.9301
15.76,302.077,3.9301
16.26,302.079,3.93
16.76,302.082,3.93
17.26,302.094,3.93
17.76,302.096,3.9299
18.26,302.108,3.9298
18.76,302.116,3.9297
19.26,302.122,3.9297
19.76,302.131,3.9296
20.26,302.136,3.9296
20.76,302.141,3.9295
21.26,302.152,3.9295
21.76,302.167,3.9295
22.26,302.177,3.9294
22.76,302.191,3.9294
23.26,302.204,3.9293
23.76,302.215,3.9293
24.26,302.234,3.9292
24.76,302.244,3.9291
25.26,302.256,3.9291
25.76,302.275,3.929
26.26,302.29,3.9289
26.76,302.309,3.9289
27.26,302.328,3.9288
27.76,302.347,3.9287
28.26,302.358,3.9287
28.76,302.386,3.9286
29.26,302.409,3.9285
29.76,302.426,3.9285
30.26,302.445,3.9284
30.76,302.465,3.9283
31.26,302.489,3.9283
31.76,302.519,3.9282
32.26,302.537,3.9281
32.76,302.564,3.9281
33.26,302.592,3.928
33.76,302.618,3.9279
34.26,302.646,3.9279
34.76,302.672,3.9278
35.26,302.702,3.9277
35.76,302.73,3.9277
36.26,302.76,3.9276
36.76,302.797,3.9275
37.26,302.829,3.9274
37.76,302.854,3.9274
38.26,302.896,3.9273
38.76,302.934,3.9273
39.26,302.964,3.9272
39.76,302.998,3.9271
40.26,303.034,3.9271
40.76,303.074,3.927
41.26,303.109,3.9269
41.76,303.152,3.9269
42.26,303.191,3.9268
42.76,303.229,3.9267
43.26,303.277,3.9266
43.76,303.316,3.9265
44.26,303.368,3.9264
44.76,303.412,3.9263
45.26,303.456,3.9262
45.76,303.508,3.9262
46.26,303.551,3.9261
46.76,303.598,3.926
47.26,303.654,3.926
47.76,303.701,3.9259
48.26,303.749,3.9258
48.76,303.797,3.9257
49.26,303.845,3.9257
49.76,303.9,3.9256
50.26,303.955,3.9255
50.76,304.016,3.9255
51.26,304.065,3.9254
51.76,304.125,3.9253
52.26,304.182,3.9252
52.76,304.243,3.9252
53.26,304.302,3.9251
53.76,304.363,3.9251
54.26,304.425,3.925
54.76,304.48,3.9249
55.26,304.54,3.9248
55.76,304.608,3.9248
56.26,304.67,3.9247
