Time,Mass,HRR
s,g,kW
0,160.5690924,0.02088128
1,160.406363,0.00887896
2,160.4621395,0.01240884
3,160.6275523,0.02418713
4,160.8796006,0.02595659
5,160.6917623,0.02707263
6,160.692529,0.01172552
7,160.8226741,0.00999803
8,160.6699117,0.01783289
9,160.6852455,0.0039606
10,160.655728,0.01402808
11,160.743322,0.01542041
12,160.8205657,-0.0024532
13,160.7584641,0.01094911
14,160.6237188,0.01293554
15,160.7841481,-0.00251545
16,160.9662363,0.01372353
17,160.9020262,0.02114217
18,160.5579754,0.01266802
19,160.6840954,-0.0023646
20,160.6653116,0.02053066
21,160.9556943,0.00784348
22,160.7239632,-0.0118821
23,160.7189797,-0.00288033
24,161.0325547,-0.0058965
25,160.8790256,-0.00663353
26,160.7837648,-0.0109388
27,160.9031763,-0.02024904
28,161.0599638,0.00212418
29,160.704796,0.00059424
30,160.8456747,-0.00124717
31,161.1943257,0.01282076
32,160.7389136,-0.00000099
33,160.6806453,0.01483866
34,160.6490195,0.01705947
35,160.7099711,-0.00373356
36,161.079706,-0.00870424
37,160.6952124,0.01023831
38,160.7124629,0.0093531
39,160.9706447,-0.00341798
40,160.9233018,0.00640502
41,160.7381469,0.00288877
42,160.7218548,0.00079798
43,160.7921983,-0.00566247
44,161.0879479,0.00831059
45,160.6750869,-0.00400038
46,160.6348358,-0.00625203
47,160.7759062,-0.00624336
48,160.9369105,-0.02299528
49,160.9706447,-0.01800167
50,160.8094488,0.02935657
51,160.7967984,-0.00481062
52,160.7766729,-0.017066
53,160.9568444,0.0143101
54,160.7630642,-0.00370262
55,160.9507109,-0.00712509
56,161.0841144,-0.00726022
57,160.7966068,-0.00458864
58,160.8675253,-0.00083728
59,160.8481665,-0.0036105
60,160.8855425,-0.00133143
61,160.8656086,0.01081681
62,160.7866398,0.01149807
63,160.9146766,-0.00317679
64,160.842608,0.0060224
65,161.0425217,-0.00148004
66,160.6862038,0.00598518
67,160.8753839,0.00557239
68,160.7032626,-0.00277877
69,161.017796,0.01082834
70,160.7216631,-0.01332941
71,160.9200434,0.00800881
72,160.841458,0.0260582
73,160.9305853,0.00433659
74,160.7247299,-0.00155519
75,160.5169577,0.01003103
76,160.7049877,0.01460335
77,160.8370495,-0.00442906
78,160.7208964,-0.00893903
79,160.7787813,-0.00971122
80,160.6541946,0.00348731
81,160.6783453,0.01654359
82,160.7272216,0.00470616
83,160.7231965,0.01424847
84,160.8466331,0.00524922
85,160.6614782,0.01514519
86,160.7571224,0.04480221
87,161.0237378,-0.00090507
88,160.7358468,0.04219724
89,160.6633949,-0.00195975
90,160.7239632,0.025319
91,160.6632032,-0.00084251
92,160.7479221,0.00523112
93,160.8205657,0.01673732
94,160.7688144,0.00368313
95,160.5715841,0.00806634
96,160.6689534,-0.00550454
97,160.5859595,0.00088794
98,160.6087684,-0.00293621
99,160.7266466,-0.01290204
100,160.6848621,-0.01504178
101,160.8272743,-0.00125454
102,160.6701034,0.00426694
103,160.568134,-0.00299208
104,160.6609032,-0.00104896
105,160.5462834,-0.00590169
106,160.6702951,0.0063824
107,160.5650673,0.05148493
108,160.5221328,0.09599345
109,160.6748952,0.1841648
110,160.6354108,0.35005412
111,160.4667397,0.50192948
112,160.4998989,0.82102611
113,160.3254776,1.0990231
114,160.2580091,1.39819776
115,160.1978242,1.58463581
116,159.9396423,1.56289941
117,159.8438064,1.78882729
118,159.7847715,1.86731277
119,159.9120415,2.15105618
120,159.6820354,2.36781272
121,159.6718768,2.47708032
122,159.6718768,3.08060342
123,159.354085,3.07854232
124,158.9858835,3.14562144
125,159.1060617,3.20713885
126,159.0880446,3.35379322
127,158.8375296,3.4439333
128,158.651608,3.70882284
129,158.5318131,3.74376134
130,158.1998376,3.83045434
131,158.1500029,3.80122862
132,157.9878486,3.84189054
133,157.8402614,3.90718745
134,157.5951132,3.95016855
135,157.3829325,3.99508551
136,157.4569178,3.95562231
137,157.1837855,3.94137395
138,157.0358149,3.91064587
139,156.7360403,3.94233689
140,156.8146257,3.95130099
141,156.4460409,4.01036612
142,156.3153207,4.04504175
143,156.1913091,4.02090748
144,156.0040458,4.0319605
145,155.8913428,4.02289513
146,155.7679062,4.02232193
147,155.4464726,4.01584116
148,155.3521701,4.00814587
149,155.1796655,4.05045847
150,155.1189055,4.08709169
151,154.8532485,4.09763974
152,154.6811272,4.1000653
153,154.5168645,4.11112055
154,154.3604603,4.10393023
155,154.1103287,4.15458427
156,154.146938,4.19948013
157,154.0484187,4.18070174
158,153.8128541,4.18791244
159,153.4659282,4.19363883
160,153.4155185,4.21652401
161,153.122069,4.20314311
162,152.797377,4.16543264
163,152.7843433,4.19000848
164,152.5606624,4.20445756
165,152.5079526,4.24316573
166,152.2553292,4.21106034
167,152.0734327,4.25002834
168,152.1171339,4.25116086
169,151.8551186,4.3358592
170,151.59502,4.29804859
171,151.445516,4.33415009
172,151.2693696,4.22670675
173,150.9119018,4.31272785
174,150.9795619,4.29269385
175,150.6002435,4.26248664
176,150.493099,4.24940492
177,150.4273555,4.2814425
178,150.0854131,4.38582628
179,149.9951357,4.29268599
180,149.9355258,4.42600288
181,149.6779189,4.30855846
182,149.3708607,4.04854133
183,149.1316543,4.44848153
184,149.3129758,4.32926838
185,148.8865061,4.03856155
186,148.6892759,4.2662408
187,148.5376635,4.42187915
188,148.2741148,4.49041404
189,148.0586757,4.4625017
190,147.9243138,4.37419484
191,147.829053,4.40609816
192,147.5978968,4.36791879
193,147.3123059,4.46088033
194,147.2107198,4.46665654
195,146.9504295,4.48405039
196,146.8701191,4.55153444
197,146.7340321,4.48409169
198,146.5584608,4.48804374
199,146.078323,4.43736355
200,146.1758839,4.44702528
201,145.8841595,4.47709787
202,145.7496059,4.58140476
203,145.6459114,4.54516959
204,145.3493952,4.62723596
205,145.0906383,4.72972672
206,144.9650933,4.65222347
207,144.9083585,4.64087722
208,144.5135146,4.66610712
209,144.3201178,4.62586152
210,144.2831251,4.65138916
211,144.1543217,4.64336218
212,143.8823394,4.66333709
213,143.6833841,4.72186299
214,143.3937681,4.71201051
215,143.2111049,4.62061304
216,142.8409867,4.74393944
217,143.0050577,4.69711013
218,142.5565458,4.7752948
219,142.3980332,4.75262565
220,142.3518403,4.75690004
221,141.9384043,4.78603126
222,141.96428,4.88360361
223,141.689806,4.9088269
224,141.4851005,4.90241483
225,141.3164294,4.82138372
226,141.0354385,4.92397251
227,140.9413277,4.89348041
228,140.6714538,4.90753323
229,140.3812628,4.9034593
230,140.2733516,5.01993805
231,140.115989,4.94547009
232,139.6312511,4.94031973
233,139.641218,4.87666763
234,139.3861029,4.95865961
235,139.1670221,5.03936847
236,138.9446828,5.03991891
237,138.7679614,5.1071802
238,138.665417,5.12130044
239,138.4195021,5.14736588
240,138.1739706,5.13380605
241,137.9759736,5.13289583
242,137.8602039,5.13182847
243,137.4310508,5.09860581
244,137.3860079,5.20762631
245,137.0176147,5.19196389
246,136.8497103,5.14629045
247,136.7316404,5.19089336
248,136.5493606,5.15845486
249,136.3758976,5.26927404
250,136.0525473,5.35905666
251,135.8164077,5.33064215
252,135.46469,5.30298157
253,135.2739766,5.30204139
254,135.0949551,5.3302055
255,134.8434818,5.35906723
256,134.5672827,5.35629864
257,134.4800721,5.35216072
258,134.3322931,5.35437154
259,134.1333378,5.44471724
260,133.7461608,5.36352887
261,133.5280383,5.44732142
262,133.3179661,5.38846189
263,133.177854,5.42744866
264,132.8497119,5.52315244
265,132.6444314,5.47938371
266,132.6189391,5.49195507
267,132.2762299,5.63062285
268,132.002906,5.59889288
269,131.6055704,5.54080636
270,131.5612942,5.50913349
271,131.3815061,5.57735801
272,130.9259022,5.58643923
273,130.9006016,5.55428704
274,130.4511312,5.52330576
275,130.3336364,5.57635412
276,130.1856658,5.64361938
277,129.9370675,5.70615228
278,129.5995335,5.71373058
279,129.3867778,5.72997098
280,129.2037313,5.78820483
281,129.0847031,5.76371349
282,128.6281409,5.68514959
283,128.4799786,5.72441431
284,128.0433503,5.80574339
285,127.9868072,5.74329593
286,127.7591011,5.63097231
287,127.2918053,5.77315674
288,127.1574434,5.92255024
289,127.0253815,5.92836778
290,126.7579994,5.90932862
291,126.5918199,5.88813658
292,126.3294213,5.91396948
293,125.9518278,5.92096377
294,125.7904402,5.92160034
295,125.3927213,6.02493659
296,125.3653122,6.02753393
297,125.108472,6.02496458
298,124.8571903,6.05603533
299,124.4987641,6.04934915
300,124.4232454,6.13469094
301,123.9350573,6.05916266
302,123.7129098,6.02741859
303,123.5210463,6.09115271
304,123.2747481,6.10240744
305,123.0207829,6.10082717
306,122.8938962,5.99713729
307,122.6178889,6.13746183
308,122.2314785,6.05996812
309,121.9947639,5.95241086
310,121.8397014,6.03218515
311,121.636146,6.05447246
312,121.1788171,6.06677495
313,120.8809591,5.97293788
314,120.7692145,6.08099952
315,120.5071992,6.19589361
316,120.4176884,6.21039
317,120.0724876,6.18658041
318,119.7420454,6.18088267
319,119.4232952,6.26616495
320,119.1881139,6.19715536
321,118.9757416,6.22710596
322,118.6205738,6.21913024
323,118.5569388,6.22216275
324,118.0760342,6.26237992
325,117.8023269,6.27469048
326,117.6336558,6.25501718
327,117.3101138,6.22023184
328,117.2896049,6.32638252
329,116.9643379,6.3813033
330,116.7810997,6.28312087
331,116.5188927,6.21448672
332,116.1138902,6.17820415
333,115.8700837,6.20737214
334,115.6063433,6.35952385
335,115.3125104,6.45609776
336,114.9891601,6.52874268
337,114.8822073,6.5158484
338,114.5906745,6.49222454
339,114.1818386,6.60052604
340,113.9821166,6.55718124
341,113.7066842,6.573029
