Time,Temperature,Heat Flow
[s],[K],[W/g]
1200.1002,306.944,-2.32E-03
1240.578,307.044,3.71E-03
1255.569,307.144,4.14E-03
1263.1398,307.244,4.75E-03
1269.15,307.344,4.28E-03
1273.5048,307.444,9.28E-03
1277.7162,307.544,7.71E-03
1280.9928,307.644,7.64E-03
1284.1608,307.744,1.04E-02
1286.8422,307.844,1.16E-02
1289.5602,307.944,9.79E-03
1291.854,308.044,1.41E-02
1294.08,308.144,1.17E-02
1296.0126,308.244,1.32E-02
1298.0784,308.344,1.46E-02
1299.8562,308.444,1.18E-02
1301.5728,308.544,1.39E-02
1303.1622,308.644,1.39E-02
1304.7228,308.744,1.51E-02
1306.2012,308.844,1.33E-02
1307.6718,308.944,1.47E-02
1309.0548,309.044,1.34E-02
1310.364,309.144,1.15E-02
1311.627,309.244,1.42E-02
1312.8636,309.344,1.16E-02
1314.0744,309.444,9.76E-03
1315.2264,309.544,1.25E-02
1316.3322,309.644,1.28E-02
1317.4278,309.744,1.07E-02
1318.4652,309.844,1.06E-02
1319.4738,309.944,1.04E-02
1320.4728,310.044,9.31E-03
1321.461,310.144,9.00E-03
1322.4504,310.244,7.47E-03
1323.4278,310.344,7.19E-03
1324.3236,310.444,4.80E-03
1325.2098,310.544,6.14E-03
1326.0852,310.644,6.95E-03
1326.9576,310.744,7.51E-03
1327.8126,310.844,1.83E-03
1328.6424,310.944,1.75E-03
1329.477,311.044,3.18E-03
1330.2768,311.144,-3.63E-04
1331.085,311.244,-3.17E-04
1331.8662,311.344,-7.17E-04
1332.6306,311.444,-3.84E-03
1333.3908,311.544,-4.77E-03
1334.1216,311.644,-7.88E-03
1334.8488,311.744,-1.03E-02
1335.5562,311.844,-1.26E-02
1336.2588,311.944,-9.85E-03
1336.947,312.044,-1.03E-02
1337.6286,312.144,-1.31E-02
1338.2922,312.244,-1.25E-02
1338.939,312.344,-1.44E-02
1339.5948,312.444,-1.52E-02
1340.253,312.544,-1.59E-02
1340.8992,312.644,-1.87E-02
1341.5406,312.744,-1.69E-02
1342.1622,312.844,-2.07E-02
1342.7718,312.944,-2.34E-02
1343.3874,313.044,-2.56E-02
1343.9988,313.144,-2.56E-02
1344.588,313.244,-2.77E-02
1345.182,313.344,-3.13E-02
1345.7628,313.444,-3.09E-02
1346.3286,313.544,-3.09E-02
1346.9046,313.644,-3.59E-02
1347.4692,313.744,-3.31E-02
1348.0302,313.844,-3.79E-02
1348.5948,313.944,-3.97E-02
1349.1582,314.044,-4.30E-02
1349.6928,314.144,-4.38E-02
1350.2238,314.244,-4.46E-02
1350.7506,314.344,-4.49E-02
1351.2696,314.444,-4.82E-02
1351.7814,314.544,-4.88E-02
1352.295,314.644,-4.85E-02
1352.8086,314.744,-5.09E-02
1353.3072,314.844,-5.39E-02
1353.8064,314.944,-5.59E-02
1354.2972,315.044,-5.68E-02
1354.7886,315.144,-5.73E-02
1355.2674,315.244,-5.91E-02
1355.7396,315.344,-5.96E-02
1356.2142,315.444,-6.20E-02
1356.6894,315.544,-6.46E-02
1357.1484,315.644,-6.61E-02
1357.6014,315.744,-6.81E-02
1358.0586,315.844,-6.89E-02
1358.526,315.944,-7.15E-02
1358.9826,316.044,-7.27E-02
1359.4272,316.144,-7.49E-02
1359.8814,316.244,-7.66E-02
1360.3344,316.344,-7.95E-02
1360.7844,316.444,-8.24E-02
1361.2188,316.544,-8.33E-02
1361.646,316.644,-8.57E-02
1362.084,316.744,-8.67E-02
1362.51,316.844,-8.74E-02
1362.9258,316.944,-9.05E-02
1363.3398,317.044,-9.11E-02
1363.758,317.144,-9.20E-02
1364.172,317.244,-9.20E-02
1364.5806,317.344,-9.44E-02
1364.9898,317.444,-9.60E-02
1365.3942,317.544,-9.75E-02
1365.8022,317.644,-9.76E-02
1366.1964,317.744,-9.81E-02
1366.5966,317.844,-0.10167
1367.0022,317.944,-0.10485
1367.4024,318.044,-0.10563
1367.799,318.144,-0.1069
1368.1938,318.244,-0.10794
1368.5856,318.344,-0.11015
1368.975,318.444,-0.11372
1369.3566,318.544,-0.11564
1369.7322,318.644,-0.11677
1370.1102,318.744,-0.11456
1370.4852,318.844,-0.11922
1370.8584,318.944,-0.12021
1371.2268,319.044,-0.12253
1371.5988,319.144,-0.12558
1371.9702,319.244,-0.12755
1372.3362,319.344,-0.12891
1372.6914,319.444,-0.12995
1373.049,319.544,-0.13308
1373.409,319.644,-0.1348
1373.7654,319.744,-0.13573
1374.1164,319.844,-0.13814
1374.4746,319.944,-0.13967
1374.8232,320.044,-0.1403
1375.1754,320.144,-0.14388
1375.5312,320.244,-0.14566
1375.8762,320.344,-0.14635
1376.2218,320.444,-0.15134
1376.5632,320.544,-0.1526
1376.9064,320.644,-0.15345
1377.2454,320.744,-0.15464
1377.585,320.844,-0.15801
1377.9216,320.944,-0.15907
1378.2546,321.044,-0.16203
1378.5876,321.144,-0.16141
1378.9206,321.244,-0.16454
1379.2494,321.344,-0.16628
1379.58,321.444,-0.16984
1379.904,321.544,-0.17158
1380.2292,321.644,-0.17573
1380.552,321.744,-0.17786
1380.8766,321.844,-0.18033
1381.1988,321.944,-0.18178
1381.5162,322.044,-0.18431
1381.842,322.144,-0.18438
1382.1552,322.244,-0.18654
1382.4756,322.344,-0.18862
1382.7894,322.444,-0.18989
1383.102,322.544,-0.19246
1383.4152,322.644,-0.19365
1383.7272,322.744,-0.19537
1384.0392,322.844,-0.19793
1384.3482,322.944,-0.20088
1384.6554,323.044,-0.20218
1384.9608,323.144,-0.20163
1385.265,323.244,-0.20413
1385.565,323.344,-0.20718
1385.865,323.444,-0.20898
1386.1662,323.544,-0.20955
1386.465,323.644,-0.21219
1386.759,323.744,-0.21495
1387.056,323.844,-0.21769
1387.3548,323.944,-0.22019
1387.653,324.044,-0.2197
1387.9446,324.144,-0.22473
1388.2392,324.244,-0.22823
1388.5278,324.344,-0.22957
1388.817,324.444,-0.2313
1389.1062,324.544,-0.23184
1389.3924,324.644,-0.23438
1389.6774,324.744,-0.23659
1389.9618,324.844,-0.23971
1390.2438,324.944,-0.241
1390.5312,325.044,-0.2436
1390.815,325.144,-0.24626
1391.0994,325.244,-0.24718
1391.3826,325.344,-0.25008
1391.6646,325.444,-0.25156
1391.9496,325.544,-0.25506
1392.2298,325.644,-0.2589
1392.5046,325.744,-0.26127
1392.783,325.844,-0.26365
1393.0566,325.944,-0.26407
1393.3326,326.044,-0.26656
1393.6092,326.144,-0.26894
1393.8804,326.244,-0.27124
1394.154,326.344,-0.27417
1394.4222,326.444,-0.27487
1394.6898,326.544,-0.27759
1394.9568,326.644,-0.28141
1395.2262,326.744,-0.28314
1395.4938,326.844,-0.28402
1395.762,326.944,-0.28657
1396.0248,327.044,-0.28988
1396.2912,327.144,-0.29308
1396.5552,327.244,-0.29452
1396.818,327.344,-0.29675
1397.0796,327.444,-0.29835
1397.343,327.544,-0.30055
1397.6064,327.644,-0.30432
1397.865,327.744,-0.3062
1398.12,327.844,-0.30607
1398.3762,327.944,-0.30957
1398.6336,328.044,-0.31474
1398.8922,328.144,-0.31557
1399.1478,328.244,-0.31752
1399.4016,328.344,-0.32019
1399.656,328.444,-0.32328
1399.9092,328.544,-0.32351
1400.1624,328.644,-0.32774
1400.4144,328.744,-0.32828
1400.667,328.844,-0.33087
1400.9166,328.944,-0.33287
1401.1656,329.044,-0.33463
1401.4128,329.144,-0.33712
1401.6582,329.244,-0.34001
1401.9066,329.344,-0.34357
