Time,mass,HRR,Back surface temperature 1,Back surface temperature 2
s,g,kW/m2,K,K
0,69.88,-1.035714286,299.15,299.45
1,69.8558,-0.666666667,299.15,299.45
2,69.6826,-0.464285714,299.05,299.35
3,70.0151,-0.726190476,299.05,299.35
4,70.1129,-0.833333333,299.05,299.35
5,70.0802,-0.904761905,298.95,299.25
6,69.9902,-0.726190476,298.95,299.25
7,69.9247,-0.428571429,298.95,299.15
8,69.7776,-0.30952381,298.85,299.05
9,69.627,-0.571428571,298.85,299.05
10,69.626,-0.714285714,298.85,299.05
11,69.6298,-0.726190476,298.85,299.05
12,69.6676,-0.583333333,298.85,299.05
13,69.6531,-0.369047619,298.85,299.05
14,69.6337,0.380952381,298.85,299.05
15,69.6018,0.333333333,298.85,299.05
16,69.598,0.25,298.95,299.15
17,69.6256,0.25,299.05,299.25
18,69.6071,1.071428571,299.05,299.25
19,69.575,1.75,299.15,299.45
20,69.6149,1.654761905,299.35,299.55
21,69.5808,1.476190476,299.65,299.85
22,69.5646,0.976190476,299.65,299.85
23,69.5373,0.416666667,299.95,300.15
24,69.5419,0.607142857,300.35,300.45
25,69.5473,0.869047619,300.75,300.85
26,69.5353,-0.095238095,300.75,300.85
27,69.526,-0.654761905,302.35,302.35
28,69.5276,-0.773809524,302.95,302.35
29,69.5254,-0.678571429,303.65,303.55
30,69.5313,-0.404761905,304.45,303.55
31,69.5221,-0.261904762,304.45,304.15
32,69.5038,-0.69047619,305.25,304.85
33,69.5101,-1.095238095,306.15,305.65
34,69.5176,0.119047619,307.05,305.65
35,69.5214,1.416666667,307.05,306.55
36,69.4872,2.154761905,307.95,307.25
37,69.5022,2.214285714,308.95,308.15
38,69.5184,2.821428571,309.95,308.15
39,69.5182,2.869047619,309.95,309.05
40,69.5145,2.857142857,310.95,309.95
41,69.5008,2.94047619,312.05,310.95
42,69.5034,4.130952381,313.15,311.95
43,69.4846,4.380952381,313.15,311.95
44,69.4755,4.05952381,314.25,312.95
45,69.4821,3.142857143,315.35,313.95
46,69.462,2.976190476,316.55,314.95
47,69.483,3.071428571,316.55,314.95
48,69.5071,3.476190476,317.85,316.05
49,69.5082,3.357142857,319.05,317.05
50,69.4868,3.19047619,320.25,318.15
51,69.4759,2.107142857,321.55,318.15
52,69.4777,1.952380952,321.55,319.25
53,69.4795,2.05952381,322.75,320.35
54,69.4882,2.380952381,324.15,321.45
55,69.4816,2.952380952,325.35,321.45
56,69.4949,2.916666667,325.35,322.55
57,69.4801,3.738095238,326.65,323.75
58,69.4637,3.892857143,328.05,324.85
59,69.4683,4.047619048,329.25,324.85
60,69.4734,4.357142857,329.25,326.05
61,69.4925,5.035714286,330.65,327.15
62,69.4921,4.916666667,331.95,328.35
63,69.4903,5,333.35,329.55
64,69.4874,5.095238095,333.35,329.55
65,69.4739,5.357142857,334.75,330.75
66,69.4782,5.619047619,335.95,331.85
67,69.4878,5.297619048,337.35,333.05
68,69.4988,5.261904762,337.35,333.05
69,69.5074,4.273809524,338.75,334.25
70,69.5374,4.226190476,340.05,335.45
71,69.5559,4.535714286,341.35,336.65
72,69.5689,3.642857143,342.75,336.65
73,69.5744,3.238095238,342.75,337.85
74,69.6002,3.023809524,344.15,339.05
75,69.6116,3.023809524,345.45,340.15
76,69.6217,3.023809524,346.85,340.15
77,69.6444,3.333333333,346.85,341.35
78,69.6312,3.238095238,348.15,342.55
79,69.6176,1.964285714,349.55,343.75
80,69.6214,2.05952381,350.75,343.75
81,69.6538,2.94047619,350.75,345.05
82,69.6602,4.642857143,352.15,346.15
83,69.6559,6.119047619,353.55,347.45
84,69.6705,7.095238095,354.85,348.65
85,69.6836,7.535714286,354.85,348.65
86,69.6903,7.476190476,356.15,349.85
87,69.684,7.738095238,357.45,351.05
88,69.7006,7.392857143,358.75,352.35
89,69.7092,7.464285714,358.75,352.35
90,69.7144,6.321428571,360.05,353.55
91,69.7416,5.214285714,361.35,354.75
92,69.7403,4.904761905,362.55,355.95
93,69.7441,3.678571429,362.55,355.95
94,69.7467,2.547619048,363.85,357.15
95,69.7348,1.666666667,365.05,358.35
96,69.7356,0.75,366.25,359.55
97,69.7281,2.75,367.65,359.55
98,69.7261,7.80952381,367.65,360.75
99,69.7066,18.79761905,368.75,361.95
100,69.6934,38.28571429,369.95,363.05
101,69.6538,66.21428571,371.05,363.05
102,69.6313,89.64285714,371.05,364.25
103,69.6237,115.7738095,372.25,365.35
104,69.5941,132.7380952,373.35,366.55
105,69.5296,157.9404762,374.55,367.65
106,69.4632,173.4285714,374.55,367.65
107,69.4023,199.5,375.65,368.75
108,69.3114,226.6666667,376.85,369.85
109,69.2102,240.8095238,377.95,371.05
110,69.1187,258.0357143,377.95,371.05
111,69.0202,266.1666667,379.15,372.05
112,68.9108,286.4761905,380.15,373.15
113,68.7734,296.047619,381.25,374.25
114,68.6412,304.5238095,381.25,374.25
115,68.5393,303.8571429,382.35,375.35
116,68.4161,313,383.45,376.35
117,68.3079,322.297619,384.45,377.45
118,68.2035,324.702381,385.55,377.45
119,68.1015,327.1190476,385.55,378.45
120,67.9969,321.75,386.55,379.45
121,67.8893,334.2857143,387.75,380.45
122,67.7835,334.2738095,388.75,380.45
123,67.6857,340.797619,388.75,381.55
124,67.5863,343.047619,389.85,382.45
125,67.4768,339.952381,390.95,383.45
126,67.3685,349.5833333,392.15,383.45
127,67.2733,336.952381,392.15,384.55
128,67.1819,346.0357143,393.35,385.55
129,67.0846,359.5595238,394.45,386.45
130,66.995,341.2142857,395.65,387.45
131,66.8967,346.7261905,395.65,387.45
132,66.7961,352.6190476,396.85,388.45
133,66.6783,346.1428571,398.05,389.35
134,66.5529,342.1904762,399.25,390.35
135,66.4177,357.297619,399.25,390.35
136,66.286,362.6428571,400.55,391.25
137,66.1522,354.3690476,401.65,392.35
138,66.0338,348.797619,402.95,393.35
139,65.9048,354.3690476,402.95,393.35
140,65.7509,367.7857143,404.15,394.45
141,65.6294,351.5595238,405.35,395.65
142,65.5067,353.8095238,406.55,396.85
143,65.3789,346.3095238,407.75,396.85
144,65.2641,366.7738095,407.75,397.95
145,65.1502,352.9761905,408.95,399.05
146,65.0359,355.797619,410.05,400.25
147,64.8944,366.547619,411.25,400.25
148,64.759,367.047619,411.25,401.45
149,64.6388,362.25,412.45,402.55
150,64.5298,361.8690476,413.65,403.75
151,64.3889,369.4642857,414.75,404.95
152,64.2541,365.8690476,414.75,404.95
