Time,mass,HRR,Back surface temperature 1,Back surface temperature 2
s,g,kW/m2,K,K
0,71.44,0,297.25,297.25
1,71.434627,-0.03813881,297.25,297.25
2,71.415382,-1.21343881,297.25,297.25
3,71.415618,-1.08702369,297.25,297.25
4,71.40949,-0.470610952,297.25,297.25
5,71.392156,-1.209768929,297.25,297.25
6,71.348794,-0.783725595,297.25,297.35
7,71.324588,-1.302705238,297.35,297.35
8,71.301789,-0.069619643,297.35,297.45
9,71.272604,1.022676667,297.45,297.45
10,71.230202,1.896435595,297.45,297.45
11,71.223234,1.617317024,297.45,297.45
12,71.211498,1.596645833,297.45,297.55
13,71.216982,1.249811905,297.55,297.55
14,71.207692,2.533466548,297.55,297.55
15,71.201079,3.016417738,297.55,297.55
16,71.206747,1.624365595,297.55,297.55
17,71.175141,1.817208452,297.65,297.55
18,71.224368,0.298917619,297.65,297.55
19,71.305984,1.180542381,297.65,297.65
20,71.310709,0.761805595,297.75,297.75
21,71.314419,0.717835119,297.85,297.95
22,71.315872,0.532610833,297.85,297.95
23,71.340384,-0.274975833,297.95,298.05
24,71.296872,-0.927615833,298.15,298.25
25,71.270756,1.220790357,298.35,298.55
26,71.314598,1.517845357,298.35,298.55
27,71.266819,0.729101786,298.65,298.85
28,71.232634,0.80683631,298.95,299.15
29,71.232523,0.595742857,299.25,299.55
30,71.220641,1.844744524,299.65,299.55
31,71.131919,1.355664643,299.65,299.95
32,71.041582,1.095445595,300.05,300.45
33,71.21481,1.485645238,300.55,302.05
34,71.286517,0.918044405,302.15,302.05
35,71.230893,0.512901548,302.15,302.65
36,71.171199,9.43E-03,302.75,303.25
37,71.131523,1.202468929,303.55,304.15
38,71.140196,1.43315619,304.15,304.15
39,71.163696,-0.589978095,304.15,304.85
40,71.182604,0.051018095,304.85,305.55
41,71.133844,1.088281429,305.65,306.45
42,71.114795,1.941278214,306.45,307.25
43,71.089463,0.052543214,306.45,307.25
44,70.707994,3.212497381,307.35,308.15
45,71.017447,1.288345952,308.25,309.05
46,71.091472,2.93177131,309.15,310.05
47,71.131663,3.27246381,309.15,310.05
48,71.158114,2.402619286,310.15,310.95
49,71.140719,3.510836548,311.15,311.95
50,71.236883,4.41287381,312.05,312.95
51,71.279197,4.364872262,312.95,312.95
52,71.123281,4.117655476,312.95,314.05
