Time,Mass,HRR
[s],[g],[kW/m2]
0,69.91,-0.429484547
1,70.037739,-0.37144779
2,70.274074,1.651224278
3,70.407565,2.085718854
4,70.456491,0.501434008
5,70.470683,-0.399862621
6,70.377389,0.439185371
7,70.440675,4.098994048
8,70.453161,5.23803644
9,70.389678,4.40028476
10,70.288345,4.292101544
11,70.147114,5.794400239
12,70.213524,5.948921629
13,70.341885,3.840007518
14,70.539208,-0.013783824
15,70.458626,-6.702257847
16,70.306734,-12.63910741
17,69.990024,-26.0397976
18,69.685236,-38.13457736
19,69.856315,-39.63755449
20,69.783405,-24.54436128
21,69.700061,10.3120948
22,69.567452,34.10889102
23,69.345643,75.1542415
24,69.116024,145.9565567
25,68.874624,199.9585019
26,68.673511,257.8159723
27,68.412988,297.1721628
28,68.213205,344.0972351
29,68.031543,403.5903253
30,67.801838,431.7368493
31,67.554433,456.1982345
32,67.305,479.2556942
33,67.092048,520.262696
34,66.806113,533.0247927
35,66.498199,546.2292827
36,66.245028,545.6619589
37,66.018706,530.3582607
38,65.773041,560.1141559
39,65.517383,566.0716206
40,65.310476,552.0631514
41,65.100216,573.7584858
42,64.832261,582.8255381
43,64.549508,572.1583504
44,64.226355,618.8019633
45,63.941693,612.5713482
46,63.707024,604.8054092
47,63.434922,612.3254983
48,63.168711,626.4945529
49,62.93189,649.0316732
50,62.585506,652.0447845
51,62.276343,649.1642158
52,61.971813,700.7404472
53,61.663396,679.2278241
54,61.474282,645.6258114
55,61.211772,674.5901661
56,60.917252,689.787572
57,60.623373,673.180588
58,60.247696,704.2109014
59,59.960585,685.427087
60,59.709392,688.6174845
61,59.448311,702.240685
62,59.119436,687.2991337
63,58.7967,693.2874076
64,58.509551,725.577359
65,58.253955,736.6994287
66,57.919562,771.9455145
67,57.629761,755.6896797
68,57.417605,726.5129231
69,57.069604,730.6531497
70,56.74652,741.1644146
71,56.513699,725.5275593
72,56.223203,739.8012588
73,55.872299,749.0009362
74,55.559916,729.7464986
75,55.237972,706.7000158
76,54.998621,704.1730114
77,54.727646,731.0061836
78,54.332104,745.097265
79,54.016087,728.5430563
80,53.811709,726.7030697
81,53.457667,705.4838282
82,53.124183,706.3016043
83,52.818771,710.9368465
84,52.472765,737.683103
85,52.176774,711.4946616
86,51.897574,771.7939886
87,51.552054,786.9119157
88,51.223222,770.0835528
89,50.94823,776.546692
90,50.617943,779.1077457
91,50.314886,791.6971443
92,49.969764,794.5613977
93,49.564064,764.5763016
94,49.285303,763.5397267
95,49.020835,782.2956004
96,48.678238,774.339629
97,48.357857,812.7716186
98,47.929611,819.9038141
99,47.603645,812.1345982
100,47.215406,774.032131
101,46.915348,785.2148175
102,46.694973,766.1751537
103,46.312422,813.2221795
104,45.927338,822.8237796
105,45.68195,781.9682139
106,45.333235,791.2464474
107,44.972775,837.3665124
108,44.654675,814.2753661
109,44.309927,788.0387729
110,43.9524,817.0011064
111,43.666851,837.6961737
112,43.283698,810.8236815
113,42.907702,774.4068874
114,42.610361,794.394413
115,42.29487,811.3748369
116,41.995616,844.4620784
117,41.588597,818.4479716
118,41.203822,796.7394788
119,40.922433,843.1811285
120,40.528296,878.4060395
121,40.192011,900.2485438
122,39.863657,861.7917419
123,39.494981,835.524802
124,39.088199,871.8611669
125,38.714442,892.5983096
126,38.306184,895.1116615
127,37.940155,845.1865732
128,37.650027,847.2153206
129,37.242219,884.6096391
130,36.840798,870.7461182
131,36.521465,835.5102564
132,36.143721,853.3317099
133,35.729107,876.8469623
134,35.389108,885.1066233
135,35.036588,927.454457
136,34.592848,937.3176291
137,34.255702,980.6489772
138,33.877311,966.2247539
139,33.483004,946.6827283
140,33.068798,917.5963939
141,32.674364,868.1473579
142,32.260037,898.7000509
143,31.931946,923.9276509
144,31.605801,932.7903587
145,31.162403,927.132025
