Time,Temperature,Mass
[s],[K],[mg]
0,313.115,4.8446
0.25,313.615,4.8446
0.5,314.115,4.8446
0.75,314.615,4.8446
1,315.115,4.8446
1.25,315.615,4.8446
1.5,316.115,4.8446
1.75,316.615,4.8446
2,317.115,4.8446
2.25,317.615,4.8446
2.5,318.115,4.8446
2.75,318.615,4.8446
3,319.115,4.8446
3.25,319.615,4.8446
3.5,320.115,4.8446
3.75,320.615,4.8446
4,321.115,4.8446
4.25,321.615,4.8446
4.5,322.115,4.8446
4.75,322.615,4.8446
5,323.115,4.8446
5.25,323.615,4.8446
5.5,324.115,4.8446
5.75,324.615,4.8446
6,325.115,4.8446
6.25,325.615,4.8446
6.5,326.115,4.8446
6.75,326.615,4.8446
7,327.115,4.8446
7.25,327.615,4.8446
7.5,328.115,4.8446
7.75,328.615,4.8446
8,329.115,4.8446
8.25,329.615,4.8446
8.5,330.115,4.8446
8.75,330.615,4.8446
9,331.115,4.8446
9.25,331.615,4.8446
9.5,332.115,4.8446
9.75,332.615,4.8446
10,333.115,4.8446
10.25,333.615,4.8446
10.5,334.115,4.8446
10.75,334.615,4.8446
11,335.115,4.8446
11.25,335.615,4.8446
11.5,336.115,4.8446
11.75,336.615,4.8446
12,337.115,4.8446
12.25,337.615,4.8446
12.5,338.115,4.8446
12.75,338.615,4.8446
13,339.115,4.8446
13.25,339.615,4.8446
13.5,340.115,4.8446
13.75,340.615,4.8446
14,341.115,4.8446
14.25,341.615,4.8446
14.5,342.115,4.8446
14.75,342.615,4.8446
15,343.115,4.8446
15.25,343.615,4.8446
15.5,344.115,4.8446
15.75,344.615,4.8446
16,345.115,4.8446
16.25,345.615,4.8446
16.5,346.115,4.8446
16.75,346.615,4.8446
17,347.115,4.8446
17.25,347.615,4.8446
17.5,348.115,4.8446
17.75,348.615,4.8446
18,349.115,4.8446
18.25,349.615,4.8446
18.5,350.115,4.8446
18.75,350.615,4.8446
19,351.115,4.8446
19.25,351.615,4.8446
19.5,352.115,4.8446
19.75,352.615,4.8446
20,353.115,4.8446
20.25,353.615,4.8446
20.5,354.115,4.8446
20.75,354.615,4.8446
21,355.115,4.8446
21.25,355.615,4.8446
21.5,356.115,4.8446
21.75,356.615,4.8446
22,357.115,4.8446
22.25,357.615,4.8446
22.5,358.115,4.8446
22.75,358.615,4.8446
23,359.115,4.8446
23.25,359.615,4.8446
23.5,360.115,4.8446
23.75,360.615,4.8446
24,361.115,4.8446
24.25,361.615,4.8446
24.5,362.115,4.8446
24.75,362.615,4.8446
25,363.115,4.8446
25.25,363.615,4.8446
25.5,364.115,4.8446
25.75,364.615,4.8446
26,365.115,4.8446
26.25,365.615,4.8446
26.5,366.115,4.8446
26.75,366.615,4.8446
27,367.115,4.8446
27.25,367.615,4.8446
27.5,368.115,4.8446
27.75,368.615,4.8446
28,369.115,4.8446
28.25,369.615,4.8446
28.5,370.115,4.8446
28.75,370.615,4.8446
29,371.115,4.8446
29.25,371.615,4.8446
29.5,372.115,4.8446
29.75,372.615,4.8446
30,373.115,4.8446
30.25,373.615,4.8446
30.5,374.115,4.8446
30.75,374.615,4.8446
31,375.115,4.8446
31.25,375.615,4.8446
31.5,376.115,4.8446
31.75,376.615,4.8446
32,377.115,4.8446
32.25,377.615,4.8446
32.5,378.115,4.8446
32.75,378.615,4.8446
33,379.115,4.8446
33.25,379.615,4.8446
33.5,380.115,4.8446
33.75,380.615,4.8446
34,381.115,4.8446
34.25,381.615,4.8446
34.5,382.115,4.8446
34.75,382.615,4.8446
35,383.115,4.8446
35.25,383.615,4.8446
35.5,384.115,4.8446
35.75,384.615,4.8446
36,385.115,4.8446
36.25,385.615,4.8446
36.5,386.115,4.8446
36.75,386.615,4.8446
37,387.115,4.8446
37.25,387.615,4.8446
37.5,388.115,4.8446
37.75,388.615,4.8446
38,389.115,4.8446
38.25,389.615,4.8446
38.5,390.115,4.8446
38.75,390.615,4.8446
39,391.115,4.8446
39.25,391.615,4.8446
39.5,392.115,4.8446
39.75,392.615,4.8446
40,393.115,4.8446
40.25,393.615,4.8446
40.5,394.115,4.8446
40.75,394.615,4.844300119
41,395.115,4.843800157
41.25,395.615,4.84408405
41.5,396.115,4.843595714
41.75,396.615,4.843396117
42,397.115,4.843296803
42.25,397.615,4.842503742
42.5,398.115,4.841700022
42.75,398.615,4.842216941
43,399.115,4.842381658
43.25,399.615,4.842007655
43.5,400.115,4.842351137
43.75,400.615,4.842401036
44,401.115,4.842115689
44.25,401.615,4.841911247
44.5,402.115,4.842684445
44.75,402.615,4.841726668
45,403.115,4.841605068
45.25,403.615,4.841360416
45.5,404.115,4.841699054
45.75,404.615,4.841682582
46,405.115,4.841384155
46.25,405.615,4.841400142
46.5,406.115,4.841017903
46.75,406.615,4.841087665
47,407.115,4.841696147
47.25,407.615,4.84149994
47.5,408.115,4.841992636
47.75,408.615,4.840457383
48,409.115,4.84170196
48.25,409.615,4.842090013
48.5,410.115,4.841696147
48.75,410.615,4.841899136
49,411.115,4.84189962
49.25,411.615,4.841796914
49.5,412.115,4.840909868
49.75,412.615,4.841107043
50,413.115,4.840199165
50.25,413.615,4.840104211
50.5,414.115,4.840297026
50.75,414.615,4.839904614
51,415.115,4.839986003
51.25,415.615,4.839487009
51.5,416.115,4.839294679
51.75,416.615,4.838800045
52,417.115,4.838355311
52.25,417.615,4.837639279
52.5,418.115,4.837071007
52.75,418.615,4.837089417
53,419.115,4.837199874
53.25,419.615,4.837712432
53.5,420.115,4.835539145
53.75,420.615,4.835795908
54,421.115,4.836300716
54.25,421.615,4.835680122
54.5,422.115,4.835440315
54.75,422.615,4.835701439
55,423.115,4.836555542
55.25,423.615,4.836909682
55.5,424.115,4.835994537
55.75,424.615,4.835404465
56,425.115,4.835303213
56.25,425.615,4.834497071
56.5,426.115,4.834905955
56.75,426.615,4.834775151
57,427.115,4.833293673
57.25,427.615,4.832903682
57.5,428.115,4.833200172
57.75,428.615,4.833719997
58,429.115,4.831723538
58.25,429.615,4.830484773
58.5,430.115,4.830399993
58.75,430.615,4.83009333
59,431.115,4.829930067
59.25,431.615,4.829000388
59.5,432.115,4.829129254
59.75,432.615,4.82810123
60,433.115,4.828331833
60.25,433.615,4.827394888
60.5,434.115,4.828077492
60.75,434.615,4.826414341
61,435.115,4.825603839
61.25,435.615,4.824306455
61.5,436.115,4.823501767
61.75,436.615,4.822677216
62,437.115,4.821339622
62.25,437.615,4.820500053
62.5,438.115,4.819251115
62.75,438.615,4.818084051
63,439.115,4.816437371
63.25,439.615,4.813997631
63.5,440.115,4.813878938
63.75,440.615,4.811879572
64,441.115,4.809900553
64.25,441.615,4.808122584
64.5,442.115,4.807409944
64.75,442.615,4.805891162
65,443.115,4.80410302
65.25,443.615,4.802552263
65.5,444.115,4.801391497
65.75,444.615,4.800300009
66,445.115,4.798895559
66.25,445.615,4.796696595
66.5,446.115,4.795214148
66.75,446.615,4.793906106
67,447.115,4.79257481
67.25,447.615,4.790797326
67.5,448.115,4.789860865
67.75,448.615,4.786617405
68,449.115,4.785194061
68.25,449.615,4.783643305
68.5,450.115,4.782317822
68.75,450.615,4.781095045
69,451.115,4.779688658
69.25,451.615,4.777980936
69.5,452.115,4.777183031
69.75,452.615,4.775083866
70,453.115,4.77330832
70.25,453.615,4.771866567
70.5,454.115,4.770800755
70.75,454.615,4.768204534
71,455.115,4.767700211
71.25,455.615,4.766514737
71.5,456.115,4.765270159
71.75,456.615,4.763335226
72,457.115,4.760687652
72.25,457.615,4.759198422
72.5,458.115,4.757591953
72.75,458.615,4.756783389
73,459.115,4.755685118
73.25,459.615,4.755098437
73.5,460.115,4.754310221
73.75,460.615,4.752410653
74,461.115,4.751151057
74.25,461.615,4.749802321
74.5,462.115,4.748814507
74.75,462.615,4.7475147
75,463.115,4.745697491
75.25,463.615,4.744745043
75.5,464.115,4.743499012
75.75,464.615,4.74258968
76,465.115,4.74154034
76.25,465.615,4.740301091
76.5,466.115,4.739371897
76.75,466.615,4.738399101
77,467.115,4.738092922
77.25,467.615,4.736507285
77.5,468.115,4.735078128
77.75,468.615,4.73438535
78,469.115,4.733858742
78.25,469.615,4.732891275
78.5,470.115,4.732011496
78.75,470.615,4.731303215
79,471.115,4.728503521
79.25,471.615,4.727408157
79.5,472.115,4.728208485
79.75,472.615,4.727699802
80,473.115,4.72652644
80.25,473.615,4.727103432
80.5,474.115,4.727097134
80.75,474.615,4.727111183
81,475.115,4.726010974
81.25,475.615,4.725591432
81.5,476.115,4.724900108
81.75,476.615,4.724295986
82,477.115,4.723912778
82.25,477.615,4.723500018
82.5,478.115,4.721885798
82.75,478.615,4.722300495
83,479.115,4.721912443
83.25,479.615,4.721000205
83.5,480.115,4.72150259
83.75,480.615,4.722599892
84,481.115,4.722402232
84.25,481.615,4.723405064
84.5,482.115,4.723709305
84.75,482.615,4.7237001
85,483.115,4.723500018
85.25,483.615,4.723397313
85.5,484.115,4.722580513
85.75,484.615,4.72200013
86,485.115,4.722102351
86.25,485.615,4.722402232
86.5,486.115,4.721689591
86.75,486.615,4.720890232
87,487.115,4.720900406
87.25,487.615,4.720600041
87.5,488.115,4.71941166
87.75,488.615,4.718102165
88,489.115,4.718407375
88.25,489.615,4.718486342
88.5,490.115,4.718400108
88.75,490.615,4.71831339
89,491.115,4.717499981
89.25,491.615,4.717512093
89.5,492.115,4.716883748
89.75,492.615,4.716388145
90,493.115,4.716705951
90.25,493.615,4.716502962
90.5,494.115,4.717732522
90.75,494.615,4.716899735
