Time,Temperature,Mass
[s],[K],[mg]
0,313.115,4.0931
6,313.615,4.0931
12,314.115,4.0931
18,314.615,4.0931
24,315.115,4.0931
30,315.615,4.0931
36,316.115,4.0931
42,316.615,4.0931
48,317.115,4.0931
54,317.615,4.0931
60,318.115,4.0931
66,318.615,4.0931
72,319.115,4.0931
78,319.615,4.0931
84,320.115,4.0931
90,320.615,4.0931
96,321.115,4.0931
102,321.615,4.0931
108,322.115,4.0931
114,322.615,4.0931
120,323.115,4.0931
126,323.615,4.0931
132,324.115,4.0931
138,324.615,4.0931
144,325.115,4.0931
150,325.615,4.0931
156,326.115,4.0931
162,326.615,4.0931
168,327.115,4.0931
174,327.615,4.0931
180,328.115,4.0931
186,328.615,4.0931
192,329.115,4.0931
198,329.615,4.0931
204,330.115,4.0931
210,330.615,4.0931
216,331.115,4.0931
222,331.615,4.0931
228,332.115,4.0931
234,332.615,4.0931
240,333.115,4.0931
246,333.615,4.0931
252,334.115,4.0931
258,334.615,4.0931
264,335.115,4.0931
270,335.615,4.0931
276,336.115,4.0931
282,336.615,4.0931
288,337.115,4.0931
294,337.615,4.0931
300,338.115,4.0931
306,338.615,4.0931
312,339.115,4.0931
318,339.615,4.0931
324,340.115,4.0931
330,340.615,4.0931
336,341.115,4.0931
342,341.615,4.0931
348,342.115,4.0931
354,342.615,4.0931
360,343.115,4.0931
366,343.615,4.0931
372,344.115,4.0931
378,344.615,4.0931
384,345.115,4.0931
390,345.615,4.0931
396,346.115,4.0931
402,346.615,4.0931
408,347.115,4.0931
414,347.615,4.0931
420,348.115,4.0931
426,348.615,4.0931
432,349.115,4.0931
438,349.615,4.0931
444,350.115,4.0931
450,350.615,4.0931
456,351.115,4.0931
462,351.615,4.0931
468,352.115,4.0931
474,352.615,4.0931
480,353.115,4.0931
486,353.615,4.0931
492,354.115,4.0931
498,354.615,4.0931
504,355.115,4.0931
510,355.615,4.0931
516,356.115,4.0931
522,356.615,4.0931
528,357.115,4.0931
534,357.615,4.0931
540,358.115,4.0931
546,358.615,4.0931
552,359.115,4.0931
558,359.615,4.0931
564,360.115,4.0931
570,360.615,4.0931
576,361.115,4.0931
582,361.615,4.0931
588,362.115,4.0931
594,362.615,4.0931
600,363.115,4.0931
606,363.615,4.0931
612,364.115,4.0931
618,364.615,4.0931
624,365.115,4.0931
630,365.615,4.0931
636,366.115,4.0931
642,366.615,4.0931
648,367.115,4.0931
654,367.615,4.0931
660,368.115,4.0931
666,368.615,4.0931
672,369.115,4.0931
678,369.615,4.0931
684,370.115,4.0931
690,370.615,4.0931
696,371.115,4.0931
702,371.615,4.0931
708,372.115,4.0931
714,372.615,4.0931
720,373.115,4.0931
726,373.615,4.0931
732,374.115,4.0931
738,374.615,4.0931
744,375.115,4.0931
750,375.615,4.0931
756,376.115,4.0931
762,376.615,4.0931
768,377.115,4.0931
774,377.615,4.0931
780,378.115,4.0931
786,378.615,4.0931
792,379.115,4.0931
798,379.615,4.0931
804,380.115,4.0931
810,380.615,4.0931
816,381.115,4.0931
822,381.615,4.0931
828,382.115,4.0931
834,382.615,4.0931
840,383.115,4.0931
846,383.615,4.0931
852,384.115,4.0931
858,384.615,4.0931
864,385.115,4.0931
870,385.615,4.0931
876,386.115,4.0931
882,386.615,4.0931
888,387.115,4.0931
894,387.615,4.0931
900,388.115,4.0931
906,388.615,4.0931
912,389.115,4.0931
918,389.615,4.0931
924,390.115,4.0931
930,390.615,4.0931
936,391.115,4.0931
942,391.615,4.0931
948,392.115,4.0931
954,392.615,4.0931
960,393.115,4.0931
966,393.615,4.0931
972,394.115,4.0931
978,394.615,4.0931
984,395.115,4.0931
990,395.615,4.0931
996,396.115,4.0931
1002,396.615,4.0931
1008,397.115,4.0931
1014,397.615,4.0931
1020,398.115,4.0931
1026,398.615,4.0931
1032,399.115,4.0931
1038,399.615,4.0931
1044,400.115,4.0931
1050,400.615,4.0931
1056,401.115,4.0931
1062,401.615,4.0931
1068,402.115,4.0931
1074,402.615,4.0931
1080,403.115,4.0931
1086,403.615,4.0931
1092,404.115,4.0931
1098,404.615,4.0931
1104,405.115,4.0931
1110,405.615,4.0931
1116,406.115,4.0931
1122,406.615,4.0931
1128,407.115,4.0931
1134,407.615,4.0931
1140,408.115,4.0931
1146,408.615,4.0931
1152,409.115,4.0931
1158,409.615,4.0931
1164,410.115,4.0931
1170,410.615,4.0931
1176,411.115,4.0931
1182,411.615,4.0931
1188,412.115,4.0931
1194,412.615,4.0931
1200,413.115,4.0931
1206,413.615,4.0931
1212,414.115,4.0931
1218,414.615,4.0931
1224,415.115,4.0931
1230,415.615,4.0931
1236,416.115,4.0931
1242,416.615,4.0931
1248,417.115,4.0931
1254,417.615,4.0931
1260,418.115,4.0931
1266,418.615,4.0931
1272,419.115,4.0931
1278,419.615,4.0931
1284,420.115,4.0931
1290,420.615,4.0931
1296,421.115,4.0931
1302,421.615,4.0931
1308,422.115,4.0931
1314,422.615,4.0931
1320,423.115,4.0931
1326,423.615,4.0931
1332,424.115,4.0931
1338,424.615,4.0931
1344,425.115,4.0931
