Time,Mass
[s],[g]
0,67.7
1,67.648302
2,67.715932
3,67.738149
4,67.619798
5,67.703886
6,67.634462
7,67.628322
8,67.556051
9,67.579271
10,67.543653
11,67.513929
12,67.477564
13,67.437426
14,67.495217
15,67.435866
16,67.571814
17,67.342593
18,67.457682
19,67.349038
20,67.400977
21,67.211605
22,67.323362
23,67.266422
24,67.192932
25,67.170881
26,67.258484
27,67.219048
28,67.12552
29,67.049949
30,67.080939
31,66.890709
32,66.83699
33,66.732956
34,66.749976
35,66.7054
36,66.578718
37,66.486546
38,66.408072
39,66.330719
40,66.276252
41,66.127692
42,66.138057
43,65.896718
44,65.861492
45,65.741947
46,65.443197
47,65.548769
48,65.29562
49,65.258698
50,65.010898
51,65.014476
52,64.92122
53,64.741923
54,64.773874
55,64.393863
56,64.437614
57,64.294949
58,64.044302
59,63.959862
60,63.859172
61,63.728232
62,63.578277
63,63.374688
64,63.363727
65,63.032201
66,63.09654
67,62.954908
68,62.650225
69,62.709611
70,62.305813
71,62.297682
72,62.123111
73,61.987979
74,61.836485
75,61.742127
76,61.600375
77,61.31603
78,61.338646
79,61.015456
80,60.918052
81,60.793025
82,60.672572
83,60.585331
84,60.327705
85,60.245896
86,60.102839
87,59.95131
88,59.73234
89,59.642182
90,59.369297
91,59.151001
92,59.12804
93,58.788194
94,58.647232
95,58.541071
96,58.529735
97,58.281532
98,58.068799
99,57.985151
100,57.67216
101,57.537087
102,57.417817
103,57.314281
104,57.091503
105,57.01245
106,56.716135
107,56.495602
108,56.434874
109,56.279899
110,55.921814
111,55.896729
112,55.654644
113,55.480508
114,55.352868
115,55.06959
116,55.037041
117,54.706542
118,54.687741
119,54.467524
120,54.20391
121,54.117299
122,53.811566
123,53.829207
124,53.488713
125,53.422865
126,53.0437
127,53.071864
128,52.675301
129,52.602972
130,52.34488
131,52.083706
132,52.003297
133,51.622432
134,51.692345
135,51.243461
136,51.236919
137,50.958435
138,50.674124
139,50.64419
140,50.330516
141,50.21878
142,49.87044
143,49.828719
