Time,Mass,HRR
[s],[g],[kW]
0.040006332,69.59,0.261923767
1.053006821,69.36,0.351968864
2.046006851,69.13,0.286069363
3.039006882,68.89,0.203855623
4.045007401,68.64,0.181772964
5.051007919,68.38,0.205364211
6.051007919,68.13,0.345331413
7.051007919,67.87,0.374864598
8.051007919,67.61,0.327672244
9.042009048,67.35,0.237709474
10.04400795,67.09,0.351978947
11.03900688,66.82,0.377333518
12.03800934,66.56,0.347681551
13.05100983,66.29,0.306667479
14.04400604,66.02,0.270171191
15.04500549,65.74,0.277497618
16.04901093,65.46,0.254828255
17.05300873,65.18,2.526636565
18.04801147,64.9,7.225288753
19.05901306,64.62,13.54358294
20.06001251,64.35,18.40673208
21.06801575,64.07,26.27256
22.08201569,63.79,38.22357729
23.09001892,63.5,52.45011756
24.09401672,63.21,66.25216942
25.10201996,62.92,74.34687324
26.11202209,62.63,90.30134825
27.11701935,62.35,109.3413897
28.14302032,62.06,138.9041063
29.16402405,61.76,151.6652612
30.1630246,61.45,155.9898903
31.16402405,61.17,181.8164492
32.17802399,60.89,208.4377341
33.19402283,60.58,228.9936459
34.20802277,60.27,252.0964823
35.22402161,59.98,259.6314864
36.21202057,59.68,278.4832765
37.21902435,59.41,303.0862084
38.21902435,59.12,311.9267229
39.22802704,58.83,330.2787815
40.24002808,58.53,348.3506357
41.22802704,58.23,363.3603042
42.24502533,57.94,393.8796263
43.25002258,57.63,399.3252848
44.26202362,57.34,414.2489015
45.27702301,57.04,421.2047324
46.2960202,56.75,438.0704606
47.29302185,56.45,468.2816709
48.2940213,56.15,495.7087198
49.28902405,55.85,489.695791
50.29702728,55.56,496.6256314
51.29302948,55.25,520.3824719
52.29402893,54.95,514.0542238
53.29003113,54.64,518.3977886
54.29203003,54.34,527.539085
55.30503052,54.05,531.8134655
56.29402893,53.75,526.779201
57.29302948,53.45,560.4669517
58.30303162,53.15,580.3320966
59.29203003,52.84,602.4705858
60.30203217,52.54,587.7490717
61.28903168,52.22,601.6741996
62.29103058,51.93,603.055368
63.28903168,51.63,588.7286122
64.28903168,51.32,636.0350892
65.29302948,51.01,603.7399327
66.30203217,50.7,626.3966489
67.28803223,50.39,622.3739894
68.29302948,50.09,614.7631269
69.30403107,49.78,615.4014629
70.3120343,49.46,599.0935776
71.33203094,49.15,638.8414551
72.33602875,48.84,647.5876906
73.34303253,48.52,650.3457075
74.35403412,48.2,666.3027701
75.36603516,47.89,652.0349442
76.38903778,47.57,669.7291874
77.40303772,47.24,655.1427378
78.41703766,46.92,658.1469873
79.42103546,46.59,696.6389131
80.41903656,46.27,656.324763
81.41303986,45.95,649.5782425
82.41303223,45.63,648.8537647
83.41303223,45.3,673.9606861
84.41403931,44.97,645.0614089
85.42003601,44.65,661.6904162
86.42003601,44.31,693.4586811
87.42104309,44,661.7805757
88.41403931,43.69,675.0282695
89.41704529,43.37,673.5982305
90.42703979,43.04,684.7294348
91.41403931,42.7,700.118568
92.41504639,42.38,676.5137266
93.42404907,42.04,692.8258299
94.42604797,41.7,713.9244311
95.42504089,41.36,704.3024479
96.41704529,41.03,707.6428482
97.4290387,40.7,696.3293977
98.4330365,40.36,720.3141837
99.44904297,40.02,704.9673069
100.4650494,39.67,705.5445136
101.4820477,39.33,718.1121196
102.5010449,38.99,690.4429365
103.5210492,38.64,695.3026971
104.5120465,38.28,697.1172683
105.5070416,37.94,686.2366859
106.5170361,37.59,741.178607
107.5300366,37.23,701.2882375
108.5500409,36.87,722.694711
109.5400464,36.5,726.3176129
110.5470502,36.15,711.1156145
111.5420453,35.79,750.6909118
112.5420453,35.43,733.295479
113.5490491,35.06,697.8836435
114.5450513,34.68,691.5307925
115.5390546,34.32,713.660416
116.5390546,33.95,740.654151
117.5440594,33.58,767.677172
118.5480573,33.19,687.8113452
119.5420605,32.81,708.3656177
120.5530621,32.42,731.6856377
121.5470654,32.04,727.0744898
122.5500714,31.65,757.2298427
123.5500714,31.27,746.6980049
124.5420758,30.88,755.1481837
125.5510785,30.48,719.2481222
126.5520856,30.05,762.7009804
127.5450818,29.64,752.208735
128.5450818,29.22,737.1105075
129.5510785,28.81,718.0967628
130.5490796,28.4,726.1847987
131.5430829,27.98,734.1663939
132.5430829,27.57,744.0886013
133.5510785,27.14,773.2163201
134.5390851,26.71,789.8089108
135.5510785,26.31,752.6445412
136.5440747,25.88,788.7876599
137.5510785,25.46,783.392125
138.5400769,25.04,743.5134625
139.5430829,24.62,798.2044428
140.5500867,24.21,843.9378453
141.5520856,23.77,817.0317063
142.5490796,23.33,802.1017891
143.5500867,22.89,807.6938496
144.5380933,22.44,811.8108357
145.5400922,21.98,797.7351815
146.545097,21.53,783.4675809
147.5461041,21.06,781.4246247
148.5461041,20.59,773.1910861
149.5461041,20.12,829.4956468
150.551109,19.65,794.3121976
151.5431134,19.17,809.4222663
152.5461194,18.71,847.8839168
153.5491254,18.25,844.0880769
154.5501324,17.82,884.8992078
155.5801312,17.37,883.3340709
156.5401379,16.93,904.0008581
157.5531384,16.53,895.0141955
158.538139,16.15,944.7444696
159.5521466,15.8,973.9564263
160.5471417,15.48,996.817704
161.5471417,15.2,1015.0933
162.5421368,14.95,1053.778081
163.5491406,14.74,1068.469312
164.5391461,14.52,1091.676388
165.5511395,14.33,1116.892061
166.5431439,14.14,1119.156542
167.5401379,13.96,1139.434548
168.5441357,13.79,1157.628308
169.5431287,13.62,1158.96247
170.5471265,13.47,1165.778431
171.5461194,13.31,1193.730515
172.5521161,13.16,1228.062399
173.551109,13.01,1235.158591
174.5431134,12.86,1242.399261
175.5451123,12.72,1245.626209
176.5531079,12.59,1269.22109
