Temp,time,TGA,DSC,Sensitivity,Heating Rate,Heat Capacity
[K],[s],[mg],[uV/mg],[mW/uV],[K/s],[J/g/K]
322.1,0.0,3.9605,-3.63E-03,2.861,0.005,-2.21
322.2,21.3,3.9586,1.78E-03,2.269,0.008,0.52
322.3,25.8,3.9588,7.48E-03,2.059,0.026,0.59
322.4,28.9,3.9588,1.70E-02,2.129,0.037,0.97
322.5,31.2,3.9576,2.27E-02,2.123,0.048,1.01
322.6,33.1,3.9567,2.54E-02,2.008,0.054,0.95
322.7,34.9,3.9572,3.25E-02,1.988,0.058,1.11
322.8,36.5,3.9586,3.88E-02,1.927,0.062,1.20
322.9,38.1,3.9588,4.33E-02,1.834,0.067,1.19
323.0,39.5,3.9583,4.77E-02,1.793,0.073,1.17
323.1,40.9,3.9581,5.58E-02,1.764,0.078,1.26
323.2,42.1,3.9585,6.10E-02,1.736,0.082,1.29
323.3,43.3,3.9586,6.66E-02,1.715,0.087,1.31
323.4,44.4,3.9581,7.21E-02,1.680,0.091,1.33
323.5,45.5,3.9573,7.69E-02,1.642,0.096,1.32
323.6,46.5,3.9578,7.96E-02,1.639,0.100,1.31
323.7,47.5,3.9577,8.67E-02,1.627,0.104,1.36
323.8,48.4,3.9577,8.92E-02,1.586,0.108,1.31
323.9,49.3,3.9574,9.45E-02,1.568,0.111,1.33
324.0,50.2,3.9576,0.10007,1.528,0.112,1.36
324.1,51.1,3.9575,0.10575,1.505,0.115,1.39
324.2,52.0,3.9576,0.10947,1.494,0.119,1.38
324.3,52.8,3.9578,0.11528,1.490,0.123,1.40
324.4,53.6,3.9582,0.11925,1.485,0.126,1.41
324.5,54.4,3.9581,0.12374,1.460,0.128,1.41
324.6,55.2,3.9575,0.12599,1.452,0.130,1.41
324.7,55.9,3.9572,0.13233,1.438,0.133,1.44
324.8,56.7,3.9566,0.13787,1.429,0.138,1.43
324.9,57.4,3.9562,0.1405,1.412,0.143,1.39
325.0,58.1,3.9573,0.14317,1.406,0.144,1.39
325.1,58.8,3.9574,0.1485,1.398,0.146,1.43
