time,Temp,TGA
[s],[K],[mg]
20.2,322,3.9488
35,322.5,3.9492
42.1,323,3.9482
47.4,323.5,3.9501
51.8,324,3.9492
55.7,324.5,3.9486
59.3,325,3.9477
62.4,325.5,3.948
65.4,326,3.9488
68.3,326.5,3.9497
70.9,327,3.9497
73.5,327.5,3.949
76,328,3.9497
78.3,328.5,3.9487
80.6,329,3.9486
82.8,329.5,3.9483
85,330,3.9467
87.1,330.5,3.9473
89.2,331,3.9471
91.3,331.5,3.9485
93.3,332,3.9477
95.2,332.5,3.948
97.2,333,3.9482
99.1,333.5,3.9482
101,334,3.9484
102.8,334.5,3.9481
104.7,335,3.9478
106.5,335.5,3.9476
108.3,336,3.9478
110.1,336.5,3.948
111.8,337,3.9478
113.6,337.5,3.9474
115.3,338,3.9481
117.1,338.5,3.9482
118.8,339,3.9479
120.5,339.5,3.9489
122.2,340,3.9493
123.9,340.5,3.9491
125.6,341,3.9486
127.3,341.5,3.9481
129,342,3.9474
130.6,342.5,3.9474
132.3,343,3.9478
133.9,343.5,3.9475
135.6,344,3.9476
137.2,344.5,3.9477
138.9,345,3.9467
140.5,345.5,3.9473
142.1,346,3.9469
143.8,346.5,3.9474
145.4,347,3.9477
147,347.5,3.9478
148.6,348,3.9488
150.2,348.5,3.9475
151.9,349,3.9486
153.5,349.5,3.9474
155.1,350,3.9472
156.7,350.5,3.9472
158.3,351,3.9473
159.9,351.5,3.9476
161.5,352,3.9473
163.1,352.5,3.9474
164.7,353,3.9487
166.3,353.5,3.9474
167.9,354,3.9485
169.5,354.5,3.9484
171,355,3.9486
172.6,355.5,3.9479
174.2,356,3.9473
175.8,356.5,3.9473
177.4,357,3.9472
178.9,357.5,3.9473
180.5,358,3.9464
182.1,358.5,3.9473
183.6,359,3.9473
185.2,359.5,3.946
186.8,360,3.9472
188.3,360.5,3.9473
189.9,361,3.9459
191.5,361.5,3.9473
193,362,3.9459
194.6,362.5,3.9474
196.1,363,3.9473
197.7,363.5,3.9463
199.2,364,3.946
200.7,364.5,3.9473
202.3,365,3.9473
203.8,365.5,3.9466
205.4,366,3.9473
206.9,366.5,3.9473
208.4,367,3.9473
210,367.5,3.9472
211.5,368,3.9476
213,368.5,3.9473
214.5,369,3.9478
216.1,369.5,3.9472
217.6,370,3.9473
219.1,370.5,3.9474
220.7,371,3.9486
222.2,371.5,3.9483
223.7,372,3.9473
225.2,372.5,3.9473
226.7,373,3.9467
228.2,373.5,3.9473
229.7,374,3.9467
231.3,374.5,3.946
232.8,375,3.9473
234.3,375.5,3.9473
235.8,376,3.9473
237.3,376.5,3.9473
238.8,377,3.9473
240.3,377.5,3.9473
241.8,378,3.948
243.4,378.5,3.9487
244.9,379,3.9473
246.4,379.5,3.9473
247.9,380,3.9473
249.4,380.5,3.9472
250.9,381,3.9473
252.4,381.5,3.9463
253.9,382,3.9459
255.4,382.5,3.9459
256.9,383,3.946
258.4,383.5,3.945
259.8,384,3.9446
261.3,384.5,3.9446
262.8,385,3.9447
264.3,385.5,3.9459
265.8,386,3.9453
267.3,386.5,3.9459
268.8,387,3.946
270.3,387.5,3.946
271.8,388,3.946
273.2,388.5,3.945
274.7,389,3.9449
276.2,389.5,3.9456
277.7,390,3.9456
279.2,390.5,3.946
280.7,391,3.946
282.1,391.5,3.946
283.6,392,3.9458
285.1,392.5,3.9463
286.6,393,3.9459
288.1,393.5,3.9459
289.5,394,3.9459
291,394.5,3.945
292.5,395,3.9446
293.9,395.5,3.9459
295.4,396,3.946
296.9,396.5,3.9459
298.4,397,3.9459
299.8,397.5,3.9459
301.3,398,3.9459
302.7,398.5,3.9459
304.2,399,3.9459
305.7,399.5,3.9459
307.1,400,3.9452
308.6,400.5,3.9459
310.1,401,3.9459
311.5,401.5,3.946
313,402,3.9447
314.4,402.5,3.9446
315.9,403,3.9432
317.4,403.5,3.9433
318.8,404,3.9432
320.3,404.5,3.9446
321.8,405,3.9446
323.2,405.5,3.9446
324.7,406,3.9436
326.1,406.5,3.9447
327.6,407,3.9446
329,407.5,3.9446
330.5,408,3.9438
331.9,408.5,3.9433
333.4,409,3.9433
334.8,409.5,3.9433
336.3,410,3.9433
337.7,410.5,3.9433
339.2,411,3.9433
340.6,411.5,3.9433
342,412,3.944
343.5,412.5,3.9438
344.9,413,3.9433
346.4,413.5,3.9433
