Time,Mass
[s],[g]
-0.4,74.721
4.4,75.035
9.5,74.721
14,74.784
19,74.784
24,74.282
29.3,72.964
34.3,72.588
39,71.271
44,70.204
49.6,68.636
54,67.507
59,65.186
64.5,64.057
69.2,62.74
74,61.36
79.2,59.415
84,58.035
89.3,56.655
94,54.209
99,52.641
104,51.261
110.2,48.752
114,46.807
119,45.553
124,43.044
129,41.224
134.5,38.402
139,36.645
144,34.638
149,32.819
155.2,29.118
160.3,27.174
164.4,25.041
169,22.908
174.4,21.214
179.3,17.764
184,15.883
189.4,13.499
194,10.425
199,8.355
204,6.913
209.3,5.093
214,3.839
219,3.086
224.1,3.023
229,2.396
234.1,2.208
239.3,2.333
244,2.333
249.1,2.145
254,2.459
259,2.083
264.8,2.271
269,2.522
274,2.647
279.5,2.522
284.3,2.522
289.3,2.647
295.6,2.333
300.3,2.522
305,2.271
309,2.208
314,2.333
319,2.459
324,2.271
329,2.522
335.1,2.271
339.6,2.522
344,2.522
349,2.522
