Time,Temperature,Mass
[s],[K],[mg]
0,299.402,1.993
61.8,304.402,1.994095353
84.7,309.402,1.996834532
105,314.402,1.994001283
126,319.402,1.996098318
147,324.402,1.994959318
169,329.402,1.995642917
193,334.402,1.997440404
219,339.402,1.997018885
247,344.402,2.001508117
277,349.402,2.00426344
307,354.402,2.006434414
338,359.402,2.005818577
368,364.402,2.007917804
399,369.402,2.007994535
429,374.402,2.010981045
459,379.402,2.011933699
489,384.402,2.014107265
520,389.402,2.011401369
550,394.402,2.010920657
580,399.402,2.013109171
609,404.402,2.013015101
639,409.402,2.012011028
669,414.402,2.008989042
699,419.402,2.011012335
729,424.402,2.008000713
759,429.402,2.005007825
789,434.402,2.004923123
819,439.402,2.006009108
849,444.402,2.006052755
879,449.402,2.005934969
909,454.402,2.006029238
939,459.402,2.004978329
969,464.402,2.003976647
999,469.402,2.007000825
1030,474.402,2.007992143
1060,479.402,2.006001336
1090,484.402,2.002004573
1120,489.402,2.003999965
1150,494.402,2.001967703
1180,499.402,2.002010951
1210,504.402,2.002999678
1240,509.402,2.003996178
1270,514.402,2.00300785
1300,519.402,2.002978951
1330,524.402,2.002976759
1360,529.402,2.002974965
1390,534.402,2.00101764
1420,539.402,1.998995941
1450,544.402,1.991991542
1480,549.402,1.977962815
1510,554.402,1.951839169
1540,559.402,1.914758607
1570,564.402,1.838546885
1600,569.402,1.757044345
1630,574.402,1.67095392
1660,579.402,1.574152714
1690,584.402,1.473332226
1720,589.402,1.38740981
1750,594.402,1.310456493
1780,599.402,1.225556885
1810,604.402,1.13456069
1840,609.402,1.031159267
1870,614.402,0.918066681
1900,619.402,0.801029749
1930,624.402,0.68104517
1960,629.402,0.563175363
1990,634.402,0.457296042
2020,639.402,0.365396819
2050,644.402,0.291465289
2080,649.402,0.231779722
2110,654.402,0.181913467
2140,659.402,0.144858813
2170,664.402,0.112893684
2200,669.402,0.090851702
2230,674.402,0.073898846
2260,679.402,0.063978688
2290,684.402,0.057921563
2320,689.402,0.055863989
2350,694.402,0.055999912
2380,699.402,0.055999912
2410,704.402,0.058063663
2440,709.402,0.059002366
2470,714.402,0.0569998
2500,719.402,0.055992538
2530,724.402,0.05600051
2560,729.402,0.056998604
2590,734.402,0.058999975
2620,739.402,0.058999975
2650,744.402,0.059003762
2680,749.402,0.056999999
2710,754.402,0.055932349
2740,759.402,0.055000024
2770,764.402,0.055000024
2800,769.402,0.053040706
2830,774.402,0.052999849
2860,779.402,0.052999849
2890,784.402,0.052999849
2920,789.402,0.055135946
2950,794.402,0.053926594
2980,799.402,0.054008706
3010,804.402,0.057004185
3040,809.402,0.056999999
3070,814.402,0.058004272
3100,819.402,0.057999887
3130,824.402,0.056983856
3160,829.402,0.057980555
3190,834.402,0.058048517
3220,839.402,0.05602901
3250,844.402,0.055000024
3280,849.402,0.055031713
3310,854.402,0.054000136
3340,859.402,0.052937269
3370,864.402,0.053000048
3400,869.402,0.053000048
3430,874.402,0.053000048
3460,879.402,0.052977328
3490,884.402,0.055006601
3520,889.402,0.058877206
3550,894.402,0.057000199
3580,899.402,0.055933346
3610,904.402,0.057009964
3640,909.402,0.056999999
3670,914.402,0.056999999
