Time,Temperature,Mass
[s],[K],[mg]
0,301.243,3.18254
10,301.173,3.18228
20,301.09,3.1821
30,301.031,3.18209
40,300.966,3.18205
50,300.899,3.18173
60,300.857,3.18201
70,300.834,3.1818
80,300.783,3.182
90,300.748,3.18168
100,300.716,3.18104
110,300.685,3.18139
120,300.645,3.18199
130,300.621,3.18199
140,300.598,3.18197
150,300.579,3.18179
160,300.555,3.18114
170,300.54,3.181
180,300.506,3.181
190,300.478,3.181
200,300.458,3.181
210,300.467,3.181
220,300.461,3.181
230,300.43,3.181
240,300.402,3.18108
250,300.394,3.1813
260,300.383,3.1814
270,300.375,3.18175
280,300.381,3.18132
290,300.372,3.18146
300,300.345,3.18066
310,300.418,3.18142
320,300.623,3.18145
330,300.867,3.18134
340,301.163,3.18122
350,301.483,3.18123
360,301.814,3.18114
370,302.174,3.18112
380,302.54,3.18098
390,302.929,3.18089
400,303.317,3.18081
410,303.722,3.18078
420,304.122,3.18076
430,304.514,3.18078
440,304.931,3.18031
450,305.338,3.18034
460,305.745,3.18041
470,306.147,3.18033
480,306.541,3.18041
490,306.947,3.18028
500,307.34,3.18017
510,307.739,3.18012
520,308.144,3.18043
530,308.542,3.18016
540,308.942,3.1803
550,309.338,3.18001
560,309.735,3.17978
570,310.119,3.1796
580,310.51,3.17968
590,310.904,3.17955
600,311.304,3.17945
610,311.701,3.1794
620,312.091,3.17936
630,312.47,3.1793
640,312.864,3.17923
650,313.265,3.17932
660,313.649,3.17923
670,314.03,3.17915
680,314.428,3.17907
690,314.812,3.1787
700,315.202,3.17873
710,315.587,3.17855
720,315.982,3.17851
730,316.366,3.17834
740,316.758,3.17827
750,317.141,3.17821
760,317.531,3.17803
770,317.921,3.17787
780,318.311,3.17784
790,318.704,3.17783
800,319.088,3.17777
810,319.479,3.17788
820,319.866,3.17778
830,320.256,3.17784
840,320.648,3.1778
850,321.041,3.17805
860,321.424,3.1778
870,321.808,3.17783
880,322.199,3.17805
890,322.585,3.17768
900,322.972,3.17779
910,323.369,3.1777
920,323.758,3.17757
930,324.149,3.17753
940,324.538,3.17757
950,324.926,3.17735
960,325.316,3.17738
970,325.698,3.17726
980,326.096,3.17754
990,326.478,3.17749
1000,326.869,3.17736
1010,327.256,3.1773
1020,327.666,3.17719
1030,328.041,3.17731
1040,328.431,3.17721
1050,328.83,3.17725
1060,329.212,3.17706
1070,329.605,3.17709
1080,329.999,3.17708
1090,330.392,3.17707
1100,330.787,3.17696
1110,331.166,3.17694
1120,331.56,3.17696
1130,331.946,3.17691
1140,332.347,3.17706
1150,332.741,3.17684
1160,333.124,3.17659
1170,333.51,3.17675
1180,333.916,3.17676
1190,334.3,3.17655
1200,334.703,3.17665
1210,335.087,3.17679
1220,335.487,3.17673
1230,335.867,3.17659
1240,336.256,3.17674
1250,336.647,3.17679
1260,337.043,3.17656
1270,337.447,3.17672
1280,337.834,3.17644
1290,338.225,3.17628
1300,338.616,3.17635
1310,339.018,3.17641
1320,339.413,3.17644
1330,339.809,3.17655
1340,340.197,3.17665
1350,340.582,3.17655
1360,340.992,3.17655
1370,341.378,3.17641
1380,341.775,3.17622
1390,342.175,3.17623
1400,342.568,3.17635
1410,342.956,3.17646
1420,343.343,3.17631
1430,343.749,3.17638
1440,344.145,3.17628
1450,344.546,3.17615
1460,344.929,3.17622
1470,345.338,3.17634
1480,345.722,3.1763
1490,346.122,3.17606
1500,346.526,3.17601
1510,346.908,3.17605
1520,347.308,3.17613
1530,347.711,3.17609
1540,348.114,3.17604
1550,348.499,3.17592
1560,348.901,3.17588
1570,349.298,3.17598
1580,349.694,3.17591
1590,350.092,3.17602
1600,350.481,3.17596
1610,350.891,3.17574
1620,351.285,3.17577
1630,351.681,3.17569
1640,352.082,3.1756
1650,352.482,3.17528
1660,352.871,3.17553
1670,353.278,3.1755
1680,353.678,3.17548
1690,354.068,3.17538
1700,354.468,3.17517
1710,354.868,3.17534
1720,355.267,3.1754
1730,355.668,3.17515
1740,356.062,3.17505
1750,356.469,3.17522
1760,356.867,3.17512
1770,357.267,3.17519
1780,357.667,3.17484
1790,358.063,3.1749
1800,358.462,3.17484
1810,358.864,3.17471
1820,359.254,3.17443
1830,359.661,3.1748
1840,360.067,3.17497
1850,360.455,3.17467
1860,360.869,3.17445
1870,361.272,3.17481
1880,361.668,3.17481
1890,362.074,3.17473
1900,362.469,3.17467
1910,362.869,3.17473
1920,363.278,3.17437
1930,363.683,3.1742
1940,364.079,3.17428
1950,364.473,3.17462
1960,364.876,3.17442
1970,365.269,3.17413
1980,365.689,3.17415
1990,366.084,3.17433
2000,366.48,3.17394
2010,366.894,3.17403
2020,367.301,3.17407
2030,367.697,3.17374
2040,368.098,3.17396
2050,368.506,3.17391
2060,368.9,3.17385
2070,369.306,3.17387
2080,369.717,3.17402
2090,370.113,3.17391
2100,370.525,3.17362
2110,370.928,3.17371
2120,371.328,3.17376
2130,371.736,3.17365
2140,372.133,3.17362
2150,372.536,3.17395
2160,372.942,3.17368
2170,373.352,3.17344
2180,373.753,3.17381
2190,374.16,3.17362
2200,374.561,3.17343
2210,374.961,3.17382
2220,375.372,3.17345
2230,375.77,3.17322
2240,376.188,3.17354
2250,376.582,3.17312
2260,376.993,3.17315
2270,377.412,3.17307
2280,377.808,3.17294
2290,378.218,3.17292
2300,378.622,3.17257
2310,379.033,3.17291
2320,379.425,3.17252
2330,379.844,3.17242
2340,380.235,3.17243
2350,380.649,3.17215
2360,381.055,3.17264
2370,381.462,3.17244
2380,381.878,3.17245
2390,382.287,3.17226
2400,382.674,3.1719
2410,383.096,3.17209
2420,383.495,3.17174
2430,383.903,3.17178
2440,384.314,3.1718
2450,384.72,3.17151
2460,385.139,3.17165
2470,385.536,3.17116
2480,385.95,3.1713
2490,386.35,3.171
2500,386.762,3.17103
2510,387.164,3.1714
2520,387.568,3.17086
2530,387.975,3.17102
2540,388.377,3.17049
2550,388.799,3.17083
2560,389.208,3.17065
2570,389.611,3.17027
2580,390.022,3.17056
2590,390.417,3.1701
2600,390.839,3.17035
2610,391.243,3.16995
2620,391.653,3.17007
2630,392.068,3.16996
2640,392.469,3.17001
2650,392.883,3.16982
2660,393.286,3.16974
2670,393.693,3.16958
2680,394.109,3.16926
2690,394.502,3.16974
2700,394.927,3.16918
2710,395.333,3.1696
2720,395.741,3.16906
2730,396.148,3.16923
2740,396.561,3.16887
2750,396.972,3.16906
2760,397.373,3.16859
2770,397.789,3.16897
2780,398.193,3.16831
2790,398.605,3.16848
2800,399.015,3.16805
2810,399.426,3.1678
2820,399.825,3.1679
2830,400.224,3.16765
2840,400.65,3.16769
2850,401.055,3.16784
2860,401.475,3.16735
2870,401.882,3.16752
2880,402.297,3.16724
2890,402.712,3.1673
2900,403.12,3.16706
2910,403.525,3.16703
2920,403.929,3.16692
2930,404.34,3.16616
2940,404.757,3.1666
2950,405.183,3.16603
2960,405.579,3.16628
2970,406.003,3.16595
2980,406.412,3.16584
2990,406.818,3.16583
3000,407.221,3.16505
3010,407.649,3.1653
3020,408.048,3.16492
3030,408.47,3.16482
3040,408.883,3.16456
3050,409.289,3.16413
3060,409.706,3.16445
3070,410.12,3.16403
3080,410.534,3.16375
3090,410.945,3.16408
3100,411.35,3.16328
3110,411.775,3.16388
3120,412.179,3.16316
3130,412.589,3.16314
3140,412.997,3.16303
3150,413.407,3.16267
3160,413.816,3.16294
3170,414.235,3.16237
3180,414.652,3.16284
3190,415.059,3.16239
3200,415.473,3.16225
3210,415.886,3.16213
3220,416.295,3.16182
3230,416.716,3.16193
3240,417.123,3.1616
3250,417.545,3.16138
3260,417.956,3.16152
3270,418.362,3.16101
3280,418.782,3.16094
3290,419.198,3.16092
3300,419.609,3.16052
3310,420.027,3.16089
3320,420.433,3.1601
3330,420.863,3.16024
3340,421.268,3.16004
3350,421.689,3.15939
3360,422.102,3.15983
3370,422.523,3.15922
3380,422.928,3.15895
3390,423.341,3.15904
3400,423.753,3.15879
3410,424.181,3.15815
3420,424.591,3.15845
3430,425.002,3.15801
3440,425.435,3.15738
3450,425.85,3.15778
3460,426.256,3.15719
3470,426.668,3.15694
3480,427.086,3.15703
3490,427.501,3.15696
3500,427.916,3.15623
3510,428.33,3.15638
3520,428.748,3.15617
3530,429.164,3.15594
3540,429.564,3.15554
3550,429.985,3.1557
3560,430.394,3.15507
3570,430.809,3.15493
3580,431.221,3.15501
3590,431.639,3.15469
3600,432.058,3.15405
3610,432.466,3.15461
3620,432.885,3.15403
3630,433.298,3.15385
3640,433.711,3.15363
3650,434.126,3.15386
3660,434.54,3.15309
3670,434.954,3.15281
3680,435.367,3.15298
3690,435.788,3.15284
3700,436.202,3.1521
3710,436.615,3.15251
3720,437.031,3.15208
3730,437.452,3.15181
3740,437.862,3.15108
3750,438.288,3.15147
3760,438.698,3.15118
3770,439.116,3.151
3780,439.538,3.15016
3790,439.949,3.15019
3800,440.366,3.15021
3810,440.779,3.14979
3820,441.198,3.14918
3830,441.609,3.14973
3840,442.019,3.14912
3850,442.45,3.14893
3860,442.861,3.14833
3870,443.28,3.14868
3880,443.701,3.14847
3890,444.121,3.14806
3900,444.526,3.14718
3910,444.951,3.14735
3920,445.363,3.14729
3930,445.778,3.14702
3940,446.197,3.14678
3950,446.617,3.1462
3960,447.019,3.14651
3970,447.445,3.14604
3980,447.866,3.14557
3990,448.283,3.14503
4000,448.699,3.14478
4010,449.112,3.145
4020,449.537,3.14467
4030,449.954,3.14402
4040,450.363,3.14358
4050,450.779,3.14369
4060,451.198,3.14367
4070,451.616,3.14296
4080,452.033,3.14274
4090,452.448,3.14199
4100,452.871,3.14245
4110,453.283,3.14219
4120,453.703,3.14199
4130,454.121,3.14127
4140,454.538,3.14101
4150,454.952,3.14036
4160,455.371,3.14014
4170,455.795,3.14055
4180,456.205,3.14002
4190,456.622,3.13964
4200,457.046,3.13902
4210,457.464,3.13894
4220,457.885,3.13816
4230,458.295,3.13796
4240,458.715,3.13782
4250,459.132,3.13799
4260,459.548,3.13754
4270,459.965,3.13702
4280,460.386,3.13666
4290,460.807,3.13604
4300,461.225,3.13589
4310,461.641,3.13512
4320,462.062,3.13499
4330,462.478,3.13429
4340,462.894,3.13433
4350,463.314,3.13401
4360,463.729,3.134
4370,464.142,3.13369
4380,464.56,3.13304
4390,464.977,3.13281
4400,465.386,3.13207
4410,465.806,3.13197
4420,466.228,3.13126
4430,466.641,3.13099
4440,467.067,3.13063
4450,467.492,3.13089
4460,467.906,3.13049
4470,468.326,3.13003
4480,468.744,3.12989
4490,469.153,3.12928
4500,469.575,3.12902
4510,469.996,3.12897
4520,470.417,3.1282
4530,470.834,3.1279
4540,471.247,3.12797
4550,471.667,3.12785
4560,472.088,3.12706
4570,472.504,3.12691
4580,472.925,3.12645
4590,473.349,3.12645
4600,473.761,3.12683
4610,474.181,3.1261
4620,474.597,3.12595
4630,475.01,3.1252
4640,475.435,3.12588
4650,475.863,3.12548
4660,476.282,3.12502
4670,476.695,3.12481
4680,477.112,3.12409
4690,477.531,3.1246
4700,477.953,3.12427
4710,478.372,3.12401
4720,478.792,3.12408
4730,479.207,3.12405
4740,479.624,3.12397
4750,480.046,3.12342
4760,480.473,3.1236
4770,480.878,3.12359
4780,481.308,3.12306
4790,481.728,3.12322
4800,482.141,3.12299
4810,482.572,3.12291
4820,482.985,3.1224
4830,483.408,3.12241
4840,483.825,3.12276
4850,484.245,3.12206
4860,484.665,3.12217
4870,485.085,3.12209
4880,485.492,3.12201
4890,485.915,3.12181
4900,486.341,3.12111
4910,486.751,3.12195
4920,487.175,3.12144
4930,487.589,3.12103
4940,488.007,3.12108
4950,488.423,3.12112
4960,488.842,3.12101
4970,489.258,3.1206
4980,489.688,3.12045
4990,490.107,3.12096
5000,490.518,3.12024
5010,490.934,3.12001
5020,491.356,3.11975
5030,491.779,3.11992
5040,492.196,3.11979
5050,492.613,3.119
5060,493.033,3.11923
5070,493.455,3.11937
5080,493.872,3.11901
5090,494.283,3.11885
5100,494.714,3.11817
5110,495.129,3.11889
5120,495.554,3.11845
5130,495.969,3.11802
5140,496.389,3.11796
5150,496.8,3.11775
5160,497.221,3.11797
5170,497.65,3.11757
5180,498.07,3.11704
5190,498.483,3.11706
5200,498.909,3.11652
5210,499.322,3.11679
5220,499.738,3.11668
5230,500.167,3.11607
5240,500.59,3.116
5250,500.999,3.11546
5260,501.421,3.11502
5270,501.836,3.11471
5280,502.258,3.11404
5290,502.672,3.11405
5300,503.091,3.11444
5310,503.51,3.11402
5320,503.928,3.11386
5330,504.356,3.11312
5340,504.776,3.11301
5350,505.193,3.11293
5360,505.605,3.11217
5370,506.029,3.11201
5380,506.457,3.11156
5390,506.878,3.11103
5400,507.297,3.11094
5410,507.714,3.11026
5420,508.128,3.11012
5430,508.55,3.11
5440,508.966,3.10915
5450,509.39,3.10899
5460,509.803,3.1083
5470,510.231,3.10802
5480,510.65,3.10795
5490,511.07,3.10719
5500,511.48,3.10701
5510,511.908,3.1069
5520,512.325,3.10617
5530,512.743,3.106
5540,513.16,3.10586
5550,513.583,3.10487
5560,513.999,3.10444
5570,514.416,3.10374
5580,514.842,3.10314
5590,515.266,3.10309
5600,515.686,3.1027
5610,516.105,3.10203
5620,516.516,3.10108
5630,516.937,3.10059
5640,517.357,3.10003
5650,517.779,3.09995
5660,518.201,3.09869
5670,518.622,3.09801
5680,519.04,3.09775
5690,519.462,3.09691
5700,519.874,3.09604
5710,520.295,3.09562
5720,520.715,3.09504
5730,521.134,3.09401
5740,521.551,3.0933
5750,521.972,3.09294
5760,522.393,3.09179
5770,522.808,3.09104
5780,523.229,3.09039
5790,523.648,3.08975
5800,524.066,3.08905
5810,524.482,3.08807
5820,524.902,3.08747
5830,525.322,3.08609
5840,525.751,3.08599
5850,526.162,3.08454
5860,526.576,3.08377
5870,527.007,3.08293
5880,527.423,3.08212
5890,527.843,3.08104
5900,528.267,3.08023
5910,528.683,3.07969
5920,529.105,3.0782
5930,529.516,3.07746
5940,529.94,3.07636
5950,530.364,3.07502
5960,530.772,3.07403
5970,531.197,3.07283
