Time,Temperature,Heat Flow
[s],[K],[W/g]
1200.3498,308.35,9.84E-03
1276.9074,308.45,4.70E-03
1294.5276,308.55,4.30E-03
1306.9092,308.65,4.74E-03
1316.217,308.75,2.04E-03
1324.1088,308.85,1.26E-03
1331.067,308.95,-7.13E-05
1337.1,309.05,1.05E-03
1342.6254,309.15,-1.94E-04
1347.6804,309.25,-6.84E-04
1352.3556,309.35,-2.41E-03
1356.7548,309.45,-2.46E-03
1360.9926,309.55,-4.05E-03
1364.9052,309.65,-4.45E-03
1368.5088,309.75,-5.11E-03
1372.0098,309.85,-5.38E-03
1375.2912,309.95,-5.21E-03
1378.5012,310.05,-5.53E-03
1381.56,310.15,-5.14E-03
1384.5246,310.25,-6.80E-03
1387.4178,310.35,-8.13E-03
1390.23,310.45,-8.14E-03
1392.9924,310.55,-9.62E-03
1395.6408,310.65,-7.60E-03
1398.2064,310.75,-9.93E-03
1400.6904,310.85,-9.34E-03
1403.151,310.95,-9.66E-03
1405.5162,311.05,-1.14E-02
1407.8064,311.15,-1.05E-02
1410.1026,311.25,-1.15E-02
1412.3226,311.35,-1.15E-02
1414.4922,311.45,-1.15E-02
1416.597,311.55,-1.22E-02
1418.6814,311.65,-1.40E-02
1420.761,311.75,-1.33E-02
1422.7686,311.85,-1.63E-02
1424.7576,311.95,-1.36E-02
1426.7022,312.05,-1.57E-02
1428.5868,312.15,-1.70E-02
1430.4984,312.25,-1.81E-02
1432.3302,312.35,-1.80E-02
1434.1464,312.45,-1.82E-02
1435.9524,312.55,-1.76E-02
1437.7188,312.65,-1.81E-02
1439.4678,312.75,-1.80E-02
1441.2204,312.85,-2.09E-02
1442.9298,312.95,-1.38E-02
1444.6278,313.05,-1.94E-02
1446.2898,313.15,-1.99E-02
1447.9086,313.25,-2.18E-02
1449.5088,313.35,-2.21E-02
1451.1408,313.45,-2.29E-02
1452.7068,313.55,-2.36E-02
1454.2806,313.65,-2.40E-02
1455.8478,313.75,-2.40E-02
1457.3868,313.85,-2.47E-02
1458.9306,313.95,-2.35E-02
1460.457,314.05,-2.37E-02
1461.957,314.15,-2.56E-02
1463.4312,314.25,-2.53E-02
1464.9084,314.35,-2.53E-02
1466.349,314.45,-2.60E-02
1467.783,314.55,-2.49E-02
1469.2182,314.65,-2.65E-02
1470.645,314.75,-2.84E-02
1472.0502,314.85,-2.95E-02
1473.4428,314.95,-2.96E-02
1474.8222,315.05,-2.89E-02
1476.1974,315.15,-3.03E-02
1477.5666,315.25,-2.91E-02
1478.9196,315.35,-2.83E-02
1480.2576,315.45,-3.11E-02
1481.5776,315.55,-3.13E-02
1482.879,315.65,-3.19E-02
1484.1888,315.75,-2.95E-02
1485.4896,315.85,-3.18E-02
1486.7892,315.95,-3.43E-02
1488.0648,316.05,-3.36E-02
1489.32,316.15,-3.41E-02
1490.5866,316.25,-3.42E-02
1491.8484,316.35,-3.30E-02
1493.0808,316.45,-3.50E-02
1494.3156,316.55,-3.55E-02
1495.5492,316.65,-3.51E-02
1496.7714,316.75,-3.41E-02
1497.999,316.85,-3.48E-02
1499.187,316.95,-3.51E-02
1500.3894,317.05,-3.70E-02
1501.584,317.15,-3.86E-02
1502.7618,317.25,-3.78E-02
1503.9276,317.35,-3.70E-02
1505.085,317.45,-3.78E-02
1506.2448,317.55,-3.91E-02
1507.4088,317.65,-3.98E-02
1508.5512,317.75,-4.04E-02
1509.6918,317.85,-3.94E-02
1510.809,317.95,-3.92E-02
1511.94,318.05,-4.08E-02
1513.065,318.15,-4.26E-02
1514.1732,318.25,-4.13E-02
1515.288,318.35,-4.10E-02
1516.4016,318.45,-4.37E-02
1517.511,318.55,-4.36E-02
1518.6048,318.65,-4.33E-02
1519.6902,318.75,-4.32E-02
1520.7948,318.85,-4.37E-02
1521.879,318.95,-4.46E-02
1522.9644,319.05,-4.51E-02
1524.0504,319.15,-4.58E-02
1525.1226,319.25,-4.79E-02
1526.1894,319.35,-4.83E-02
1527.2628,319.45,-4.80E-02
1528.3146,319.55,-4.78E-02
