Time,Temperature,Mass fraction
[s],[K],[mg]
0,300.149,5.0804
3,300.147,5.0811
6,300.148,5.0797
9,300.148,5.0813
12,300.149,5.0806
15,300.163,5.0829
18,300.17,5.0814
21,300.192,5.0812
24,300.221,5.0817
27,300.256,5.0817
30,300.306,5.0808
33,300.368,5.0808
36,300.444,5.0829
39,300.534,5.0834
42,300.643,5.0841
45,300.765,5.0838
48,300.91,5.0826
51,301.075,5.0836
54,301.259,5.0839
57,301.465,5.0822
60,301.695,5.0831
63,301.948,5.0833
66,302.223,5.0828
69,302.523,5.0841
72,302.851,5.0834
75,303.199,5.0827
78,303.575,5.0835
81,303.975,5.0834
84,304.399,5.0837
87,304.849,5.0849
90,305.326,5.085
93,305.819,5.0852
96,306.341,5.0853
99,306.88,5.0863
102,307.442,5.086
105,308.028,5.085
108,308.627,5.0864
111,309.246,5.0853
114,309.882,5.0875
117,310.537,5.0875
120,311.205,5.0893
123,311.883,5.0888
126,312.576,5.0869
129,313.28,5.087
132,313.992,5.088
135,314.716,5.0864
138,315.446,5.0852
141,316.181,5.0866
144,316.921,5.0872
147,317.666,5.0884
150,318.413,5.0879
153,319.161,5.0899
156,319.912,5.0893
159,320.666,5.0902
162,321.413,5.091
165,322.161,5.0909
168,322.909,5.0891
171,323.651,5.0902
174,324.389,5.091
177,325.124,5.0892
180,325.852,5.0887
183,326.575,5.0881
186,327.294,5.0889
189,328.005,5.0903
192,328.709,5.089
195,329.409,5.089
198,330.098,5.089
201,330.783,5.089
204,331.461,5.089
207,332.128,5.089
210,332.791,5.089
213,333.443,5.0903
216,334.091,5.0903
219,334.734,5.0903
222,335.364,5.0893
225,335.988,5.0893
228,336.605,5.0903
231,337.215,5.0903
234,337.818,5.0903
237,338.417,5.0903
240,339.006,5.0903
243,339.592,5.089
246,340.17,5.089
249,340.741,5.0897
252,341.308,5.0907
255,341.866,5.0903
258,342.424,5.0903
261,342.981,5.0907
264,343.523,5.0917
267,344.068,5.0917
270,344.606,5.0913
273,345.14,5.0917
276,345.672,5.0927
279,346.202,5.0917
282,346.726,5.093
285,347.25,5.0944
288,347.769,5.0944
291,348.287,5.0944
294,348.803,5.0944
297,349.315,5.093
300,349.825,5.0916
303,350.336,5.0902
306,350.845,5.0917
309,351.351,5.0934
312,351.856,5.0954
315,352.362,5.0954
318,352.866,5.094
321,353.362,5.0954
324,353.866,5.094
327,354.369,5.0954
330,354.867,5.0954
333,355.366,5.094
336,355.864,5.0954
339,356.363,5.0964
342,356.862,5.0974
345,357.358,5.0967
348,357.856,5.0967
351,358.352,5.098
354,358.851,5.0967
357,359.344,5.0954
360,359.844,5.0954
363,360.338,5.0967
366,360.836,5.0967
369,361.332,5.098
372,361.828,5.0959
375,362.323,5.0953
378,362.821,5.0953
381,363.317,5.0959
384,363.812,5.0969
387,364.311,5.0983
390,364.806,5.0983
393,365.3,5.0983
396,365.798,5.0979
399,366.293,5.0969
402,366.79,5.0969
405,367.284,5.0976
408,367.776,5.0983
411,368.275,5.0973
414,368.772,5.0969
417,369.265,5.0983
420,369.76,5.0969
423,370.254,5.0983
426,370.752,5.0983
429,371.246,5.0969
432,371.742,5.0986
435,372.238,5.1006
438,372.73,5.1003
441,373.225,5.0999
444,373.718,5.0986
447,374.211,5.0996
450,374.708,5.0997
453,375.202,5.0987
456,375.698,5.0997
459,376.192,5.0987
462,376.685,5.0984
465,377.18,5.0985
468,377.674,5.0996
471,378.169,5.0991
474,378.664,5.0987
477,379.162,5.0987
480,379.654,5.0998
483,380.15,5.1003
486,380.644,5.0996
489,381.141,5.0996
492,381.636,5.0989
495,382.132,5.1001
498,382.627,5.1005
501,383.125,5.0998
504,383.621,5.1005
507,384.117,5.1005
510,384.614,5.0998
513,385.109,5.1006
516,385.607,5.0993
519,386.106,5.0986
522,386.603,5.0979
525,387.102,5.0989
528,387.599,5.0993
531,388.101,5.0979
534,388.595,5.0979
537,389.099,5.0979
540,389.595,5.099
543,390.096,5.1008
546,390.597,5.1023
549,391.095,5.1023
552,391.597,5.102
555,392.099,5.1009
558,392.6,5.0999
561,393.099,5.101
564,393.604,5.101
567,394.107,5.102
570,394.612,5.101
573,395.114,5.1009
576,395.615,5.1009
579,396.119,5.0996
582,396.622,5.1009
585,397.126,5.1024
588,397.63,5.1024
591,398.135,5.1024
594,398.637,5.0997
597,399.144,5.0998
600,399.649,5.0998
603,400.155,5.1012
606,400.659,5.1012
