Time,Mass,HRR
[s],[g],[kW/m2]
0,71.01,0
1,71.01,4
2,71.018,4.7
3,71.018,4.1
4,71.018,4.1
5,71.018,4.1
6,71.018,3.4
7,71.023,2.8
8,71.031,3.4
9,71.04,3.4
10,71.05,2.8
11,71.061,3.5
12,71.072,4.1
13,71.083,4.1
14,71.094,3.5
15,71.103,3.5
16,71.113,3.5
17,71.122,3
18,71.131,3
19,71.139,2.3
20,71.147,1.7
21,71.155,2.3
22,71.162,1.7
23,71.168,1.1
24,71.174,0
25,71.18,1.1
26,71.185,0
27,71.19,0
28,71.194,0
29,71.198,0
30,71.202,0
31,71.206,0
32,71.209,0
33,71.212,0
34,71.215,0
35,71.217,0
36,71.22,0
37,71.222,0
38,71.224,0
39,71.226,0
40,71.228,0
41,71.23,0
42,71.232,0
43,71.233,0
44,71.234,0
45,71.235,0
46,71.236,0
47,71.237,0
48,71.238,0
49,71.238,0
50,71.239,0
51,71.239,0
52,71.241,0
53,71.242,0.6
54,71.243,0
55,71.243,0.6
56,71.244,0.6
57,71.245,0.6
58,71.245,0.6
59,71.245,1.8
60,71.245,1.1
61,71.245,1.1
62,71.244,1.8
63,71.243,2.4
64,71.242,2.4
65,71.241,0.6
66,71.239,1.1
67,71.237,0.6
68,71.234,0.6
69,71.232,0
70,71.229,0
71,71.226,0.6
72,71.222,0.6
73,71.218,1.1
74,71.214,0.6
75,71.209,1.7
76,71.204,0.6
77,71.198,0.6
78,71.192,1.1
79,71.186,1.1
80,71.179,1.8
81,71.171,1.1
82,71.163,1.1
83,71.155,1.8
84,71.146,2.4
85,71.136,1.8
86,71.125,1.3
87,71.114,1.1
88,71.103,1.1
89,71.09,0.6
90,71.077,0.6
91,71.063,0.6
92,71.048,0.6
93,71.033,1.1
94,71.017,1.1
95,70.999,1.1
96,70.981,1.8
97,70.962,1.8
98,70.942,1.1
99,70.921,1.8
100,70.899,1.1
101,70.876,1.8
102,70.852,0.6
103,70.826,1.1
104,70.8,1.1
105,70.773,1.1
106,70.744,1.8
107,70.714,1.1
108,70.683,1.1
109,70.651,1.1
110,70.617,1.1
111,70.582,1.8
112,70.547,1.1
113,70.509,0.6
114,70.47,0.6
115,70.43,1.8
116,70.389,1.8
117,70.346,2.4
118,70.301,2.4
119,70.256,2.3
120,70.209,2.3
121,70.16,2.3
122,70.11,1.7
123,70.059,3.4
124,70.006,4
125,69.952,6.3
126,69.896,10.1
127,69.839,13.5
128,69.78,19.8
129,69.72,32.7
130,69.658,42
131,69.595,67.3
132,69.53,83
133,69.464,100.2
134,69.396,133.1
135,69.327,152
136,69.257,167.8
137,69.185,196.9
138,69.111,212.2
139,69.036,236.8
140,68.96,247.8
141,68.883,258.8
142,68.804,277
143,68.723,287.4
144,68.642,294.1
145,68.558,305.3
146,68.474,309.7
147,68.389,313.2
148,68.302,321.6
149,68.214,327.8
150,68.124,336
151,68.034,342.6
152,67.943,346.7
153,67.85,355.7
154,67.756,360
155,67.661,363.1
156,67.565,365.3
157,67.467,369.9
158,67.369,373
159,67.27,374
160,67.169,374.4
161,67.068,376.4
162,66.966,376.8
163,66.862,373.8
164,66.758,372.5
165,66.654,371.9
166,66.548,373
167,66.441,373.2
168,66.334,374
169,66.225,374
170,66.116,374.5
171,66.007,376.1
172,65.896,375.8
173,65.785,377.5
174,65.674,376.4
175,65.561,378.8
176,65.448,379.7
177,65.334,380.7
178,65.22,382.3
179,65.106,384.1
180,64.99,387.3
181,64.875,391.8
182,64.758,394.5
183,64.641,392.6
184,64.524,392.6
185,64.406,393.4
186,64.288,393.1
187,64.169,392.3
188,64.05,390.9
189,63.931,390.7
190,63.811,391.1
191,63.691,390.9
192,63.57,391.9
193,63.449,393.1
194,63.328,392.2
195,63.206,392
196,63.083,393.4
197,62.961,393.8
198,62.838,395.5
199,62.715,395.5
200,62.591,392.6
201,62.467,393.4
202,62.343,394.3
203,62.218,395.8
204,62.094,396.6
205,61.968,397.2
206,61.842,396.9
207,61.717,395.7
208,61.591,398.6
209,61.464,401.9
210,61.337,401.8
211,61.211,405.9
212,61.083,405.9
213,60.955,409.1
214,60.827,412.6
215,60.699,413.5
216,60.57,412.7
217,60.441,414.4
218,60.312,416.6
219,60.183,419.5
220,60.053,421.9
221,59.922,421.5
222,59.792,421.8
223,59.661,418.8
224,59.529,418.2
225,59.397,421.3
226,59.265,423
227,59.133,423.5
228,59,425
229,58.867,425.9
230,58.733,425.5
231,58.599,422
232,58.465,421.1
233,58.33,421.4
234,58.195,421.7
235,58.059,421.8
236,57.923,422
237,57.787,421.7
238,57.651,419
239,57.514,415.5
240,57.376,415.5
241,57.238,413.5
242,57.1,414.4
243,56.961,414.7
244,56.822,415.8
245,56.683,415.9
246,56.543,417.2
247,56.403,419.8
248,56.263,420.2
249,56.122,421.8
250,55.98,423.2
251,55.838,423.6
252,55.696,427.8
253,55.554,430.6
254,55.411,432
255,55.268,435.2
256,55.124,436.7
257,54.98,432.2
258,54.836,431.9
259,54.691,432.7
260,54.546,432.4
261,54.4,433.1
262,54.254,436.9
263,54.108,439.7
264,53.962,438.2
265,53.815,439.4
266,53.667,437.5
267,53.52,439.4
268,53.372,441.9
269,53.223,444.2
270,53.075,447.7
271,52.926,447.5
272,52.777,447.2
273,52.627,449.3
274,52.477,448.3
275,52.327,445.8
276,52.177,450
277,52.026,452.6
278,51.875,455.8
279,51.724,457
280,51.572,458.4
281,51.42,459.2
282,51.268,456.5
283,51.116,455.9
284,50.963,460.3
285,50.81,459.4
286,50.657,457.2
287,50.503,456.5
288,50.35,455.9
289,50.196,456
290,50.042,454.7
291,49.887,457.6
292,49.733,457.2
293,49.578,455.8
294,49.423,457.4
295,49.267,458
296,49.111,457.7
297,48.955,458.5
298,48.799,459
299,48.643,462
300,48.486,464.2
301,48.329,460.9
302,48.172,460.2
303,48.014,461.5
304,47.857,465
305,47.698,470.8
306,47.54,473.3
307,47.382,474.7
308,47.223,474
309,47.064,476.8
310,46.905,481.6
311,46.745,482.3
312,46.586,481.1
313,46.425,484.4
314,46.265,483.4
315,46.104,480.7
316,45.944,483.3
317,45.782,484
318,45.62,480.7
319,45.459,482.2
320,45.297,483
321,45.134,485.1
322,44.971,485.9
323,44.808,485.2
324,44.645,491
325,44.482,493.3
326,44.318,495.2
327,44.153,499.9
328,43.989,502.6
