Time,Temperature,Mass
[s],[K],[mg]
0,316.816,5.5945
6,317.816,5.5946
12,318.816,5.5943
18,319.816,5.5946
24,320.816,5.5967
30,321.816,5.5987
36,322.816,5.5986
42,323.816,5.5996
48,324.816,5.5995
54,325.816,5.5998
60,326.816,5.5998
66,327.816,5.5993
72,328.816,5.5993
78,329.816,5.5989
84,330.816,5.5987
90,331.816,5.5988
96,332.816,5.5992
102,333.816,5.5995
108,334.816,5.5999
114,335.816,5.5985
120,336.816,5.5973
126,337.816,5.5965
132,338.816,5.5957
138,339.816,5.5955
144,340.816,5.5945
150,341.816,5.5943
156,342.816,5.5947
162,343.816,5.5962
168,344.816,5.5968
174,345.816,5.5979
180,346.816,5.5986
186,347.816,5.5988
192,348.816,5.5984
198,349.816,5.5976
204,350.816,5.5969
210,351.816,5.5963
216,352.816,5.5957
222,353.816,5.5956
228,354.816,5.5956
234,355.816,5.5947
240,356.816,5.5942
246,357.816,5.5942
252,358.816,5.5938
258,359.816,5.5945
264,360.816,5.5951
270,361.816,5.5944
276,362.816,5.5941
282,363.816,5.5945
288,364.816,5.5942
294,365.816,5.5929
300,366.816,5.5917
306,367.816,5.5922
312,368.816,5.5922
318,369.816,5.5926
324,370.816,5.5929
330,371.816,5.5938
336,372.816,5.594
342,373.816,5.5924
348,374.816,5.5918
354,375.816,5.5911
360,376.816,5.5902
366,377.816,5.5897
372,378.816,5.5908
378,379.816,5.5912
384,380.816,5.5906
390,381.816,5.5893
396,382.816,5.5873
402,383.816,5.5861
408,384.816,5.5867
414,385.816,5.5874
420,386.816,5.5883
426,387.816,5.5889
432,388.816,5.5882
438,389.816,5.5884
444,390.816,5.5891
450,391.816,5.5891
456,392.816,5.5882
462,393.816,5.587
468,394.816,5.5871
474,395.816,5.5871
480,396.816,5.5864
486,397.816,5.5853
492,398.816,5.5841
498,399.816,5.583
504,400.816,5.5822
510,401.816,5.5816
516,402.816,5.5802
522,403.816,5.5806
528,404.816,5.5807
534,405.816,5.5807
540,406.816,5.5802
546,407.816,5.5791
552,408.816,5.5791
558,409.816,5.5783
564,410.816,5.577
570,411.816,5.5766
576,412.816,5.5764
582,413.816,5.5748
588,414.816,5.5738
594,415.816,5.5731
600,416.816,5.5728
606,417.816,5.572
612,418.816,5.5711
618,419.816,5.5706
624,420.816,5.57
630,421.816,5.5695
636,422.816,5.5674
642,423.816,5.5672
648,424.816,5.5669
654,425.816,5.5652
660,426.816,5.5627
666,427.816,5.5617
672,428.816,5.5614
678,429.816,5.5612
684,430.816,5.5606
690,431.816,5.5596
696,432.816,5.5577
702,433.816,5.5555
708,434.816,5.5539
714,435.816,5.5528
720,436.816,5.5513
726,437.816,5.5494
732,438.816,5.5469
738,439.816,5.5436
744,440.816,5.5415
750,441.816,5.539
756,442.816,5.5363
762,443.816,5.5334
768,444.816,5.5295
774,445.816,5.524
780,446.816,5.5204
786,447.816,5.5169
792,448.816,5.5136
798,449.816,5.5105
804,450.816,5.507
810,451.816,5.5037
816,452.816,5.501
822,453.816,5.4981
828,454.816,5.4942
834,455.816,5.492
840,456.816,5.4878
846,457.816,5.4838
852,458.816,5.4792
858,459.816,5.4763
864,460.816,5.4732
870,461.816,5.4699
876,462.816,5.4674
882,463.816,5.4656
888,464.816,5.4627
894,465.816,5.4601
900,466.816,5.4574
906,467.816,5.4542
912,468.816,5.4503
918,469.816,5.447
924,470.816,5.443
930,471.816,5.4407
936,472.816,5.438
942,473.816,5.4338
948,474.816,5.4312
954,475.816,5.4272
960,476.816,5.4245
966,477.816,5.4217
972,478.816,5.419
978,479.816,5.4168
984,480.816,5.4151
990,481.816,5.4122
996,482.816,5.4089
1002,483.816,5.4077
