Time,Mass
[s],[g]
0,25.643
0.5,25.643
1,25.643
1.5,25.643
2,25.643
2.5,25.643
3,25.643
3.5,25.643
4,25.643
4.5,25.643
5,25.643
5.5,25.643
6,25.643
6.5,25.643
7,25.643
7.5,25.643
8,25.643
8.5,25.643
9,25.643
9.5,25.643
10,25.643
10.5,25.643
11,25.643
11.5,25.643
12,25.643
12.5,25.643
13,25.643
13.5,25.643
14,25.643
14.5,25.643
15,25.643
15.5,25.643
16,25.643
16.5,25.643
17,25.643
17.5,25.643
18,25.643
18.5,25.643
19,25.643
19.5,25.643
20,25.643
20.5,25.643
21,25.643
21.5,25.643
22,25.643
22.5,25.643
23,25.643
23.5,25.643
24,25.642
24.5,25.642
25,25.642
25.5,25.642
26,25.642
26.5,25.642
27,25.642
27.5,25.642
28,25.642
28.5,25.641
29,25.641
29.5,25.641
30,25.641
30.5,25.640
31,25.640
31.5,25.640
32,25.639
32.5,25.639
33,25.638
33.5,25.637
34,25.637
34.5,25.636
35,25.635
35.5,25.634
36,25.633
36.5,25.632
37,25.630
37.5,25.629
38,25.627
38.5,25.625
39,25.624
39.5,25.622
40,25.619
40.5,25.617
41,25.614
41.5,25.612
42,25.609
42.5,25.606
43,25.602
43.5,25.599
44,25.595
44.5,25.591
45,25.587
45.5,25.582
46,25.578
46.5,25.573
47,25.568
47.5,25.562
48,25.556
48.5,25.551
49,25.544
49.5,25.538
50,25.531
50.5,25.524
51,25.517
51.5,25.510
52,25.502
52.5,25.494
53,25.486
53.5,25.477
54,25.469
54.5,25.460
55,25.451
55.5,25.441
56,25.432
56.5,25.422
57,25.412
57.5,25.401
58,25.391
58.5,25.380
59,25.369
59.5,25.358
60,25.346
60.5,25.334
61,25.323
61.5,25.310
62,25.298
62.5,25.286
63,25.273
63.5,25.260
64,25.247
64.5,25.234
65,25.221
65.5,25.207
66,25.193
66.5,25.179
67,25.165
67.5,25.151
68,25.136
68.5,25.122
69,25.107
69.5,25.092
70,25.077
70.5,25.062
71,25.046
71.5,25.031
72,25.015
72.5,24.999
73,24.983
73.5,24.967
74,24.951
74.5,24.934
75,24.918
75.5,24.901
76,24.884
76.5,24.868
77,24.851
77.5,24.833
78,24.816
78.5,24.799
79,24.781
79.5,24.763
80,24.746
80.5,24.728
81,24.710
81.5,24.692
82,24.673
82.5,24.655
83,24.637
83.5,24.618
84,24.599
84.5,24.581
85,24.562
85.5,24.543
86,24.524
86.5,24.505
87,24.485
87.5,24.466
88,24.447
88.5,24.427
89,24.407
89.5,24.388
90,24.368
90.5,24.348
91,24.328
91.5,24.308
92,24.288
92.5,24.267
93,24.247
93.5,24.227
94,24.206
94.5,24.186
95,24.165
95.5,24.144
96,24.123
96.5,24.102
97,24.081
97.5,24.060
98,24.039
98.5,24.018
99,23.996
99.5,23.975
100,23.954
100.5,23.932
101,23.910
101.5,23.889
102,23.867
102.5,23.845
103,23.823
103.5,23.801
104,23.779
104.5,23.757
105,23.735
105.5,23.712
106,23.690
106.5,23.668
107,23.645
107.5,23.623
108,23.600
108.5,23.577
109,23.555
109.5,23.532
110,23.509
110.5,23.486
111,23.463
111.5,23.440
112,23.417
112.5,23.394
113,23.370
113.5,23.347
114,23.324
114.5,23.300
115,23.277
115.5,23.253
116,23.230
116.5,23.206
117,23.182
117.5,23.158
118,23.135
118.5,23.111
119,23.087
119.5,23.063
120,23.039
120.5,23.014
121,22.990
121.5,22.966
122,22.942
122.5,22.917
123,22.893
123.5,22.868
124,22.844
124.5,22.819
125,22.794
125.5,22.770
126,22.745
126.5,22.720
127,22.695
127.5,22.670
128,22.645
128.5,22.620
129,22.595
129.5,22.570
130,22.545
130.5,22.519
131,22.494
131.5,22.469
132,22.443
132.5,22.418
133,22.392
133.5,22.367
134,22.341
134.5,22.315
135,22.290
135.5,22.264
136,22.238
136.5,22.212
137,22.186
137.5,22.160
138,22.134
138.5,22.108
139,22.082
139.5,22.056
140,22.029
140.5,22.003
141,21.977
141.5,21.950
142,21.924
142.5,21.897
143,21.871
143.5,21.844
144,21.817
144.5,21.791
145,21.764
145.5,21.737
146,21.710
146.5,21.683
147,21.656
147.5,21.629
148,21.602
148.5,21.575
149,21.548
149.5,21.521
150,21.493
150.5,21.466
151,21.439
151.5,21.411
152,21.384
152.5,21.356
153,21.329
153.5,21.301
154,21.273
154.5,21.246
155,21.218
155.5,21.190
156,21.162
156.5,21.134
157,21.106
157.5,21.078
158,21.050
158.5,21.022
159,20.994
159.5,20.966
160,20.938
160.5,20.909
161,20.881
161.5,20.853
162,20.824
162.5,20.796
163,20.767
163.5,20.738
164,20.710
164.5,20.681
165,20.652
165.5,20.624
166,20.595
166.5,20.566
167,20.537
167.5,20.508
168,20.479
168.5,20.450
169,20.421
169.5,20.392
170,20.362
170.5,20.333
171,20.304
171.5,20.274
172,20.245
172.5,20.215
173,20.186
173.5,20.156
174,20.127
174.5,20.097
175,20.067
175.5,20.037
176,20.008
176.5,19.978
177,19.948
177.5,19.918
178,19.888
178.5,19.858
179,19.828
179.5,19.798
180,19.767
180.5,19.737
181,19.707
181.5,19.676
182,19.646
182.5,19.616
183,19.585
183.5,19.555
184,19.524
184.5,19.493
185,19.463
185.5,19.432
186,19.401
186.5,19.370
187,19.339
187.5,19.308
188,19.277
188.5,19.246
189,19.215
189.5,19.184
190,19.153
190.5,19.122
191,19.090
191.5,19.059
192,19.027
192.5,18.996
193,18.965
193.5,18.933
194,18.901
194.5,18.870
195,18.838
195.5,18.806
196,18.775
196.5,18.743
197,18.711
197.5,18.679
198,18.647
198.5,18.615
199,18.583
199.5,18.551
200,18.518
200.5,18.486
201,18.454
201.5,18.421
202,18.389
202.5,18.357
203,18.324
203.5,18.291
204,18.259
204.5,18.226
205,18.193
205.5,18.161
206,18.128
206.5,18.095
207,18.062
207.5,18.029
208,17.996
208.5,17.963
209,17.930
209.5,17.897
210,17.864
210.5,17.830
211,17.797
211.5,17.764
212,17.730
212.5,17.697
213,17.663
213.5,17.629
214,17.596
214.5,17.562
215,17.528
215.5,17.495
216,17.461
216.5,17.427
217,17.393
217.5,17.359
218,17.325
218.5,17.291
219,17.256
219.5,17.222
220,17.188
220.5,17.154
221,17.119
221.5,17.085
222,17.050
222.5,17.016
223,16.981
223.5,16.946
224,16.912
224.5,16.877
225,16.842
225.5,16.807
226,16.772
226.5,16.737
227,16.702
227.5,16.667
228,16.632
228.5,16.597
229,16.562
229.5,16.526
230,16.491
230.5,16.455
231,16.420
231.5,16.384
232,16.349
232.5,16.313
233,16.277
233.5,16.242
234,16.206
234.5,16.170
235,16.134
235.5,16.098
236,16.062
236.5,16.026
237,15.990
237.5,15.954
238,15.917
238.5,15.881
239,15.845
239.5,15.808
240,15.772
240.5,15.735
241,15.699
