Time,T_back
[s],[K]
0.0,292.6
0.5,292.6
1.0,292.6
1.5,292.6
2.0,292.6
2.5,292.6
3.0,292.6
3.5,292.6
4.0,292.6
4.5,292.6
5.0,292.6
5.5,292.6
6.0,292.6
6.5,292.6
7.0,292.6
7.5,292.6
8.0,292.6
8.5,292.6
9.0,292.6
9.5,292.6
10.0,292.6
10.5,292.6
11.0,292.6
11.5,292.6
12.0,292.6
12.5,292.6
13.0,292.6
13.5,292.6
14.0,292.6
14.5,292.6
15.0,292.6
15.5,292.6
16.0,292.6
16.5,292.6
17.0,292.6
17.5,292.6
18.0,292.6
18.5,292.6
19.0,292.6
19.5,292.6
20.0,292.6
20.5,292.7
21.0,292.7
21.5,292.7
22.0,292.7
22.5,292.7
23.0,292.8
23.5,292.8
24.0,292.8
24.5,292.9
25.0,292.9
25.5,293.0
26.0,293.0
26.5,293.0
27.0,293.1
27.5,293.2
28.0,293.2
28.5,293.3
29.0,293.4
29.5,293.4
30.0,293.5
30.5,293.6
31.0,293.7
31.5,293.8
32.0,293.9
32.5,294.0
33.0,294.1
33.5,294.2
34.0,294.4
34.5,294.5
35.0,294.6
35.5,294.8
36.0,294.9
36.5,295.1
37.0,295.2
37.5,295.4
38.0,295.5
38.5,295.7
39.0,295.9
39.5,296.1
40.0,296.3
40.5,296.5
41.0,296.7
41.5,296.9
42.0,297.1
42.5,297.3
43.0,297.6
43.5,297.8
44.0,298.0
44.5,298.3
45.0,298.5
45.5,298.8
46.0,299.1
46.5,299.3
47.0,299.6
47.5,299.9
48.0,300.2
48.5,300.5
49.0,300.8
49.5,301.1
50.0,301.4
50.5,301.7
51.0,302.1
51.5,302.4
52.0,302.7
52.5,303.1
53.0,303.4
53.5,303.8
54.0,304.1
54.5,304.5
55.0,304.8
55.5,305.2
56.0,305.6
56.5,306.0
57.0,306.4
57.5,306.8
58.0,307.2
58.5,307.6
59.0,308.0
59.5,308.4
60.0,308.8
60.5,309.2
61.0,309.7
61.5,310.1
62.0,310.5
62.5,311.0
63.0,311.4
63.5,311.9
64.0,312.3
64.5,312.8
65.0,313.2
65.5,313.7
66.0,314.2
66.5,314.6
67.0,315.1
67.5,315.6
68.0,316.1
68.5,316.6
69.0,317.1
69.5,317.6
70.0,318.1
70.5,318.6
71.0,319.1
71.5,319.6
72.0,320.1
72.5,320.6
73.0,321.1
73.5,321.6
74.0,322.2
74.5,322.7
75.0,323.2
75.5,323.8
76.0,324.3
76.5,324.8
77.0,325.4
77.5,325.9
78.0,326.5
78.5,327.0
79.0,327.6
79.5,328.1
80.0,328.7
80.5,329.2
81.0,329.8
81.5,330.4
82.0,330.9
82.5,331.5
83.0,332.1
83.5,332.6
84.0,333.2
84.5,333.8
85.0,334.4
85.5,335.0
86.0,335.5
86.5,336.1
87.0,336.7
87.5,337.3
88.0,337.9
88.5,338.5
89.0,339.1
89.5,339.6
90.0,340.2
90.5,340.8
91.0,341.4
91.5,342.0
92.0,342.6
92.5,343.2
93.0,343.8
93.5,344.4
94.0,345.0
94.5,345.6
95.0,346.2
95.5,346.8
96.0,347.5
96.5,348.1
97.0,348.7
97.5,349.3
98.0,349.9
98.5,350.5
99.0,351.1
99.5,351.7
100.0,352.3
100.5,353.0
101.0,353.6
101.5,354.2
102.0,354.8
102.5,355.4
103.0,356.0
103.5,356.6
104.0,357.3
104.5,357.9
105.0,358.5
105.5,359.1
106.0,359.7
106.5,360.4
107.0,361.0
107.5,361.6
108.0,362.2
108.5,362.8
109.0,363.5
109.5,364.1
110.0,364.7
110.5,365.3
111.0,365.9
111.5,366.6
112.0,367.2
112.5,367.8
113.0,368.4
113.5,369.1
114.0,369.7
114.5,370.3
115.0,370.9
115.5,371.5
116.0,372.2
116.5,372.8
117.0,373.4
117.5,374.0
118.0,374.7
118.5,375.3
119.0,375.9
119.5,376.5
120.0,377.2
120.5,377.8
121.0,378.4
121.5,379.0
122.0,379.6
122.5,380.3
123.0,380.9
