Time,Mass
[s],[g]
0.0,26.689
0.5,26.689
1.0,26.689
1.5,26.689
2.0,26.689
2.5,26.689
3.0,26.689
3.5,26.689
4.0,26.689
4.5,26.689
5.0,26.689
5.5,26.689
6.0,26.689
6.5,26.689
7.0,26.689
7.5,26.689
8.0,26.689
8.5,26.689
9.0,26.689
9.5,26.689
10.0,26.689
10.5,26.689
11.0,26.689
11.5,26.689
12.0,26.689
12.5,26.689
13.0,26.689
13.5,26.689
14.0,26.689
14.5,26.689
15.0,26.689
15.5,26.689
16.0,26.689
16.5,26.689
17.0,26.689
17.5,26.689
18.0,26.689
18.5,26.689
19.0,26.689
19.5,26.689
20.0,26.689
20.5,26.689
21.0,26.689
21.5,26.689
22.0,26.689
22.5,26.689
23.0,26.689
23.5,26.689
24.0,26.689
24.5,26.689
25.0,26.689
25.5,26.689
26.0,26.689
26.5,26.689
27.0,26.689
27.5,26.688
28.0,26.688
28.5,26.688
29.0,26.688
29.5,26.688
30.0,26.688
30.5,26.688
31.0,26.687
31.5,26.687
32.0,26.687
32.5,26.686
33.0,26.686
33.5,26.686
34.0,26.685
34.5,26.685
35.0,26.684
35.5,26.684
36.0,26.683
36.5,26.682
37.0,26.681
37.5,26.680
38.0,26.679
38.5,26.678
39.0,26.677
39.5,26.676
40.0,26.674
40.5,26.672
41.0,26.671
41.5,26.669
42.0,26.667
42.5,26.665
43.0,26.663
43.5,26.660
44.0,26.657
44.5,26.655
45.0,26.652
45.5,26.648
46.0,26.645
46.5,26.641
47.0,26.638
47.5,26.634
48.0,26.629
48.5,26.625
49.0,26.620
49.5,26.616
50.0,26.610
50.5,26.605
51.0,26.599
51.5,26.594
52.0,26.588
52.5,26.581
53.0,26.575
53.5,26.568
54.0,26.561
54.5,26.554
55.0,26.546
55.5,26.539
56.0,26.531
56.5,26.523
57.0,26.514
57.5,26.506
58.0,26.497
58.5,26.488
59.0,26.478
59.5,26.469
60.0,26.459
60.5,26.449
61.0,26.439
61.5,26.428
62.0,26.418
62.5,26.407
63.0,26.396
63.5,26.385
64.0,26.373
64.5,26.362
65.0,26.350
65.5,26.338
66.0,26.326
66.5,26.313
67.0,26.301
67.5,26.288
68.0,26.275
68.5,26.262
69.0,26.249
69.5,26.235
70.0,26.222
70.5,26.208
71.0,26.194
71.5,26.180
72.0,26.165
72.5,26.151
73.0,26.136
73.5,26.122
74.0,26.107
74.5,26.092
75.0,26.077
75.5,26.061
76.0,26.046
76.5,26.030
77.0,26.014
77.5,25.999
78.0,25.983
78.5,25.966
79.0,25.950
79.5,25.934
80.0,25.917
80.5,25.901
81.0,25.884
81.5,25.867
82.0,25.850
82.5,25.833
83.0,25.816
83.5,25.798
84.0,25.781
84.5,25.763
85.0,25.745
85.5,25.728
86.0,25.710
86.5,25.692
87.0,25.673
87.5,25.655
88.0,25.637
88.5,25.618
89.0,25.600
89.5,25.581
90.0,25.562
90.5,25.544
91.0,25.525
91.5,25.506
92.0,25.486
92.5,25.467
93.0,25.448
93.5,25.429
94.0,25.409
94.5,25.389
95.0,25.370
95.5,25.350
96.0,25.330
96.5,25.310
97.0,25.290
97.5,25.270
98.0,25.250
98.5,25.229
99.0,25.209
99.5,25.189
100.0,25.168
100.5,25.147
101.0,25.127
101.5,25.106
102.0,25.085
102.5,25.064
103.0,25.043
103.5,25.022
104.0,25.001
104.5,24.979
105.0,24.958
105.5,24.937
106.0,24.915
106.5,24.894
107.0,24.872
107.5,24.850
108.0,24.828
108.5,24.807
109.0,24.785
109.5,24.763
110.0,24.741
110.5,24.718
111.0,24.696
111.5,24.674
112.0,24.652
112.5,24.629
113.0,24.607
113.5,24.584
114.0,24.562
114.5,24.539
115.0,24.516
115.5,24.493
116.0,24.470
116.5,24.447
117.0,24.424
117.5,24.401
118.0,24.378
118.5,24.355
119.0,24.332
119.5,24.308
120.0,24.285
120.5,24.261
121.0,24.238
121.5,24.214
122.0,24.191
122.5,24.167
123.0,24.143
123.5,24.119
124.0,24.095
124.5,24.071
125.0,24.047
125.5,24.023
126.0,23.999
