Time (s),Mass (g),HRR (kW/m2)
0.00,123.80,0.00
4.80,123.50,2.60
10.20,123.28,1.70
15.00,123.18,0.00
19.80,122.89,0.00
25.20,122.33,116.10
30.00,121.63,171.90
34.80,120.98,179.70
40.20,120.33,162.70
45.00,119.76,148.20
49.80,119.21,134.40
55.20,118.75,130.90
60.00,118.24,118.80
64.80,117.83,111.70
70.20,117.35,106.30
75.00,116.97,107.00
79.80,116.53,101.10
85.20,116.15,92.80
90.00,115.73,94.10
94.80,115.40,94.20
100.20,115.00,93.30
105.00,114.67,87.30
109.80,114.29,87.70
115.20,113.96,82.50
120.00,113.62,82.40
124.80,113.32,84.10
130.20,112.97,79.00
135.00,112.67,78.10
139.80,112.36,78.00
145.20,112.05,77.30
150.00,111.74,78.00
154.80,111.45,76.30
160.20,111.12,74.50
165.00,110.83,74.00
169.80,110.53,75.60
175.20,110.26,74.70
180.00,109.96,73.10
184.80,109.68,71.90
190.20,109.36,72.10
195.00,109.08,67.30
199.80,108.81,67.90
205.20,108.50,67.50
210.00,108.22,69.10
214.80,107.97,70.00
220.20,107.66,70.20
225.00,107.38,69.10
229.80,107.09,68.30
235.20,106.84,69.70
240.00,106.54,70.10
244.80,106.29,68.60
250.20,105.99,68.20
255.00,105.73,70.50
259.80,105.43,70.40
265.20,105.17,68.50
270.00,104.88,67.10
274.80,104.62,67.60
280.20,104.34,68.20
285.00,104.08,68.10
289.80,103.80,67.80
295.20,103.56,67.80
300.00,103.25,68.50
304.80,103.01,68.20
310.20,102.72,66.20
315.00,102.47,66.40
319.80,102.16,71.10
325.20,101.91,64.00
330.00,101.66,64.70
334.80,101.37,65.60
340.20,101.11,67.40
345.00,100.85,67.50
349.80,100.56,67.20
355.20,100.32,67.80
360.00,100.03,67.60
364.80,99.77,68.50
370.20,99.48,67.90
375.00,99.24,68.70
379.80,98.94,65.80
385.20,98.69,66.90
390.00,98.41,67.10
394.80,98.17,67.90
400.20,97.89,66.80
405.00,97.62,68.00
