Time (s),Mass (g)
0,133.70
1,133.60
2,133.62
3,133.57
4,133.56
5,133.55
6,133.51
7,133.50
8,133.48
9,133.43
10,133.41
11,133.39
12,133.35
13,133.34
14,133.31
15,133.28
16,133.24
17,133.20
18,133.18
19,133.15
20,133.12
21,133.08
22,133.02
23,133.01
24,132.97
25,132.89
26,132.87
27,132.81
28,132.79
29,132.74
30,132.70
31,132.66
32,132.61
33,132.54
34,132.46
35,132.42
36,132.38
37,132.28
38,132.24
39,132.20
40,132.11
41,132.09
42,132.02
43,131.94
44,131.90
45,131.84
46,131.74
47,131.70
48,131.64
49,131.60
50,131.53
51,131.48
52,131.43
53,131.34
54,131.26
55,131.17
56,131.13
57,131.05
58,130.94
59,130.90
60,130.84
61,130.74
62,130.69
63,130.63
64,130.53
65,130.49
66,130.42
67,130.36
68,130.28
69,130.20
70,130.13
71,130.00
72,129.97
73,129.91
74,129.79
75,129.75
76,129.69
77,129.57
78,129.53
79,129.45
80,129.36
81,129.32
82,129.25
83,129.14
84,129.10
85,129.03
86,128.97
87,128.92
88,128.79
89,128.75
90,128.68
91,128.62
92,128.54
93,128.43
94,128.40
95,128.32
96,128.21
97,128.18
98,128.13
99,128.01
100,127.97
101,127.91
102,127.81
103,127.77
104,127.71
105,127.62
106,127.58
107,127.52
108,127.43
109,127.39
110,127.32
111,127.28
112,127.21
113,127.14
114,127.03
115,126.98
116,126.94
117,126.83
118,126.78
119,126.69
120,126.67
121,126.61
122,126.51
123,126.46
124,126.42
125,126.36
126,126.28
127,126.24
128,126.14
129,126.08
130,126.01
131,125.97
132,125.91
133,125.85
134,125.78
135,125.69
136,125.65
137,125.59
138,125.54
139,125.45
140,125.39
141,125.31
142,125.27
143,125.22
144,125.12
145,125.08
146,125.04
147,124.94
148,124.91
149,124.85
150,124.76
151,124.73
152,124.66
153,124.60
154,124.55
155,124.44
156,124.40
157,124.34
158,124.26
159,124.23
160,124.17
161,124.07
162,124.03
163,123.99
164,123.90
165,123.85
166,123.80
167,123.71
168,123.68
169,123.63
170,123.53
171,123.50
172,123.45
173,123.36
174,123.32
175,123.27
176,123.18
177,123.15
178,123.09
179,123.04
180,122.95
181,122.91
182,122.87
183,122.78
184,122.74
185,122.65
186,122.62
187,122.57
188,122.47
189,122.43
190,122.40
191,122.31
192,122.28
193,122.22
194,122.13
195,122.10
196,122.04
197,121.97
198,121.94
199,121.91
200,121.81
201,121.78
202,121.73
203,121.63
204,121.60
205,121.55
206,121.48
207,121.44
208,121.39
209,121.35
210,121.29
211,121.24
212,121.15
213,121.11
214,121.03
215,121.01
216,120.96
217,120.92
218,120.86
219,120.81
220,120.72
221,120.69
222,120.64
223,120.56
224,120.51
225,120.48
226,120.40
227,120.36
228,120.33
229,120.29
230,120.18
231,120.16
232,120.11
233,120.06
234,120.00
235,119.92
236,119.89
237,119.84
238,119.77
239,119.75
240,119.69
241,119.65
242,119.61
243,119.52
244,119.48
245,119.44
246,119.40
247,119.31
248,119.28
249,119.24
250,119.19
251,119.12
252,119.10
253,119.03
254,118.95
255,118.93
256,118.89
257,118.81
258,118.78
259,118.74
260,118.66
261,118.64
262,118.58
263,118.51
264,118.49
265,118.43
266,118.36
267,118.32
268,118.28
269,118.25
270,118.17
271,118.13
272,118.06
273,118.04
274,118.00
275,117.92
276,117.90
277,117.85
278,117.77
279,117.75
280,117.71
281,117.67
282,117.58
283,117.55
284,117.48
285,117.46
286,117.41
287,117.35
288,117.31
289,117.27
290,117.24
291,117.15
292,117.12
293,117.05
294,117.03
295,116.98
296,116.91
297,116.88
298,116.83
299,116.76
300,116.73
301,116.70
302,116.63
303,116.60
304,116.56
305,116.51
306,116.47
307,116.39
308,116.37
309,116.33
310,116.25
311,116.23
312,116.19
313,116.15
314,116.08
315,116.04
316,115.98
317,115.97
318,115.91
319,115.89
320,115.81
321,115.76
322,115.71
323,115.68
324,115.63
325,115.60
326,115.54
327,115.49
328,115.45
329,115.42
330,115.38
331,115.31
332,115.29
333,115.23
334,115.16
335,115.13
336,115.10
337,115.06
338,115.01
339,114.99
340,114.90
341,114.87
342,114.81
343,114.80
344,114.74
345,114.68
346,114.66
347,114.63
348,114.55
349,114.52
350,114.49
351,114.45
352,114.37
353,114.35
354,114.29
355,114.27
356,114.21
357,114.18
358,114.12
359,114.08
360,114.02
361,113.99
362,113.95
363,113.92
364,113.85
365,113.82
366,113.75
367,113.74
368,113.70
369,113.66
370,113.61
371,113.59
372,113.51
373,113.48
374,113.45
375,113.40
376,113.36
377,113.32
378,113.29
379,113.20
380,113.19
381,113.15
382,113.07
383,113.05
384,113.02
385,112.94
386,112.92
387,112.89
388,112.87
389,112.79
390,112.75
391,112.69
392,112.68
393,112.64
394,112.56
395,112.54
396,112.50
397,112.42
398,112.41
399,112.38
400,112.32
401,112.30
402,112.25
403,112.17
404,112.15
405,112.11
