Time (s),Temperature (K),Mass (mg),Heat Flow (W/g)
0.00,302.017,4.8505,-0.0395
31.59,302.517,4.8461,0.0143
37.61,303.017,4.8410,0.0421
41.78,303.517,4.8353,0.0591
45.10,304.017,4.8304,0.0731
47.82,304.517,4.8251,0.0813
50.15,305.017,4.8203,0.084
52.24,305.517,4.8155,0.0867
54.11,306.017,4.8110,0.0876
55.84,306.517,4.8066,0.0869
57.41,307.017,4.8022,0.0851
58.90,307.517,4.7979,0.0807
60.28,308.017,4.7936,0.077
61.58,308.517,4.7891,0.0731
62.80,309.017,4.7849,0.0671
63.98,309.517,4.7807,0.0609
65.10,310.017,4.7767,0.0544
66.16,310.517,4.7726,0.0474
67.19,311.017,4.7688,0.0397
68.18,311.517,4.7649,0.0333
69.14,312.017,4.7614,0.026
70.07,312.517,4.7579,0.0183
70.97,313.017,4.7545,0.0101
71.83,313.517,4.7511,0.00207
72.68,314.017,4.7479,-0.006
73.51,314.517,4.7451,-0.0133
74.32,315.017,4.7421,-0.0225
75.10,315.517,4.7392,-0.0303
75.86,316.017,4.7364,-0.0387
76.61,316.517,4.7337,-0.0455
77.33,317.017,4.7311,-0.0546
78.05,317.517,4.7286,-0.0623
78.76,318.017,4.7263,-0.0706
79.44,318.517,4.7240,-0.08
80.13,319.017,4.7216,-0.0874
80.80,319.517,4.7196,-0.0947
81.45,320.017,4.7177,-0.10234
82.10,320.517,4.7156,-0.11069
82.74,321.017,4.7137,-0.11867
83.37,321.517,4.7119,-0.12506
83.99,322.017,4.7101,-0.13284
84.60,322.517,4.7085,-0.14045
85.20,323.017,4.7070,-0.14811
85.80,323.517,4.7054,-0.15553
86.38,324.017,4.7039,-0.16279
86.97,324.517,4.7024,-0.17003
87.54,325.017,4.7011,-0.17741
88.11,325.517,4.6999,-0.18494
88.68,326.017,4.6987,-0.19115
89.24,326.517,4.6975,-0.19747
89.79,327.017,4.6963,-0.20428
90.33,327.517,4.6953,-0.20903
90.88,328.017,4.6942,-0.21654
91.41,328.517,4.6933,-0.22199
91.95,329.017,4.6923,-0.22652
92.48,329.517,4.6914,-0.23232
93.00,330.017,4.6905,-0.23747
93.53,330.517,4.6898,-0.24228
94.05,331.017,4.6890,-0.24732
94.56,331.517,4.6882,-0.25201
95.07,332.017,4.6875,-0.25648
95.57,332.517,4.6867,-0.26096
96.08,333.017,4.6860,-0.26452
96.58,333.517,4.6853,-0.26697
97.07,334.017,4.6847,-0.27041
97.57,334.517,4.6841,-0.27438
98.06,335.017,4.6835,-0.27699
98.55,335.517,4.6830,-0.28082
99.04,336.017,4.6825,-0.28464
99.52,336.517,4.6820,-0.2855
100.00,337.017,4.6814,-0.28708
100.48,337.517,4.6810,-0.28861
100.96,338.017,4.6805,-0.29035
101.44,338.517,4.6801,-0.29216
101.92,339.017,4.6798,-0.29382
102.39,339.517,4.6794,-0.29417
102.87,340.017,4.6791,-0.29459
103.34,340.517,4.6788,-0.29504
103.81,341.017,4.6785,-0.29625
104.27,341.517,4.6782,-0.29659
104.74,342.017,4.6779,-0.29679
105.20,342.517,4.6777,-0.29658
105.67,343.017,4.6775,-0.29621
106.13,343.517,4.6774,-0.29595
106.60,344.017,4.6772,-0.29367
107.06,344.517,4.6771,-0.29226
107.52,345.017,4.6770,-0.29075
107.98,345.517,4.6769,-0.2898
108.44,346.017,4.6768,-0.28808
108.90,346.517,4.6767,-0.28419
109.35,347.017,4.6766,-0.28222
109.81,347.517,4.6766,-0.28133
110.27,348.017,4.6766,-0.27894
110.72,348.517,4.6766,-0.27596
111.18,349.017,4.6766,-0.27156
111.63,349.517,4.6766,-0.26791
112.09,350.017,4.6766,-0.26456
112.54,350.517,4.6767,-0.26092
113.00,351.017,4.6768,-0.25727
113.45,351.517,4.6769,-0.25359
113.91,352.017,4.6770,-0.24858
114.36,352.517,4.6771,-0.24459
114.81,353.017,4.6772,-0.24083
115.26,353.517,4.6773,-0.23661
115.72,354.017,4.6775,-0.23168
116.17,354.517,4.6776,-0.22712
116.62,355.017,4.6778,-0.22271
117.07,355.517,4.6780,-0.21761
117.53,356.017,4.6782,-0.21215
117.98,356.517,4.6784,-0.20611
118.43,357.017,4.6786,-0.19953
118.88,357.517,4.6788,-0.1935
119.33,358.017,4.6790,-0.18665
119.78,358.517,4.6792,-0.17919
120.23,359.017,4.6795,-0.17044
120.68,359.517,4.6797,-0.16247
121.13,360.017,4.6800,-0.15446
121.59,360.517,4.6803,-0.14611
122.04,361.017,4.6806,-0.13737
122.49,361.517,4.6809,-0.12887
122.95,362.017,4.6812,-0.12068
123.40,362.517,4.6815,-0.11192
123.85,363.017,4.6819,-0.1024
124.31,363.517,4.6822,-0.0937
124.76,364.017,4.6826,-0.0853
125.22,364.517,4.6829,-0.0773
125.67,365.017,4.6833,-0.0686
126.13,365.517,4.6837,-0.0594
126.58,366.017,4.6841,-0.0501
127.04,366.517,4.6845,-0.0406
127.50,367.017,4.6849,-0.0302
127.95,367.517,4.6853,-0.0199
128.41,368.017,4.6857,-0.0112
128.87,368.517,4.6862,-0.00238
129.33,369.017,4.6866,0.00711
129.80,369.517,4.6871,0.0167
130.26,370.017,4.6876,0.0274
130.72,370.517,4.6881,0.0377
131.19,371.017,4.6886,0.0477
131.66,371.517,4.6891,0.0578
132.12,372.017,4.6896,0.0685
132.59,372.517,4.6901,0.0794
133.06,373.017,4.6907,0.0899
133.53,373.517,4.6912,0.0993
134.00,374.017,4.6917,0.10981
134.47,374.517,4.6923,0.12148
134.94,375.017,4.6928,0.13274
135.42,375.517,4.6934,0.14343
135.89,376.017,4.6940,0.15461
136.37,376.517,4.6946,0.16623
136.85,377.017,4.6952,0.1775
137.32,377.517,4.6958,0.18829
137.80,378.017,4.6964,0.1982
138.28,378.517,4.6970,0.2089
138.76,379.017,4.6976,0.22001
139.25,379.517,4.6983,0.2314
139.73,380.017,4.6989,0.24243
140.22,380.517,4.6995,0.25372
140.71,381.017,4.7002,0.2648
141.20,381.517,4.7008,0.2766
141.69,382.017,4.7014,0.28772
142.18,382.517,4.7020,0.29885
142.68,383.017,4.7026,0.30994
143.17,383.517,4.7032,0.32106
143.66,384.017,4.7038,0.33061
144.16,384.517,4.7043,0.3403
144.66,385.017,4.7049,0.35154
145.16,385.517,4.7055,0.36286
145.66,386.017,4.7060,0.37357
146.16,386.517,4.7066,0.38378
146.67,387.017,4.7071,0.39459
147.17,387.517,4.7076,0.40559
147.68,388.017,4.7082,0.41596
148.19,388.517,4.7087,0.42669
148.70,389.017,4.7091,0.43641
149.20,389.517,4.7096,0.4466
149.71,390.017,4.7101,0.45566
150.23,390.517,4.7106,0.46507
150.74,391.017,4.7110,0.47554
151.26,391.517,4.7115,0.48548
151.78,392.017,4.7119,0.49487
152.30,392.517,4.7123,0.50459
152.82,393.017,4.7127,0.51374
153.34,393.517,4.7131,0.52282
153.86,394.017,4.7135,0.53248
154.39,394.517,4.7139,0.5415
154.91,395.017,4.7143,0.5506
155.44,395.517,4.7147,0.56004
155.96,396.017,4.7150,0.56937
156.49,396.517,4.7154,0.57809
157.02,397.017,4.7157,0.58619
157.55,397.517,4.7161,0.59563
158.08,398.017,4.7164,0.60431
158.61,398.517,4.7168,0.61281
159.14,399.017,4.7171,0.62126
159.68,399.517,4.7174,0.62952
160.21,400.017,4.7178,0.63793
160.75,400.517,4.7181,0.64671
161.29,401.017,4.7184,0.65315
161.83,401.517,4.7188,0.6617100000000009
162.37,402.017,4.7191,0.669670000000001
162.91,402.517,4.7194,0.678260000000001
163.45,403.017,4.7198,0.686600000000001
164.00,403.517,4.7201,0.6951300000000009
164.55,404.017,4.7205,0.7033100000000009
165.09,404.517,4.7208,0.7113900000000009
165.64,405.017,4.7212,0.7192900000000009
166.19,405.517,4.7216,0.7268800000000007
166.74,406.017,4.7219,0.7339200000000009
167.29,406.517,4.7223,0.7417700000000009
167.85,407.017,4.7227,0.749750000000001
168.40,407.517,4.7230,0.7583700000000008
168.95,408.017,4.7234,0.7651800000000007
169.51,408.517,4.7238,0.7718300000000008
170.07,409.017,4.7242,0.7782100000000008
170.62,409.517,4.7245,0.7861400000000008
171.18,410.017,4.7249,0.7941400000000006
171.74,410.517,4.7253,0.8002100000000009
172.30,411.017,4.7257,0.8083000000000008
172.86,411.517,4.7260,0.8155100000000008
173.42,412.017,4.7264,0.8228400000000008
173.98,412.517,4.7267,0.8296800000000008
174.54,413.017,4.7271,0.8365800000000008
175.11,413.517,4.7274,0.8432900000000008
175.67,414.017,4.7278,0.8502800000000008
176.24,414.517,4.7281,0.8570600000000007
176.81,415.017,4.7284,0.8633300000000007
177.38,415.517,4.7288,0.8692300000000006
177.94,416.017,4.7291,0.8755000000000006
178.51,416.517,4.7294,0.8814900000000007
179.09,417.017,4.7297,0.8876300000000007
179.66,417.517,4.7300,0.8935300000000008
180.23,418.017,4.7303,0.8998800000000007
180.80,418.517,4.7307,0.9060800000000007
181.37,419.017,4.7310,0.9117600000000007
181.95,419.517,4.7313,0.9173400000000007
182.52,420.017,4.7316,0.9231500000000007
183.10,420.517,4.7319,0.9287300000000007
183.67,421.017,4.7322,0.9343800000000007
184.25,421.517,4.7325,0.9398000000000005
184.83,422.017,4.7328,0.9443500000000006
185.41,422.517,4.7331,0.9495900000000006
185.99,423.017,4.7333,0.9545500000000006
186.57,423.517,4.7336,0.9597000000000006
187.15,424.017,4.7339,0.9647700000000006
187.73,424.517,4.7342,0.9693800000000006
188.31,425.017,4.7345,0.9737900000000006
188.89,425.517,4.7348,0.9785300000000005
189.47,426.017,4.7351,0.9827500000000006
190.06,426.517,4.7354,0.9874900000000004
190.64,427.017,4.7357,0.9913600000000005
191.22,427.517,4.7360,0.9954500000000004
191.81,428.017,4.7363,0.9993800000000005
192.39,428.517,4.7366,1.0029400000000004
192.98,429.017,4.7369,1.0069100000000004
193.56,429.517,4.7372,1.0103300000000002
194.15,430.017,4.7375,1.0123700000000004
194.73,430.517,4.7378,1.0159700000000005
195.32,431.017,4.7381,1.0196500000000004
195.90,431.517,4.7384,1.0235200000000004
196.49,432.017,4.7387,1.0266800000000003
197.08,432.517,4.7390,1.0291400000000002
197.66,433.017,4.7393,1.0318400000000003
198.25,433.517,4.7396,1.0344300000000002
198.83,434.017,4.7399,1.0371100000000002
199.42,434.517,4.7402,1.0400200000000002
200.01,435.017,4.7405,1.0426800000000003
200.60,435.517,4.7408,1.0453500000000002
201.18,436.017,4.7410,1.0478900000000002
201.77,436.517,4.7413,1.0497700000000003
202.36,437.017,4.7416,1.0513600000000003
202.95,437.517,4.7419,1.0532400000000002
203.53,438.017,4.7422,1.0549600000000001
204.12,438.517,4.7425,1.05654
204.71,439.017,4.7428,1.05678
205.29,439.517,4.7431,1.0576700000000003
205.88,440.017,4.7434,1.0592700000000002
206.46,440.517,4.7437,1.0610400000000002
207.05,441.017,4.7439,1.06234
207.63,441.517,4.7442,1.06252
208.22,442.017,4.7445,1.06319
208.80,442.517,4.7447,1.06386
209.39,443.017,4.7450,1.06441
209.97,443.517,4.7452,1.06428
210.55,444.017,4.7455,1.06469
211.14,444.517,4.7457,1.06476
211.72,445.017,4.7459,1.06474
212.30,445.517,4.7462,1.0648
212.88,446.017,4.7464,1.0649
213.46,446.517,4.7466,1.06463
214.04,447.017,4.7468,1.0642
214.62,447.517,4.7469,1.06382
215.20,448.017,4.7471,1.06306
215.78,448.517,4.7473,1.06251
216.35,449.017,4.7474,1.06223
216.93,449.517,4.7476,1.0617
217.50,450.017,4.7478,1.0609599999999997
218.07,450.517,4.7479,1.0591699999999997
218.65,451.017,4.7480,1.0580899999999998
219.22,451.517,4.7482,1.05665
219.79,452.017,4.7483,1.0563299999999998
220.36,452.517,4.7484,1.0546999999999997
220.93,453.017,4.7485,1.0526399999999998
221.50,453.517,4.7486,1.0513499999999998
222.07,454.017,4.7487,1.0501899999999997
222.64,454.517,4.7488,1.0484999999999998
223.21,455.017,4.7489,1.0472699999999997
223.77,455.517,4.7490,1.0457599999999998
224.34,456.017,4.7491,1.04394
224.91,456.517,4.7492,1.0429699999999997
225.47,457.017,4.7493,1.0415299999999998
226.03,457.517,4.7494,1.0400699999999998
226.59,458.017,4.7495,1.0377799999999997
227.15,458.517,4.7496,1.0361499999999997
227.71,459.017,4.7497,1.0347499999999998
228.27,459.517,4.7499,1.0335799999999997
228.83,460.017,4.7500,1.0317999999999998
229.39,460.517,4.7501,1.0305799999999998
229.95,461.017,4.7503,1.0286199999999999
230.50,461.517,4.7504,1.0265799999999998
231.05,462.017,4.7506,1.0244999999999997
231.61,462.517,4.7507,1.0227299999999997
232.16,463.017,4.7509,1.0205599999999997
232.71,463.517,4.7510,1.0181199999999997
233.26,464.017,4.7512,1.0158499999999997
233.81,464.517,4.7513,1.0134299999999998
234.35,465.017,4.7515,1.0106499999999998
234.90,465.517,4.7516,1.0077599999999995
235.45,466.017,4.7517,1.0047099999999998
235.99,466.517,4.7518,1.0019199999999997
236.54,467.017,4.7519,0.9993399999999997
237.09,467.517,4.7520,0.9960599999999996
237.63,468.017,4.7521,0.9934599999999995
238.17,468.517,4.7522,0.9890499999999994
238.71,469.017,4.7523,0.9846099999999995
239.25,469.517,4.7523,0.9811899999999997
239.79,470.017,4.7524,0.9778999999999995
240.33,470.517,4.7524,0.9741099999999997
240.87,471.017,4.7524,0.9714999999999996
241.40,471.517,4.7525,0.9671499999999994
241.94,472.017,4.7525,0.9625999999999995
242.47,472.517,4.7525,0.9581199999999995
243.01,473.017,4.7525,0.9538199999999996
243.54,473.517,4.7525,0.9494299999999994
244.07,474.017,4.7525,0.9449499999999994
244.60,474.517,4.7525,0.9405499999999994
245.13,475.017,4.7525,0.9360799999999994
245.67,475.517,4.7525,0.9306599999999993
246.20,476.017,4.7525,0.9240499999999996
246.72,476.517,4.7525,0.9202699999999995
247.25,477.017,4.7525,0.9157799999999993
247.78,477.517,4.7525,0.9092099999999993
248.30,478.017,4.7525,0.9034099999999994
248.83,478.517,4.7525,0.8977599999999993
249.35,479.017,4.7525,0.8923699999999992
249.87,479.517,4.7525,0.8856699999999993
250.39,480.017,4.7524,0.8793299999999992
250.92,480.517,4.7524,0.8728099999999992
