Time (s),Temperature (K),Mass (mg),Heat Flow (mW/mg)
0.00,307.749,4.8598,0.0469
102.06,308.249,4.8453,0.1172
121.28,308.749,4.8493,0.1506
135.91,309.249,4.8458,0.1776
148.09,309.749,4.8429,0.1990
158.74,310.249,4.8401,0.2181
168.24,310.749,4.8389,0.2355
177.08,311.249,4.8384,0.2510
185.31,311.749,4.8373,0.2658
193.09,312.249,4.8381,0.2774
200.47,312.749,4.8374,0.2893
207.52,313.249,4.8352,0.3016
214.29,313.749,4.8326,0.3109
220.83,314.249,4.8325,0.3211
227.15,314.749,4.8320,0.3302
233.35,315.249,4.8321,0.3384
239.39,315.749,4.8315,0.3472
245.30,316.249,4.8306,0.3555
251.12,316.749,4.8297,0.3619
256.82,317.249,4.8293,0.3688
262.44,317.749,4.8287,0.3772
268.00,318.249,4.8282,0.3826
273.45,318.749,4.8284,0.3895
278.84,319.249,4.8283,0.3952
284.16,319.749,4.8284,0.4008
289.43,320.249,4.8277,0.4071
294.69,320.749,4.8269,0.4108
299.89,321.249,4.8260,0.4171
305.05,321.749,4.8256,0.4205
310.20,322.249,4.8250,0.4251
315.31,322.749,4.8245,0.4292
320.38,323.249,4.8242,0.4338
325.45,323.749,4.8236,0.4382
330.52,324.249,4.8235,0.4406
335.56,324.749,4.8231,0.4444
340.62,325.249,4.8229,0.4475
345.64,325.749,4.8209,0.4504
350.67,326.249,4.8199,0.4531
355.68,326.749,4.8187,0.4552
360.70,327.249,4.8174,0.4576
365.71,327.749,4.8155,0.4604
370.74,328.249,4.8145,0.4618
375.77,328.749,4.8138,0.4647
380.79,329.249,4.8124,0.4657
385.82,329.749,4.8112,0.4668
390.84,330.249,4.8098,0.4689
395.88,330.749,4.8091,0.4691
400.90,331.249,4.8085,0.4707
405.95,331.749,4.8081,0.4719
410.99,332.249,4.8075,0.4724
416.05,332.749,4.8070,0.4734
421.12,333.249,4.8064,0.4735
426.20,333.749,4.8061,0.4735
431.28,334.249,4.8054,0.4739
436.36,334.749,4.8046,0.4736
441.44,335.249,4.8029,0.4733
446.54,335.749,4.8013,0.4728
451.66,336.249,4.8002,0.4725
456.80,336.749,4.7993,0.4719
461.95,337.249,4.7988,0.4712
467.11,337.749,4.7985,0.4699
472.27,338.249,4.7979,0.4694
477.46,338.749,4.7973,0.4689
482.63,339.249,4.7966,0.4678
487.85,339.749,4.7953,0.4665
493.08,340.249,4.7920,0.4655
498.30,340.749,4.7904,0.4636
503.52,341.249,4.7898,0.4619
508.74,341.749,4.7891,0.4600
513.98,342.249,4.7882,0.4584
519.26,342.749,4.7870,0.4572
524.56,343.249,4.7862,0.4547
529.86,343.749,4.7859,0.4537
535.19,344.249,4.7855,0.4519
540.53,344.749,4.7850,0.4496
545.86,345.249,4.7846,0.4478
551.21,345.749,4.7842,0.4463
556.55,346.249,4.7836,0.4440
561.91,346.749,4.7830,0.4422
567.26,347.249,4.7820,0.4396
572.64,347.749,4.7804,0.4368
578.03,348.249,4.7791,0.4358
583.41,348.749,4.7787,0.4340
588.78,349.249,4.7778,0.4315
594.17,349.749,4.7770,0.4293
599.55,350.249,4.7763,0.4278
604.95,350.749,4.7759,0.4260
610.35,351.249,4.7750,0.4233
615.75,351.749,4.7743,0.4213
621.15,352.249,4.7737,0.4198
626.59,352.749,4.7731,0.4176
632.03,353.249,4.7729,0.4150
637.48,353.749,4.7724,0.4138
642.93,354.249,4.7715,0.4114
648.35,354.749,4.7707,0.4094
653.81,355.249,4.7699,0.4074
659.28,355.749,4.7693,0.4059
664.76,356.249,4.7686,0.4037
670.25,356.749,4.7678,0.4016
675.72,357.249,4.7667,0.4002
681.20,357.749,4.7659,0.3985
686.71,358.249,4.7650,0.3972
692.22,358.749,4.7643,0.3956
697.78,359.249,4.7636,0.3934
703.32,359.749,4.7630,0.3917
708.87,360.249,4.7626,0.3901
714.42,360.749,4.7634,0.3883
719.97,361.249,4.7635,0.3870
725.51,361.749,4.7632,0.3850
731.06,362.249,4.7628,0.3844
736.63,362.749,4.7625,0.3825
742.19,363.249,4.7624,0.3817
747.80,363.749,4.7621,0.3809
753.40,364.249,4.7618,0.3795
759.01,364.749,4.7616,0.3779
764.65,365.249,4.7611,0.3768
770.27,365.749,4.7608,0.3759
775.89,366.249,4.7605,0.3759
781.54,366.749,4.7602,0.3746
787.17,367.249,4.7599,0.3728
792.80,367.749,4.7596,0.3736
798.44,368.249,4.7593,0.3721
804.08,368.749,4.7590,0.3709
809.73,369.249,4.7587,0.3710
815.40,369.749,4.7585,0.3707
821.08,370.249,4.7582,0.3690
826.77,370.749,4.7580,0.3690
832.47,371.249,4.7577,0.3679
838.18,371.749,4.7573,0.3678
843.88,372.249,4.7570,0.3671
849.58,372.749,4.7566,0.3669
855.29,373.249,4.7562,0.3666
861.02,373.749,4.7559,0.3656
866.75,374.249,4.7557,0.3659
872.50,374.749,4.7557,0.3651
878.26,375.249,4.7567,0.3649
884.02,375.749,4.7569,0.3650
889.78,376.249,4.7580,0.3649
895.54,376.749,4.7585,0.3640
901.32,377.249,4.7589,0.3641
907.10,377.749,4.7586,0.3639
912.88,378.249,4.7583,0.3632
918.68,378.749,4.7579,0.3629
924.49,379.249,4.7576,0.3631
930.30,379.749,4.7573,0.3626
936.13,380.249,4.7569,0.3626
941.95,380.749,4.7566,0.3628
947.77,381.249,4.7562,0.3623
953.58,381.749,4.7559,0.3625
959.39,382.249,4.7556,0.3627
965.22,382.749,4.7554,0.3628
971.05,383.249,4.7553,0.3636
976.89,383.749,4.7551,0.3624
982.75,384.249,4.7550,0.3624
988.61,384.749,4.7549,0.3623
994.47,385.249,4.7547,0.3619
1000.34,385.749,4.7546,0.3627
1006.21,386.249,4.7550,0.3621
1012.08,386.749,4.7549,0.3623
1017.96,387.249,4.7550,0.3619
1023.82,387.749,4.7548,0.3619
1029.69,388.249,4.7547,0.3612
1035.55,388.749,4.7546,0.3617
1041.43,389.249,4.7545,0.3603
1047.31,389.749,4.7545,0.3621
1053.18,390.249,4.7542,0.3610
1059.06,390.749,4.7538,0.3611
1064.93,391.249,4.7535,0.3610
1070.80,391.749,4.7532,0.3611
1076.72,392.249,4.7529,0.3613
1082.61,392.749,4.7526,0.3614
1088.51,393.249,4.7525,0.3611
1094.38,393.749,4.7522,0.3603
1100.25,394.249,4.7520,0.3605
1106.12,394.749,4.7518,0.3606
1112.01,395.249,4.7517,0.3605
1117.90,395.749,4.7515,0.3612
1123.78,396.249,4.7513,0.3608
1129.68,396.749,4.7511,0.3604
1135.58,397.249,4.7511,0.3608
1141.50,397.749,4.7517,0.3609
1147.41,398.249,4.7533,0.3601
1153.30,398.749,4.7533,0.3602
1159.20,399.249,4.7537,0.3603
1165.09,399.749,4.7543,0.3598
1171.00,400.249,4.7543,0.3598
1176.90,400.749,4.7540,0.3594
1182.81,401.249,4.7537,0.3591
1188.73,401.749,4.7533,0.3592
1194.65,402.249,4.7531,0.3597
1200.55,402.749,4.7528,0.3584
1206.45,403.249,4.7524,0.3580
1212.34,403.749,4.7522,0.3579
1218.23,404.249,4.7521,0.3587
1224.13,404.749,4.7519,0.3574
1230.07,405.249,4.7517,0.3572
1235.99,405.749,4.7515,0.3571
1241.94,406.249,4.7515,0.3570
1247.88,406.749,4.7513,0.3566
1253.81,407.249,4.7511,0.3571
1259.77,407.749,4.7508,0.3566
1265.72,408.249,4.7506,0.3559
1271.66,408.749,4.7504,0.3558
1277.60,409.249,4.7502,0.3565
1283.53,409.749,4.7500,0.3550
1289.46,410.249,4.7498,0.3552
1295.40,410.749,4.7497,0.3553
1301.34,411.249,4.7499,0.3543
1307.29,411.749,4.7499,0.3542
1313.22,412.249,4.7499,0.3543
1319.15,412.749,4.7503,0.3542
1325.10,413.249,4.7503,0.3540
1331.04,413.749,4.7504,0.3540
1336.97,414.249,4.7504,0.3542
1342.91,414.749,4.7505,0.3535
1348.84,415.249,4.7505,0.3538
1354.80,415.749,4.7505,0.3538
1360.77,416.249,4.7507,0.3530
1366.72,416.749,4.7509,0.3525
1372.70,417.249,4.7511,0.3529
1378.66,417.749,4.7512,0.3528
1384.61,418.249,4.7510,0.3522
1390.58,418.749,4.7508,0.3514
1396.55,419.249,4.7505,0.3522
1402.54,419.749,4.7503,0.3517
1408.50,420.249,4.7500,0.3523
1414.46,420.749,4.7498,0.3520
1420.40,421.249,4.7495,0.3512
1426.35,421.749,4.7492,0.3511
1432.30,422.249,4.7490,0.3503
1438.27,422.749,4.7487,0.3510
1444.23,423.249,4.7485,0.3513
1450.19,423.749,4.7482,0.3512
1456.16,424.249,4.7482,0.3514
1462.12,424.749,4.7483,0.3505
1468.09,425.249,4.7482,0.3502
1474.07,425.749,4.7481,0.3508
1480.01,426.249,4.7479,0.3506
1485.96,426.749,4.7477,0.3509
1491.92,427.249,4.7472,0.3512
1497.88,427.749,4.7468,0.3505
1503.83,428.249,4.7464,0.3503
1509.80,428.749,4.7459,0.3512
1515.75,429.249,4.7454,0.3504
1521.71,429.749,4.7452,0.3504
1527.67,430.249,4.7450,0.3503
1533.65,430.749,4.7447,0.3502
1539.61,431.249,4.7445,0.3503
1545.56,431.749,4.7443,0.3496
1551.54,432.249,4.7440,0.3498
1557.47,432.749,4.7438,0.3494
1563.40,433.249,4.7435,0.3486
1569.37,433.749,4.7433,0.3494
1575.34,434.249,4.7431,0.3485
1581.31,434.749,4.7425,0.3479
1587.31,435.249,4.7420,0.3473
1593.29,435.749,4.7416,0.3473
1599.27,436.249,4.7413,0.3473
1605.25,436.749,4.7409,0.3465
1611.23,437.249,4.7406,0.3464
1617.19,437.749,4.7402,0.3454
1623.16,438.249,4.7399,0.3456
1629.15,438.749,4.7395,0.3452
1635.13,439.249,4.7392,0.3451
1641.11,439.749,4.7389,0.3442
1647.11,440.249,4.7384,0.3433
1653.08,440.749,4.7382,0.3436
1659.07,441.249,4.7379,0.3434
1665.06,441.749,4.7374,0.3424
1671.07,442.249,4.7371,0.3424
1677.09,442.749,4.7368,0.3416
1683.09,443.249,4.7364,0.3408
1689.11,443.749,4.7361,0.3407
1695.11,444.249,4.7339,0.3401
1701.11,444.749,4.7328,0.3395
1707.09,445.249,4.7319,0.3393
1713.07,445.749,4.7315,0.3389
1719.06,446.249,4.7313,0.3395
1725.04,446.749,4.7311,0.3384
1731.06,447.249,4.7309,0.3381
1737.08,447.749,4.7307,0.3373
1743.08,448.249,4.7305,0.3372
1749.10,448.749,4.7303,0.3363
1755.08,449.249,4.7301,0.3355
1761.07,449.749,4.7299,0.3356
1767.06,450.249,4.7297,0.3355
1773.02,450.749,4.7295,0.3356
1778.99,451.249,4.7292,0.3350
1784.96,451.749,4.7278,0.3331
1790.93,452.249,4.7264,0.3333
1796.91,452.749,4.7261,0.3337
1802.89,453.249,4.7259,0.3324
1808.84,453.749,4.7255,0.3320
1814.82,454.249,4.7246,0.3312
1820.80,454.749,4.7227,0.3303
1826.79,455.249,4.7221,0.3295
1832.77,455.749,4.7218,0.3291
1838.73,456.249,4.7200,0.3285
1844.68,456.749,4.7181,0.3272
1850.64,457.249,4.7178,0.3269
1856.61,457.749,4.7173,0.3262
1862.58,458.249,4.7164,0.3253
1868.56,458.749,4.7154,0.3237
1874.54,459.249,4.7144,0.3231
1880.51,459.749,4.7135,0.3216
1886.51,460.249,4.7126,0.3215
1892.49,460.749,4.7125,0.3212
1898.46,461.249,4.7122,0.3216
1904.45,461.749,4.7110,0.3203
1910.44,462.249,4.7095,0.3197
1916.40,462.749,4.7084,0.3187
1922.38,463.249,4.7079,0.3182
1928.37,463.749,4.7061,0.3171
1934.32,464.249,4.7043,0.3156
1940.31,464.749,4.7021,0.3141
1946.29,465.249,4.7018,0.3134
1952.28,465.749,4.7016,0.3130
1958.28,466.249,4.7014,0.3115
1964.29,466.749,4.7013,0.3117
1970.31,467.249,4.7010,0.3101
1976.32,467.749,4.7005,0.3086
1982.32,468.249,4.7000,0.3083
1988.34,468.749,4.6980,0.3071
1994.32,469.249,4.6965,0.3054
2000.33,469.749,4.6948,0.3051
2006.36,470.249,4.6939,0.3032
2012.36,470.749,4.6931,0.3022
2018.39,471.249,4.6918,0.3019
2024.43,471.749,4.6900,0.3003
2030.43,472.249,4.6881,0.2985
2036.42,472.749,4.6869,0.2975
2042.44,473.249,4.6841,0.2957
2048.43,473.749,4.6827,0.2939
2054.44,474.249,4.6817,0.2931
2060.44,474.749,4.6807,0.2908
2066.43,475.249,4.6795,0.2914
2072.45,475.749,4.6791,0.2892
2078.44,476.249,4.6774,0.2879
2084.47,476.749,4.6753,0.2867
2090.47,477.249,4.6743,0.2863
2096.47,477.749,4.6736,0.2850
2102.46,478.249,4.6709,0.2839
2108.44,478.749,4.6700,0.2823
2114.44,479.249,4.6688,0.2814
2120.44,479.749,4.6660,0.2791
2126.45,480.249,4.6650,0.2778
2132.47,480.749,4.6629,0.2764
2138.48,481.249,4.6602,0.2747
