Time (s),Temperature (K),Mass (mg),Heat Flow (W/g)
0,308,7.4641,-0.0254
8.3,308.5,7.457,-0.0259
16,309,7.4503,-0.0265
23.3,309.5,7.4438,-0.027
30.8,310,7.4377,-0.0275
38.5,310.5,7.4307,-0.0281
46,311,7.4239,-0.0286
53,311.5,7.4173,-0.0291
60,312,7.4112,-0.0296
67.5,312.5,7.404,-0.0302
74.7,313,7.3968,-0.0307
81.2,313.5,7.3902,-0.0313
88,314,7.3843,-0.0316
95,314.5,7.3767,-0.0322
102,315,7.3702,-0.0326
109,315.5,7.3625,-0.0331
115.5,316,7.3559,-0.0335
122.3,316.5,7.3492,-0.0339
129.1,317,7.3419,-0.0344
135.9,317.5,7.3348,-0.0347
142.7,318,7.3271,-0.0351
149.5,318.5,7.3196,-0.0354
156.5,319,7.3117,-0.0358
163.5,319.5,7.3039,-0.0362
170.3,320,7.296,-0.0365
177.1,320.5,7.2887,-0.0368
183.9,321,7.2806,-0.0371
190.4,321.5,7.2732,-0.0374
196.9,322,7.2656,-0.0376
203.4,322.5,7.2584,-0.0378
209.9,323,7.2511,-0.038
216.4,323.5,7.2435,-0.0381
222.9,324,7.2361,-0.0383
229.4,324.5,7.229,-0.0384
235.9,325,7.2217,-0.0385
242.1,325.5,7.2144,-0.0386
248.4,326,7.2077,-0.0386
254.7,326.5,7.2004,-0.0387
260.9,327,7.1939,-0.0388
267.4,327.5,7.1871,-0.0387
273.6,328,7.1801,-0.0387
279.6,328.5,7.1739,-0.0387
285.6,329,7.1675,-0.0386
291.9,329.5,7.1613,-0.0385
298.2,330,7.1547,-0.0384
304.4,330.5,7.1485,-0.0383
310.6,331,7.1421,-0.0382
316.8,331.5,7.1361,-0.038
323,332,7.13,-0.0378
329.3,332.5,7.124,-0.0376
335.6,333,7.118,-0.0374
341.8,333.5,7.1124,-0.0372
348,334,7.1066,-0.037
354,334.5,7.1013,-0.0367
360,335,7.096,-0.0364
366,335.5,7.0909,-0.0362
372,336,7.0859,-0.0359
378.2,336.5,7.0807,-0.0356
384.4,337,7.0755,-0.0353
390.4,337.5,7.0707,-0.0349
396.4,338,7.0659,-0.0346
402.4,338.5,7.0614,-0.0343
408.2,339,7.0568,-0.034
414,339.5,7.053,-0.0337
420,340,7.0484,-0.0333
426,340.5,7.0443,-0.033
432,341,7.0401,-0.0326
438,341.5,7.0361,-0.0323
444,342,7.0324,-0.0319
450,342.5,7.0284,-0.0316
456,343,7.0247,-0.0312
462,343.5,7.021,-0.0308
468.2,344,7.0176,-0.0304
474.2,344.5,7.0137,-0.0301
480,345,7.0105,-0.0297
486.2,345.5,7.0074,-0.0293
492.4,346,7.0038,-0.0289
498.4,346.5,7.0008,-0.0285
504.2,347,6.9977,-0.0281
510,347.5,6.9951,-0.0278
516,348,6.9923,-0.0274
522,348.5,6.9894,-0.027
528,349,6.9867,-0.0267
534,349.5,6.984,-0.0264
540,350,6.9814,-0.026
545.8,350.5,6.9789,-0.0257
551.6,351,6.9769,-0.0254
557.6,351.5,6.9746,-0.025
563.3,352,6.9723,-0.0248
569,352.5,6.9703,-0.0244
575,353,6.9683,-0.0241
581,353.5,6.9662,-0.0238
587,354,6.9642,-0.0236
592.8,354.5,6.9622,-0.0232
598.8,355,6.9603,-0.0229
605,355.5,6.9585,-0.0226
610.8,356,6.9568,-0.0224
616.6,356.5,6.9553,-0.0221
622.6,357,6.9536,-0.0218
628.4,357.5,6.9519,-0.0216
634.2,358,6.9504,-0.0213
640.2,358.5,6.9493,-0.021
646.2,359,6.9477,-0.0208
652.2,359.5,6.9464,-0.0205
657.9,360,6.9449,-0.0202
663.6,360.5,6.9436,-0.02
669.6,361,6.9424,-0.0198
675.6,361.5,6.941,-0.0196
681.4,362,6.9399,-0.0194
687.2,362.5,6.9388,-0.0193
693.2,363,6.9378,-0.019
699,363.5,6.9366,-0.0189
704.8,364,6.9355,-0.0187
710.5,364.5,6.9345,-0.0186
716.2,365,6.9338,-0.0184
722.2,365.5,6.9327,-0.0183
728.2,366,6.9317,-0.0181
734.2,366.5,6.9308,-0.018
740.2,367,6.93,-0.0179
746.2,367.5,6.9292,-0.0178
752.2,368,6.9282,-0.0177
758.2,368.5,6.9276,-0.0176
764,369,6.9267,-0.0175
769.8,369.5,6.9259,-0.0174
775.8,370,6.9254,-0.0172
781.8,370.5,6.9246,-0.0172
787.8,371,6.9238,-0.0171
793.6,371.5,6.9231,-0.017
799.4,372,6.9225,-0.0169
805.4,372.5,6.922,-0.0169
811.4,373,6.9213,-0.0168
817.4,373.5,6.9206,-0.0167
823.1,374,6.9201,-0.0167
828.8,374.5,6.9197,-0.0166
834.6,375,6.919,-0.0166
840.4,375.5,6.9186,-0.0165
846.4,376,6.918,-0.0165
852.2,376.5,6.9174,-0.0164
858,377,6.9169,-0.0164
864,377.5,6.9163,-0.0163
870,378,6.9159,-0.0163
875.7,378.5,6.9152,-0.0163
881.4,379,6.9149,-0.0162
887.2,379.5,6.9143,-0.0162
893,380,6.9139,-0.0161
899,380.5,6.9133,-0.016
904.8,381,6.9127,-0.0159
910.6,381.5,6.9124,-0.0158
916.6,382,6.9119,-0.0158
922.3,382.5,6.9114,-0.0157
928,383,6.9111,-0.0156
933.8,383.5,6.9105,-0.0155
939.6,384,6.9101,-0.0155
945.4,384.5,6.9096,-0.0155
951.2,385,6.9092,-0.0154
956.9,385.5,6.9088,-0.0154
962.6,386,6.9084,-0.0153
968.4,386.5,6.908,-0.0153
974.2,387,6.9076,-0.0153
980.2,387.5,6.9073,-0.0153
986.2,388,6.9069,-0.0152
992.2,388.5,6.9065,-0.0152
998,389,6.9059,-0.0152
1003.8,389.5,6.9056,-0.0152
1009.8,390,6.9053,-0.0152
1015.8,390.5,6.9048,-0.0153
1021.5,391,6.9043,-0.0153
1027.2,391.5,6.904,-0.0154
1033,392,6.9035,-0.0154
1038.8,392.5,6.9031,-0.0154
1044.8,393,6.9027,-0.0155
1050.8,393.5,6.9024,-0.0156
1056.6,394,6.9021,-0.0155
1062.4,394.5,6.9018,-0.0156
1068.1,395,6.9014,-0.0156
1073.8,395.5,6.901,-0.0156
1079.6,396,6.9007,-0.0156
1085.4,396.5,6.9003,-0.0156
1091.2,397,6.8998,-0.0157
1097,397.5,6.8992,-0.0157
1103,398,6.899,-0.0158
1108.7,398.5,6.8988,-0.0158
1114.4,399,6.8985,-0.0158
1120.2,399.5,6.8983,-0.0159
1126,400,6.8979,-0.0159
1131.8,400.5,6.8974,-0.016
1137.6,401,6.8969,-0.016
1143.6,401.5,6.8965,-0.0161
1149.3,402,6.8963,-0.0161
1154.8,402.5,6.896,-0.0161
1160.6,403,6.8955,-0.0161
1166.4,403.5,6.8952,-0.0162
1172.2,404,6.8949,-0.0162
1177.9,404.5,6.8945,-0.0162
1183.4,405,6.8941,-0.0162
1189.2,405.5,6.8939,-0.0163
1195,406,6.8934,-0.0164
1200.5,406.5,6.8929,-0.0165
1206.2,407,6.8927,-0.0165
1212,407.5,6.8922,-0.0166
1217.8,408,6.8919,-0.0166
1223.6,408.5,6.8916,-0.0167
1229.1,409,6.8913,-0.0167
1234.8,409.5,6.8908,-0.0168
1240.6,410,6.8904,-0.0169
1246.1,410.5,6.8901,-0.017
1251.9,411,6.8898,-0.0171
1257.9,411.5,6.8895,-0.0172
1263.6,412,6.889,-0.0173
1269.1,412.5,6.8888,-0.0172
1274.6,413,6.8884,-0.0174
1280.4,413.5,6.8879,-0.0174
1286.1,414,6.8875,-0.0174
1291.6,414.5,6.8872,-0.0175
1297.4,415,6.8868,-0.0175
1303.2,415.5,6.8863,-0.0176
1308.7,416,6.886,-0.0177
1314.2,416.5,6.8856,-0.0178
1319.7,417,6.8852,-0.018
1325.5,417.5,6.8847,-0.0181
1331.5,418,6.8846,-0.0181
1337.2,418.5,6.8843,-0.0182
1342.9,419,6.8839,-0.0182
1348.7,419.5,6.8835,-0.0183
1354.2,420,6.8832,-0.0184
1360,420.5,6.8829,-0.0184
1365.7,421,6.8822,-0.0185
1371.4,421.5,6.8817,-0.0185
1377.2,422,6.8814,-0.0186
1382.7,422.5,6.8812,-0.0186
1388.2,423,6.8808,-0.0187
1393.9,423.5,6.8802,-0.0187
1399.7,424,6.8799,-0.0187
1405.5,424.5,6.8795,-0.0189
1411.3,425,6.8791,-0.019
1416.8,425.5,6.8786,-0.019
1422.3,426,6.8782,-0.0191
1428.1,426.5,6.8779,-0.0192
1433.9,427,6.8773,-0.0192
1439.7,427.5,6.877,-0.0192
1445.4,428,6.8766,-0.0193
1450.9,428.5,6.8762,-0.0193
1456.4,429,6.8756,-0.0194
1462.2,429.5,6.8751,-0.0195
1468.2,430,6.8745,-0.0195
1473.9,430.5,6.874,-0.0196
1479.4,431,6.8735,-0.0197
1484.9,431.5,6.8731,-0.0196
1490.4,432,6.8724,-0.0197
1496.1,432.5,6.872,-0.0197
1501.9,433,6.8715,-0.0199
1507.4,433.5,6.871,-0.0199
1513.2,434,6.8704,-0.02
1518.9,434.5,6.8698,-0.02
1524.4,435,6.8692,-0.0201
1530.2,435.5,6.8687,-0.0201
1536,436,6.8682,-0.0202
1541.5,436.5,6.8676,-0.0203
1547,437,6.867,-0.0204
1552.8,437.5,6.8663,-0.0205
1558.6,438,6.8657,-0.0207
1564.4,438.5,6.865,-0.0207
1570.1,439,6.8645,-0.0208
1575.6,439.5,6.8638,-0.0208
1581.4,440,6.863,-0.0208
1587.2,440.5,6.8624,-0.0209
1592.7,441,6.8618,-0.021
1598.4,441.5,6.8615,-0.0211
1604.2,442,6.8601,-0.0212
1609.7,442.5,6.8593,-0.0213
1615.2,443,6.8585,-0.0213
1620.9,443.5,6.8577,-0.0214
1626.7,444,6.8569,-0.0213
1632.2,444.5,6.856,-0.0215
1637.7,445,6.8553,-0.0216
1643.4,445.5,6.8545,-0.0217
1649.2,446,6.8535,-0.0217
1654.7,446.5,6.8526,-0.0218
1660.5,447,6.8517,-0.0219
1666,447.5,6.8508,-0.0221
1671.5,448,6.8501,-0.0219
1677.3,448.5,6.8491,-0.0221
1682.8,449,6.848,-0.0221
1688.5,449.5,6.847,-0.0222
1694.3,450,6.8458,-0.0223
1699.8,450.5,6.8449,-0.0224
1705.3,451,6.844,-0.0225
1711,451.5,6.8427,-0.0226
1716.8,452,6.8417,-0.0228
1722.3,452.5,6.8407,-0.0229
1727.8,453,6.8395,-0.0229
1733.3,453.5,6.8381,-0.0231
1738.8,454,6.8372,-0.0232
1744.6,454.5,6.8359,-0.0233
1750.3,455,6.8345,-0.0235
1755.8,455.5,6.8334,-0.0236
1761.3,456,6.8321,-0.0237
1767.1,456.5,6.8308,-0.0238
1772.8,457,6.8295,-0.0239
1778.3,457.5,6.8282,-0.024
1784.1,458,6.8268,-0.0241
1789.9,458.5,6.8255,-0.0242
1795.4,459,6.824,-0.0243
1800.9,459.5,6.8226,-0.0244
1806.7,460,6.8212,-0.0244
1812.5,460.5,6.8197,-0.0246
1818,461,6.8182,-0.0247
1823.7,461.5,6.8165,-0.0248
1829.2,462,6.8147,-0.0249
1834.7,462.5,6.8133,-0.025
1840.4,463,6.8116,-0.0251
1845.9,463.5,6.81,-0.0251
1851.4,464,6.8084,-0.0252
1856.9,464.5,6.8067,-0.0253
1862.6,465,6.805,-0.0254
1868.4,465.5,6.8032,-0.0256
1873.9,466,6.8015,-0.0257
1879.4,466.5,6.7998,-0.0258
1884.9,467,6.7981,-0.0258
1890.4,467.5,6.7963,-0.0259
1895.9,468,6.7945,-0.0261
1901.6,468.5,6.7927,-0.0261
1907.4,469,6.7907,-0.0263
1912.9,469.5,6.7887,-0.0264
1918.4,470,6.7868,-0.0264
1923.9,470.5,6.7848,-0.0265
1929.4,471,6.7829,-0.0266
1934.9,471.5,6.7811,-0.0268
1940.4,472,6.7792,-0.0269
1945.9,472.5,6.7772,-0.0271
1951.4,473,6.7752,-0.0272
1956.9,473.5,6.7732,-0.0273
1962.4,474,6.7713,-0.0274
1967.9,474.5,6.7695,-0.0275
1973.4,475,6.7674,-0.0276
1978.9,475.5,6.7653,-0.0277
1984.7,476,6.7631,-0.0278
1990.4,476.5,6.7609,-0.0279
1995.9,477,6.7587,-0.0279
2001.4,477.5,6.7567,-0.028
2006.9,478,6.7547,-0.0281
2012.6,478.5,6.7527,-0.0282
2018.4,479,6.7503,-0.0282
2023.9,479.5,6.748,-0.0283
2029.4,480,6.7461,-0.0284
2035.1,480.5,6.7441,-0.0285
2040.9,481,6.7416,-0.0286
2046.4,481.5,6.7393,-0.0287
2052.2,482,6.7372,-0.0286
2057.9,482.5,6.7348,-0.0287
2063.4,483,6.7327,-0.0288
2068.9,483.5,6.7305,-0.0288
2074.4,484,6.7283,-0.0289
2080.1,484.5,6.7261,-0.0289
2085.9,485,6.7238,-0.029
2091.4,485.5,6.7214,-0.0291
2097.2,486,6.7191,-0.0291
2102.9,486.5,6.7167,-0.0292
2108.4,487,6.7145,-0.0292
2113.9,487.5,6.7123,-0.0293
2119.7,488,6.7099,-0.0293
2125.4,488.5,6.7074,-0.0294
2130.9,489,6.705,-0.0295
2136.4,489.5,6.7026,-0.0296
2142.2,490,6.7004,-0.0296
2147.9,490.5,6.6978,-0.0297
2153.4,491,6.6953,-0.0299
2158.9,491.5,6.6929,-0.03
2164.7,492,6.6903,-0.0303
2170.4,492.5,6.6878,-0.0304
2175.9,493,6.6854,-0.0306
2181.4,493.5,6.6827,-0.0307
2186.9,494,6.6801,-0.0309
2192.4,494.5,6.6774,-0.031
2198.2,495,6.6749,-0.0312
2204,495.5,6.6721,-0.0314
2209.5,496,6.6693,-0.0315
2215,496.5,6.6666,-0.0316
2220.5,497,6.6639,-0.0318
2226,497.5,6.6612,-0.0319
2231.7,498,6.6582,-0.032
2237.5,498.5,6.6552,-0.0321
2243,499,6.6525,-0.0322
2248.5,499.5,6.6495,-0.0324
2254,500,6.6466,-0.0324
2259.5,500.5,6.6435,-0.0325
2265,501,6.6405,-0.0325
2270.5,501.5,6.6375,-0.0325
2276,502,6.6342,-0.0326
2281.8,502.5,6.631,-0.0326
2287.5,503,6.6275,-0.0327
2293,503.5,6.6244,-0.0327
2298.8,504,6.621,-0.0326
2304.6,504.5,6.6174,-0.0326
2310.1,505,6.6138,-0.0326
2315.8,505.5,6.6106,-0.0327
2321.6,506,6.6067,-0.0327
2327.1,506.5,6.6033,-0.0328
2332.6,507,6.5997,-0.033
2338.3,507.5,6.596,-0.0329
2344.1,508,6.5919,-0.033
2349.6,508.5,6.5882,-0.0331
2355.4,509,6.5844,-0.0331
2361.1,509.5,6.5802,-0.0332
2366.6,510,6.5764,-0.0332
2372.1,510.5,6.5724,-0.0332
2377.9,511,6.5685,-0.0331
2383.6,511.5,6.564,-0.0332
2389.1,512,6.5597,-0.0333
2394.6,512.5,6.5556,-0.0333
2400.1,513,6.5511,-0.0334
2405.6,513.5,6.5467,-0.0333
2411.1,514,6.5424,-0.0334
2416.9,514.5,6.5379,-0.0334
2422.6,515,6.533,-0.0335
2428.1,515.5,6.5285,-0.0334
2433.6,516,6.5237,-0.0334
2439.1,516.5,6.5191,-0.0334
2444.8,517,6.5145,-0.0333
2450.6,517.5,6.5094,-0.0334
2456.1,518,6.5045,-0.0334
2461.6,518.5,6.4995,-0.0333
2467.1,519,6.4944,-0.0333
2472.6,519.5,6.4894,-0.0333
2478.1,520,6.4843,-0.0333
2483.8,520.5,6.4794,-0.0333
2489.6,521,6.4737,-0.0333
2495.1,521.5,6.4688,-0.0334
2500.6,522,6.4634,-0.0335
2506.1,522.5,6.4582,-0.0334
2511.6,523,6.4527,-0.0335
2517.1,523.5,6.4473,-0.0335
2522.6,524,6.4419,-0.0336
2528.1,524.5,6.4363,-0.0337
2533.9,525,6.4306,-0.0338
2539.6,525.5,6.4244,-0.0339
2545.1,526,6.4188,-0.0341
2550.6,526.5,6.4128,-0.0341
2556.1,527,6.4069,-0.0341
2561.6,527.5,6.4008,-0.0342
2567.1,528,6.3946,-0.0342
2572.6,528.5,6.3886,-0.0343
2578.3,529,6.3825,-0.0343
2584.1,529.5,6.3755,-0.0344
2589.6,530,6.3693,-0.0344
2595.4,530.5,6.3627,-0.0346
2601.1,531,6.3557,-0.0346
2606.6,531.5,6.3492,-0.0348
2612.1,532,6.3426,-0.0348
2617.9,532.5,6.3358,-0.0348
2623.6,533,6.3285,-0.0348
2629.1,533.5,6.3215,-0.035
2634.6,534,6.3144,-0.0348
2640.4,534.5,6.3073,-0.035
2646.1,535,6.2997,-0.0351
2651.6,535.5,6.2926,-0.0353
2657.4,536,6.2852,-0.0354
2663.2,536.5,6.2772,-0.0355
2668.7,537,6.2698,-0.0355
2674.4,537.5,6.2623,-0.0356
2680.2,538,6.2539,-0.0357
2685.7,538.5,6.246,-0.0358
2691.5,539,6.2383,-0.0358
2697.2,539.5,6.2297,-0.0359
2702.9,540,6.2217,-0.036
2708.7,540.5,6.2131,-0.0362
2714.5,541,6.2049,-0.0362
2720.3,541.5,6.1961,-0.0364
2725.8,542,6.1877,-0.0366
2731.5,542.5,6.1795,-0.0365
2737.3,543,6.1701,-0.0366
2742.8,543.5,6.1615,-0.0366
2748.6,544,6.153,-0.0367
2754.3,544.5,6.1435,-0.0368
2759.8,545,6.1346,-0.0369
2765.3,545.5,6.1259,-0.0369
2771.1,546,6.1169,-0.037
2776.8,546.5,6.107,-0.0369
2782.5,547,6.0978,-0.037
2788.3,547.5,6.0877,-0.037
2793.8,548,6.0782,-0.0373
2799.6,548.5,6.0689,-0.0371
2805.3,549,6.0585,-0.0373
2811,549.5,6.0491,-0.0373
2816.8,550,6.0386,-0.0372
2822.6,550.5,6.0289,-0.0373
2828.4,551,6.0181,-0.0374
2833.9,551.5,6.0079,-0.0375
2839.4,552,5.9978,-0.0376
2845.2,552.5,5.9875,-0.0377
2851,553,5.9764,-0.0379
2856.5,553.5,5.9662,-0.0379
2862,554,5.9558,-0.038
2867.8,554.5,5.9455,-0.0381
2873.6,555,5.9341,-0.0383
2879.1,555.5,5.9236,-0.0384
2884.6,556,5.9129,-0.0385
2890.1,556.5,5.902,-0.0386
2895.6,557,5.8914,-0.0387
2901.3,557.5,5.8805,-0.0387
2907.1,558,5.8688,-0.0388
2912.6,558.5,5.8579,-0.039
2918.1,559,5.8466,-0.0391
2923.6,559.5,5.8357,-0.0392
2929.1,560,5.8242,-0.0393
2934.9,560.5,5.8132,-0.0394
2940.6,561,5.8008,-0.0396
2946.1,561.5,5.7893,-0.0397
2951.6,562,5.7776,-0.0397
2957.1,562.5,5.766,-0.04
2962.6,563,5.7541,-0.0401
2968.4,563.5,5.7424,-0.0401
2974.2,564,5.7293,-0.0401
2980,564.5,5.7175,-0.0402
2985.7,565,5.7044,-0.0402
2991.2,565.5,5.6919,-0.0402
2996.7,566,5.6796,-0.0403
3002.5,566.5,5.6673,-0.0404
3008.2,567,5.6537,-0.0406
3013.7,567.5,5.641,-0.0407
3019.2,568,5.6282,-0.0407
3025,568.5,5.6154,-0.0408
3030.7,569,5.6013,-0.0409
3036.4,569.5,5.5883,-0.041
3042.2,570,5.5738,-0.0411
3047.7,570.5,5.5607,-0.0411
3053.2,571,5.5473,-0.0412
3058.9,571.5,5.5337,-0.0412
3064.7,572,5.5189,-0.0412
3070.2,572.5,5.5051,-0.0413
3076,573,5.4912,-0.0412
3081.7,573.5,5.4756,-0.0413
3087.4,574,5.4615,-0.0413
3093.2,574.5,5.446,-0.0413
3098.7,575,5.4317,-0.0415
3104.5,575.5,5.417,-0.0415
3110.2,576,5.401,-0.0416
3115.7,576.5,5.386,-0.0418
3121.5,577,5.3711,-0.0419
3127.3,577.5,5.3546,-0.0419
3133.1,578,5.3392,-0.042
3138.8,578.5,5.3223,-0.0422
3144.5,579,5.3069,-0.0423
3150.3,579.5,5.2896,-0.0424
3156.1,580,5.2738,-0.0423
3161.9,580.5,5.2564,-0.0423
3167.7,581,5.2401,-0.0424
3173.4,581.5,5.2224,-0.0424
3179.1,582,5.2058,-0.0423
3184.9,582.5,5.1877,-0.0424
3190.4,583,5.171,-0.0425
3196.2,583.5,5.1542,-0.0425
3201.9,584,5.1355,-0.0426
3207.6,584.5,5.1183,-0.0427
3213.4,585,5.0994,-0.0428
3219.2,585.5,5.0819,-0.0429
3225,586,5.0625,-0.0431
3230.8,586.5,5.0447,-0.0431
3236.5,587,5.0252,-0.0433
3242,587.5,5.007,-0.0434
3247.8,588,4.9891,-0.0435
3253.8,588.5,4.9692,-0.0435
3259.6,589,4.9494,-0.0436
3265.4,589.5,4.9308,-0.0437
3271.1,590,4.9105,-0.0436
3276.8,590.5,4.8919,-0.0437
3282.8,591,4.8714,-0.0437
3288.6,591.5,4.8507,-0.0438
3294.1,592,4.8316,-0.0439
3299.9,592.5,4.8125,-0.0439
3305.6,593,4.7916,-0.0439
3311.1,593.5,4.7723,-0.044
3316.6,594,4.7529,-0.044
3322.4,594.5,4.7335,-0.044
3328.1,595,4.7122,-0.044
3333.8,595.5,4.6926,-0.0439
3339.6,596,4.6712,-0.0439
3345.4,596.5,4.6513,-0.044
3351.2,597,4.6296,-0.0441
3357,597.5,4.6097,-0.0441
3362.7,598,4.588,-0.0441
3368.4,598.5,4.568,-0.0443
