Time (s),Temperature (K),Mass (mg),Heat Flow Rate (W/g)
0,308,9.2461,0.2974
4.5,308.5,9.2418,0.3049
9,309,9.2376,0.3131
13.5,309.5,9.2332,0.3218
18,310,9.2288,0.3297
22.3,310.5,9.2244,0.3383
26.6,311,9.2203,0.346
30.9,311.5,9.2151,0.3547
34.9,312,9.211,0.3622
38.9,312.5,9.2063,0.3703
42.9,313,9.2018,0.3781
46.9,313.5,9.197,0.3862
50.7,314,9.1921,0.3942
54.5,314.5,9.1877,0.4013
58.5,315,9.1828,0.4099
62.3,315.5,9.1775,0.4184
66.1,316,9.1729,0.4256
69.9,316.5,9.1674,0.4338
73.4,317,9.1625,0.4408
77.2,317.5,9.1574,0.448
81.2,318,9.1516,0.4569
85,318.5,9.1456,0.4656
88.8,319,9.1402,0.4726
92.6,319.5,9.1339,0.4816
96.1,320,9.1283,0.4896
99.9,320.5,9.1226,0.4977
103.7,321,9.1158,0.5074
107.2,321.5,9.1095,0.5163
110.7,322,9.1031,0.5255
114.2,322.5,9.0964,0.5343
117.7,323,9.0896,0.5429
121.5,323.5,9.0827,0.5522
125.3,324,9.075,0.5627
128.8,324.5,9.0679,0.5716
132.3,325,9.0608,0.5807
135.6,325.5,9.0535,0.5901
138.8,326,9.0472,0.5984
142.3,326.5,9.0396,0.6082
145.8,327,9.032,0.6174
149.3,327.5,9.0242,0.6271
152.5,328,9.0164,0.6365
155.7,328.5,9.0095,0.6449
159.2,329,9.0014,0.6546
162.5,329.5,8.9934,0.6643
165.7,330,8.9865,0.6719
169.2,330.5,8.9784,0.681
172.7,331,8.9701,0.69
176,331.5,8.9616,0.6988
179.2,332,8.9545,0.7061
182.7,332.5,8.9459,0.7144
185.9,333,8.9374,0.7222
189.2,333.5,8.9301,0.7289
192.7,334,8.9215,0.7366
195.9,334.5,8.9129,0.744
199.1,335,8.9054,0.7499
202.3,335.5,8.8968,0.7565
205.3,336,8.8893,0.7621
208.6,336.5,8.8818,0.7674
211.9,337,8.873,0.7729
214.9,337.5,8.8654,0.778
218.1,338,8.8581,0.7828
221.3,338.5,8.8494,0.7884
224.3,339,8.8418,0.7925
227.3,339.5,8.8343,0.7964
230.3,340,8.827,0.7997
233.5,340.5,8.8196,0.8032
236.7,341,8.8109,0.8069
239.7,341.5,8.8035,0.8095
242.7,342,8.7962,0.8111
245.7,342.5,8.7891,0.8125
248.7,343,8.7819,0.8142
252,343.5,8.7748,0.8155
255.3,344,8.7666,0.8165
258.3,344.5,8.7595,0.8173
261.3,345,8.7525,0.8178
264.3,345.5,8.7455,0.8175
267.3,346,8.7387,0.817
270.3,346.5,8.7321,0.8163
273.3,347,8.7254,0.8153
276.3,347.5,8.7189,0.8136
279.3,348,8.7124,0.8119
282.3,348.5,8.706,0.8102
285.3,349,8.6996,0.8081
288.3,349.5,8.6933,0.8057
291.3,350,8.6872,0.8028
294,350.5,8.6813,0.8001
296.7,351,8.6763,0.7975
299.7,351.5,8.6704,0.7934
302.7,352,8.6645,0.7891
305.5,352.5,8.6589,0.7852
308.3,353,8.6542,0.7812
311.3,353.5,8.6486,0.7764
314.3,354,8.6432,0.7715
317.3,354.5,8.6379,0.7662
320.1,355,8.6327,0.7611
322.9,355.5,8.6285,0.7567
325.9,356,8.6235,0.7513
