Time (s),Mass (g),HRR (kW/m2)
0,105.22,2.49886537
1,115.141405,3.112521192
2,121.753971,3.215229866
3,121.602043,2.130163169
4,121.55092,1.416175963
5,121.51248,3.319994557
6,121.481693,2.772509676
7,121.469583,2.775497592
8,121.484974,3.091177603
9,121.503183,2.997419009
10,121.484256,2.229878453
11,121.46919,9.688627574
12,121.432383,35.06478055
13,121.358635,79.18098518
14,121.274383,94.13381809
15,121.203823,102.0521473
16,121.113047,134.09262
17,120.98473,163.0626531
18,120.839336,180.6025657
19,120.705771,183.6507769
20,120.613893,184.8423569
21,120.536879,190.9627208
22,120.41024,197.7796365
23,120.279957,199.4727213
24,120.160483,201.9352312
25,120.010631,204.0583883
26,119.86258,199.7803147
27,119.763455,196.1211269
28,119.671506,192.6012802
29,119.550016,186.0222684
30,119.413621,177.9137601
31,119.279958,176.8291363
32,119.175516,172.8315335
33,119.134748,169.1461197
34,119.102912,166.297616
35,118.989407,161.8262507
36,118.883183,164.0352306
37,118.798349,159.7047618
38,118.702661,154.1135363
39,118.597207,147.4593854
40,118.500428,143.494669
41,118.423821,147.1666355
42,118.334984,145.3523037
43,118.270616,144.2243281
44,118.189911,137.9424383
45,118.04008,134.3310505
46,117.92321,136.139527
47,117.884203,135.8493028
48,117.83829,134.0474377
49,117.748442,130.3844327
50,117.63953,129.6016531
51,117.594192,125.800342
52,117.524207,125.7168237
53,117.44919,124.9916626
54,117.40807,122.9566203
55,117.338659,114.9945056
56,117.260282,114.972036
57,117.184503,113.5491284
58,117.09673,110.5814583
59,117.00893,113.0892697
60,116.952774,116.0947767
61,116.913045,117.5009988
62,116.866989,117.826234
63,116.766661,120.0161987
64,116.658244,118.2009628
65,116.585709,115.3607093
66,116.536604,112.0489432
67,116.454253,111.7434507
68,116.370466,113.7055049
69,116.331186,115.0349059
70,116.276818,111.1183506
71,116.194984,110.1661989
72,116.114679,109.1912329
73,116.037616,107.4944223
74,115.949114,107.3735934
75,115.881632,107.7947091
76,115.844544,107.0385069
77,115.789026,102.8175097
78,115.713878,103.0008865
