Time (s),Mass (g),HRR (kW/m2),TC Top (K),TC 8.6mm (K),TC 17.2mm (K)
0,100.1,2.13372536,310.01,293.658,293.682
1,99.958987,1.607182733,310.098,293.678,293.694
2,99.862003,2.868744737,330.362,293.655,293.672
3,99.783658,4.325449918,370.68,293.655,293.675
4,99.687133,2.061808131,415.713,293.946,293.703
5,99.612768,0.690701701,459.993,293.893,293.701
6,99.543494,0.650937786,477.006,293.639,293.69
7,99.474728,-0.419484489,497.62,293.7,293.709
8,99.369967,-1.331792645,525.674,293.748,293.706
9,99.247886,0.691743553,549.145,293.731,293.71
10,99.080206,-0.208372212,568.214,293.728,293.717
11,98.916519,1.698246942,575.288,293.739,293.713
12,98.805098,21.26634195,584.102,293.739,293.702
13,98.699657,32.77798958,624.892,293.77,293.737
14,98.546965,56.13574865,675.76,293.796,293.751
15,98.399721,104.2871016,708.116,293.822,293.746
16,98.261785,136.443905,717.21,293.838,293.754
17,98.123023,163.3261901,726.687,293.847,293.773
18,98.012203,176.7713318,743.016,293.916,293.817
19,97.895983,176.1321723,757.071,293.975,293.839
20,97.75702,177.113252,772.7,294.008,293.845
21,97.635117,179.0992539,786.219,294.086,293.891
22,97.535667,176.9162636,791.014,294.136,293.924
23,97.416848,176.2696814,793.726,294.171,293.875
24,97.298265,178.8952297,800.317,294.286,293.883
25,97.234583,173.5716379,811.416,294.435,293.907
26,97.162383,167.8143762,818.18,294.498,293.883
27,97.059926,165.8429826,827.198,294.574,293.888
28,96.961634,163.0086524,837.614,294.771,293.894
29,96.850998,157.1941894,843.736,295.019,293.895
30,96.776146,150.7429249,853.433,295.256,293.914
31,96.70562,145.7239414,860.047,295.53,293.914
32,96.590243,143.4039063,861.178,295.654,293.905
33,96.465535,143.4384051,861.888,295.854,293.917
34,96.391531,142.5040231,869.2,296.197,293.95
35,96.34601,136.541986,873.379,296.553,293.973
36,96.247799,131.6471611,870.466,296.986,293.974
37,96.150426,132.5676497,869.32,297.163,293.972
38,96.082185,128.3321121,874.629,297.418,293.979
39,96.014724,124.1625834,878.379,297.919,294.001
40,95.939106,122.7282241,883.642,298.464,294.015
41,95.852198,120.9497079,888.378,299.007,294.039
42,95.749613,121.6725414,887.794,299.286,294.062
43,95.646555,121.1414433,888.818,299.65,294.06
44,95.562408,118.1753631,893.796,300.234,294.062
45,95.519445,118.0567888,899.087,300.857,294.091
46,95.425828,118.8351412,902.635,301.585,294.117
47,95.303034,117.6059273,904.05,301.885,294.117
48,95.252125,118.9606961,904.511,302.311,294.142
49,95.214636,119.6519187,905.485,303.051,294.165
50,95.118363,116.6075711,908.434,303.807,294.206
51,95.066111,114.1862218,912.673,304.626,294.209
52,95.071115,113.3685144,914.04,304.912,294.193
53,94.9809,110.2269977,916.134,305.372,294.227
54,94.853915,107.1812634,919.818,306.193,294.229
55,94.778045,110.278769,921.328,306.959,294.246
56,94.700065,112.3564486,926.262,307.832,294.293
57,94.647446,108.9702626,930.965,308.246,294.299
58,94.576718,106.1708951,933.662,308.664,294.289
59,94.467187,106.3861199,939.616,309.575,294.314
60,94.39617,105.3225085,941.635,310.474,294.329
61,94.330773,104.9024886,940.946,311.348,294.36
62,94.258283,103.9333526,943.312,312.22,294.382
63,94.18668,102.1262004,945.156,312.592,294.379
64,94.117952,102.9312616,945.987,313.07,294.384
65,94.053249,103.9902014,948.674,314.053,294.401
66,94.004059,102.1554863,949.559,315.008,294.453
67,93.973335,101.5768805,952.075,315.873,294.466
68,93.864841,101.7794979,954.609,316.304,294.453
69,93.761763,100.097014,953.283,316.807,294.462
70,93.718031,99.29430403,961.058,317.858,294.483
71,93.678982,99.37915498,968.329,318.82,294.518
72,93.619318,97.45954903,967.552,319.761,294.542
73,93.54686,96.75199813,966.383,320.164,294.546
74,93.48885,97.72259409,965.719,320.727,294.597
75,93.422345,97.46580578,970.973,321.648,294.65
76,93.321368,96.76450793,976.292,322.595,294.708
77,93.234185,96.73978872,969.127,323.624,294.76
78,93.18079,95.04542207,963.088,324.052,294.767
79,93.119498,94.52020217,968.275,324.585,294.793
80,93.05407,95.05068191,970.912,325.555,294.844
81,93.007452,94.08120437,968.756,326.578,294.837
82,92.969362,92.8028404,968.536,327.618,294.893
83,92.898173,93.96749855,968.619,328.078,294.959
84,92.81746,93.76235022,974.2,328.313,294.982
85,92.771385,91.80226389,981.949,329.32,295.031
86,92.728391,93.35366378,977.788,330.576,295.092
87,92.638324,92.42610016,973.744,331.541,295.134
88,92.563103,89.98484702,973.854,332.015,295.142
89,92.504183,91.88657342,971.068,332.571,295.193
90,92.431913,91.71371008,970.926,333.531,295.242
91,92.356329,91.29916692,974.451,334.533,295.319
92,92.323619,92.02078761,976.753,335.5,295.392
93,92.277732,89.81676005,977.307,335.952,295.406
94,92.192542,87.3587431,983.714,336.46,295.441
95,92.126507,86.7636597,987.488,337.442,295.51
96,92.081151,88.53409243,982.71,338.402,295.587
97,92.015064,87.82224356,983.15,339.431,295.686
98,91.934102,85.17700262,984.175,340.485,295.755
99,91.889769,87.6096912,982.803,340.896,295.77
100,91.852955,88.50306236,984.551,341.666,295.807
101,91.77878,85.46889415,985.334,342.65,295.849
102,91.729739,87.76225629,984.92,343.489,295.912
103,91.66608,89.32123735,987.397,344.454,296.004
104,91.589177,89.01913922,990.022,344.98,296.053
105,91.521093,89.0611835,993.619,345.454,296.082
106,91.447709,89.08165446,990.515,346.389,296.195
107,91.392469,88.7653007,982.6,347.429,296.329
108,91.304857,88.63716497,981.025,348.458,296.407
109,91.255821,86.61145091,979.21,348.925,296.449
110,91.242503,84.36201419,981.767,349.467,296.502
111,91.163051,83.63774957,982.906,350.521,296.548
112,91.044064,84.74868099,981.916,351.557,296.646
113,90.999898,84.242852,985.961,352.929,296.796
114,90.973373,83.74272489,988.865,353.598,296.847
115,90.943304,83.99041397,994.949,353.905,296.907
116,90.882099,84.25059747,995.853,354.745,296.986
117,90.818428,83.27901878,985.655,355.804,297.131
118,90.80197,85.56004377,984.587,356.895,297.255
119,90.736492,86.50549767,989.751,357.446,297.277
120,90.686598,83.09432013,991.017,357.815,297.314
121,90.634807,80.57696634,996.894,359.063,297.418
122,90.536571,83.0432117,991.749,360.597,297.566
123,90.459482,82.91039439,997.531,361.814,297.69
124,90.410033,82.36128551,1008.432,362.428,297.746
125,90.390419,82.91399106,1008.313,363.13,297.815
126,90.316594,81.84007684,1002.397,364.482,297.955
127,90.227128,80.48532548,999.388,365.749,298.1
