Time (s),Temperature (K),Heat Flow Rate (W/g)
0,324.5,0.026221662
14.67,325,0.048498741
24.43,325.5,0.065307305
32.44,326,0.078997481
39.4,326.5,0.092919395
45.67,327,0.099322418
51.39,327.5,0.110644836
56.76,328,0.11859194
61.9,328.5,0.124790932
66.8,329,0.131770781
71.55,329.5,0.138813602
76.13,330,0.143481108
80.6,330.5,0.14772796
84.93,331,0.153823678
89.17,331.5,0.158732997
93.35,332,0.162534005
97.47,332.5,0.165969773
101.52,333,0.170267003
105.49,333.5,0.171239295
109.41,334,0.174647355
113.28,334.5,0.178486146
117.12,335,0.180848866
120.91,335.5,0.181627204
124.66,336,0.186745592
128.4,336.5,0.188924433
132.12,337,0.190559194
135.83,337.5,0.192239295
139.45,338,0.193974811
143.04,338.5,0.19572796
146.65,339,0.19906801
150.23,339.5,0.202599496
153.82,340,0.202879093
157.36,340.5,0.205531486
160.8,341,0.207138539
164.3,341.5,0.208309824
167.78,342,0.209667506
171.26,342.5,0.211715365
174.74,343,0.212282116
178.18,343.5,0.214586902
181.6,344,0.216357683
185,344.5,0.218828715
188.4,345,0.220667506
191.78,345.5,0.222080605
195.15,346,0.223700252
198.5,346.5,0.226697733
201.84,347,0.228133501
205.15,347.5,0.230377834
208.48,348,0.232677582
211.8,348.5,0.234433249
215.11,349,0.234440806
218.42,349.5,0.236093199
221.7,350,0.23731738
224.97,350.5,0.23763728
228.22,351,0.239838791
231.47,351.5,0.241435768
234.7,352,0.245085642
237.93,352.5,0.246541562
241.15,353,0.246481108
244.36,353.5,0.249219144
247.57,354,0.249304786
250.76,354.5,0.249211587
253.96,355,0.251539043
257.12,355.5,0.253687657
260.29,356,0.254869018
263.41,356.5,0.252871537
266.53,357,0.256282116
269.68,357.5,0.25684131
272.82,358,0.257463476
275.94,358.5,0.258881612
279.09,359,0.259239295
282.19,359.5,0.263279597
285.31,360,0.263395466
288.45,360.5,0.26297733
291.54,361,0.263229219
294.62,361.5,0.263277078
297.7,362,0.26388665
