Time (s),Mass (g),TC back 1 (K),TC Top (K)
0,12.739,297.1,414.8
1,12.713,297.1,432
2,12.734,297.1,492.8
3,12.728,297,526.2
4,12.726,297.1,550.6
5,12.69,297.1,570
6,12.626,297,586.1
7,12.635,297,601
8,12.648,297,612.8
9,12.646,297,623.1
10,12.588,296.9,
11,12.588,297,
12,12.608,297,
13,12.583,297,
14,12.563,297.1,
15,12.559,297.1,
16,12.53,297,
17,12.507,297.1,
18,12.486,297.1,
19,12.483,297.2,
20,12.455,297.3,
21,12.447,297.3,
22,12.432,297.4,
23,12.407,297.5,
24,12.398,297.7,
25,12.331,297.8,
26,12.325,298,
27,12.325,298.2,
28,12.277,298.4,
29,12.273,298.7,
30,12.254,298.9,
31,12.255,299.3,
32,12.255,299.7,
33,12.203,300.1,
34,12.16,300.5,
35,12.175,300.9,
36,12.162,301.4,
37,12.11,301.9,
38,12.033,302.4,
39,11.996,303,
40,12.028,303.6,
41,11.977,304.2,
42,11.932,304.8,
43,11.927,305.5,
44,11.925,306.1,
45,11.904,306.8,
46,11.89,307.5,
47,11.863,308.2,
48,11.853,308.9,
49,11.826,309.6,
50,11.793,310.4,
51,11.759,311.1,
52,11.74,311.9,
53,11.754,312.7,
54,11.724,313.4,
55,11.716,314.3,
56,11.681,315.1,
57,11.66,315.9,
58,11.635,316.8,
59,11.622,317.6,
60,11.568,318.4,
61,11.488,319.1,
62,11.524,319.9,
63,11.566,320.7,
64,11.511,321.7,
65,11.464,322.4,
66,11.46,323.2,
67,11.46,324.1,
68,11.409,324.9,
69,11.396,325.8,
70,11.366,326.6,
71,11.345,327.5,
72,11.385,328.3,
73,11.353,329.1,
74,11.306,330,
75,11.275,330.8,
76,11.222,331.7,
77,11.226,332.4,
78,11.211,333.4,
79,11.186,334.2,
80,11.178,335,
81,11.181,335.8,
82,11.139,336.5,
83,11.119,337.3,
84,11.133,337.9,
85,11.117,338.7,
86,11.083,339.5,
87,11.028,340.3,
88,11.026,341,
89,11.003,341.6,
90,11.001,342.4,
91,11.008,343,
92,10.959,343.6,
93,10.945,344.4,
94,10.93,345.1,
95,10.89,345.7,
96,10.884,346.4,
97,10.846,347.1,
98,10.847,347.7,
99,10.83,348.3,
100,10.818,348.9,
101,10.81,349.5,
102,10.792,350.1,
103,10.746,350.6,
104,10.732,351.2,
105,10.699,351.8,
106,10.682,352.3,
107,10.664,352.8,
108,10.671,353.4,
109,10.616,353.8,
110,10.586,354.3,
111,10.576,354.8,
112,10.591,355.2,
113,10.604,355.7,
114,10.578,356.1,
115,10.55,356.6,
116,10.543,357,
117,10.524,357.4,
118,10.5,357.8,
119,10.482,358.1,
120,10.426,358.3,
121,10.425,358.7,
122,10.442,358.9,
123,10.411,359.3,
124,10.38,359.5,
125,10.39,359.8,
126,10.373,360,
127,10.34,360,
128,10.32,360.3,
129,10.294,360.3,
130,10.284,360.4,
131,10.273,360.6,
132,10.255,360.7,
133,10.207,360.7,
134,10.215,360.8,
135,10.19,360.8,
136,10.166,360.9,
137,10.213,361,
138,10.144,361.1,
139,10.102,361.1,
140,10.068,361.1,
141,10.087,361.1,
142,10.116,361.2,
143,10.078,361.3,
144,10.053,361.3,
145,9.989,361.3,
146,9.975,361.4,
147,9.993,361.5,
148,9.986,361.5,
149,9.952,361.5,
150,9.95,361.6,
151,9.935,361.7,
152,9.911,361.8,
153,9.885,361.9,
154,9.864,362,
155,9.836,362.2,
156,9.829,362.3,
157,9.825,362.4,
158,9.811,362.5,
159,9.823,362.7,
160,9.777,362.9,
161,9.728,363.1,
162,9.756,363.3,
163,9.748,363.5,
164,9.695,363.7,
165,9.711,363.9,
166,9.721,364,
167,9.679,364.3,
168,9.656,364.6,
169,9.639,364.8,
170,9.635,365.1,
171,9.618,365.4,
172,9.584,365.6,
173,9.554,365.9,
174,9.569,366.3,
175,9.594,366.5,
176,9.56,366.9,
177,9.493,367.2,
178,9.477,367.6,
179,9.481,368,
180,9.452,368.4,
181,9.438,368.7,
182,9.434,369.2,
183,9.416,369.6,
184,9.384,370.1,
185,9.354,370.5,
186,9.355,371,
187,9.341,371.5,
188,9.364,371.9,
189,9.352,372.5,
190,9.287,373,
191,9.307,373.5,
192,9.297,374,
193,9.268,374.6,
194,9.302,375.2,
195,9.27,375.8,
196,9.229,376.5,
197,9.211,377.1,
198,9.181,377.8,
199,9.2,378.3,
200,9.193,379,
201,9.182,379.6,
202,9.146,380.2,
203,9.136,381.1,
204,9.109,381.7,
205,9.102,382.4,
206,9.107,383.1,
207,9.124,383.8,
208,9.101,384.5,
209,9.003,385.2,
210,9.003,385.9,
211,9,386.6,
212,8.969,387.5,
213,8.993,388.2,
214,8.989,389,
215,8.957,389.6,
216,8.969,390.3,
217,8.951,391,
218,8.926,391.8,
219,8.926,392.6,
220,8.907,393.3,
221,8.907,394.1,
222,8.889,394.8,
223,8.836,395.5,
224,8.825,396.2,
225,8.852,397.1,
