Time (s),Mass (g),TC Back (K),TC Top (K)
0,13.114,296.3,396.4
1,13.134,296.4,539.5
2,13.112,296.2,578.6
3,13.052,296.3,609.5
4,13.036,296.2,633.6
5,13.028,296.2,648.5
6,12.938,296.2,
7,12.962,296.3,
8,12.984,296.2,
9,12.953,296.4,
10,12.909,296.3,
11,12.847,296.5,
12,12.845,296.5,
13,12.795,296.5,
14,12.745,296.6,
15,12.731,296.7,
16,12.66,296.9,
17,12.655,297,
18,12.599,297.2,
19,12.521,297.4,
20,12.502,297.7,
21,12.446,298,
22,12.413,298.4,
23,12.412,298.6,
24,12.353,299.1,
25,12.348,299.5,
26,12.291,300,
27,12.242,300.5,
28,12.209,300.9,
29,12.149,301.5,
30,12.132,302.1,
31,12.096,302.7,
32,12.052,303.3,
33,11.989,304,
34,11.967,304.8,
35,11.928,305.5,
36,11.882,306.2,
37,11.833,306.8,
38,11.808,307.6,
39,11.807,308.3,
40,11.723,309.1,
41,11.687,309.9,
42,11.685,310.6,
43,11.639,311.4,
44,11.623,312.3,
45,11.581,313.2,
46,11.557,314,
47,11.553,314.7,
48,11.492,315.6,
49,11.45,316.5,
50,11.432,317.3,
51,11.422,318.1,
52,11.379,318.9,
53,11.362,319.8,
54,11.311,320.8,
55,11.252,321.6,
56,11.246,322.5,
57,11.213,323.3,
58,11.223,324.1,
59,11.182,325.1,
60,11.128,325.9,
61,11.119,326.7,
62,11.059,327.7,
63,11.02,328.5,
64,11.002,329.4,
65,11.012,330.2,
66,10.956,331.1,
67,10.93,331.9,
68,10.908,332.8,
69,10.845,333.6,
70,10.815,334.5,
71,10.768,335.2,
72,10.755,336,
73,10.759,336.8,
74,10.738,337.6,
75,10.695,338.3,
76,10.673,339.2,
77,10.653,340,
78,10.588,340.7,
79,10.603,341.4,
80,10.546,342.3,
81,10.466,343,
82,10.522,343.7,
83,10.5,344.5,
84,10.425,345.2,
85,10.41,345.9,
86,10.438,346.6,
87,10.371,347.3,
88,10.328,348,
89,10.322,348.6,
90,10.294,349.3,
91,10.264,350,
92,10.21,350.5,
93,10.143,351.1,
94,10.161,351.8,
95,10.159,352.3,
96,10.149,353,
97,10.1,353.6,
98,10.1,354.1,
99,10.042,354.4,
100,9.96,354.8,
101,9.934,355.2,
102,9.921,355.5,
103,9.908,355.7,
104,9.907,356,
105,9.887,356.2,
106,9.859,356.6,
107,9.861,356.7,
108,9.838,356.9,
109,9.786,356.9,
110,9.764,357,
111,9.742,357.1,
112,9.704,357.3,
113,9.683,357.4,
114,9.698,357.5,
115,9.648,357.5,
116,9.593,357.7,
117,9.569,357.8,
118,9.535,357.9,
119,9.543,358,
120,9.509,358.1,
121,9.486,358.2,
122,9.468,358.3,
123,9.428,358.4,
124,9.397,358.5,
125,9.372,358.6,
126,9.354,358.7,
127,9.354,358.7,
128,9.338,358.9,
129,9.287,359,
130,9.265,359.2,
131,9.228,359.3,
132,9.222,359.5,
133,9.188,359.7,
134,9.128,359.8,
135,9.147,360.1,
136,9.118,360.2,
137,9.097,360.4,
138,9.088,360.7,
139,9.044,360.9,
140,9.02,361.2,
141,9.008,361.4,
142,8.984,361.7,
143,8.972,362.1,
144,8.926,362.3,
145,8.902,362.6,
146,8.903,363,
147,8.875,363.3,
148,8.853,363.5,
149,8.822,364,
150,8.787,364.4,
151,8.744,364.8,
152,8.724,365.2,
153,8.762,365.7,
154,8.753,366.2,
155,8.729,366.8,
156,8.724,367.3,
157,8.666,368,
158,8.619,368.5,
159,8.605,369.2,
160,8.551,369.8,
161,8.555,370.4,
162,8.587,371,
163,8.544,371.8,
164,8.538,372.5,
165,8.533,373.2,
166,8.462,374,
167,8.413,374.8,
168,8.423,375.6,
169,8.389,376.6,
170,8.377,377.3,
171,8.354,378.3,
172,8.321,379.1,
173,8.324,379.9,
174,8.342,380.8,
175,8.296,381.7,
176,8.248,382.6,
177,8.248,383.6,
178,8.224,384.5,
179,8.24,385.8,
180,8.18,386.7,
181,8.134,387.6,
182,8.099,388.4,
183,8.117,389.4,
184,8.138,390.2,
185,8.099,391.3,
186,8.081,392.5,
187,8.072,393.4,
188,8.033,394.3,
189,7.993,395.2,
190,7.971,396,
191,7.976,396.7,
192,7.97,397.7,
193,7.942,398.6,
194,7.886,399.7,
195,7.864,400.7,
196,7.881,401.7,
197,7.849,402.3,
198,7.814,403.3,
199,7.791,404,
200,7.766,404.8,
201,7.735,406.1,
202,7.677,407.2,
203,7.671,407.9,
204,7.679,407.9,
205,7.678,409.3,
206,7.675,410,
207,7.676,411.2,
208,7.65,411.7,
209,7.623,412.6,
210,7.563,413,
211,7.53,414,
212,7.511,414.2,
213,7.508,415.3,
214,7.503,415.7,
215,7.495,416.2,
216,7.489,416.9,
217,7.459,417.8,
218,7.373,418.2,
219,7.355,419.4,
220,7.337,420.4,
221,7.314,420.8,
222,7.314,421.1,
223,7.292,422.3,
224,7.265,423,
225,7.241,423,
226,7.234,423.7,
227,7.222,424.7,
228,7.184,424.9,
229,7.182,425.9,
230,7.17,426.7,
231,7.128,425.7,
232,7.089,426.4,
233,7.043,427.2,
234,6.965,428.9,
235,6.96,429.4,
236,6.973,430,
237,6.985,430.4,
238,6.953,430.3,
239,6.907,431.5,
240,6.892,432,
241,6.874,433.1,
242,6.853,432.7,
243,6.837,433.5,
244,6.831,433.4,
245,6.816,435,
246,6.771,435.9,
247,6.7,436.1,
248,6.661,436,
249,6.687,436.2,
250,6.647,437,
251,6.652,437.1,
252,6.662,436.6,
253,6.621,438.4,
254,6.598,438.6,
255,6.584,439.2,
256,6.549,440,
257,6.542,440.2,
258,6.521,440.4,
259,6.519,439.2,
260,6.466,441.4,
261,6.426,441.4,
262,6.428,442.2,
263,6.396,442.7,
264,6.343,442.5,
265,6.347,443.4,
266,6.335,443.8,
267,6.298,443.4,
268,6.302,441.9,
269,6.253,442.1,
270,6.229,444.1,
271,6.215,440.6,
272,6.168,443.9,
273,6.18,445.6,
274,6.162,445,
275,6.12,442.3,
276,6.081,443.2,
277,6.037,446,
278,6.062,442.7,
279,6.055,442.9,
280,6.031,445.5,
281,6.014,445.9,
282,5.999,444.4,
283,5.97,444.2,
284,5.956,445.1,
285,5.929,445.8,
286,5.905,447.1,
287,5.875,448,
288,5.882,446.1,
289,5.839,445.8,
290,5.83,447,
291,5.817,446.3,
292,5.775,447.5,
293,5.726,448.7,
294,5.708,448.2,
295,5.719,447.3,
296,5.711,449.8,
297,5.668,449.5,
298,5.658,450.4,
299,5.626,447.7,
300,5.607,447.8,
301,5.602,447.9,
302,5.557,450.2,
303,5.521,447.9,
304,5.489,448.7,
305,5.497,448.8,
306,5.46,448.5,
307,5.446,451.5,
308,5.47,450.9,
309,5.452,449.5,
310,5.409,449.6,
311,5.375,451.2,
312,5.363,453.3,
313,5.366,452.7,
314,5.303,453.6,
315,5.281,453.4,
316,5.252,453.6,
317,5.255,454.1,
318,5.26,452.9,
319,5.231,454.9,
320,5.216,454.9,
321,5.21,454.4,
322,5.182,453.9,
323,5.177,454.1,
324,5.145,454,
325,5.146,455.8,
326,5.122,456.4,
327,5.08,456.8,
328,5.089,456.7,
329,5.079,456.4,
330,5.043,457.4,
331,5.027,456.9,
332,5.012,458.4,
333,5.012,459,
334,4.978,458.8,
335,4.937,458.9,
336,4.94,458.7,
337,4.931,457.7,
338,4.917,459.6,
339,4.88,460.4,
340,4.847,460.3,
341,4.849,458.1,
342,4.803,460.4,
343,4.781,460,
344,4.802,459.4,
345,4.764,458.6,
346,4.706,460.4,
347,4.739,461.8,
348,4.725,461.2,
349,4.716,461.4,
350,4.712,462,
351,4.725,462.6,
352,4.692,462.6,
353,4.665,463.2,
354,4.651,463.9,
355,4.613,465,
356,4.567,463.7,
357,4.563,463.5,
358,4.6,463.9,
359,4.604,465.1,
360,4.572,464.9,
361,4.567,465.2,
362,4.547,466.9,
363,4.507,467.7,
364,4.464,466.3,
365,4.445,466.6,
366,4.436,465.7,
367,4.445,466,
368,4.462,467.8,
369,4.438,467.9,
370,4.387,467.4,
371,4.411,468.2,
372,4.403,468,
373,4.35,468.2,
374,4.34,468,
375,4.347,467.5,
376,4.293,469.4,
377,4.284,469.3,
378,4.318,470,
379,4.307,470.5,
380,4.286,470.1,
381,4.286,470.4,
382,4.233,470.9,
383,4.227,471.5,
384,4.19,471.7,
385,4.139,472.2,
386,4.156,471.8,
387,4.142,471.8,
388,4.144,471.9,
389,4.155,472.5,
390,4.154,472.4,
391,4.151,473.1,
392,4.116,473.6,
393,4.107,473.5,
394,4.101,473.5,
395,4.118,473.6,
396,4.097,472.6,
397,4.064,472.2,
398,4.044,473.3,
399,4.017,474.5,
400,4.027,474.5,
401,4.011,474.7,
402,3.981,474.5,
403,3.962,474.2,
404,3.969,474.7,
405,3.997,475.1,
406,3.996,476,
407,3.943,476.2,
408,3.942,476.7,
409,3.924,476.7,
410,3.887,477.3,
411,3.897,476.5,
412,3.855,477.1,
413,3.834,477.5,
414,3.858,477.9,
415,3.822,477.6,
416,3.824,478.2,
417,3.831,477.7,
418,3.858,478.5,
419,3.822,478.3,
420,3.772,478.7,
421,3.793,478.6,
422,3.815,478.9,
423,3.795,479.3,
424,3.746,479.3,
425,3.729,479.2,
426,3.704,479.7,
427,3.681,479.9,
428,3.714,479.4,
429,3.73,480,
430,3.703,479.9,
431,3.7,479.5,
432,3.719,480.2,
433,3.681,480.2,
434,3.625,480.3,
435,3.653,480.7,
436,3.672,480.9,
437,3.65,481.4,
438,3.602,481.5,
439,3.622,481.5,
440,3.65,481.3,
441,3.632,480.5,
442,3.615,481,
443,3.611,481.3,
444,3.604,482.2,
445,3.584,481.8,
446,3.573,482.6,
447,3.554,482.9,
448,3.57,483,
449,3.555,482.7,
450,3.53,483.1,
451,3.553,483.6,
452,3.555,483.4,
453,3.519,484.2,
454,3.507,483.8,
455,3.521,483.9,
456,3.519,484,
457,3.487,483.1,
458,3.475,484.1,
459,3.474,484.4,
460,3.45,484.8,
461,3.439,484.4,
462,3.451,485.3,
463,3.472,485.4,
464,3.502,485.4,
465,3.5,485.6,
466,3.491,486.3,
467,3.501,486.4,
468,3.47,486.8,
469,3.433,486.5,
470,3.456,485.7,
471,3.419,485.8,
472,3.393,486.3,
