Time (s),Mass (g),HRR (kW/m2)
0,99.16,2
1,99.22,3.4
2,99.27,4.9
3,99.3,6.2
4,99.09,6.9
5,99.07,8
6,99.03,8.7
7,99.06,9.4
8,98.91,9.9
9,98.68,10.4
10,98.53,10.9
11,98.33,10.9
12,98.15,11
13,97.96,11
14,97.78,11.4
15,97.61,15
16,97.43,26.7
17,97.25,41.1
18,97.09,62.1
19,96.89,87.4
20,96.74,114.8
21,96.58,144.4
22,96.38,180.8
23,96.24,210.1
24,96.06,233.4
25,95.89,248.6
26,95.77,269.5
27,95.64,280.9
28,95.49,292.6
29,95.27,295.5
30,95.13,302.5
31,94.97,303.9
32,94.84,299.6
33,94.71,294.8
34,94.6,290.4
35,94.44,286.4
36,94.33,278.5
37,94.15,271
38,94.06,263
39,93.91,263.5
40,93.83,257.2
41,93.68,248.5
42,93.54,245
43,93.42,244.3
44,93.29,241.1
45,93.19,235.7
46,93.1,233.2
47,92.95,225.6
48,92.83,224.1
49,92.73,223.5
50,92.61,219.5
51,92.51,214.5
52,92.44,213.8
53,92.34,207.8
54,92.21,208
55,92.09,206
56,92,203.7
57,91.89,202.4
58,91.79,197
59,91.66,196.4
60,91.58,193.4
61,91.42,193.4
62,91.35,194.3
63,91.22,186.7
64,91.13,184.9
65,91,185.7
66,90.92,182.8
67,90.79,177.7
68,90.7,178
69,90.58,176.9
70,90.48,174.8
71,90.38,175.5
72,90.29,172.5
73,90.21,174.4
74,90.11,175
75,90,172.7
76,89.9,169.9
77,89.81,167.8
78,89.78,166.2
79,89.66,165.5
80,89.53,165.1
81,89.41,162.6
82,89.34,161.5
83,89.23,157.1
84,89.19,161.3
85,89.07,160.1
86,88.98,159.3
87,88.86,156.2
88,88.78,155.7
89,88.71,153.6
90,88.62,155.3
91,88.52,151.3
92,88.45,152.9
93,88.38,153.9
94,88.3,150.5
95,88.2,151.1
96,88.07,149.3
97,87.99,151.8
98,87.93,146.7
99,87.8,149.2
100,87.72,150.7
101,87.64,146.8
102,87.53,144.7
103,87.44,148.6
104,87.34,149.9
105,87.21,146.4
106,87.19,145.3
107,87.08,142.2
108,86.95,144.5
109,86.91,146.2
110,86.82,143.4
111,86.72,145.5
112,86.65,145.2
113,86.55,142.5
114,86.45,143
115,86.39,141.7
116,86.29,139.6
117,86.23,143.2
118,86.08,136.6
119,86.03,140.9
120,85.96,140.9
121,85.87,139.7
122,85.78,137.9
123,85.69,136.4
124,85.61,138.7
125,85.56,139.1
126,85.48,137.2
127,85.38,136.2
128,85.34,135
129,85.24,137.6
130,85.15,137.6
131,85.07,134.8
132,84.98,135.5
133,84.91,135
134,84.81,135.8
135,84.75,135.2
136,84.63,137.1
137,84.54,133.6
138,84.44,131.5
139,84.37,132.4
140,84.3,133.6
141,84.21,130.6
142,84.11,130
143,84.03,131.3
144,83.94,133.4
145,83.84,134
146,83.77,130.1
147,83.7,130.8
148,83.61,131.4
149,83.53,133.5
150,83.47,130.7
151,83.39,131.5
152,83.3,129
153,83.21,127.4
154,83.12,128.5
155,83.06,128
156,82.97,128.3
157,82.89,129.5
158,82.84,130.3
159,82.75,128.4
160,82.66,129.7
161,82.6,127.9
162,82.5,130.3
163,82.43,130
164,82.34,128.2
165,82.24,128.4
166,82.16,126.5
167,82.09,129.6
168,82.02,130.8
169,81.98,127.2
170,81.87,127.5
171,81.79,126.9
172,81.7,126.2
173,81.57,126.4
174,81.48,123.8
175,81.43,124
176,81.35,125.2
177,81.28,123.4
178,81.19,121.5
179,81.11,124.2
180,81.03,122.9
181,80.94,118.6
182,80.88,124.9
183,80.77,122.9
184,80.73,123.9
185,80.64,121.9
186,80.58,120.9
187,80.46,121.7
188,80.41,124.3
189,80.32,123.6
190,80.26,122.6
191,80.18,119.3
192,80.09,120.2
193,80.03,121.2
194,79.95,121
195,79.91,118.5
196,79.85,121.8
197,79.75,120.3
198,79.66,120.6
199,79.59,122.5
200,79.5,121.4
201,79.41,119.4
202,79.33,120.6
203,79.24,121.7
204,79.17,119.9
205,79.1,119
206,79,118
207,78.91,122
208,78.81,119.6
209,78.73,123
210,78.65,122.7
211,78.57,122.7
212,78.52,119.4
213,78.45,119.9
214,78.37,119.7
215,78.31,122.4
216,78.22,120.9
217,78.15,121.7
218,78.07,120.2
219,78,117.4
220,77.92,121.5
221,77.84,119.8
222,77.78,118.6
223,77.7,118.8
224,77.59,118.6
225,77.54,115.4
226,77.48,117.9
227,77.38,117.5
228,77.29,116.5
229,77.25,119.1
230,77.17,118.6
231,77.09,117.8
232,77.02,118.7
233,76.94,119.5
234,76.88,116.5
235,76.8,115.8
236,76.73,114.9
237,76.65,118.4
238,76.6,117.7
239,76.49,117.2
240,76.43,116.7
241,76.35,118.5
242,76.27,117.3
243,76.18,117.8
244,76.09,116.8
245,76,115.7
246,75.94,115.2
247,75.86,114.5
248,75.8,116.7
249,75.73,116.6
250,75.64,115.5
251,75.56,114.1
252,75.48,112.5
253,75.41,112.8
254,75.32,116.4
255,75.26,113.5
256,75.19,114.6
257,75.09,113.3
258,75.03,116.3
259,74.97,114.3
260,74.9,115.6
261,74.82,115.9
262,74.74,116.9
263,74.7,115
264,74.62,114.6
265,74.56,116.2
266,74.52,116
267,74.42,115.7
268,74.35,116.6
269,74.27,117.1
270,74.17,116.7
271,74.1,116.6
272,74.05,117.1
273,73.96,115.4
274,73.89,115.5
275,73.84,114.8
276,73.75,113.6
277,73.69,114.3
278,73.61,113.5
279,73.55,113.3
280,73.43,114.7
281,73.37,115.6
282,73.28,116.4
283,73.2,115.5
284,73.09,114.8
285,73,114.8
286,72.97,112.8
287,72.91,112.9
288,72.83,114.2
289,72.75,114.5
290,72.67,116
291,72.6,114
292,72.54,115.5
293,72.45,115.1
294,72.42,116
295,72.35,114.4
296,72.27,116.4
297,72.17,116
298,72.1,114
299,72.04,114.7
300,71.99,113.7
301,71.88,114.2
302,71.81,115.4
303,71.76,113.3
304,71.72,113.6
305,71.6,114.9
306,71.56,111.6
307,71.46,114.2
308,71.39,112.8
309,71.34,113.3
310,71.22,111.4
311,71.16,112.5
312,71.1,114.1
313,71.02,114
314,70.93,114.7
315,70.85,114.6
316,70.79,112.9
317,70.7,113.4
318,70.59,112.5
319,70.52,113.8
320,70.45,114.5
321,70.37,114.8
322,70.3,115.7
323,70.23,113.3
324,70.17,114.7
325,70.07,113.3
326,70.04,113.1
327,69.97,115
328,69.87,113.3
329,69.82,113
330,69.75,114.7
331,69.7,114.1
332,69.61,113
333,69.54,113
334,69.49,114
335,69.41,115.4
336,69.36,114.2
337,69.26,113.2
338,69.23,114.5
339,69.13,114.8
340,69.06,112.9
341,68.99,114.3
342,68.92,114.5
343,68.85,114.5
344,68.78,117.4
345,68.69,114.7
346,68.63,118
347,68.55,116.6
348,68.5,114.9
349,68.38,117
350,68.29,115.6
351,68.2,114
352,68.15,114.7
353,68.08,114.6
354,68.01,112.1
355,67.92,114.3
356,67.85,112
357,67.78,113.8
358,67.72,113
359,67.66,111.4
360,67.6,112.2
361,67.49,113.1
362,67.41,111.7
363,67.37,114
364,67.31,114.3
365,67.24,114.1
366,67.18,114.8
367,67.09,113.9
368,67,114.1
369,66.93,113.1
370,66.88,114.5
371,66.85,113.2
372,66.77,113.4
373,66.71,113.9
374,66.64,115
375,66.59,114.3
376,66.5,114.2
377,66.45,114.2
378,66.36,115.1
379,66.29,113.3
380,66.25,113.8
381,66.17,113.7
382,66.06,113.4
383,66,113.9
384,65.95,112.1
385,65.86,113.4
386,65.75,113.7
387,65.67,116
388,65.61,112.6
389,65.54,111.7
390,65.47,112.5
391,65.38,113.2
392,65.29,114.4
393,65.23,112.5
394,65.14,113
395,65.11,113.4
396,65.05,113.2
397,64.94,112.1
398,64.87,112.4
399,64.82,112.4
400,64.73,112.4
