Time (s),Temperature (K),Mass (mg),Heat Flow Rate (W/g)
0.0,324.5,3.9476,0.0116
18.30635729133256,325.0,3.9505,0.0342
28.78421020591503,325.5,3.949,0.052
37.10845143835234,326.0,3.946,0.0657
44.38245193831363,326.5,3.9474,0.0784
50.71306314181164,327.0,3.9477,0.0886
56.574165610034946,327.5,3.9473,0.0988
62.05751037924332,328.0,3.9473,0.1088
67.19486973057269,328.5,3.9492,0.1146
72.12187748210957,329.0,3.9468,0.1211
76.88380638923229,329.5,3.9488,0.1273
81.469747394466,330.0,3.9496,0.1329
85.94606201651135,330.5,3.9478,0.138
90.30425858324341,331.0,3.9477,0.1431
94.59512606156196,331.5,3.9484,0.1474
98.77603993466536,332.0,3.9474,0.1517
102.87643474861346,332.5,3.9469,0.1545
106.9081668171032,333.0,3.9487,0.1569
110.90064882616915,333.5,3.9475,0.1619
114.83932993957038,334.0,3.9464,0.1655
118.75045616395974,334.5,3.9465,0.1679
122.58845705829805,335.0,3.9459,0.1713
126.3909715985535,335.5,3.9453,0.1724
130.1347345896797,336.0,3.9459,0.1768
133.87237861322401,336.5,3.9456,0.178
137.58813429607406,337.0,3.9431,0.1806
141.28400807144777,337.5,3.9427,0.1814
144.94012362742157,338.0,3.9434,0.1848
148.56112262137916,338.5,3.944,0.1866
152.17155794100748,339.0,3.9442,0.1913
155.74209150724386,339.5,3.9442,0.1915
159.3217834180698,340.0,3.9453,0.1939
162.8586915371131,340.5,3.9446,0.195
166.41524403410347,341.0,3.9441,0.1956
169.90934721082485,341.5,3.9439,0.2
173.3595256395886,342.0,3.9435,0.202
176.81702137711108,342.5,3.9429,0.2036
180.27880661563714,343.0,3.9431,0.2059
183.7169601005014,343.5,3.9418,0.2072
187.15112810341722,344.0,3.9426,0.2079
190.543973632279,344.5,3.9426,0.2104
193.93652238144696,345.0,3.9423,0.2153
197.31957209492506,345.5,3.9426,0.2164
200.68525137963687,346.0,3.942,0.2178
204.05187835243203,346.5,3.9425,0.2199
207.385476360852,347.0,3.9428,0.2224
210.6799322903469,347.5,3.9425,0.2242
213.9580338668643,348.0,3.9425,0.2264
217.2672628907913,348.5,3.9416,0.2269
220.559893495123,349.0,3.9411,0.2283
223.88551698462737,349.5,3.9425,0.2317
227.180077947109,350.0,3.9425,0.2323
230.45874013769122,350.5,3.9437,0.2306
233.7210740017211,351.0,3.9436,0.2335
236.966268293525,351.5,3.9425,0.2358
240.20213720510748,352.0,3.9425,0.2391
243.41703819790206,352.5,3.9415,0.2396
246.628960893468,353.0,3.9412,0.2399
249.8357603477828,353.5,3.9395,0.241
253.01610474107952,354.0,3.9397,0.2438
256.1972247463368,354.5,3.9402,0.2447
259.3581072011513,355.0,3.9387,0.245
262.51626998531333,355.5,3.9384,0.2452
265.67169598925545,356.0,3.9392,0.2462
268.81691345985064,356.5,3.9391,0.2481
271.9691619545338,357.0,3.9384,0.2496
275.10913332056253,357.5,3.9382,0.2496
278.2455080322564,358.0,3.9381,0.2497
281.36700913430724,358.5,3.9371,0.2498
284.4780311985083,359.0,3.9381,0.2527
287.57713343096214,359.5,3.9369,0.253
290.6660941229768,360.0,3.9367,0.2522
293.7471403823874,360.5,3.9369,0.2524
296.8200487793694,361.0,3.9358,0.2529
299.89101025539435,361.5,3.9358,0.2539
302.9567367972227,362.0,3.9358,0.2526
306.007659520612,362.5,3.9368,0.2532
309.0587133681547,363.0,3.9367,0.2537
