Time,Temperature,HRR
0.500,74.818,0.732
8.302,75.318,-0.698
12.019,75.818,4.223
14.296,76.318,4.477
15.939,76.818,3.529
17.442,77.318,2.565
18.675,77.818,2.831
19.917,78.318,2.727
21.100,78.818,2.211
22.211,79.318,1.972
23.245,79.818,1.699
24.331,80.318,1.148
25.348,80.818,1.313
26.342,81.318,1.368
27.313,81.818,1.353
28.361,82.318,1.010
29.387,82.818,0.555
30.307,83.318,0.252
31.296,83.818,-0.078
32.277,84.318,-0.012
33.207,84.818,-0.109
34.171,85.318,0.145
35.134,85.818,0.175
36.079,86.318,0.352
37.033,86.818,0.482
37.975,87.318,-0.128
38.918,87.818,0.340
39.886,88.318,0.317
40.817,88.818,0.433
41.708,89.318,-0.212
42.706,89.818,-0.575
43.654,90.318,-0.033
44.626,90.818,0.586
45.536,91.318,0.627
46.434,91.818,0.469
47.416,92.318,-0.240
48.315,92.818,-0.954
49.246,93.318,-1.138
50.218,93.818,-0.696
51.088,94.318,-0.132
52.060,94.818,0.104
53.026,95.318,-0.405
54.012,95.818,-0.498
54.952,96.318,-0.147
55.884,96.818,0.064
56.846,97.318,-0.314
57.800,97.818,-0.426
58.758,98.318,-0.411
59.619,98.818,-0.203
60.601,99.318,0.215
61.540,99.818,0.588
62.507,100.318,0.497
63.493,100.818,-0.286
64.426,101.318,-0.711
65.397,101.818,-0.581
66.341,102.318,-0.287
67.308,102.818,0.130
68.220,103.318,0.496
69.224,103.818,0.459
70.119,104.318,-0.405
71.095,104.818,-0.674
72.078,105.318,-0.574
73.074,105.818,-0.419
73.972,106.318,-0.368
74.967,106.818,-0.009
75.883,107.318,0.304
76.867,107.818,-0.086
77.821,108.318,-0.198
78.816,108.818,0.230
79.710,109.318,0.025
80.641,109.818,0.179
81.674,110.318,0.261
82.629,110.818,-0.092
83.572,111.318,-0.378
84.585,111.818,-0.613
85.494,112.318,-0.365
86.498,112.818,0.058
87.433,113.318,0.694
88.370,113.818,0.356
89.363,114.318,0.164
90.320,114.818,-0.111
91.281,115.318,-0.098
92.283,115.818,-0.518
93.219,116.318,-0.164
94.166,116.818,-0.259
95.126,117.318,0.395
96.127,117.818,0.432
97.026,118.318,0.196
98.040,118.818,-0.171
99.044,119.318,-0.320
99.961,119.818,-0.158
100.946,120.318,0.027
101.904,120.818,0.337
102.892,121.318,0.155
103.875,121.818,-0.128
104.854,122.318,-0.309
105.794,122.818,-0.564
106.787,123.318,-0.123
107.769,123.818,0.060
108.727,124.318,0.214
109.683,124.818,0.082
110.654,125.318,-0.256
111.654,125.818,0.025
112.631,126.318,0.120
113.616,126.818,0.352
114.540,127.318,-0.094
115.514,127.818,-0.303
116.586,128.318,-0.111
117.529,128.818,0.105
118.483,129.318,0.490
119.486,129.818,0.255
120.437,130.318,-0.065
121.427,130.818,-0.250
122.408,131.318,-0.213
123.339,131.818,-0.120
124.307,132.318,0.086
125.319,132.818,-0.057
126.282,133.318,0.285
127.268,133.818,0.220
128.262,134.318,0.206
129.194,134.818,0.166
130.168,135.318,-0.186
131.197,135.818,0.088
132.170,136.318,0.236
133.174,136.818,0.328
134.125,137.318,0.096
135.103,137.818,-0.271
136.107,138.318,-0.160
137.052,138.818,0.122
138.080,139.318,0.073
139.068,139.818,-0.116
140.050,140.318,-0.446
141.076,140.818,-0.267
141.966,141.318,-0.216
142.970,141.818,-0.015
143.909,142.318,0.306
144.932,142.818,0.511
145.879,143.318,0.585
146.887,143.818,0.722
147.859,144.318,0.260
148.920,144.818,0.403
149.828,145.318,-0.042
150.836,145.818,-0.149
151.856,146.318,-0.004
152.841,146.818,0.243
153.811,147.318,0.229
154.809,147.818,0.144
155.855,148.318,0.125
156.832,148.818,0.647
