Time (s),Temperature (K),HRR (W/g)
0.00,348.05,-0.74
5.46,348.55,-47.94
7.88,349.05,-14.45
9.81,349.55,20.88
11.39,350.05,28.16
12.83,350.55,27.19
13.87,351.05,26.79
14.81,351.55,25.22
15.72,352.05,24.17
16.50,352.55,25.78
17.22,353.05,25.06
17.94,353.55,24.35
18.59,354.05,22.37
19.24,354.55,18.82
19.89,355.05,15.06
20.52,355.55,12.78
21.09,356.05,9.85
21.69,356.55,8.64
22.27,357.05,8.53
22.82,357.55,9.48
23.35,358.05,9.81
23.94,358.55,10.86
24.46,359.05,10.97
25.01,359.55,12.63
25.53,360.05,12.71
26.04,360.55,11.85
26.56,361.05,10.49
27.09,361.55,9.70
27.60,362.05,8.98
28.14,362.55,6.98
28.66,363.05,6.32
29.14,363.55,6.54
29.65,364.05,7.56
30.15,364.55,7.62
30.63,365.05,6.32
31.13,365.55,5.77
31.63,366.05,4.86
32.12,366.55,4.48
32.59,367.05,3.68
33.08,367.55,2.65
33.55,368.05,3.29
34.03,368.55,3.90
34.47,369.05,3.47
34.99,369.55,3.84
35.44,370.05,4.90
35.99,370.55,4.09
36.44,371.05,5.90
36.90,371.55,5.24
37.35,372.05,4.73
37.84,372.55,4.61
38.31,373.05,3.76
38.80,373.55,2.80
39.27,374.05,2.84
39.73,374.55,3.58
40.22,375.05,4.38
40.70,375.55,4.17
41.16,376.05,2.94
41.63,376.55,2.53
42.10,377.05,3.42
42.57,377.55,2.15
43.04,378.05,0.67
43.53,378.55,-0.91
44.02,379.05,-0.25
44.45,379.55,1.06
44.90,380.05,0.79
45.38,380.55,1.21
45.84,381.05,1.91
46.31,381.55,2.37
46.78,382.05,2.37
47.26,382.55,2.46
47.73,383.05,2.43
48.19,383.55,2.32
48.66,384.05,2.32
49.13,384.55,1.64
49.61,385.05,1.04
50.07,385.55,0.38
50.53,386.05,0.86
51.00,386.55,1.49
51.48,387.05,3.65
51.92,387.55,3.10
52.40,388.05,3.28
52.88,388.55,3.64
53.35,389.05,3.56
53.81,389.55,1.73
54.26,390.05,-0.20
54.73,390.55,-1.94
55.22,391.05,-2.68
55.68,391.55,-2.21
56.15,392.05,-2.16
56.62,392.55,-1.43
57.11,393.05,0.84
57.55,393.55,3.18
58.00,394.05,3.60
58.48,394.55,2.69
58.96,395.05,2.92
59.42,395.55,1.02
59.90,396.05,-0.65
60.36,396.55,-1.54
60.83,397.05,-2.11
61.31,397.55,-1.52
61.79,398.05,-0.59
62.25,398.55,0.19
62.71,399.05,1.05
63.20,399.55,2.42
63.66,400.05,3.11
64.14,400.55,2.09
64.60,401.05,2.40
65.06,401.55,1.48
65.53,402.05,0.08
66.00,402.55,-0.11
66.48,403.05,-1.59
66.95,403.55,-0.58
67.43,404.05,0.20
67.91,404.55,0.53
68.36,405.05,1.53
68.85,405.55,1.65
69.34,406.05,1.03
69.80,406.55,0.83
70.28,407.05,0.74
70.76,407.55,0.27
71.24,408.05,-0.34
71.70,408.55,-0.34
72.15,409.05,-0.14
72.65,409.55,-0.50
73.14,410.05,-0.56
73.60,410.55,-1.78
74.09,411.05,-1.65
74.59,411.55,-0.62
75.08,412.05,0.42
75.53,412.55,-0.11
76.00,413.05,-0.97
76.47,413.55,0.20
76.97,414.05,-1.12
77.45,414.55,-1.87
77.93,415.05,-0.65
78.43,415.55,-0.40
78.90,416.05,-0.33
79.38,416.55,-0.41
79.84,417.05,-0.19
80.34,417.55,-0.07
80.82,418.05,-0.22
81.29,418.55,-0.69
81.79,419.05,-1.12
82.28,419.55,-0.12
82.75,420.05,0.91
83.23,420.55,1.41
83.72,421.05,2.32
84.19,421.55,3.03
84.69,422.05,2.63
85.15,422.55,1.87
85.64,423.05,1.25
86.13,423.55,0.00
86.61,424.05,-0.01
87.10,424.55,-0.94
87.58,425.05,-1.73
88.07,425.55,-0.46
88.55,426.05,0.74
89.04,426.55,0.47
89.51,427.05,0.91
90.02,427.55,3.29
90.49,428.05,5.12
90.97,428.55,4.37
91.46,429.05,3.26
91.94,429.55,2.95
92.43,430.05,2.43
92.93,430.55,2.20
93.41,431.05,-0.08
93.91,431.55,-0.94
94.38,432.05,0.17
94.85,432.55,1.09
95.34,433.05,1.07
95.85,433.55,-0.11
96.34,434.05,0.12
96.81,434.55,0.76
97.29,435.05,0.80
97.80,435.55,1.05
98.28,436.05,1.62
98.77,436.55,1.54
99.25,437.05,1.12
99.75,437.55,1.57
100.25,438.05,1.01
100.74,438.55,-0.22
101.21,439.05,-0.93
101.70,439.55,-1.82
102.19,440.05,-1.58
102.70,440.55,-0.48
103.19,441.05,0.92
103.67,441.55,2.04
104.15,442.05,2.62
104.64,442.55,3.41
105.13,443.05,3.20
105.63,443.55,2.68
106.14,444.05,3.71
106.60,444.55,3.33
107.10,445.05,2.85
107.58,445.55,1.75
108.08,446.05,1.08
108.58,446.55,1.49
109.06,447.05,0.19
109.57,447.55,1.20
110.06,448.05,1.82
110.56,448.55,2.00
111.03,449.05,2.06
111.52,449.55,2.96
111.99,450.05,2.51
112.51,450.55,1.53
112.95,451.05,1.07
113.48,451.55,1.18
113.98,452.05,0.45
114.46,452.55,-0.72
114.96,453.05,-1.52
115.44,453.55,-0.58
115.93,454.05,-1.06
116.39,454.55,-1.20
116.90,455.05,-0.91
117.38,455.55,-0.12
117.88,456.05,1.08
118.36,456.55,0.99
118.85,457.05,0.62
119.36,457.55,1.63
119.86,458.05,1.32
120.34,458.55,2.36
120.83,459.05,3.42
121.30,459.55,3.55
121.79,460.05,3.91
122.29,460.55,3.59
122.78,461.05,2.52
123.29,461.55,2.08
123.79,462.05,2.09
124.28,462.55,2.18
124.78,463.05,2.11
125.26,463.55,1.70
125.74,464.05,1.16
126.24,464.55,0.88
126.75,465.05,1.18
127.24,465.55,1.98
127.74,466.05,2.00
128.23,466.55,1.89
128.71,467.05,3.68
129.19,467.55,4.67
129.68,468.05,3.64
130.19,468.55,3.46
130.66,469.05,3.64
131.15,469.55,3.99
131.65,470.05,2.42
132.13,470.55,0.63
132.65,471.05,0.51
133.13,471.55,1.13
133.62,472.05,2.21
