Time (s),Temperature (C),HRR (W/g)
0,75.131,-0.6
0.501,75.116,0.1
1.001,75.099,-0.057
1.5,75.133,-1.345
2,75.116,-3.828
2.5,75.093,-6.124
3.001,75.16,-9.33
3.5,75.167,-11.741
4,75.191,-13.811
4.5,75.251,-14.55
5,75.319,-14.706
5.5,75.382,-14.479
6,75.403,-13.846
6.5,75.502,-11.842
7.001,75.595,-9.459
7.501,75.662,-5.763
8.001,75.804,-2.268
8.501,75.88,1.103
9.001,75.998,3.642
9.5,76.089,5.859
10.001,76.217,7.461
10.501,76.344,8.315
11,76.476,8.8
11.5,76.606,9.379
12,76.739,9.893
12.5,76.926,9.306
13,77.097,8.81
13.501,77.32,8.411
14.001,77.525,7.946
14.501,77.794,6.9
15.001,78.043,6.94
15.501,78.341,6.184
16,78.629,6.31
16.5,78.94,6.031
17,79.282,6.324
17.5,79.606,6.378
18,79.936,6.252
18.5,80.311,5.735
19,80.66,5.544
19.5,81.065,5.206
20,81.426,4.473
20.5,81.837,3.847
21,82.261,3.8
21.5,82.686,3.781
22,83.132,3.759
22.501,83.566,3.559
23.001,84.007,3.445
23.501,84.41,3.78
24.001,84.867,3.887
24.501,85.337,4.278
25,85.808,3.878
25.5,86.276,3.744
26,86.772,3.927
26.501,87.245,3.258
27,87.709,3.032
27.5,88.174,2.981
28,88.656,2.614
28.501,89.118,3.293
29.001,89.627,2.694
29.501,90.123,3.001
30.001,90.619,2.755
30.5,91.144,2.977
31,91.64,2.586
31.5,92.135,1.93
32,92.653,1.756
32.501,93.173,1.388
33.001,93.649,1.649
33.501,94.201,1.706
34.001,94.663,1.432
34.5,95.201,1.588
35,95.706,1.778
35.501,96.248,2.015
36.001,96.745,1.658
36.5,97.286,1.559
37,97.796,1.981
37.5,98.314,1.858
38,98.845,1.79
38.501,99.37,1.527
39.001,99.876,1.793
39.501,100.429,1.784
40.001,100.961,1.106
40.5,101.471,1.032
41,102.015,0.874
41.501,102.521,0.802
42.001,103.065,0.721
42.501,103.601,1.214
43.001,104.118,1.197
43.501,104.64,1.412
44.001,105.202,1.95
44.501,105.74,1.665
45.001,106.263,1.642
45.5,106.794,0.899
46.001,107.325,1.182
46.501,107.856,0.793
47.001,108.409,1.042
47.5,108.914,1.1
48,109.462,1.293
48.501,109.999,1.332
49.001,110.561,1.557
49.5,111.08,1.583
50.001,111.601,1.164
50.501,112.11,1.293
51.001,112.684,0.771
51.501,113.22,0.557
52.001,113.78,0.677
52.501,114.314,0.458
53.001,114.833,0.419
53.501,115.363,0.724
54.001,115.894,0.272
54.501,116.435,0.212
55,116.958,0.296
55.5,117.535,0.024
56.001,118.059,0.732
56.501,118.578,0.185
57.001,119.128,0.412
57.501,119.657,0.277
58.001,120.217,0.57
58.501,120.732,0.344
59.001,121.284,0.395
59.501,121.786,0.981
60.001,122.33,1.305
60.501,122.824,1.395
61.001,123.389,1.169
61.501,123.889,1.319
62.001,124.449,1.016
62.501,124.968,1.206
63.001,125.501,0.558
63.501,126.04,-0.079
64.001,126.568,-0.128
64.501,127.112,-0.213
65.001,127.622,0.349
65.5,128.148,0.337
66,128.687,0.583
66.501,129.228,0.834
67.001,129.779,0.82
67.501,130.295,0.462
68.001,130.808,0.02
68.501,131.322,-0.253
69.001,131.88,0.255
69.501,132.388,-0.268
70.001,132.946,-0.466
70.501,133.47,0.12
71.001,133.978,0.215
71.501,134.516,0.194
72.001,135.059,0.151
72.501,135.58,0.757
73.001,136.088,0.112
73.501,136.625,0.047
74.002,137.178,0.348
74.501,137.685,0.373
75.001,138.224,0.86
75.501,138.732,1.01
76.001,139.269,1.272
76.501,139.803,1.212
77.001,140.294,0.484
77.501,140.84,0.865
78.002,141.351,0.547
78.502,141.871,-0.095
79.001,142.379,-0.148
79.501,142.935,-0.241
80.001,143.439,0.141
80.501,143.946,-0.178
81.001,144.5,0.658
81.501,145.026,0.649
82.001,145.546,0.723
82.501,146.026,0.218
