Time (s),Temperature (K),HRR (W/g)
6.18,348.5,-14.74
8.86,349.0,3.85
11.02,349.5,9.13
12.65,350.0,8.85
13.91,350.5,8.41
14.83,351.0,7.55
15.73,351.5,7.32
16.57,352.0,7.02
17.32,352.5,6.87
18.06,353.0,6.51
18.72,353.5,6.51
19.39,354.0,6.22
20.04,354.5,6.28
20.64,355.0,5.47
21.24,355.5,5.53
21.81,356.0,5.15
22.42,356.5,4.49
22.97,357.0,4.44
23.56,357.5,4.03
24.1,358.0,4.12
24.67,358.5,3.54
25.2,359.0,3.37
25.74,359.5,3.01
26.27,360.0,2.87
26.79,360.5,2.85
27.31,361.0,2.86
27.83,361.5,2.86
28.33,362.0,2.87
28.81,362.5,2.85
29.34,363.0,2.76
29.86,363.5,2.57
30.36,364.0,2.34
30.85,364.5,2.51
31.36,365.0,2.67
31.83,365.5,2.58
32.31,366.0,2.46
32.81,366.5,2.32
33.31,367.0,2.29
33.78,367.5,2.38
34.27,368.0,2.44
34.78,368.5,2.33
35.24,369.0,2.2
35.72,369.5,2.02
36.21,370.0,1.88
36.69,370.5,1.94
37.17,371.0,1.78
37.64,371.5,1.67
38.11,372.0,2.04
38.59,372.5,1.89
39.07,373.0,1.95
39.55,373.5,1.88
39.99,374.0,1.66
40.49,374.5,1.45
40.96,375.0,1.55
41.42,375.5,1.61
41.91,376.0,1.63
42.35,376.5,1.43
42.81,377.0,1.42
43.29,377.5,1.3
43.75,378.0,1.16
44.21,378.5,1.28
44.71,379.0,1.4
45.17,379.5,1.27
45.63,380.0,1.31
46.08,380.5,1.57
46.54,381.0,1.33
47.01,381.5,0.82
47.49,382.0,1.0
47.99,382.5,0.95
48.43,383.0,0.85
48.91,383.5,0.85
49.36,384.0,1.27
49.8,384.5,1.35
50.27,385.0,1.09
50.75,385.5,1.22
51.23,386.0,1.55
51.69,386.5,1.52
52.16,387.0,1.36
52.65,387.5,1.37
53.11,388.0,1.45
53.56,388.5,0.98
54.02,389.0,1.24
54.5,389.5,0.68
54.97,390.0,0.57
55.43,390.5,0.61
55.92,391.0,0.28
56.4,391.5,0.61
56.84,392.0,0.4
57.29,392.5,0.18
57.75,393.0,0.29
58.22,393.5,0.49
58.68,394.0,0.7
59.14,394.5,0.87
59.62,395.0,0.73
60.06,395.5,1.05
60.53,396.0,0.99
61.03,396.5,0.63
61.48,397.0,0.63
61.97,397.5,0.7
62.43,398.0,0.88
62.95,398.5,0.59
63.4,399.0,0.42
63.83,399.5,0.44
64.34,400.0,0.47
64.82,400.5,0.38
65.28,401.0,0.37
65.74,401.5,0.49
66.2,402.0,0.53
66.66,402.5,0.45
67.15,403.0,0.43
67.62,403.5,0.27
68.08,404.0,0.2
68.56,404.5,0.28
69.04,405.0,0.33
69.5,405.5,0.33
70.0,406.0,0.38
70.46,406.5,0.51
70.92,407.0,0.4
71.4,407.5,0.14
71.85,408.0,0.29
72.34,408.5,0.34
72.81,409.0,0.52
73.29,409.5,0.46
73.77,410.0,0.52
74.24,410.5,0.64
74.72,411.0,0.69
75.19,411.5,0.67
75.67,412.0,0.51
76.15,412.5,0.54
76.61,413.0,0.44
77.11,413.5,0.14
77.57,414.0,0.39
78.06,414.5,0.3
78.56,415.0,0.42
79.01,415.5,0.51
79.51,416.0,-0.04
79.97,416.5,0.42
80.44,417.0,0.55
80.95,417.5,0.46
81.43,418.0,0.31
81.92,418.5,0.35
82.38,419.0,0.25
82.85,419.5,0.24
83.32,420.0,0.44
83.8,420.5,0.37
84.28,421.0,0.44
84.76,421.5,0.37
85.26,422.0,0.08
85.76,422.5,0.07
86.24,423.0,0.33
86.71,423.5,0.49
87.19,424.0,0.39
87.67,424.5,0.41
88.15,425.0,0.46
88.64,425.5,0.52
89.13,426.0,0.81
89.6,426.5,0.47
90.09,427.0,0.06
90.58,427.5,-0.07
91.04,428.0,0.04
91.54,428.5,-0.02
92.04,429.0,0.15
92.52,429.5,0.03
92.98,430.0,-0.12
93.48,430.5,-0.42
93.95,431.0,-0.01
94.47,431.5,0.03
94.96,432.0,0.13
95.4,432.5,0.38
95.9,433.0,0.12
96.39,433.5,0.13
96.88,434.0,0.05
97.37,434.5,0.01
97.85,435.0,0.33
98.35,435.5,0.3
98.85,436.0,0.43
99.32,436.5,0.61
99.79,437.0,0.55
100.28,437.5,0.43
100.77,438.0,0.73
101.25,438.5,0.78
101.75,439.0,0.29
102.24,439.5,0.03
102.74,440.0,0.11
103.24,440.5,-0.01
103.72,441.0,-0.4
104.2,441.5,-0.48
104.68,442.0,-0.28
105.18,442.5,-0.27
105.66,443.0,-0.05
106.16,443.5,-0.03
106.67,444.0,-0.17
107.14,444.5,0.15
107.63,445.0,0.39
108.12,445.5,0.4
108.58,446.0,-0.04
109.08,446.5,-0.08
109.55,447.0,0.06
110.04,447.5,-0.07
110.52,448.0,-0.04
111.04,448.5,0.32
111.53,449.0,0.21
111.99,449.5,0.33
112.52,450.0,0.32
112.98,450.5,0.36
113.46,451.0,-0.03
113.94,451.5,0.26
114.43,452.0,0.06
114.95,452.5,0.17
115.41,453.0,0.3
115.9,453.5,-0.15
116.37,454.0,0.12
116.88,454.5,-0.03
117.37,455.0,-0.07
117.86,455.5,-0.32
118.37,456.0,-0.41
118.83,456.5,-0.36
119.33,457.0,-0.28
119.83,457.5,-0.22
120.31,458.0,-0.06
120.8,458.5,0.14
121.28,459.0,0.08
121.79,459.5,0.02
122.27,460.0,0.22
122.76,460.5,0.36
123.27,461.0,0.46
123.74,461.5,0.42
124.21,462.0,0.32
124.7,462.5,0.33
125.21,463.0,0.18
125.71,463.5,0.06
126.2,464.0,0.19
126.69,464.5,0.23
127.19,465.0,0.16
127.67,465.5,0.16
128.16,466.0,0.37
128.66,466.5,0.37
129.16,467.0,0.12
129.65,467.5,0.18
130.13,468.0,0.33
130.64,468.5,0.03
131.13,469.0,0.25
131.6,469.5,0.08
132.11,470.0,0.04
132.58,470.5,0.04
133.07,471.0,-0.03
133.56,471.5,0.03
134.05,472.0,0.17
134.53,472.5,0.2
135.03,473.0,0.25
135.53,473.5,0.13
136.01,474.0,0.27
136.51,474.5,0.32
136.98,475.0,0.07
137.47,475.5,-0.03
137.97,476.0,0.1
138.47,476.5,0.13
138.95,477.0,-0.34
139.43,477.5,-0.4
139.93,478.0,0.02
140.42,478.5,-0.25
140.89,479.0,-0.32
141.39,479.5,-0.01
141.91,480.0,-0.24
142.39,480.5,-0.14
142.87,481.0,0.02
143.38,481.5,-0.03
143.87,482.0,-0.06
144.36,482.5,0.02
144.84,483.0,0.2
145.33,483.5,0.23
145.84,484.0,0.04
146.33,484.5,0.2
146.82,485.0,0.24
147.32,485.5,-0.12
147.82,486.0,-0.15
148.31,486.5,-0.12
148.8,487.0,-0.15
149.3,487.5,-0.06
149.79,488.0,-0.19
150.28,488.5,-0.1
150.76,489.0,0.0
151.26,489.5,-0.02
151.77,490.0,0.04
152.26,490.5,-0.16
152.74,491.0,-0.29
153.23,491.5,-0.21
153.72,492.0,-0.3
154.22,492.5,-0.47
154.71,493.0,-0.52
155.21,493.5,-0.37
155.71,494.0,-0.37
156.2,494.5,-0.56
156.67,495.0,-0.46
157.17,495.5,-0.19
157.69,496.0,-0.15
158.19,496.5,0.01
158.68,497.0,0.04
159.15,497.5,-0.32
159.65,498.0,-0.28
160.15,498.5,0.01
160.64,499.0,-0.23
161.14,499.5,-0.24
161.66,500.0,-0.26
162.16,500.5,-0.12
162.65,501.0,-0.16
163.15,501.5,-0.54
163.64,502.0,-0.6
164.12,502.5,-0.52
164.62,503.0,-0.55
165.12,503.5,-0.66
165.62,504.0,-0.43
166.13,504.5,-0.98
166.59,505.0,-0.9
167.09,505.5,-0.68
167.59,506.0,-0.48
168.08,506.5,-0.14
168.59,507.0,-0.09
169.05,507.5,0.05
169.57,508.0,0.02
170.09,508.5,0.1
170.56,509.0,0.12
171.05,509.5,-0.36
171.56,510.0,-0.62
172.07,510.5,-0.5
172.55,511.0,-0.17
173.03,511.5,-0.22
173.56,512.0,0.06
174.08,512.5,-0.21
174.55,513.0,-0.4
175.02,513.5,-0.08
175.56,514.0,-0.49
176.04,514.5,-0.28
176.53,515.0,-0.44
176.99,515.5,-0.2
177.5,516.0,0.07
178.01,516.5,-0.33
178.51,517.0,-0.39
179.01,517.5,-0.59
179.5,518.0,-0.47
180.01,518.5,-0.59
180.5,519.0,-0.5
180.96,519.5,-0.52
181.47,520.0,-0.38
181.96,520.5,-0.62
182.44,521.0,-0.32
182.94,521.5,-0.15
183.45,522.0,-0.38
183.95,522.5,-0.66
184.47,523.0,-0.52
184.95,523.5,-0.42
185.45,524.0,-0.37
185.97,524.5,-0.65
186.48,525.0,-0.47
186.96,525.5,-0.52
187.42,526.0,-0.47
187.93,526.5,-0.66
188.42,527.0,-0.69
188.94,527.5,-0.49
189.45,528.0,-0.51
189.93,528.5,-0.47
190.42,529.0,-0.35
190.91,529.5,-0.32
191.4,530.0,-0.29
191.89,530.5,-0.27
192.39,531.0,-0.29
192.91,531.5,-0.47
193.41,532.0,-0.59
193.89,532.5,-0.61
194.38,533.0,-0.75
194.89,533.5,-1.0
195.41,534.0,-0.83
195.9,534.5,-0.63
196.43,535.0,-0.7
196.91,535.5,-0.47
197.39,536.0,-0.25
197.9,536.5,-0.24
198.38,537.0,-0.34
198.91,537.5,-0.53
199.42,538.0,-0.56
199.88,538.5,-0.44
200.38,539.0,-0.35
200.88,539.5,-0.41
201.38,540.0,-0.38
201.87,540.5,-0.31
202.38,541.0,-0.42
202.88,541.5,-0.57
203.39,542.0,-0.38
203.89,542.5,-0.16
204.39,543.0,-0.29
204.89,543.5,-0.37
205.38,544.0,-0.24
205.86,544.5,-0.33
206.36,545.0,-0.54
206.87,545.5,-0.63
207.38,546.0,-0.88
207.88,546.5,-0.97
208.36,547.0,-0.77
208.86,547.5,-0.77
209.36,548.0,-0.67
209.83,548.5,-0.62
210.33,549.0,-0.6
210.82,549.5,-0.6
211.34,550.0,-0.27
211.87,550.5,-0.21
212.36,551.0,-0.21
212.83,551.5,-0.25
213.32,552.0,-0.19
213.83,552.5,-0.43
214.34,553.0,-0.57
214.83,553.5,-0.36
215.32,554.0,-0.38
215.84,554.5,-0.47
216.37,555.0,-0.52
216.84,555.5,-0.28
217.34,556.0,-0.42
217.85,556.5,-0.29
218.35,557.0,-0.25
218.85,557.5,-0.33
219.33,558.0,-0.19
219.82,558.5,-0.21
220.32,559.0,-0.18
220.81,559.5,-0.33
221.31,560.0,-0.63
221.8,560.5,-0.62
222.31,561.0,-0.37
222.82,561.5,-0.24
223.32,562.0,-0.01
223.81,562.5,-0.01
224.32,563.0,0.04
224.82,563.5,0.06
225.32,564.0,0.05
225.82,564.5,-0.1
226.3,565.0,-0.15
226.8,565.5,-0.29
227.32,566.0,-0.48
227.81,566.5,-0.38
228.31,567.0,-0.49
228.81,567.5,-0.46
229.3,568.0,-0.53
229.78,568.5,-0.54
230.28,569.0,-0.63
230.79,569.5,-0.66
231.29,570.0,-0.4
231.76,570.5,-0.26
232.28,571.0,-0.12
232.79,571.5,0.09
233.26,572.0,-0.0
233.75,572.5,-0.1
234.27,573.0,-0.12
234.77,573.5,-0.34
235.27,574.0,-0.71
235.78,574.5,-0.8
236.27,575.0,-0.78
236.77,575.5,-0.63
237.28,576.0,-0.43
237.78,576.5,-0.34
238.29,577.0,-0.41
238.79,577.5,-0.54
239.3,578.0,-0.45
239.79,578.5,-0.18
240.29,579.0,-0.06
240.78,579.5,-0.12
241.27,580.0,-0.08
241.77,580.5,-0.08
242.27,581.0,-0.19
242.77,581.5,-0.13
243.26,582.0,0.03
243.77,582.5,0.07
244.26,583.0,0.29
244.75,583.5,0.34
245.26,584.0,0.11
245.77,584.5,0.05
246.26,585.0,0.12
246.76,585.5,0.18
247.26,586.0,-0.02
247.74,586.5,-0.06
248.25,587.0,0.13
248.77,587.5,0.23
249.27,588.0,0.16
249.75,588.5,0.14
250.24,589.0,0.2
250.77,589.5,0.15
251.26,590.0,0.15
251.77,590.5,0.2
252.28,591.0,0.38
252.77,591.5,0.42
253.27,592.0,0.45
253.74,592.5,0.43
254.24,593.0,0.25
254.77,593.5,0.34
255.27,594.0,0.5
255.76,594.5,0.37
256.26,595.0,0.18
256.78,595.5,0.31
257.28,596.0,0.43
257.78,596.5,0.38
258.28,597.0,0.44
258.77,597.5,0.49
259.28,598.0,0.58
259.77,598.5,0.39
260.26,599.0,0.14
260.75,599.5,0.17
261.26,600.0,0.23
261.76,600.5,0.26
262.26,601.0,0.47
262.78,601.5,0.57
263.27,602.0,0.57
263.73,602.5,0.56
264.22,603.0,0.35
264.73,603.5,0.35
265.23,604.0,0.52
265.74,604.5,0.65
266.21,605.0,0.67
266.71,605.5,0.43
267.21,606.0,0.64
267.7,606.5,0.73
268.22,607.0,0.47
268.72,607.5,0.35
269.23,608.0,0.41
269.73,608.5,0.57
270.21,609.0,0.69
270.7,609.5,0.73
271.21,610.0,0.86
271.71,610.5,0.91
272.2,611.0,0.96
272.71,611.5,0.83
273.21,612.0,0.78
273.71,612.5,1.02
274.19,613.0,0.91
274.68,613.5,0.69
275.19,614.0,0.73
275.71,614.5,0.79
276.21,615.0,0.83
276.72,615.5,1.1
277.21,616.0,1.17
277.69,616.5,1.07
278.21,617.0,1.12
278.71,617.5,1.29
279.2,618.0,1.47
279.7,618.5,1.46
280.18,619.0,1.37
280.69,619.5,1.54
281.2,620.0,1.5
281.72,620.5,1.3
282.22,621.0,1.43
282.71,621.5,1.52
283.19,622.0,1.3
283.68,622.5,1.03
284.2,623.0,1.44
284.71,623.5,1.72
285.21,624.0,1.73
285.72,624.5,1.78
286.22,625.0,1.87
286.71,625.5,1.89
287.21,626.0,1.94
287.71,626.5,1.88
288.19,627.0,1.65
288.68,627.5,1.72
289.2,628.0,1.88
289.7,628.5,1.81
290.18,629.0,1.99
290.71,629.5,2.06
291.23,630.0,2.1
291.72,630.5,2.3
292.22,631.0,2.53
292.72,631.5,2.63
293.21,632.0,2.73
293.72,632.5,2.87
294.2,633.0,2.96
294.7,633.5,2.79
295.19,634.0,2.63
295.67,634.5,2.8
296.19,635.0,2.79
296.7,635.5,3.1
297.2,636.0,3.21
297.7,636.5,3.21
298.19,637.0,3.19
298.7,637.5,3.17
299.2,638.0,3.51
299.67,638.5,3.72
300.17,639.0,3.76
300.69,639.5,3.99
301.19,640.0,3.98
