Time (s),Mass (g),HRR (kW/m2)
0,0,1.4
1,0,2.18
2,-0.02,0
3,-0.08,3.26
4,-0.12,6.26
5,-0.15,6.93
6,-0.18,5.93
7,-0.23,4.78
8,-0.29,3.6
9,-0.37,4.17
10,-0.66,4.89
11,-0.78,5.98
12,-0.91,5.55
13,-1.03,4.56
14,-1.35,3.55
15,-1.49,3.07
16,-1.63,2.13
17,-1.76,0
18,-2.1,0
19,-2.25,0
20,-2.39,0
21,-2.53,0
22,-2.86,0
23,-3.01,15.88
24,-3.15,42.27
25,-3.27,71.43
26,-3.59,103.58
27,-3.71,132.49
28,-3.84,154.61
29,-3.95,179.5
30,-4.27,196.71
31,-4.39,216.59
32,-4.52,235.09
33,-4.63,252.47
34,-4.94,257.81
35,-5.06,261.4
36,-5.18,262.34
37,-5.28,267.16
38,-5.58,266.2
39,-5.68,265.41
40,-5.79,267.21
41,-5.9,260.89
42,-6.19,262.47
43,-6.29,259.15
44,-6.41,254.62
45,-6.52,253.57
46,-6.82,245.48
47,-6.91,235.12
48,-7,233.14
49,-7.1,226.95
50,-7.2,229.89
51,-7.49,230.56
52,-7.58,230.22
53,-7.69,227.48
54,-7.79,225.63
55,-7.87,223.51
56,-8.16,223.25
57,-8.26,218.81
58,-8.37,218.15
59,-8.44,214.13
60,-8.72,216.03
61,-8.81,214.76
62,-8.9,215.33
63,-8.99,218.78
64,-9.06,210.08
65,-9.33,206.43
66,-9.42,207.81
67,-9.53,202.01
68,-9.62,205.47
69,-9.68,205.79
70,-9.79,198.21
71,-9.91,197.76
72,-10.21,202.11
73,-10.29,197.46
74,-10.38,199.23
75,-10.47,198.04
76,-10.54,197.36
77,-10.64,190.93
78,-10.77,189.2
79,-11.03,183.26
80,-11.12,183.45
81,-11.2,178.91
82,-11.29,183.44
83,-11.35,181.42
84,-11.45,182.36
85,-11.57,177.94
86,-11.69,182.68
87,-11.8,178.73
88,-12.09,178.13
89,-12.18,175.88
90,-12.26,171.69
91,-12.33,172.84
92,-12.4,170.16
93,-12.51,169.15
94,-12.63,170.42
95,-12.73,169.97
96,-12.84,165.92
97,-12.96,169.22
98,-13.07,165
99,-13.18,165.87
100,-13.31,164.74
101,-13.42,168.28
102,-13.51,164.73
103,-13.62,165.11
104,-13.73,163.09
105,-13.84,167.6
106,-13.95,161.29
107,-14.06,163.96
108,-14.17,164.41
109,-14.29,164.87
110,-14.39,161.99
111,-14.51,164.38
112,-14.62,161.58
113,-14.72,162.91
114,-14.83,160.92
115,-14.94,157.71
116,-15.04,156.88
117,-15.15,155.67
118,-15.25,155.22
119,-15.35,155.83
120,-15.46,156.68
121,-15.57,156.64
122,-15.67,159.04
123,-15.77,158.19
124,-15.86,154.8
125,-15.97,156.26
126,-16.07,150.23
127,-16.18,151.71
128,-16.28,150.47
