Time (s),Temperature (K),HRR (W/g)
0.00,347.98,-0.19
5.87,348.48,-7.33
8.34,348.98,-0.84
10.15,349.48,2.78
11.82,349.98,3.86
13.10,350.48,3.63
14.22,350.98,3.32
15.13,351.48,3.63
15.95,351.98,3.39
16.71,352.48,3.11
17.45,352.98,3.30
18.14,353.48,3.01
18.82,353.98,2.82
19.51,354.48,2.93
20.11,354.98,2.48
20.73,355.48,1.68
21.33,355.98,1.50
21.94,356.48,1.70
22.51,356.98,1.21
23.07,357.48,0.91
23.60,357.98,0.70
24.14,358.48,0.82
24.66,358.98,0.51
25.22,359.48,0.44
25.75,359.98,0.66
26.29,360.48,1.04
26.82,360.98,1.43
27.33,361.48,1.60
27.84,361.98,1.95
28.35,362.48,2.04
28.87,362.98,1.91
29.39,363.48,1.61
29.88,363.98,1.39
30.39,364.48,1.08
30.88,364.98,0.52
31.40,365.48,0.00
31.88,365.98,-0.24
32.36,366.48,-0.66
32.85,366.98,-1.00
33.33,367.48,-0.51
33.84,367.98,0.34
34.33,368.48,0.72
34.80,368.98,0.89
35.29,369.48,1.15
35.77,369.98,1.01
36.24,370.48,0.63
36.72,370.98,0.39
37.19,371.48,0.31
37.67,371.98,0.35
38.15,372.48,0.26
38.64,372.98,0.21
39.14,373.48,0.24
39.60,373.98,0.14
40.06,374.48,0.01
40.58,374.98,-0.05
41.04,375.48,0.07
41.51,375.98,0.19
41.97,376.48,0.07
42.43,376.98,0.03
42.92,377.48,0.11
43.39,377.98,0.17
43.85,378.48,0.24
44.31,378.98,0.09
44.78,379.48,0.03
45.25,379.98,0.20
45.70,380.48,0.37
46.17,380.98,0.45
46.65,381.48,0.47
47.14,381.98,0.45
47.59,382.48,0.55
48.07,382.98,0.62
48.52,383.48,0.32
49.00,383.98,0.21
49.47,384.48,0.32
49.95,384.98,0.17
50.43,385.48,-0.14
50.89,385.98,-0.27
51.36,386.48,-0.41
51.83,386.98,-0.51
52.29,387.48,-0.58
52.76,387.98,-0.51
53.22,388.48,-0.33
53.67,388.98,-0.15
54.13,389.48,-0.04
54.59,389.98,-0.07
55.07,390.48,-0.08
55.55,390.98,0.12
56.01,391.48,0.19
56.48,391.98,0.04
56.94,392.48,0.06
57.45,392.98,0.09
57.89,393.48,0.10
58.37,393.98,0.03
58.84,394.48,-0.10
59.30,394.98,-0.17
59.77,395.48,-0.13
60.25,395.98,-0.08
60.71,396.48,-0.17
61.16,396.98,-0.26
61.63,397.48,-0.19
62.11,397.98,-0.08
62.59,398.48,0.02
63.07,398.98,0.08
63.56,399.48,0.26
64.00,399.98,0.23
64.46,400.48,0.02
64.94,400.98,0.31
65.40,401.48,0.36
65.88,401.98,0.07
66.35,402.48,-0.01
66.83,402.98,0.13
67.30,403.48,0.26
67.78,403.98,0.24
68.25,404.48,0.12
68.72,404.98,0.06
69.20,405.48,0.16
69.68,405.98,0.31
70.16,406.48,0.29
70.64,406.98,0.13
71.10,407.48,-0.02
71.58,407.98,0.11
72.06,408.48,0.08
72.53,408.98,0.02
72.99,409.48,0.01
73.47,409.98,-0.34
73.94,410.48,-0.19
74.44,410.98,-0.04
74.92,411.48,-0.17
75.39,411.98,-0.38
75.86,412.48,-0.52
76.35,412.98,-0.47
76.82,413.48,-0.46
77.29,413.98,-0.41
77.77,414.48,-0.20
78.25,414.98,-0.00
78.73,415.48,0.17
79.21,415.98,0.32
79.68,416.48,0.31
80.17,416.98,0.24
80.67,417.48,0.18
81.15,417.98,-0.06
81.61,418.48,-0.32
82.10,418.98,-0.78
82.57,419.48,-0.82
83.07,419.98,-0.97
83.55,420.48,-1.03
84.02,420.98,-0.90
84.51,421.48,-0.71
85.00,421.98,-0.37
85.47,422.48,-0.08
85.94,422.98,0.15
86.42,423.48,-0.04
86.91,423.98,-0.05
87.38,424.48,0.14
87.85,424.98,0.04
88.34,425.48,-0.10
88.84,425.98,-0.12
89.33,426.48,-0.05
89.82,426.98,-0.09
90.31,427.48,-0.02
90.83,427.98,0.03
91.31,428.48,0.09
91.80,428.98,0.15
92.27,429.48,0.19
92.75,429.98,0.12
93.24,430.48,-0.04
93.72,430.98,-0.05
94.20,431.48,-0.01
94.68,431.98,-0.10
95.18,432.48,-0.17
95.67,432.98,-0.25
96.14,433.48,-0.18
96.62,433.98,-0.03
97.14,434.48,-0.16
97.63,434.98,0.10
98.10,435.48,0.33
98.57,435.98,0.60
99.08,436.48,0.66
99.55,436.98,0.81
100.04,437.48,0.56
100.52,437.98,0.79
101.04,438.48,0.16
101.51,438.98,0.17
102.04,439.48,-0.02
102.51,439.98,-0.36
103.01,440.48,-0.04
103.47,440.98,-0.13
103.97,441.48,-0.17
104.44,441.98,-0.42
104.94,442.48,-0.26
105.43,442.98,0.02
105.94,443.48,0.07
106.43,443.98,0.01
106.92,444.48,0.12
107.37,444.98,0.36
107.86,445.48,0.49
108.37,445.98,0.34
108.88,446.48,0.11
109.36,446.98,-0.19
109.85,447.48,-0.19
110.34,447.98,-0.41
110.83,448.48,-0.59
111.31,448.98,-0.48
111.79,449.48,-0.13
112.29,449.98,0.28
112.78,450.48,0.49
113.25,450.98,0.43
113.74,451.48,0.28
114.24,451.98,0.24
114.72,452.48,0.23
115.22,452.98,0.06
115.72,453.48,-0.07
116.21,453.98,0.08
116.68,454.48,0.27
117.18,454.98,0.48
117.67,455.48,0.42
118.16,455.98,0.28
118.67,456.48,-0.00
119.14,456.98,-0.20
119.63,457.48,-0.22
120.14,457.98,-0.33
120.60,458.48,-0.17
121.11,458.98,0.16
121.60,459.48,0.35
122.10,459.98,0.74
122.59,460.48,0.76
123.07,460.98,0.60
123.56,461.48,0.70
124.03,461.98,0.73
124.55,462.48,0.67
125.07,462.98,0.49
125.53,463.48,0.36
126.04,463.98,0.57
126.53,464.48,1.01
127.02,464.98,0.62
127.47,465.48,0.45
127.97,465.98,0.63
128.51,466.48,0.83
128.97,466.98,0.67
129.45,467.48,0.25
129.98,467.98,0.19
130.45,468.48,0.24
130.95,468.98,0.01
131.45,469.48,0.15
131.94,469.98,0.38
132.43,470.48,0.78
132.92,470.98,0.98
133.41,471.48,0.95
133.87,471.98,0.80
134.38,472.48,0.70
134.87,472.98,0.76
135.37,473.48,0.77
135.87,473.98,0.90
136.36,474.48,1.05
136.85,474.98,1.12
137.33,475.48,1.07
137.83,475.98,1.08
138.32,476.48,1.18
138.80,476.98,0.97
139.31,477.48,0.67
139.81,477.98,0.59
140.29,478.48,0.54
140.78,478.98,0.57
141.27,479.48,0.56
141.75,479.98,0.60
142.26,480.48,1.02
142.75,480.98,1.37
143.25,481.48,1.45
143.75,481.98,1.48
144.24,482.48,1.52
144.73,482.98,1.56
145.22,483.48,1.45
145.70,483.98,1.31
146.20,484.48,1.24
146.71,484.98,1.23
147.20,485.48,1.36
147.70,485.98,1.40
148.21,486.48,1.42
148.70,486.98,1.26
149.20,487.48,1.09
149.68,487.98,1.13
150.16,488.48,1.29
150.67,488.98,1.47
151.18,489.48,1.56
151.63,489.98,1.72
152.14,490.48,1.90
152.64,490.98,2.04
153.12,491.48,1.83
153.63,491.98,1.61
154.14,492.48,1.50
154.61,492.98,1.37
155.12,493.48,1.25
155.62,493.98,1.12
156.14,494.48,1.28
156.60,494.98,1.64
157.06,495.48,1.96
157.60,495.98,2.36
158.08,496.48,2.70
158.57,496.98,2.67
159.07,497.48,3.00
159.56,497.98,3.39
160.07,498.48,2.84
160.54,498.98,2.30
161.05,499.48,1.88
161.54,499.98,1.40
162.06,500.48,0.95
162.55,500.98,0.52
163.06,501.48,1.12
163.55,501.98,1.72
164.01,502.48,1.78
164.51,502.98,2.29
165.04,503.48,2.40
165.54,503.98,2.71
166.05,504.48,2.66
166.53,504.98,2.24
167.01,505.48,2.28
167.53,505.98,2.18
168.01,506.48,2.14
168.56,506.98,2.22
169.04,507.48,2.40
169.54,507.98,2.77
170.01,508.48,2.85
170.52,508.98,2.98
170.98,509.48,2.89
171.50,509.98,2.52
171.97,510.48,2.49
172.52,510.98,2.08
172.99,511.48,1.75
173.50,511.98,1.71
173.98,512.48,1.83
174.47,512.98,2.17
174.96,513.48,2.35
175.45,513.98,2.57
175.96,514.48,3.03
176.46,514.98,3.17
176.95,515.48,2.85
177.44,515.98,2.65
177.94,516.48,3.00
178.46,516.98,3.56
178.94,517.48,3.54
179.45,517.98,3.40
179.94,518.48,3.56
180.48,518.98,3.65
180.95,519.48,3.92
181.41,519.98,3.40
181.94,520.48,2.95
182.42,520.98,2.99
182.91,521.48,3.41
183.42,521.98,3.75
183.91,522.48,3.58
184.41,522.98,3.68
184.89,523.48,4.12
185.39,523.98,4.56
185.91,524.48,4.59
186.40,524.98,4.34
186.90,525.48,4.27
187.38,525.98,4.24
187.88,526.48,4.12
188.39,526.98,3.95
188.88,527.48,4.07
189.38,527.98,4.46
189.88,528.48,4.93
190.37,528.98,5.38
190.86,529.48,5.97
191.35,529.98,6.52
191.83,530.48,6.67
192.38,530.98,6.53
192.85,531.48,6.30
193.34,531.98,5.96
193.86,532.48,5.68
194.37,532.98,5.55
194.85,533.48,5.87
195.35,533.98,6.30
195.86,534.48,6.70
196.36,534.98,7.05
196.86,535.48,7.25
197.34,535.98,7.37
197.85,536.48,7.46
198.34,536.98,7.44
198.84,537.48,7.46
199.36,537.98,7.52
199.84,538.48,7.52
200.33,538.98,7.59
200.83,539.48,7.68
201.32,539.98,8.08
201.83,540.48,8.49
202.35,540.98,8.93
202.84,541.48,8.97
203.32,541.98,9.16
203.83,542.48,9.37
204.34,542.98,9.28
204.86,543.48,9.41
205.35,543.98,9.66
205.85,544.48,9.82
206.36,544.98,10.06
206.85,545.48,10.34
207.34,545.98,10.66
207.86,546.48,10.87
208.35,546.98,11.15
208.85,547.48,11.42
209.34,547.98,11.66
209.83,548.48,11.76
210.32,548.98,11.86
210.83,549.48,11.87
