Time (s),Mass (g),HRR (kW/m²)
0,95.60,3.24
5,95.22,1.29
10,95.00,-3.24
15,94.92,117.46
20,94.42,201.58
25,93.63,215.65
30,93.21,182.30
35,92.50,163.07
40,92.20,150.46
45,91.72,140.46
50,91.32,137.71
55,90.92,128.43
60,90.50,124.27
65,90.03,122.74
70,89.71,118.62
75,89.31,116.62
80,89.00,116.01
85,88.60,111.19
90,88.22,114.18
95,87.80,109.17
100,87.51,106.29
105,87.21,104.81
110,86.90,106.56
115,86.51,103.94
120,86.20,103.01
125,85.90,98.35
130,85.52,99.81
135,85.30,97.05
140,84.89,97.58
145,84.61,95.99
150,84.32,93.06
155,84.02,98.50
160,83.69,97.97
165,83.40,96.15
170,83.12,96.02
175,82.81,93.70
180,82.50,91.29
185,82.21,90.39
190,81.90,92.09
195,81.62,90.74
200,81.40,91.54
205,81.02,88.11
210,80.80,86.75
215,80.50,84.34
220,80.21,86.36
225,80.00,85.32
230,79.62,86.69
235,79.40,87.69
240,79.12,86.83
245,78.82,86.55
250,78.43,86.97
255,78.30,85.94
260,77.92,87.22
265,77.67,87.73
270,77.41,87.24
275,77.10,85.05
280,76.81,86.09
285,76.60,84.96
290,76.29,85.42
295,76.01,86.46
300,75.69,87.73
305,75.41,83.92
310,75.10,84.71
315,74.81,83.29
320,74.61,85.30
325,74.31,86.58
330,74.09,82.48
335,73.71,82.26
340,73.50,86.21
345,73.21,84.31
350,73.00,82.84
355,72.69,82.28
360,72.40,81.03
365,72.11,81.91
370,71.90,82.77
375,71.59,82.68
380,71.31,82.19
385,71.02,83.12
390,70.70,80.86
395,70.41,81.44
400,70.20,81.51
405,69.92,79.60
410,69.61,80.92
415,69.39,79.65
420,69.10,77.65
425,68.81,78.01
430,68.60,78.99
435,68.29,83.69
440,68.01,80.44
445,67.71,83.40
450,67.49,77.54
455,67.21,80.05
460,66.91,79.50
465,66.71,79.01
470,66.39,78.73
475,66.11,80.01
480,65.89,81.67
485,65.61,82.58
490,65.41,80.99
495,65.11,77.24
500,64.89,78.65
505,64.59,80.01
510,64.39,81.31
515,64.09,82.91
520,63.81,83.47
525,63.51,84.95
530,63.31,83.86
535,62.99,80.78
540,62.79,81.49
545,62.49,81.16
550,62.21,82.98
555,61.88,82.05
560,61.61,81.71
565,61.40,81.98
570,61.19,82.30
575,60.89,81.10
580,60.61,81.14
585,60.31,83.58
590,60.09,84.10
595,59.80,82.79
600,59.58,82.33
605,59.30,80.42
610,59.09,79.31
615,58.79,80.88
620,58.49,82.38
625,58.20,81.92
630,57.99,83.83
635,57.79,82.89
640,57.50,84.45
645,57.29,83.40
650,57.00,82.70
655,56.79,84.21
660,56.40,83.72
665,56.11,86.22
670,55.90,86.40
675,55.68,84.95
680,55.39,84.78
685,55.11,85.78
690,54.89,87.20
695,54.60,86.06
700,54.29,87.72
705,54.00,86.77
710,53.78,87.32
715,53.50,87.46
720,53.19,88.49
725,52.90,87.02
730,52.70,84.44
735,52.40,88.63
740,52.19,88.14
745,51.89,87.74
750,51.59,91.77
755,51.39,91.46
760,51.00,91.39
765,50.79,92.22
770,50.50,95.73
775,50.29,91.92
780,49.90,92.12
785,49.69,92.80
790,49.39,93.15
795,49.10,98.46
800,48.80,101.23
805,48.59,98.63
810,48.21,98.05
815,47.98,96.40
820,47.68,98.34
825,47.40,95.59
830,47.09,99.12
835,46.79,100.82
840,46.50,99.45
845,46.18,102.53
850,45.80,99.22
855,45.60,99.64
860,45.30,102.69
865,44.99,103.47
870,44.61,104.56
875,44.38,105.74
880,44.00,108.65
885,43.70,109.33
890,43.30,107.51
895,43.00,108.44
900,42.65,108.95
905,42.30,107.44
910,42.00,109.81
915,41.69,112.41
920,41.30,110.36
925,40.90,112.45
930,40.68,114.97
935,40.21,113.05
940,39.88,116.12
945,39.48,115.53
950,39.20,116.49
955,38.80,118.75
960,38.40,121.80
965,38.05,122.00
970,37.71,121.27
975,37.30,124.47
980,36.89,126.04
985,36.59,130.07
990,36.10,132.32
995,35.78,128.55
1000,35.31,127.09
1005,35.00,128.93
1010,34.34,130.37
1015,34.20,127.91
1020,33.80,133.02
1025,33.40,127.63
1030,33.00,131.80
1035,32.52,133.93
1040,32.08,135.08
1045,31.70,131.64
1050,31.28,131.31
1055,30.89,132.68
1060,30.48,131.88
1065,30.00,134.02
1070,29.70,135.04
1075,29.21,133.05
1080,28.79,136.75
1085,28.39,133.96
1090,27.89,133.28
1095,27.58,134.42
1100,27.20,134.59
1105,26.80,131.22
1110,26.28,132.17
1115,25.99,130.21
1120,25.59,126.57
1125,25.20,126.66
1130,24.80,127.18
1135,24.31,124.67
1140,24.04,120.87
1145,23.61,123.75
1150,23.26,123.93
1155,22.81,118.87
1160,22.58,121.54
1165,22.19,123.25
1170,21.89,124.60
1175,21.51,127.52
1180,21.28,134.82
1185,20.82,131.22
1190,20.49,130.58
1195,20.18,125.91
1200,19.79,122.28
1205,19.47,117.62
1210,19.18,112.40
1215,18.89,111.11
1220,18.60,106.62
1225,18.37,100.49
1230,18.00,95.96
1235,17.79,91.95
1240,17.61,88.51
1245,17.39,84.64
1250,17.18,76.78
1255,16.99,71.92
1260,16.86,67.90
1265,16.67,66.64
1270,16.47,61.30
1275,16.38,58.61
1280,16.18,55.23
1285,16.07,53.90
1290,15.97,51.85
1295,15.80,51.93
1300,15.77,48.28
1305,15.68,45.40
1310,15.49,43.20
1315,15.55,42.09
1320,15.37,42.37
1325,15.37,41.31
1330,15.28,40.27
1335,15.18,39.47
1340,15.08,38.36
1345,14.99,36.97
1350,14.97,36.07
1355,14.89,37.05
1360,14.86,38.02
1365,14.79,38.07
1370,14.76,36.98
1375,14.59,35.68
1380,14.58,38.01
1385,14.47,36.67
1390,14.39,34.97
1395,14.39,33.49
1400,14.38,34.04
1405,14.29,34.10
1410,14.27,35.30
1415,14.17,36.62
1420,14.09,34.33
1425,14.08,33.00
1430,13.97,33.04
1435,13.96,34.34
1440,13.77,34.19
1445,13.79,34.52
1450,13.76,33.92
1455,13.59,32.36
1460,13.68,32.78
1465,13.57,31.07
1470,13.49,30.97
1475,13.47,30.09
1480,13.39,30.90
