Time (s),Mass (g),HRR (kW/m2)
0,96.0,2.8
5,94.2,3.8
10,94.0,1.3
15,93.9,115.3
20,93.4,192.6
25,92.7,201.4
30,92.1,177.9
35,91.6,159.9
40,91.2,143.1
45,90.7,136.1
50,90.3,130.7
55,90.0,123.8
60,89.6,121.2
65,89.2,116.1
70,88.8,112.6
75,88.5,111.3
80,88.2,106.1
85,87.8,102.0
90,87.4,99.1
95,87.1,96.8
100,86.8,99.6
105,86.5,93.3
110,86.2,92.1
115,85.8,91.8
120,85.5,90.5
125,85.2,88.8
130,84.8,88.6
135,84.6,88.3
140,84.4,87.3
145,84.0,87.1
150,83.7,85.9
155,83.4,83.8
160,83.2,82.3
165,83.0,83.8
170,82.7,81.9
175,82.3,82.1
180,82.1,83.0
185,81.8,82.7
190,81.5,81.2
195,81.2,82.6
200,80.9,83.0
205,80.7,81.8
210,80.5,81.6
215,80.2,81.7
220,79.9,79.9
225,79.6,81.9
230,79.4,81.3
235,79.0,80.4
240,78.8,80.5
245,78.5,80.2
250,78.2,81.3
255,77.9,81.0
260,77.6,78.9
265,77.4,77.9
270,77.1,77.8
275,76.9,80.0
280,76.6,78.9
285,76.3,77.6
290,76.0,76.7
295,75.8,76.0
300,75.6,77.1
305,75.3,78.6
310,75.0,77.3
315,74.8,78.1
320,74.4,80.0
325,74.2,77.2
330,73.9,77.3
335,73.6,75.6
340,73.3,74.9
345,73.0,73.7
350,72.8,74.6
355,72.6,73.7
360,72.3,73.5
365,72.0,74.9
370,71.7,76.5
375,71.5,74.7
380,71.2,75.9
385,70.9,75.4
390,70.7,76.3
395,70.3,78.4
400,70.1,76.0
405,69.8,76.8
410,69.6,76.2
415,69.3,74.3
420,69.1,74.5
425,68.8,76.6
430,68.5,74.3
435,68.3,76.2
440,68.0,75.2
445,67.7,74.3
450,67.5,76.3
455,67.2,76.2
460,66.9,77.5
465,66.7,76.1
470,66.4,77.0
475,66.2,74.8
480,65.9,73.4
485,65.7,73.8
490,65.4,72.3
