wavenumber (cm-1),reflectivity (-)
499.4981934,0.1523881
501.4267578,0.12440702
503.3553223,0.09895469
505.2838867,0.08315291
507.2124512,0.07902374
509.1410156,0.0901434
511.0695801,0.10258801
512.9981445,0.10874119
514.926709,0.11017902
516.8552734,0.11042363
518.7838379,0.11936468
520.7124023,0.12155711
522.6409668,0.10765811
524.5695313,0.09983563
526.4980957,0.11250669
528.4266602,0.12959224
530.3552246,0.1344845
532.2837891,0.13083102
534.2123535,0.12484352
536.140918,0.12477244
538.0694824,0.13049586
539.9980469,0.13119113
541.9266113,0.12404826
543.8551758,0.11639295
545.7837402,0.11524372
547.7123047,0.12359954
549.6408691,0.13658743
551.5694336,0.13722937
553.4979981,0.12525973
555.4265625,0.11902228
557.355127,0.12452976
559.2836914,0.13285886
561.2122559,0.13018133
563.1408203,0.11951204
565.0693848,0.11511909
566.9979492,0.11373492
568.9265137,0.11203028
570.8550781,0.11275132
572.7836426,0.11155957
574.712207,0.11239255
576.6407715,0.11869393
578.5693359,0.11875675
580.4979004,0.11076204
582.4264648,0.10633762
584.3550293,0.10633411
586.2835938,0.10317661
588.2121582,0.09577166
590.1407227,0.09102182
592.0692871,0.09278088
593.9978516,0.0958961
595.926416,0.09660917
597.8549805,0.09662368
599.7835449,0.09697976
601.7121094,0.09494199
603.6406738,0.09069452
605.5692383,0.088243
607.4978027,0.08699112
609.4263672,0.08524594
611.3549316,0.08746016
613.2834961,0.09613461
615.2120606,0.10304599
617.140625,0.09995214
619.0691895,0.09387891
620.9977539,0.09455218
622.9263184,0.09908478
624.8548828,0.10176189
626.7834473,0.10279165
628.7120117,0.10374567
630.6405762,0.10340829
632.5691406,0.09959498
634.4977051,0.09318265
636.4262695,0.0900953
638.354834,0.09396014
640.2833984,0.09956934
642.2119629,0.10089535
644.1405273,0.09925696
646.0690918,0.0980069
647.9976563,0.09827999
649.9262207,0.09962364
651.8547852,0.09917582
653.7833496,0.09676342
655.7119141,0.09484149
657.6404785,0.09303705
659.569043,0.09092144
661.4976074,0.09234205
663.4261719,0.09709182
665.3547363,0.09909078
667.2833008,0.09737924
669.2118652,0.09587342
671.1404297,0.09321861
673.0689941,0.09161538
674.9975586,0.0967299
676.9261231,0.10362601
678.8546875,0.10419685
680.783252,0.10335991
682.7118164,0.10485586
684.6403809,0.10397159
686.5689453,0.09701375
688.4975098,0.08761942
690.4260742,0.08318814
692.3546387,0.08561086
694.2832031,0.09164971
696.2117676,0.09480102
698.140332,0.09281954
700.0688965,0.09252939
701.9974609,0.09379745
703.9260254,0.09360634
705.8545898,0.09747328
707.7831543,0.10469513
709.7117188,0.10854136
711.6402832,0.11001873
713.5688477,0.10910759
715.4974121,0.10318297
717.4259766,0.0968225
719.354541,0.09567301
721.2831055,0.09978421
723.2116699,0.1048215
725.1402344,0.10702918
727.0687988,0.10633101
728.9973633,0.10587201
730.9259277,0.10920355
732.8544922,0.11456335
734.7830566,0.11709726
736.7116211,0.11538438
738.6401856,0.11153549
740.56875,0.10976416
742.4973145,0.11124628
744.4258789,0.11100993
746.3544434,0.10719657
748.2830078,0.10439328
750.2115723,0.10394258
752.1401367,0.10469846
754.0687012,0.10670097
755.9972656,0.10853977
757.9258301,0.10971957
759.8543945,0.11230181
761.782959,0.11732528
763.7115234,0.12104539
765.6400879,0.11896689
767.5686523,0.11293183
769.4972168,0.10884085
771.4257813,0.11010699
773.3543457,0.11412099
775.2829102,0.11637536
777.2114746,0.11542805
779.1400391,0.1121617
781.0686035,0.10999277
782.997168,0.11189876
784.9257324,0.11728968
786.8542969,0.12208301
788.7828613,0.12358615
790.7114258,0.12459239
792.6399902,0.12745914
794.5685547,0.13073762
796.4971191,0.13100958
798.4256836,0.1268615
800.3542481,0.12233134
802.2828125,0.12199317
804.211377,0.12483976
806.1399414,0.12611091
808.0685059,0.12392376
809.9970703,0.12135923
811.9256348,0.12115103
813.8541992,0.12146176
815.7827637,0.12157194
817.7113281,0.12372771
819.6398926,0.12539622
821.568457,0.12545773
823.4970215,0.12879349
825.4255859,0.13429719
827.3541504,0.13620058
829.2827148,0.13464551
831.2112793,0.13396756
833.1398438,0.13714051
835.0684082,0.14206921
836.9969727,0.14323856
838.9255371,0.14051691
840.8541016,0.13953727
842.782666,0.14149678
844.7112305,0.14189142
846.6397949,0.13922374
848.5683594,0.1365649
850.4969238,0.13565861
852.4254883,0.13632031
854.3540527,0.13827752
856.2826172,0.14014694
858.2111816,0.13974097
860.1397461,0.13680458
862.0683106,0.13400686
863.996875,0.13303231
865.9254395,0.13415602
867.8540039,0.13839599
869.7825684,0.14190067
871.7111328,0.13984127
873.6396973,0.13666441
875.5682617,0.13736305
877.4968262,0.13909271
879.4253906,0.13878797
881.3539551,0.13964634
883.2825195,0.14259003
885.211084,0.14240216
887.1396484,0.13861716
889.0682129,0.13494202
890.9967773,0.13171038
892.9253418,0.13033301
894.8539063,0.13258664
896.7824707,0.13494679
898.7110352,0.13429265
900.6395996,0.13299093
902.5681641,0.13334522
904.4967285,0.13414188
906.425293,0.13500477
908.3538574,0.13830775
910.2824219,0.14352056
912.2109863,0.14762683
914.1395508,0.15107426
916.0681152,0.15450166
917.9966797,0.15609512
919.9252441,0.15636717
921.8538086,0.15733688
923.7823731,0.15923257
925.7109375,0.1604287
927.639502,0.15909904
929.5680664,0.15664534
931.4966309,0.15567994
933.4251953,0.15575936
935.3537598,0.15585215
937.2823242,0.15642646
939.2108887,0.15749913
941.1394531,0.15660249
943.0680176,0.15279834
944.996582,0.15083648
946.9251465,0.15258272
948.8537109,0.15334104
950.7822754,0.15157488
952.7108398,0.14882706
954.6394043,0.1445435
956.5679688,0.14024326
958.4965332,0.13856326
960.4250977,0.13807702
962.3536621,0.13700637
964.2822266,0.13549659
966.210791,0.13514513
968.1393555,0.13711908
970.0679199,0.13895111
971.9964844,0.13983476
973.9250488,0.14091857
975.8536133,0.14082977
977.7821777,0.13949007
979.7107422,0.13839552
981.6393066,0.13714841
983.5678711,0.13398372
