Time (s),Temperature (C),HRR (W/g)
0,106.538,-2.192
0.5,106.567,-2.318
1,106.563,-2.359
1.5,106.519,-2.757
2,106.539,-3.166
2.5,106.542,-2.933
3,106.556,-3.182
3.5,106.488,-3.206
4,106.541,-3.35
4.5,106.519,-3.497
5,106.511,-3.731
5.5,106.498,-3.546
6,106.485,-3.959
6.5,106.489,-3.756
7,106.51,-3.72
7.5,106.55,-4.11
8,106.537,-4.125
8.5,106.559,-4.068
9,106.545,-4.221
9.5,106.558,-4.267
10,106.573,-4.57
10.5,106.543,-4.929
11,106.497,-4.846
11.5,106.58,-4.647
12,106.599,-4.665
12.5,106.593,-4.352
13,106.598,-4.612
13.5,106.608,-4.293
14,106.582,-4.38
14.5,106.627,-4.219
15,106.649,-4.045
15.5,106.634,-4.14
16,106.67,-3.932
16.5,106.644,-3.869
17,106.724,-3.675
17.5,106.723,-3.582
18,106.741,-3.259
18.5,106.759,-3.214
19,106.746,-3.068
19.5,106.844,-3.026
20,106.866,-2.893
20.5,106.916,-2.838
21,106.96,-2.615
21.5,106.982,-2.292
22,107.039,-2.284
22.5,107.111,-2.112
23,107.132,-1.884
23.5,107.205,-1.77
24,107.269,-1.64
24.5,107.343,-1.428
25,107.446,-1.275
25.5,107.48,-1.216
26,107.587,-0.812
26.5,107.653,-0.761
27,107.716,-0.656
27.5,107.81,-0.487
28,107.909,-0.506
28.5,107.977,-0.287
29,108.06,-0.298
29.5,108.166,-0.007
30,108.332,0.322
30.5,108.398,0.665
31,108.541,0.349
31.5,108.616,0.489
32,108.775,0.629
32.5,108.838,0.804
33,108.995,0.733
33.5,109.131,1.023
34,109.235,0.857
34.5,109.34,0.984
35,109.567,0.991
35.5,109.676,1.197
36,109.82,1.063
36.5,109.993,1.152
37,110.124,1.094
37.5,110.294,1.208
38,110.451,1.293
38.5,110.652,1.29
39,110.789,1.332
39.5,110.947,1.623
40,111.167,1.786
40.5,111.365,1.519
41,111.521,1.778
41.5,111.731,1.671
42,111.931,1.725
42.5,112.131,1.837
43,112.34,1.838
43.5,112.546,1.853
44,112.757,1.658
44.5,112.952,1.728
45,113.184,1.565
45.5,113.394,1.837
46,113.586,1.898
46.5,113.8,1.818
47,114.057,1.532
47.5,114.248,1.623
48,114.532,1.793
48.5,114.774,1.893
49,115.06,1.767
49.5,115.27,1.762
50,115.555,1.838
50.5,115.774,2.319
51,116.018,2.3
51.5,116.298,1.889
52,116.574,1.952
52.5,116.847,1.826
53,117.1,1.792
53.5,117.423,1.812
54,117.667,2.015
54.5,117.935,1.821
55,118.255,1.585
55.5,118.522,1.766
56,118.76,1.859
56.5,119.066,1.649
57,119.366,1.465
57.5,119.677,1.556
58,119.936,1.456
58.5,120.273,1.41
59,120.573,1.219
59.5,120.858,1.405
60,121.238,1.362
60.5,121.53,1.18
61,121.815,1.415
61.5,122.147,1.633
62,122.467,1.646
62.5,122.807,1.888
63,123.126,1.581
63.5,123.448,1.644
64,123.799,1.708
64.5,124.113,1.831
65,124.412,1.561
65.5,124.719,1.629
66,125.122,2.031
66.5,125.437,1.666
67,125.804,1.627
67.5,126.09,1.77
68,126.46,1.982
68.5,126.825,1.904
69,127.208,1.706
69.5,127.544,1.8
70,127.907,1.855
70.5,128.252,1.716
71,128.619,1.503
71.5,128.954,1.847
72,129.328,1.437
72.5,129.725,1.086
73,130.106,1.224
73.5,130.46,1.405
74,130.862,1.151
74.5,131.221,1.297
75,131.63,1.603
75.5,132.015,1.628
76,132.403,1.671
76.5,132.804,1.858
77,133.15,1.873
77.5,133.485,1.9
78,133.878,2.14
78.5,134.284,1.876
79,134.636,1.874
79.5,135.04,2.124
80,135.413,2.142
80.5,135.873,2.165
81,136.206,1.849
81.5,136.638,2.097
82,136.987,1.928
82.5,137.387,2.236
83,137.811,2.13
83.5,138.201,2.383
84,138.577,2.473
84.5,139.001,2.236
85,139.426,2.264
85.5,139.807,2.317
86,140.237,2.094
86.5,140.72,1.665
87,141.157,2.06
87.5,141.574,2.116
88,141.965,1.875
88.5,142.409,2.222
89,142.859,2.144
89.5,143.277,2.31
90,143.786,2.345
90.5,144.176,2.247
91,144.58,2.42
91.5,145.04,2.51
92,145.5,2.577
92.5,145.908,2.318
93,146.373,2.144
93.5,146.774,2.286
94,147.243,2.28
94.5,147.694,2.453
95,148.161,2.733
95.5,148.595,2.682
96,149.056,2.731
96.5,149.483,2.616
97,149.941,2.529
97.5,150.394,2.529
98,150.851,2.587
98.5,151.313,2.488
99,151.808,2.842
99.5,152.222,2.684
100,152.662,2.598
100.5,153.133,2.824
101,153.592,2.654
101.5,154.055,2.729
102,154.529,2.765
102.5,155.017,2.534
103,155.456,2.702
103.5,155.937,2.404
104,156.383,2.594
104.5,156.856,2.62
105,157.3,2.736
105.5,157.767,2.641
106,158.22,2.684
106.5,158.668,2.845
107,159.241,3.043
107.5,159.744,2.8
108,160.191,2.974
108.5,160.679,2.851
109,161.137,2.915
109.5,161.677,2.744
110,162.116,2.773
110.5,162.573,3.015
111,163.056,2.895
111.5,163.599,2.866
112,164.043,2.677
112.5,164.547,2.799
113,165.013,2.799
113.5,165.502,2.471
114,165.974,2.543
114.5,166.432,2.615
115,166.962,2.622
115.5,167.452,2.709
116,167.951,2.779
116.5,168.431,2.898
117,168.942,2.779
117.5,169.431,2.675
118,169.938,2.731
118.5,170.459,2.945
119,170.962,2.638
119.5,171.454,2.952
120,171.929,2.706
120.5,172.458,2.823
121,172.963,2.672
121.5,173.455,2.699
122,173.966,2.638
122.5,174.45,2.797
123,174.955,2.655
123.5,175.449,2.645
124,175.916,2.491
124.5,176.404,2.359
125,176.929,2.336
125.5,177.424,2.725
126,177.934,2.514
126.5,178.453,2.134
127,178.928,2.29
127.5,179.509,1.946
128,180.043,1.788
128.5,180.547,1.902
129,181.024,1.963
129.5,181.522,1.81
130,182.059,1.824
130.5,182.619,1.867
131,183.133,1.864
131.5,183.643,1.832
132,184.144,1.865
132.5,184.637,2.036
133,185.113,2.296
133.5,185.583,2.295
134,186.109,2.258
134.5,186.663,2.389
135,187.164,2.652
135.5,187.689,2.492
136,188.166,2.7
136.5,188.737,2.78
137,189.272,2.728
137.5,189.809,2.673
138,190.29,2.494
138.5,190.8,2.628
139,191.36,2.311
139.5,191.887,2.437
140,192.413,2.644
140.5,192.977,2.555
141,193.464,2.514
141.5,194.008,2.695
142,194.531,2.681
142.5,195.065,2.857
143,195.602,2.909
143.5,196.103,2.808
144,196.662,2.924
144.5,197.155,3.028
145,197.684,2.909
145.5,198.218,3.033
146,198.762,3.001
146.5,199.302,2.999
147,199.759,3.246
147.5,200.271,3.093
148,200.857,2.863
148.5,201.394,3.084
149,201.88,3.043
149.5,202.346,3.075
150,202.893,3.194
150.5,203.406,3.064
151,203.917,3.267
151.5,204.442,3.115
152,204.933,3.443
152.5,205.495,3.644
153,206.049,3.425
153.5,206.569,3.729
154,207.08,3.812
154.5,207.69,3.13
155,208.205,3.33
155.5,208.71,3.21
156,209.248,3.442
156.5,209.729,3.494
157,210.295,3.532
157.5,210.818,3.473
158,211.354,3.272
158.5,211.887,3.251
159,212.379,3.463
159.5,212.901,3.382
160,213.397,3.364
160.5,213.937,3.597
161,214.432,3.293
161.5,214.977,3.445
162,215.519,3.411
162.5,216.035,3.28
163,216.546,3.167
163.5,217.07,3.074
164,217.614,3.308
164.5,218.085,3.236
165,218.604,3.028
165.5,219.126,3.105
166,219.678,3.23
166.5,220.19,3.27
167,220.716,3.191
167.5,221.221,3.027
168,221.694,3.16
168.5,222.255,3.157
169,222.803,3.498
169.5,223.339,3.178
170,223.812,3.244
170.5,224.362,3.321
171,224.878,3.423
171.5,225.381,3.1
172,225.872,3.118
172.5,226.436,3.103
173,226.976,3.198
