Time (s),Temperature (K),N2 Flow (cc/min),O2 Flow (cc/min),End Flow (cc/min),Oxygen (%),CO (%),CO2 (%),HRR (W/g),Fit Result (W/g),Fit 1 (W/g),Fit 2 (W/g),Fit 3 (W/g),Fit 4 (W/g),Fit 5 (W/g)
0.492,414.5,80.093,20.03,99.811,20.039,,,-0.594,,,,,,
1.094,415.0,80.095,20.031,99.81,20.036,,,-0.229,,,,,,
1.653,415.5,80.098,20.029,99.806,20.035,,,-0.016,,,,,,
2.253,416.0,80.094,20.031,99.802,20.038,,,-0.401,,,,,,
2.843,416.5,80.096,20.03,99.803,20.035,,,-0.04,,,,,,
3.471,417.0,80.096,20.031,99.805,20.035,,,-0.148,,,,,,
4.052,417.5,80.091,20.03,99.802,20.037,,,-0.357,,,,,,
4.617,418.0,80.093,20.031,99.802,20.038,,,-0.507,,,,,,
5.204,418.5,80.094,20.029,99.801,20.036,,,-0.307,,,,,,
5.787,419.0,80.096,20.03,99.804,20.034,,,-0.153,,,,,,
6.401,419.5,80.091,20.03,99.805,20.037,,,-0.421,,,,,,
6.95,420.0,80.094,20.03,99.805,20.035,,,-0.118,,,,,,
7.493,420.5,80.091,20.029,99.803,20.039,,,-0.54,,,,,,
8.055,421.0,80.092,20.031,99.802,20.037,,,-0.369,,,,,,
8.62,421.5,80.094,20.03,99.795,20.037,,,-0.369,,,,,,
9.18,422.0,80.094,20.031,99.792,20.034,,,-0.02,,,,,,
9.743,422.5,80.095,20.029,99.791,20.034,,,0.043,,,,,,
10.294,423.0,80.095,20.031,99.791,20.035,,,-0.07,,,,,,
10.879,423.5,80.096,20.031,99.788,20.034,,,-0.011,,,,,,
11.393,424.0,80.097,20.029,99.786,20.033,,,0.177,,,,,,
11.964,424.5,80.09,20.029,99.78,20.032,,,0.536,,,,,,
12.512,425.0,80.095,20.03,99.782,20.034,,,0.261,,,,,,
13.088,425.5,80.093,20.031,99.781,20.034,,,0.347,,,,,,
13.641,426.0,80.096,20.03,99.779,20.032,,,0.592,,,,,,
14.203,426.5,80.096,20.03,99.776,20.033,,,0.624,,,,,,
14.783,427.0,80.1,20.031,99.772,20.033,,,0.623,,,,,,
15.312,427.5,80.097,20.031,99.768,20.032,,,0.723,,,,,,
15.82,428.0,80.098,20.029,99.768,20.032,,,0.757,,,,,,
16.355,428.5,80.093,20.03,99.766,20.031,,,0.731,,,,,,
16.955,429.0,80.09,20.029,99.764,20.032,,,0.605,,,,,,
17.448,429.5,80.096,20.032,99.764,20.035,,,0.142,,,,,,
18.005,430.0,80.091,20.031,99.762,20.03,,,0.794,,,,,,
18.507,430.5,80.094,20.032,99.761,20.033,,,0.313,,,,,,
19.039,431.0,80.094,20.029,99.766,20.032,,,0.515,,,,,,
19.589,431.5,80.091,20.03,99.766,20.036,,,0.105,,,,,,
20.093,432.0,80.095,20.029,99.765,20.036,,,-0.005,,,,,,
20.621,432.5,80.09,20.03,99.765,20.038,,,-0.348,,,,,,
21.147,433.0,80.092,20.031,99.764,20.036,,,-0.031,,,,,,
21.688,433.5,80.093,20.029,99.767,20.033,,,0.48,,,,,,
22.223,434.0,80.094,20.028,99.766,20.035,,,0.229,,,,,,
22.754,434.5,80.093,20.03,99.763,20.038,,,-0.153,,,,,,
23.271,435.0,80.093,20.03,99.762,20.04,,,-0.29,,,,,,
23.806,435.5,80.094,20.031,99.761,20.036,,,0.068,,,,,,
24.306,436.0,80.094,20.029,99.759,20.035,,,0.192,,,,,,
24.846,436.5,80.093,20.03,99.762,20.039,,,-0.384,,,,,,
25.352,437.0,80.097,20.032,99.762,20.038,,,-0.167,,,,,,
25.843,437.5,80.1,20.031,99.762,20.038,,,-0.093,,,,,,
26.371,438.0,80.096,20.031,99.761,20.036,,,0.139,,,,,,
26.868,438.5,80.093,20.031,99.761,20.034,,,0.266,,,,,,
27.395,439.0,80.093,20.032,99.759,20.036,,,-0.027,,,,,,
27.918,439.5,80.092,20.03,99.755,20.035,,,0.064,,,,,,
28.447,440.0,80.098,20.031,99.756,20.031,,,0.519,,,,,,
28.946,440.5,80.098,20.034,99.754,20.033,,,0.347,,,,,,
29.463,441.0,80.101,20.031,99.75,20.033,,,0.242,,,,,,
29.98,441.5,80.096,20.031,99.748,20.032,,,0.447,,,,,,
30.463,442.0,80.092,20.03,99.747,20.035,,,-0.016,,,,,,
30.996,442.5,80.096,20.03,99.744,20.031,,,0.678,,,,,,
31.469,443.0,80.092,20.031,99.742,20.031,,,0.722,,,,,,
31.995,443.5,80.09,20.029,99.747,20.031,,,0.635,,,,,,
32.477,444.0,80.096,20.032,99.75,20.03,,,0.61,,,,,,
32.966,444.5,80.096,20.032,99.752,20.033,,,0.286,,,,,,
33.453,445.0,80.092,20.031,99.751,20.036,,,-0.101,,,,,,
33.944,445.5,80.096,20.032,99.753,20.034,,,0.019,,,,,,
34.442,446.0,80.093,20.033,99.756,20.031,,,0.5,,,,,,
34.912,446.5,80.092,20.032,99.753,20.029,,,0.812,,,,,,
35.406,447.0,80.096,20.03,99.749,20.034,,,0.24,,,,,,
35.896,447.5,80.098,20.03,99.75,20.029,,,0.611,,,,,,
36.395,448.0,80.093,20.03,99.753,20.028,,,0.664,,,,,,
36.885,448.5,80.097,20.03,99.752,20.028,,,0.798,,,,,,
37.434,449.0,80.096,20.03,99.749,20.029,,,0.729,,,,,,
37.906,449.5,80.094,20.03,99.75,20.026,,,1.181,,,,,,
38.371,450.0,80.096,20.031,99.748,20.026,,,1.065,,,,,,
38.85,450.5,80.094,20.029,99.744,20.027,,,1.157,,,,,,
39.334,451.0,80.093,20.029,99.743,20.027,,,1.246,,,,,,
39.824,451.5,80.095,20.029,99.746,20.022,,,1.755,,,,,,
40.308,452.0,80.095,20.03,99.749,20.021,,,1.961,,,,,,
40.801,452.5,80.093,20.029,99.75,20.021,,,2.041,,,,,,
41.28,453.0,80.09,20.028,99.747,20.02,,,2.338,,,,,,
41.768,453.5,80.092,20.029,99.746,20.02,,,2.358,,,,,,
42.268,454.0,80.097,20.031,99.747,20.02,,,2.226,,,,,,
42.754,454.5,80.095,20.031,99.746,20.022,,,2.067,,,,,,
43.231,455.0,80.095,20.03,99.747,20.023,,,1.875,,,,,,
43.696,455.5,80.096,20.029,99.749,20.023,,,1.871,,,,,,
44.166,456.0,80.094,20.03,99.751,20.022,,,2.0,,,,,,
44.665,456.5,80.096,20.03,99.752,20.021,,,2.171,,,,,,
45.158,457.0,80.099,20.03,99.752,20.023,,,1.971,,,,,,
45.629,457.5,80.097,20.03,99.753,20.026,,,1.562,,,,,,
46.09,458.0,80.098,20.03,99.753,20.02,,,2.309,,,,,,
46.557,458.5,80.095,20.028,99.754,20.018,,,2.68,,,,,,
47.067,459.0,80.099,20.031,99.747,20.021,,,2.29,,,,,,
47.593,459.5,80.096,20.031,99.749,20.022,,,2.262,,,,,,
48.064,460.0,80.098,20.031,99.751,20.021,,,2.437,,,,,,
48.563,460.5,80.095,20.03,99.754,20.02,,,2.515,,,,,,
49.001,461.0,80.092,20.031,99.754,20.017,,,3.012,,,,,,
49.492,461.5,80.094,20.029,99.753,20.014,,,3.37,,,,,,
49.942,462.0,80.095,20.03,99.755,20.016,,,3.116,,,,,,
50.455,462.5,80.093,20.029,99.752,20.017,,,3.047,,,,,,
50.951,463.0,80.097,20.031,99.751,20.014,,,3.534,,,,,,
51.443,463.5,80.094,20.029,99.751,20.014,,,3.633,,,,,,
51.886,464.0,80.093,20.028,99.756,20.013,,,3.879,,,,,,
52.365,464.5,80.092,20.029,99.761,20.014,,,3.701,,,,,,
52.833,465.0,80.094,20.03,99.759,20.014,,,3.856,,,,,,
53.297,465.5,80.096,20.03,99.756,20.012,,,4.062,,,,,,
53.803,466.0,80.096,20.028,99.756,20.014,,,3.944,,,,,,
54.273,466.5,80.094,20.03,99.755,20.013,,,4.094,,,,,,
54.731,467.0,80.093,20.031,99.75,20.013,,,4.155,,,,,,
55.219,467.5,80.092,20.029,99.747,20.014,,,4.072,,,,,,
55.721,468.0,80.092,20.03,99.747,20.011,,,4.446,,,,,,
56.231,468.5,80.091,20.032,99.749,20.01,,,4.55,,,,,,
56.705,469.0,80.09,20.03,99.746,20.012,,,4.31,,,,,,
57.168,469.5,80.093,20.029,99.741,20.011,,,4.482,,,,,,
57.665,470.0,80.096,20.029,99.74,20.009,,,4.841,,,,,,
58.145,470.5,80.091,20.029,99.743,20.009,,,4.93,,,,,,
58.61,471.0,80.091,20.03,99.743,20.009,,,4.932,,,,,,
59.073,471.5,80.096,20.032,99.738,20.011,,,4.715,,,,,,
59.46,472.0,80.097,20.029,99.736,20.009,,,4.866,,,,,,
59.967,472.5,80.093,20.029,99.742,20.011,,,4.748,,,,,,
60.44,473.0,80.097,20.028,99.74,20.007,,,5.43,,,,,,
60.916,473.5,80.094,20.03,99.736,20.013,,,4.622,,,,,,
61.361,474.0,80.098,20.032,99.734,20.014,,,4.531,,,,,,
61.857,474.5,80.095,20.03,99.737,20.011,,,5.017,,,,,,
62.374,475.0,80.096,20.031,99.735,20.006,,,5.881,,,,,,
62.828,475.5,80.096,20.031,99.734,20.006,,,5.775,,,,,,
63.271,476.0,80.092,20.031,99.732,20.009,,,5.378,,,,,,
63.734,476.5,80.09,20.03,99.73,20.008,,,5.49,,,,,,
64.201,477.0,80.093,20.029,99.731,20.006,,,5.832,,,,,,
64.689,477.5,80.096,20.03,99.73,20.007,,,5.871,,,,,,
65.208,478.0,80.099,20.03,99.726,20.007,,,5.84,,,,,,
65.661,478.5,80.097,20.031,99.727,20.009,,,5.497,,,,,,
66.091,479.0,80.091,20.03,99.727,20.012,,,5.078,,,,,,
66.564,479.5,80.093,20.029,99.722,20.011,,,5.321,,,,,,
67.096,480.0,80.094,20.03,99.719,20.011,,,5.389,,,,,,
67.53,480.5,80.096,20.028,99.718,20.014,,,4.958,,,,,,
68.03,481.0,80.094,20.031,99.711,20.006,,,5.849,,,,,,
68.494,481.5,80.092,20.029,99.711,20.005,,,6.084,,,,,,
68.943,482.0,80.096,20.03,99.711,20.009,,,5.622,,,,,,
69.433,482.5,80.095,20.03,99.708,20.007,,,5.856,,,,,,
69.915,483.0,80.094,20.03,99.706,20.009,,,5.467,,,,,,
70.394,483.5,80.092,20.031,99.702,20.01,,,5.406,,,,,,
70.834,484.0,80.095,20.032,99.7,20.01,,,5.429,,,,,,
71.298,484.5,80.092,20.032,99.702,20.012,,,5.118,,,,,,
71.777,485.0,80.094,20.031,99.701,20.012,,,5.087,,,,,,
72.247,485.5,80.097,20.031,99.698,20.011,,,5.242,,,,,,
72.717,486.0,80.097,20.03,99.699,20.011,,,5.34,,,,,,
73.213,486.5,80.097,20.03,99.7,20.01,,,5.463,,,,,,
73.715,487.0,80.098,20.03,99.696,20.012,,,5.064,,,,,,
74.176,487.5,80.096,20.031,99.692,20.015,,,4.86,,,,,,
74.623,488.0,80.093,20.03,99.69,20.01,,,5.566,,,,,,
75.092,488.5,80.096,20.031,99.693,20.008,,,5.844,,,,,,
75.582,489.0,80.097,20.031,99.692,20.01,,,5.633,,,,,,
76.075,489.5,80.097,20.03,99.687,20.013,,,5.308,,,,,,
76.529,490.0,80.094,20.028,99.682,20.013,,,5.299,,,,,,
76.993,490.5,80.101,20.028,99.682,20.016,,,5.023,,,,,,
77.46,491.0,80.095,20.029,99.68,20.012,,,5.455,,,,,,
77.944,491.5,80.092,20.031,99.676,20.01,,,5.715,,,,,,
78.474,492.0,80.093,20.029,99.672,20.012,,,5.724,,,,,,
78.96,492.5,80.099,20.031,99.672,20.01,,,5.83,,,,,,
79.42,493.0,80.1,20.031,99.673,20.009,,,5.905,,,,,,
79.851,493.5,80.096,20.03,99.671,20.009,,,5.817,,,,,,
80.298,494.0,80.094,20.03,99.668,20.012,,,5.301,,,,,,
80.776,494.5,80.098,20.03,99.665,20.011,,,5.304,,,,,,
81.251,495.0,80.097,20.03,99.665,20.009,,,5.512,,,,,,
81.736,495.5,80.096,20.031,99.666,20.009,,,5.433,,,,,,
82.214,496.0,80.096,20.032,99.666,20.006,,,5.9,,,,,,
82.663,496.5,80.094,20.031,99.664,20.003,,,6.416,,,,,,
83.134,497.0,80.096,20.032,99.664,20.005,,,6.07,,,,,,
83.635,497.5,80.094,20.032,99.666,20.005,,,6.06,,,,,,
84.144,498.0,80.093,20.031,99.666,20.005,,,6.171,,,,,,
84.613,498.5,80.094,20.03,99.664,20.008,,,5.835,,,,,,
85.078,499.0,80.095,20.032,99.663,20.001,,,6.747,,,,,,
85.555,499.5,80.093,20.029,99.664,20.003,,,6.47,,,,,,
86.018,500.0,80.095,20.031,99.663,20.006,,,6.069,,,,,,
86.483,500.5,80.097,20.032,99.665,20.013,,,5.142,,,,,,
86.967,501.0,80.097,20.031,99.662,20.01,,,5.548,,,,,,
87.435,501.5,80.091,20.028,99.663,20.009,,,5.463,,,,,,
87.89,502.0,80.092,20.032,99.663,20.005,,,5.95,,,,,,
88.334,502.5,80.094,20.032,99.662,20.005,,,5.972,,,,,,
88.829,503.0,80.097,20.03,99.662,20.009,,,5.343,,,,,,
89.34,503.5,80.097,20.032,99.665,20.008,,,5.41,,,,,,
89.812,504.0,80.097,20.032,99.663,20.006,,,5.795,,,,,,
90.292,504.5,80.096,20.031,99.661,20.004,,,6.016,,,,,,
90.754,505.0,80.096,20.031,99.659,20.001,,,6.346,,,,,,
91.227,505.5,80.096,20.031,99.654,20.001,,,6.478,,,,,,
91.709,506.0,80.094,20.031,99.651,20.003,,,6.292,,,,,,
92.169,506.5,80.095,20.031,99.65,20.003,,,6.214,,,,,,
92.665,507.0,80.097,20.03,99.648,20.003,,,6.316,,,,,,
93.164,507.5,80.098,20.031,99.647,20.002,,,6.498,,,,,,
93.636,508.0,80.094,20.031,99.647,20.004,,,6.241,,,,,,
94.123,508.5,80.096,20.032,99.645,20.003,,,6.293,,,,,,
94.608,509.0,80.098,20.031,99.641,20.002,,,6.489,,,,,,
95.082,509.5,80.096,20.03,99.645,19.997,,,7.093,,,,,,
95.58,510.0,80.094,20.032,99.65,19.999,,,6.921,,,,,,
96.075,510.5,80.096,20.03,99.654,19.996,,,7.076,,,,,,
96.525,511.0,80.094,20.03,99.658,19.998,,,6.759,,,,,,
97.069,511.5,80.096,20.029,99.659,19.998,,,6.858,,,,,,
97.58,512.0,80.095,20.03,99.663,19.997,,,6.947,,,,,,
98.052,512.5,80.094,20.031,99.665,19.997,,,6.939,,,,,,
98.551,513.0,80.094,20.03,99.659,19.995,,,7.218,,,,,,
99.011,513.5,80.094,20.031,99.659,19.994,,,7.38,,,,,,
99.563,514.0,80.093,20.03,99.661,19.991,,,7.754,,,,,,
100.053,514.5,80.097,20.03,99.658,19.994,,,7.44,,,,,,
100.476,515.0,80.094,20.028,99.656,19.998,,,6.958,,,,,,
100.977,515.5,80.093,20.03,99.656,19.992,,,7.754,,,,,,
101.446,516.0,80.091,20.029,99.655,19.993,,,7.637,,,,,,
101.923,516.5,80.091,20.03,99.655,19.994,,,7.465,,,,,,
102.44,517.0,80.095,20.029,99.657,19.993,,,7.561,,,,,,
102.928,517.5,80.098,20.03,99.654,19.99,,,8.058,,,,,,
103.397,518.0,80.095,20.028,99.659,19.991,,,8.032,,,,,,
103.909,518.5,80.096,20.03,99.663,19.99,,,8.165,,,,,,
104.415,519.0,80.095,20.029,99.665,19.991,,,8.016,,,,,,
104.886,519.5,80.097,20.027,99.667,19.99,,,8.098,,,,,,
105.382,520.0,80.097,20.03,99.669,19.99,,,8.168,,,,,,
105.898,520.5,80.098,20.031,99.668,19.99,,,8.193,,,,,,
106.4,521.0,80.099,20.03,99.67,19.987,,,8.589,,,,,,
106.865,521.5,80.097,20.032,99.669,19.991,,,8.0,,,,,,
107.385,522.0,80.095,20.03,99.662,19.991,,,7.955,,,,,,
107.856,522.5,80.094,20.028,99.663,19.988,,,8.377,,,,,,
108.33,523.0,80.095,20.029,99.663,19.988,,,8.407,,,,,,
108.81,523.5,80.096,20.031,99.661,19.987,,,8.601,,,,,,
109.321,524.0,80.097,20.03,99.66,19.985,,,8.795,,,,,,
109.826,524.5,80.098,20.031,99.661,19.986,,,8.672,,,,,,
110.316,525.0,80.096,20.031,99.658,19.987,,,8.446,,,,,,
110.808,525.5,80.092,20.03,99.657,19.986,,,8.613,,,,,,
111.322,526.0,80.091,20.03,99.658,19.982,,,9.122,,,,,,
111.824,526.5,80.094,20.029,99.661,19.982,,,9.259,,,,,,
112.323,527.0,80.094,20.028,99.665,19.984,,,9.079,,,,,,
112.817,527.5,80.095,20.029,99.665,19.981,,,9.556,,,,,,
113.311,528.0,80.095,20.03,99.664,19.98,,,9.602,,,,,,
113.831,528.5,80.094,20.031,99.667,19.978,,,9.899,,,,,,
114.324,529.0,80.098,20.03,99.668,19.979,,,9.871,,,,,,
114.792,529.5,80.096,20.03,99.667,19.98,,,9.868,,,,,,
115.296,530.0,80.093,20.03,99.667,19.98,,,9.757,,,,,,
115.81,530.5,80.095,20.03,99.664,19.98,,,9.678,,,,,,
116.328,531.0,80.098,20.031,99.661,19.977,,,10.067,,,,,,
116.851,531.5,80.098,20.03,99.658,19.976,,,10.378,,,,,,
117.334,532.0,80.097,20.03,99.658,19.976,,,10.338,,,,,,
117.812,532.5,80.095,20.029,99.66,19.975,,,10.418,,,,,,
118.292,533.0,80.099,20.031,99.66,19.975,,,10.507,,,,,,
118.813,533.5,80.099,20.03,99.656,19.974,,,10.74,,,,,,
119.322,534.0,80.094,20.03,99.654,19.973,,,10.868,,,,,,
119.865,534.5,80.097,20.029,99.654,19.975,,,10.577,,,,,,
120.353,535.0,80.096,20.032,99.655,19.974,,,10.819,,,,,,
120.822,535.5,80.091,20.03,99.654,19.973,,,11.022,,,,,,
121.314,536.0,80.093,20.029,99.653,19.972,,,11.308,,,,,,
121.859,536.5,80.096,20.03,99.653,19.971,,,11.39,,,,,,
122.353,537.0,80.094,20.03,99.653,19.972,,,11.307,,,,,,
122.818,537.5,80.093,20.03,99.652,19.968,,,11.82,,,,,,
123.327,538.0,80.094,20.03,99.652,19.967,,,11.941,,,,,,
123.814,538.5,80.094,20.032,99.653,19.967,,,12.013,,,,,,
124.328,539.0,80.094,20.031,99.651,19.969,,,11.714,,,,,,
124.857,539.5,80.093,20.032,99.65,19.971,,,11.296,,,,,,
125.355,540.0,80.097,20.032,99.652,19.971,,,11.475,,,,,,
125.857,540.5,80.093,20.032,99.654,19.967,,,11.959,,,,,,
126.347,541.0,80.093,20.031,99.655,19.961,,,12.74,,,,,,
126.881,541.5,80.097,20.03,99.654,19.963,,,12.526,,,,,,
127.373,542.0,80.095,20.029,99.653,19.966,,,12.077,,,,,,
127.873,542.5,80.098,20.029,99.649,19.966,,,12.274,,,,,,
128.406,543.0,80.097,20.031,99.646,19.964,,,12.492,,,,,,
128.923,543.5,80.098,20.03,99.644,19.964,,,12.627,,,,,,
129.419,544.0,80.096,20.031,99.648,19.963,,,12.826,,,,,,
129.943,544.5,80.097,20.031,99.647,19.961,,,13.034,,,,,,
130.46,545.0,80.094,20.029,99.641,19.962,,,12.929,,,,,,
130.953,545.5,80.097,20.032,99.638,19.961,,,13.029,,,,,,
131.476,546.0,80.094,20.029,99.642,19.959,,,13.437,,,,,,
131.987,546.5,80.099,20.031,99.642,19.959,,,13.378,,,,,,
132.48,547.0,80.095,20.031,99.642,19.958,,,13.494,,,,,,
132.98,547.5,80.099,20.029,99.638,19.961,,,12.991,,,,,,
133.526,548.0,80.095,20.029,99.641,19.959,,,13.147,,,,,,
134.005,548.5,80.097,20.03,99.641,19.961,,,12.921,,,,,,
134.499,549.0,80.092,20.03,99.635,19.955,,,13.707,,,,,,
135.04,549.5,80.097,20.031,99.635,19.957,,,13.636,,,,,,
135.544,550.0,80.099,20.03,99.637,19.956,,,13.756,,,,,,
136.018,550.5,80.093,20.03,99.635,19.957,,,13.708,,,,,,
136.561,551.0,80.094,20.028,99.63,19.956,,,13.729,,,,,,
137.019,551.5,80.092,20.028,99.628,19.955,,,13.899,,,,,,
137.588,552.0,80.099,20.03,99.624,19.948,,,14.735,,,,,,
138.158,552.5,80.099,20.031,99.626,19.954,,,14.078,,,,,,
138.674,553.0,80.098,20.03,99.623,19.953,,,14.265,,,,,,
139.181,553.5,80.098,20.031,99.622,19.95,,,14.631,,,,,,
139.711,554.0,80.097,20.031,99.623,19.95,,,14.588,,,,,,
140.222,554.5,80.096,20.029,99.623,19.951,,,14.458,,,,,,
140.716,555.0,80.095,20.029,99.625,19.951,,,14.415,,,,,,
141.173,555.5,80.095,20.03,99.625,19.95,,,14.498,,,,,,
141.66,556.0,80.094,20.03,99.623,19.948,,,14.761,,,,,,
142.187,556.5,80.094,20.028,99.623,19.946,,,15.01,,,,,,
142.726,557.0,80.093,20.03,99.623,19.948,,,14.816,,,,,,
143.225,557.5,80.094,20.03,99.62,19.946,,,15.162,,,,,,
143.73,558.0,80.096,20.029,99.617,19.942,,,15.594,,,,,,
144.265,558.5,80.095,20.031,99.615,19.945,,,15.113,,,,,,
144.772,559.0,80.094,20.031,99.612,19.944,,,15.152,,,,,,
145.278,559.5,80.095,20.029,99.608,19.941,,,15.468,,,,,,
145.816,560.0,80.095,20.03,99.607,19.94,,,15.514,,,,,,
146.306,560.5,80.094,20.029,99.608,19.938,,,15.648,,,,,,
146.829,561.0,80.095,20.031,99.609,19.939,,,15.512,,,,,,
147.351,561.5,80.097,20.031,99.607,19.941,,,15.307,,,,,,
147.859,562.0,80.096,20.031,99.605,19.94,,,15.468,,,,,,
148.366,562.5,80.095,20.031,99.606,19.939,,,15.43,,,,,,
148.878,563.0,80.091,20.031,99.61,19.938,,,15.534,,,,,,
149.387,563.5,80.095,20.031,99.612,19.937,,,15.622,,,,,,
149.904,564.0,80.098,20.032,99.614,19.936,,,15.743,,,,,,
150.422,564.5,80.095,20.03,99.614,19.934,,,15.953,,,,,,
150.917,565.0,80.097,20.029,99.61,19.936,,,15.79,,,,,,
151.447,565.5,80.091,20.028,99.608,19.935,,,15.879,,,,,,
151.969,566.0,80.089,20.029,99.604,19.934,,,15.953,,,,,,
152.462,566.5,80.09,20.03,99.607,19.933,,,15.883,,,,,,
153.046,567.0,80.095,20.032,99.609,19.931,,,15.949,,,,,,
153.541,567.5,80.098,20.028,99.609,19.934,,,15.688,,,,,,
154.052,568.0,80.09,20.03,99.605,19.931,,,16.049,,,,,,
154.535,568.5,80.093,20.029,99.604,19.928,,,16.479,,,,,,
155.067,569.0,80.095,20.032,99.602,19.921,,,17.264,,,,,,
155.606,569.5,80.096,20.03,99.602,19.925,,,16.865,,,,,,
156.087,570.0,80.098,20.031,99.604,19.927,,,16.476,,,,,,
156.607,570.5,80.095,20.03,99.604,19.927,,,16.522,,,,,,
157.108,571.0,80.092,20.031,99.608,19.925,,,16.775,,,,,,
157.654,571.5,80.095,20.031,99.608,19.924,,,17.039,,,,,,
158.171,572.0,80.092,20.03,99.61,19.926,,,16.922,,,,,,
158.677,572.5,80.094,20.031,99.607,19.922,,,17.541,,,,,,
159.192,573.0,80.098,20.03,99.604,19.918,,,18.096,,,,,,
159.752,573.5,80.096,20.031,99.608,19.917,,,18.338,,,,,,
160.264,574.0,80.097,20.031,99.611,19.914,,,18.673,,,,,,
160.784,574.5,80.097,20.031,99.614,19.913,,,18.892,,,,,,
161.313,575.0,80.097,20.031,99.619,19.913,,,18.925,,,,,,
161.796,575.5,80.097,20.032,99.621,19.912,,,19.11,,,,,,
162.283,576.0,80.095,20.03,99.623,19.91,,,19.348,,,,,,
162.79,576.5,80.094,20.031,99.623,19.908,,,19.519,,,,,,
163.34,577.0,80.095,20.029,99.623,19.909,,,19.416,,,,,,
163.852,577.5,80.093,20.029,99.625,19.906,,,19.719,,,,,,
164.356,578.0,80.093,20.03,99.629,19.905,,,19.908,,,,,,
164.882,578.5,80.096,20.03,99.628,19.903,,,20.138,,,,,,
165.391,579.0,80.097,20.03,99.63,19.904,,,19.916,,,,,,
165.92,579.5,80.096,20.031,99.63,19.902,,,20.338,,,,,,
166.425,580.0,80.097,20.029,99.631,19.9,,,20.584,,,,,,
166.923,580.5,80.094,20.032,99.63,19.895,,,21.343,,,,,,
167.43,581.0,80.09,20.03,99.629,19.897,,,21.204,,,,,,
167.959,581.5,80.095,20.031,99.635,19.894,,,21.362,,,,,,
168.453,582.0,80.095,20.031,99.641,19.896,,,21.156,,,,,,
168.923,582.5,80.098,20.034,99.645,19.893,,,21.395,,,,,,
169.409,583.0,80.092,20.032,99.645,19.892,,,21.592,,,,,,
169.94,583.5,80.096,20.03,99.646,19.891,,,21.829,,,,,,
170.492,584.0,80.09,20.031,99.646,19.89,,,22.007,,,,,,
170.964,584.5,80.094,20.031,99.649,19.884,,,22.834,,,,,,
171.507,585.0,80.096,20.032,99.647,19.889,,,21.978,,,,,,
171.963,585.5,80.095,20.03,99.649,19.888,,,22.062,,,,,,
172.498,586.0,80.096,20.031,99.65,19.887,,,22.212,,,,,,
173.004,586.5,80.094,20.031,99.647,19.882,,,22.851,,,,,,
173.517,587.0,80.095,20.03,99.642,19.88,,,23.23,,,,,,
173.976,587.5,80.095,20.032,99.64,19.88,,,23.272,,,,,,
174.541,588.0,80.094,20.031,99.636,19.879,,,23.578,,,,,,
175.036,588.5,80.088,20.031,99.635,19.878,,,23.803,,,,,,
175.523,589.0,80.093,20.032,99.634,19.876,,,23.958,,,,,,
176.079,589.5,80.097,20.03,99.628,19.875,,,24.189,,,,,,
176.599,590.0,80.096,20.029,99.629,19.872,,,24.629,,,,,,
177.099,590.5,80.097,20.031,99.626,19.868,,,25.357,,,,,,
177.596,591.0,80.096,20.032,99.624,19.867,,,25.576,,,,,,
178.128,591.5,80.097,20.03,99.626,19.866,,,25.799,,,,,,
178.615,592.0,80.091,20.031,99.627,19.868,,,25.551,,,,,,
179.159,592.5,80.09,20.031,99.626,19.866,,,25.828,,,,,,
179.67,593.0,80.095,20.03,99.627,19.863,,,26.193,,,,,,
180.183,593.5,80.094,20.031,99.628,19.86,,,26.609,,,,,,
180.659,594.0,80.093,20.028,99.631,19.858,,,26.79,,,,,,
181.206,594.5,80.093,20.029,99.633,19.856,,,27.21,,,,,,
181.735,595.0,80.094,20.029,99.631,19.854,,,27.606,,,,,,
182.22,595.5,80.094,20.029,99.628,19.852,,,27.84,,,,,,
182.687,596.0,80.093,20.03,99.625,19.851,,,27.988,,,,,,
183.223,596.5,80.093,20.03,99.624,19.847,,,28.461,,,,,,
183.765,597.0,80.094,20.029,99.625,19.844,,,28.726,,,,,,
184.299,597.5,80.096,20.03,99.627,19.841,,,29.217,,,,,,
184.781,598.0,80.095,20.032,99.629,19.841,,,29.348,,,,,,
185.25,598.5,80.096,20.031,99.628,19.839,,,29.701,,,,,,
185.755,599.0,80.097,20.03,99.626,19.836,,,30.156,,,,,,
