Time (s),Temperature (C),HRR (W/g)
0,105.138,-0.866
0.5,105.151,-0.965
1,105.17,-1.044
1.5,105.169,-1.097
2,105.185,-1.268
2.5,105.158,-1.359
3,105.191,-1.385
3.5,105.204,-1.388
4,105.207,-1.421
4.5,105.207,-1.448
5,105.222,-1.479
5.5,105.235,-1.534
6,105.302,-1.718
6.5,105.276,-1.622
7,105.285,-1.718
7.5,105.321,-1.669
8,105.333,-1.655
8.5,105.378,-1.607
9,105.35,-1.54
9.5,105.402,-1.507
10,105.403,-1.453
10.5,105.421,-1.393
11,105.437,-1.384
11.5,105.409,-1.29
12,105.473,-1.18
12.5,105.465,-1.121
13,105.485,-0.975
13.5,105.555,-0.967
14,105.548,-0.831
14.5,105.629,-0.747
15,105.655,-0.645
15.5,105.677,-0.633
16,105.707,-0.721
16.5,105.754,-0.589
17,105.787,-0.55
17.5,105.792,-0.556
18,105.897,-0.556
18.5,105.913,-0.525
19,105.997,-0.505
19.5,106.017,-0.511
20,106.08,-0.591
20.5,106.156,-0.508
21,106.176,-0.482
21.5,106.213,-0.501
22,106.322,-0.551
22.5,106.353,-0.603
23,106.399,-0.664
23.5,106.516,-0.616
24,106.607,-0.696
24.5,106.654,-0.638
25,106.708,-0.56
25.5,106.795,-0.746
26,106.934,-0.538
26.5,107.02,-0.526
27,107.1,-0.469
27.5,107.202,-0.458
28,107.27,-0.564
28.5,107.384,-0.411
29,107.518,-0.456
29.5,107.616,-0.399
30,107.724,-0.528
30.5,107.839,-0.531
31,107.96,-0.496
31.5,108.107,-0.498
32,108.237,-0.516
32.5,108.368,-0.431
33,108.53,-0.507
33.5,108.664,-0.424
34,108.819,-0.413
34.5,108.935,-0.296
35,109.083,-0.252
35.5,109.26,-0.343
36,109.378,-0.138
36.5,109.553,-0.19
37,109.722,-0.123
37.5,109.89,-0.14
38,110.112,-0.057
38.5,110.288,-0.135
39,110.432,-0.124
39.5,110.614,-0.072
40,110.809,-0.276
40.5,110.976,-0.189
41,111.144,-0.091
41.5,111.393,-0.125
42,111.583,-0.049
42.5,111.77,-0.047
43,111.954,-0.143
43.5,112.155,-0.248
44,112.375,-0.106
44.5,112.582,-0.139
45,112.808,-0.085
45.5,113.041,-0.094
46,113.273,-0.14
46.5,113.496,-0.088
47,113.72,-0.076
47.5,114.003,-0.084
48,114.222,0.018
48.5,114.327,-0.058
49,114.839,-0.062
49.5,114.946,-0.071
50,115.232,-0.009
