Time (s),Temperature (K),N2 Flow (cc/min),O2 Flow (cc/min),End Flow (cc/min),Oxygen (%),CO (%),CO2 (%),HRR (W/g),Fit Result (W/g),Fit 1 (W/g),Fit 2 (W/g),Fit 3 (W/g),Fit 4 (W/g),Fit 5 (W/g)
0.126,412.0,80.089,20.028,99.518,20.106,,,0.005,,,,,,
0.722,412.5,80.09,20.029,99.522,20.104,,,0.081,,,,,,
1.394,413.0,80.095,20.031,99.529,20.103,,,0.141,,,,,,
2.05,413.5,80.091,20.029,99.529,20.105,,,0.029,,,,,,
2.664,414.0,80.091,20.028,99.525,20.104,,,0.098,,,,,,
3.262,414.5,80.092,20.03,99.523,20.102,,,0.168,,,,,,
3.903,415.0,80.09,20.03,99.52,20.104,,,0.073,,,,,,
4.492,415.5,80.085,20.03,99.518,20.105,,,-0.008,,,,,,
5.092,416.0,80.091,20.029,99.519,20.103,,,0.031,,,,,,
5.7,416.5,80.089,20.03,99.517,20.103,,,0.012,,,,,,
6.269,417.0,80.092,20.028,99.514,20.102,,,0.039,,,,,,
6.861,417.5,80.089,20.028,99.517,20.099,,,0.123,,,,,,
7.454,418.0,80.091,20.029,99.524,20.097,,,0.203,,,,,,
8.022,418.5,80.094,20.03,99.529,20.094,,,0.321,,,,,,
8.663,419.0,80.092,20.029,99.533,20.096,,,0.276,,,,,,
9.28,419.5,80.093,20.03,99.536,20.096,,,0.307,,,,,,
9.905,420.0,80.092,20.029,99.539,20.097,,,0.311,,,,,,
10.453,420.5,80.092,20.029,99.539,20.096,,,0.334,,,,,,
11.092,421.0,80.09,20.029,99.538,20.093,,,0.496,,,,,,
11.692,421.5,80.094,20.029,99.536,20.092,,,0.555,,,,,,
12.262,422.0,80.092,20.028,99.535,20.091,,,0.594,,,,,,
12.851,422.5,80.088,20.029,99.534,20.092,,,0.547,,,,,,
13.422,423.0,80.092,20.027,99.535,20.094,,,0.462,,,,,,
13.99,423.5,80.089,20.027,99.536,20.094,,,0.476,,,,,,
14.549,424.0,80.095,20.028,99.535,20.091,,,0.549,,,,,,
15.158,424.5,80.091,20.029,99.534,20.092,,,0.525,,,,,,
15.756,425.0,80.088,20.029,99.535,20.093,,,0.462,,,,,,
16.336,425.5,80.095,20.03,99.536,20.094,,,0.43,,,,,,
16.903,426.0,80.092,20.027,99.535,20.092,,,0.556,,,,,,
17.46,426.5,80.087,20.03,99.534,20.088,,,0.678,,,,,,
18.021,427.0,80.092,20.028,99.533,20.087,,,0.754,,,,,,
18.618,427.5,80.093,20.028,99.532,20.089,,,0.674,,,,,,
19.193,428.0,80.094,20.03,99.533,20.089,,,0.625,,,,,,
19.731,428.5,80.093,20.028,99.535,20.087,,,0.741,,,,,,
20.296,429.0,80.091,20.03,99.539,20.086,,,0.786,,,,,,
20.865,429.5,80.092,20.03,99.544,20.084,,,0.854,,,,,,
21.397,430.0,80.09,20.029,99.547,20.084,,,0.849,,,,,,
21.981,430.5,80.086,20.028,99.548,20.084,,,0.839,,,,,,
22.573,431.0,80.09,20.029,99.552,20.083,,,0.894,,,,,,
23.124,431.5,80.094,20.03,99.554,20.082,,,0.942,,,,,,
23.697,432.0,80.094,20.029,99.554,20.082,,,0.97,,,,,,
24.233,432.5,80.09,20.029,99.552,20.081,,,0.993,,,,,,
24.787,433.0,80.092,20.029,99.548,20.083,,,0.922,,,,,,
25.316,433.5,80.093,20.031,99.543,20.083,,,0.918,,,,,,
25.862,434.0,80.094,20.03,99.54,20.082,,,0.976,,,,,,
26.412,434.5,80.095,20.03,99.538,20.079,,,1.062,,,,,,
26.957,435.0,80.09,20.03,99.536,20.078,,,1.11,,,,,,
27.532,435.5,80.093,20.03,99.531,20.076,,,1.192,,,,,,
28.056,436.0,80.091,20.03,99.531,20.074,,,1.277,,,,,,
28.578,436.5,80.089,20.029,99.53,20.074,,,1.242,,,,,,
29.118,437.0,80.096,20.029,99.531,20.071,,,1.391,,,,,,
29.639,437.5,80.092,20.028,99.531,20.07,,,1.424,,,,,,
30.163,438.0,80.093,20.03,99.533,20.068,,,1.483,,,,,,
30.702,438.5,80.088,20.029,99.534,20.067,,,1.526,,,,,,
31.238,439.0,80.092,20.028,99.536,20.067,,,1.545,,,,,,
31.797,439.5,80.09,20.028,99.536,20.068,,,1.535,,,,,,
32.316,440.0,80.089,20.029,99.536,20.068,,,1.542,,,,,,
32.827,440.5,80.09,20.029,99.533,20.066,,,1.627,,,,,,
33.351,441.0,80.091,20.028,99.531,20.067,,,1.581,,,,,,
33.86,441.5,80.089,20.028,99.53,20.067,,,1.591,,,,,,
34.437,442.0,80.091,20.028,99.532,20.066,,,1.61,,,,,,
34.989,442.5,80.09,20.028,99.531,20.064,,,1.735,,,,,,
35.503,443.0,80.096,20.029,99.532,20.06,,,1.905,,,,,,
36.007,443.5,80.09,20.028,99.531,20.059,,,1.939,,,,,,
36.536,444.0,80.093,20.028,99.529,20.054,,,2.137,,,,,,
37.073,444.5,80.098,20.029,99.53,20.053,,,2.199,,,,,,
37.596,445.0,80.09,20.029,99.531,20.051,,,2.284,,,,,,
38.099,445.5,80.089,20.028,99.533,20.051,,,2.268,,,,,,
38.64,446.0,80.092,20.03,99.532,20.051,,,2.307,,,,,,
39.155,446.5,80.095,20.029,99.53,20.053,,,2.234,,,,,,
39.661,447.0,80.095,20.028,99.528,20.051,,,2.339,,,,,,
40.16,447.5,80.094,20.029,99.526,20.053,,,2.273,,,,,,
40.667,448.0,80.095,20.029,99.526,20.05,,,2.39,,,,,,
41.17,448.5,80.093,20.028,99.526,20.048,,,2.423,,,,,,
41.71,449.0,80.095,20.029,99.525,20.046,,,2.523,,,,,,
42.237,449.5,80.092,20.029,99.526,20.046,,,2.535,,,,,,
42.777,450.0,80.092,20.029,99.527,20.044,,,2.631,,,,,,
43.311,450.5,80.092,20.03,99.528,20.043,,,2.668,,,,,,
43.806,451.0,80.091,20.03,99.527,20.043,,,2.639,,,,,,
44.317,451.5,80.09,20.029,99.527,20.041,,,2.697,,,,,,
44.83,452.0,80.092,20.029,99.527,20.04,,,2.738,,,,,,
45.33,452.5,80.089,20.029,99.527,20.037,,,2.848,,,,,,
45.839,453.0,80.092,20.03,99.528,20.036,,,2.891,,,,,,
46.386,453.5,80.092,20.027,99.529,20.037,,,2.862,,,,,,
46.867,454.0,80.091,20.029,99.527,20.036,,,2.872,,,,,,
47.355,454.5,80.094,20.029,99.525,20.032,,,3.001,,,,,,
47.859,455.0,80.094,20.03,99.522,20.031,,,3.041,,,,,,
