Time(s),Temperature (K),Mass (mg)
0,291.311,5.079
0.6,291.325,5.079
1.2,291.317,5.078699831
1.8,291.316,5.078500226
2.4,291.322,5.078300114
3,291.318,5.078300114
3.6,291.318,5.078599775
4.2,291.314,5.079699886
4.8,291.313,5.081399828
5.4,291.318,5.086400103
6,291.318,5.086300047
6.6,291.318,5.085799765
7.2,291.321,5.085700217
7.8,291.32,5.085500104
8.4,291.306,5.084700162
9,291.317,5.085299992
9.6,291.319,5.087799875
10.2,291.335,5.086300047
10.8,291.314,5.085999878
11.4,291.322,5.086500159
12,291.316,5.085500104
12.6,291.307,5.084700162
13.2,291.329,5.084700162
13.8,291.324,5.083299881
14.4,291.332,5.082900164
15,291.31,5.082000165
15.6,291.316,5.081399828
16.2,291.329,5.080900054
16.8,291.334,5.080300224
17.4,291.331,5.080000055
18,291.318,5.080200168
18.6,291.323,5.07959983
19.2,291.334,5.078200058
19.8,291.334,5.079100056
20.4,291.349,5.078500226
21,291.328,5.07840017
21.6,291.352,5.077799832
22.2,291.331,5.078899944
22.8,291.344,5.079300169
23.4,291.338,5.078599775
24,291.346,5.077699776
24.6,291.341,5.078899944
25.2,291.365,5.080000055
25.8,291.347,5.07959983
26.4,291.355,5.079499774
27,291.361,5.079300169
27.6,291.355,5.078699831
28.2,291.365,5.078899944
28.8,291.377,5.079499774
29.4,291.372,5.079799943
30,291.372,5.079799943
30.6,291.385,5.080100111
31.2,291.382,5.080499829
31.8,291.383,5.08100011
32.4,291.379,5.080499829
33,291.377,5.080100111
33.6,291.385,5.07959983
34.2,291.384,5.079499774
34.8,291.404,5.07959983
35.4,291.393,5.079699886
36,291.401,5.079799943
36.6,291.412,5.079699886
37.2,291.408,5.079699886
37.8,291.419,5.079400225
38.4,291.399,5.079200113
39,291.407,5.079100056
39.6,291.429,5.079
40.2,291.43,5.079300169
40.8,291.445,5.079200113
41.4,291.449,5.079300169
42,291.446,5.079300169
42.6,291.442,5.079400225
43.2,291.461,5.079499774
43.8,291.453,5.07959983
44.4,291.48,5.079499774
45,291.468,5.079499774
45.6,291.484,5.079499774
46.2,291.486,5.079499774
46.8,291.512,5.079400225
47.4,291.51,5.079400225
48,291.531,5.079300169
48.6,291.523,5.079200113
49.2,291.539,5.079100056
49.8,291.526,5.079
50.4,291.543,5.078899944
51,291.542,5.078799887
51.6,291.557,5.078699831
52.2,291.568,5.078599775
52.8,291.575,5.078599775
53.4,291.574,5.078599775
54,291.584,5.078500226
54.6,291.619,5.078500226
55.2,291.613,5.078500226
55.8,291.635,5.078500226
56.4,291.643,5.078500226
57,291.645,5.078500226
57.6,291.651,5.078500226
58.2,291.665,5.078799887
58.8,291.681,5.079
59.4,291.687,5.079200113
60,291.698,5.079300169
60.6,291.702,5.079499774
61.2,291.7,5.079499774
61.8,291.715,5.079300169
62.4,291.736,5.079400225
63,291.742,5.079400225
63.6,291.759,5.079499774
64.2,291.753,5.079300169
64.8,291.777,5.079300169
65.4,291.776,5.079200113
66,291.792,5.079100056
66.6,291.799,5.079100056
67.2,291.829,5.079
67.8,291.814,5.078899944
68.4,291.834,5.078799887
69,291.859,5.078699831
69.6,291.87,5.078799887
70.2,291.901,5.078699831
70.8,291.909,5.078699831
71.4,291.924,5.078699831
72,291.922,5.078599775
72.6,291.962,5.07840017
73.2,291.962,5.078200058
73.8,291.981,5.077999945
74.4,291.997,5.077899889
75,292.012,5.077899889
75.6,292.026,5.078100001
76.2,292.032,5.078200058
76.8,292.056,5.07840017
77.4,292.089,5.078799887
78,292.087,5.079200113
78.6,292.111,5.079499774
79.2,292.128,5.079699886
79.8,292.148,5.079699886
80.4,292.154,5.07959983
81,292.177,5.079300169
81.6,292.204,5.079100056
82.2,292.22,5.078799887
82.8,292.243,5.078699831
83.4,292.263,5.078699831
84,292.287,5.078500226
84.6,292.312,5.078500226
85.2,292.327,5.078300114
85.8,292.343,5.078200058
86.4,292.374,5.078100001
87,292.391,5.077600228
87.6,292.424,5.077699776
88.2,292.44,5.077699776
88.8,292.475,5.077600228
89.4,292.477,5.077600228
89.9502,292.499,5.077600228
92.9502,292.628,5.077400115
95.9502,292.749,5.076199947
98.9502,292.876,5.076500116
101.9502,293.022,5.074900231
104.9502,293.163,5.073700064
107.9502,293.331,5.073700064
110.9502,293.465,5.072800065
113.9502,293.634,5.071900066
116.9502,293.823,5.071000067
119.9502,294.003,5.069899956
122.9502,294.15,5.069400182
125.9502,294.364,5.068500183
128.9502,294.549,5.066700186
131.9502,294.744,5.065399962
134.9502,294.948,5.063000134
137.9502,295.145,5.06169991
140.9502,295.373,5.059999969
143.9502,295.567,5.058400084
146.9502,295.772,5.055800144
149.9502,295.982,5.05449992
152.9502,296.212,5.053000091
155.9502,296.43,5.051799923
158.9502,296.67,5.050799868
161.9502,296.895,5.049400096
164.9502,297.125,5.047899759
167.9502,297.358,5.046800156
170.9502,297.592,5.045599988
173.9502,297.84,5.04439982
176.9502,298.069,5.043200161
179.9502,298.321,5.042100049
182.9502,298.542,5.039700222
185.9502,298.798,5.037099774
188.9502,299.04,5.035599945
191.9502,299.278,5.034200173
194.9502,299.513,5.032200062
197.9502,299.765,5.030400065
200.9502,299.999,5.028399955
203.9502,300.243,5.025800015
206.9502,300.489,5.023799904
209.9502,300.719,5.022099963
212.9502,300.96,5.019399967
215.9502,301.199,5.017599969
218.9502,301.439,5.016000084
221.9502,301.683,5.014499747
224.9502,301.9,5.012899862
227.9502,302.153,5.011199921
230.9502,302.384,5.008499925
233.9502,302.599,5.005499759
236.9502,302.852,5.003899874
239.9502,303.078,5.001999821
242.9502,303.31,4.999900162
245.9502,303.536,4.998200221
248.9502,303.753,4.996400223
251.9502,303.978,4.9942
254.9502,304.185,4.991500004
257.9502,304.421,4.989499894
260.9502,304.635,4.98759984
263.9502,304.849,4.9849999
266.9502,305.07,4.981900186
269.9502,305.279,4.979800019
272.9502,305.503,4.977699853
275.9502,305.699,4.975099913
278.9502,305.91,4.972900198
281.9502,306.11,4.96969992
284.9502,306.312,4.967200036
287.9502,306.496,4.965199926
290.9502,306.678,4.963199816
293.9502,306.905,4.960799988
296.9502,307.079,4.958300105
299.9502,307.276,4.956199938
302.9502,307.469,4.953000168
305.9502,307.641,4.950699889
308.9502,307.853,4.948400118
311.9502,308.007,4.945999782
314.9502,308.178,4.943000125
317.9502,308.372,4.941900014
320.9502,308.535,4.939799847
323.9502,308.699,4.938300018
326.9502,308.874,4.935800135
329.9502,309.018,4.934599967
332.9502,309.178,4.931599802
335.9502,309.356,4.929699748
338.9502,309.503,4.926999751
341.9502,309.661,4.924800036
344.9502,309.809,4.921899927
347.9502,309.959,4.919899817
350.9502,310.093,4.917700102
353.9502,310.25,4.915299767
356.9502,310.392,4.912799883
359.9502,310.522,4.910600168
362.9502,310.67,4.908500002
365.9502,310.806,4.90680006
