Time (s),Temperature (K),Mass (mg)
0.0,293.6,4.836
4.2,293.6,4.836
9.0,293.7,4.851
13.8,293.7,4.849
18.6,293.7,4.844
23.4,293.7,4.842
28.2,293.7,4.841
33.0,293.7,4.841
37.8,293.8,4.840
42.6,293.8,4.841
47.4,293.8,4.840
52.2,293.9,4.839
57.0,294.0,4.839
61.8,294.0,4.839
66.6,294.1,4.837
71.4,294.2,4.836
76.2,294.4,4.836
81.0,294.5,4.836
85.8,294.7,4.835
92.9,294.9,4.833
116.9,296.1,4.821
140.9,297.6,4.808
164.9,299.3,4.795
188.9,301.1,4.783
212.9,302.9,4.767
236.9,304.7,4.749
260.9,306.4,4.733
284.9,307.9,4.716
308.9,309.4,4.701
332.9,310.6,4.688
356.9,311.7,4.672
380.9,312.6,4.658
404.9,313.4,4.649
428.9,314.0,4.638
452.9,314.6,4.629
476.9,315.0,4.619
500.9,315.3,4.612
524.9,315.6,4.604
548.9,315.8,4.597
572.9,315.9,4.594
596.9,315.9,4.590
620.9,316.0,4.586
644.9,315.9,4.581
668.9,315.9,4.578
692.9,315.8,4.575
716.9,315.7,4.575
740.9,315.6,4.571
764.9,315.4,4.570
788.9,315.3,4.569
812.9,315.1,4.569
836.9,315.0,4.568
860.9,314.8,4.568
884.9,314.7,4.567
908.9,314.5,4.566
932.9,314.4,4.561
956.9,314.2,4.561
980.9,314.1,4.562
1004.9,313.9,4.564
1028.9,313.8,4.565
1052.9,313.7,4.565
1076.9,313.6,4.564
1100.9,313.5,4.561
1124.9,313.5,4.563
1148.9,313.4,4.564
1172.9,313.3,4.562
1196.9,313.2,4.560
1220.9,313.2,4.560
1244.9,313.2,4.559
1268.9,313.1,4.559
1292.9,313.1,4.559
1316.9,313.1,4.559
1340.9,313.0,4.560
1364.9,313.0,4.559
1388.9,313.0,4.561
1412.9,313.0,4.564
1436.9,313.0,4.562
1460.9,313.0,4.562
1484.9,313.0,4.564
1508.9,312.9,4.566
1532.9,312.9,4.567
1556.9,312.9,4.566
1580.9,313.0,4.565
1604.9,313.0,4.565
1628.9,313.0,4.565
1652.9,313.0,4.566
1676.9,313.0,4.565
1700.9,313.0,4.564
1724.9,313.0,4.564
1748.9,313.0,4.566
1772.9,313.0,4.567
1796.9,313.0,4.567
1820.9,313.0,4.567
1844.9,313.0,4.567
1868.9,313.0,4.568
1890.3,313.0,4.570
1892.7,313.0,4.570
1895.1,313.0,4.570
1897.5,313.1,4.570
1899.9,313.0,4.570
1902.3,313.0,4.571
1904.7,313.1,4.571
1907.1,313.0,4.571
1909.5,313.1,4.571
1911.9,313.1,4.571
1914.3,313.1,4.571
1916.7,313.1,4.571
1919.1,313.1,4.571
1921.5,313.1,4.571
1923.9,313.1,4.571
1926.3,313.1,4.571
1928.7,313.1,4.571
1931.1,313.2,4.570
1933.5,313.2,4.570
1935.9,313.2,4.571
1938.3,313.3,4.571
1940.7,313.3,4.571
1943.1,313.3,4.572
1945.5,313.4,4.572
1947.9,313.4,4.573
1950.3,313.5,4.573
1952.7,313.5,4.572
1955.1,313.6,4.571
1957.5,313.6,4.571
1959.9,313.7,4.571
1962.3,313.7,4.571
1964.7,313.8,4.572
1967.1,313.9,4.572
1969.5,314.0,4.571
1971.9,314.0,4.572
1974.3,314.1,4.572
1976.7,314.2,4.572
1979.1,314.3,4.572
1981.5,314.4,4.572
1983.9,314.5,4.573
1986.3,314.6,4.572
1988.7,314.8,4.572
1991.1,314.9,4.572
1993.5,315.0,4.572
1995.9,315.1,4.572
1998.3,315.3,4.572
2000.7,315.4,4.572
2003.1,315.6,4.572
2005.5,315.7,4.572
2007.9,315.9,4.572
2010.3,316.1,4.572
2012.7,316.2,4.572
2015.1,316.4,4.573
2017.5,316.6,4.573
2019.9,316.8,4.573
2022.3,317.0,4.573
2024.7,317.2,4.573
2027.1,317.4,4.574
2029.5,317.6,4.574
2031.9,317.8,4.573
2034.3,318.1,4.573
2036.7,318.3,4.573
2039.1,318.5,4.572
2041.5,318.8,4.572
2043.9,319.1,4.572
2046.3,319.3,4.571
2048.7,319.6,4.570
2051.1,319.9,4.571
2053.5,320.1,4.571
2055.9,320.4,4.571
2058.3,320.7,4.571
2060.7,321.0,4.571
2063.1,321.3,4.571
2065.5,321.6,4.571
2067.9,321.9,4.571
2070.3,322.2,4.570
2072.7,322.5,4.571
2075.1,322.9,4.571
2077.5,323.2,4.570
2079.9,323.5,4.569
2082.3,323.9,4.569
2084.7,324.2,4.569
2087.1,324.6,4.570
2089.5,325.0,4.569
2091.9,325.4,4.570
2094.3,325.7,4.570
2096.7,326.1,4.571
2099.1,326.5,4.570
2101.5,326.9,4.570
2103.9,327.3,4.570
2106.3,327.7,4.570
2108.7,328.1,4.569
2111.1,328.5,4.568
2113.5,328.9,4.568
2115.9,329.3,4.568
2118.3,329.7,4.568
2120.7,330.2,4.568
2123.1,330.6,4.568
2125.5,331.1,4.569
2127.9,331.5,4.568
2130.3,331.9,4.568
2132.7,332.4,4.568
2135.1,332.9,4.568
2137.5,333.3,4.568
2139.9,333.8,4.567
2142.3,334.2,4.567
2144.7,334.7,4.567
2147.1,335.2,4.567
2149.5,335.7,4.567
2151.9,336.2,4.567
2154.3,336.6,4.567
2156.7,337.1,4.566
2159.1,337.6,4.566
2161.5,338.1,4.565
2163.9,338.6,4.565
2166.3,339.1,4.565
2168.7,339.6,4.565
2171.1,340.1,4.565
2173.5,340.6,4.566
2175.9,341.1,4.566
2178.3,341.6,4.565
2180.7,342.2,4.564
2183.1,342.7,4.564
