Time (s),Temperature (C),HRR (W/g)
0,74.576,-0.667
0.5,74.588,-1.038
1,74.606,-1.639
1.5,74.588,-2.264
2,74.58,-2.954
2.5,74.588,-3.499
3,74.612,-3.806
3.5,74.654,-3.888
4,74.691,-3.814
4.5,74.707,-3.729
5,74.756,-3.571
5.5,74.836,-3.379
6,74.903,-3.187
6.5,74.95,-3.007
7,75.038,-2.585
7.5,75.106,-2.049
8,75.196,-1.364
8.5,75.276,-0.579
9,75.393,0.239
9.5,75.483,0.949
10,75.607,1.594
10.5,75.718,2.064
11,75.821,2.450
11.5,75.949,2.762
12,76.063,2.983
12.5,76.235,3.094
13,76.427,3.177
13.5,76.577,3.188
14,76.787,3.230
14.5,76.983,3.182
15,77.24,3.173
15.5,77.479,3.061
16,77.717,2.944
16.5,78,2.905
17,78.279,2.830
17.5,78.599,2.810
18,78.901,2.678
18.5,79.228,2.678
19,79.577,2.587
19.5,79.928,2.488
20,80.297,2.410
20.5,80.644,2.291
21,81.03,2.198
21.5,81.447,2.115
22,81.786,2.038
22.5,82.239,2.019
23,82.665,1.941
23.5,83.049,1.919
24,83.494,1.866
24.5,83.926,1.843
25,84.359,1.783
25.5,84.832,1.711
26,85.244,1.703
26.5,85.756,1.641
27,86.216,1.540
27.5,86.704,1.526
28,87.168,1.459
28.5,87.631,1.430
29,88.154,1.355
29.5,88.666,1.350
30,89.114,1.356
30.5,89.639,1.280
31,90.117,1.302
31.5,90.603,1.198
32,91.162,1.186
32.5,91.651,1.143
33,92.161,1.046
33.5,92.695,1.031
34,93.175,0.961
34.5,93.741,0.941
35,94.246,0.943
35.5,94.797,0.982
36,95.339,0.923
36.5,95.866,0.923
37,96.401,0.881
37.5,96.914,0.818
38,97.445,0.819
38.5,97.997,0.772
39,98.541,0.773
39.5,99.08,0.779
40,99.614,0.757
40.5,100.17,0.760
41,100.722,0.749
41.5,101.278,0.749
42,101.812,0.712
42.5,102.331,0.689
43,102.891,0.666
43.5,103.45,0.662
44,103.972,0.612
44.5,104.524,0.654
45,105.05,0.639
45.5,105.643,0.607
46,106.144,0.604
46.5,106.706,0.566
47,107.23,0.558
47.5,107.803,0.631
48,108.323,0.626
48.5,108.894,0.579
49,109.407,0.582
49.5,110.008,0.564
50,110.516,0.542
50.5,111.085,0.549
51,111.595,0.570
51.5,112.163,0.577
52,112.694,0.587
52.5,113.265,0.579
53,113.838,0.544
53.5,114.363,0.518
54,114.87,0.516
54.5,115.444,0.504
55,115.977,0.504
55.5,116.549,0.535
